Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86)
0.0,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2.2121491077727905e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.9421617827708361e-19,2.0385147738741089e-18,8.8850187898792304e-20,2.716732458479462e-35
6.194017501763814e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.2380529917384216e-19,5.7078413668474948e-18,2.4878052611650759e-19,1.6409064049215926e-34
1.415775428974586e-24,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.8829835409593918e-18,1.3046494552794226e-17,5.686412025514945e-19,7.9002579892582351e-34
3.0085227865709952e-24,0.004023131612903226,0.0,0.0,0.010942917987096769,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0013400244986195e-18,2.7723800924687515e-17,1.2083625554196939e-18,3.4502502222688733e-33
6.194017501763813e-24,0.004023131612903226,0.0,0.0,0.010942917987096764,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,8.2380529914495928e-18,5.7078413668473404e-17,2.4878052611489955e-18,1.4404115494857715e-32
1.256500693214945e-23,0.004023131612903226,0.0,0.0,0.010942917987096753,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999989,1.6711478924841603e-17,1.1578763915604245e-16,5.0466906725792099e-18,5.8845511743645167e-32
2.5306985792920722e-23,0.004023131612903226,0.0,0.0,0.010942917987096731,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999978,3.3658330789585893e-17,2.3320609013116958e-16,1.0164461495326076e-17,2.378629670556499e-31
5.079094351446327e-23,0.004023131612903226,0.0,0.0,0.010942917987096687,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999995,6.7552034510915532e-17,4.6804299208137988e-16,2.040000314036557e-17,9.5643652893730336e-31
1.0175885895754836e-22,0.004023131612903226,0.0,0.0,0.010942917987096599,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999895,1.3533944192093909e-16,9.3771679598162456e-16,4.0871086428627618e-17,3.8357382577305851e-30
2.0369468984371855e-22,0.004023131612903226,0.0,0.0,0.010942917987096422,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999789,2.7091425661044319e-16,1.8770644037814112e-15,8.1813252997883901e-17,1.5362960135432242e-29
4.0756635161605892e-22,0.004023131612903226,0.0,0.0,0.010942917987096068,0.49999999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999573,5.4206388546727936e-16,3.7557596193781735e-15,1.6369758610732523e-16,6.1491877571257506e-29
8.153096751607396e-22,0.004023131612903226,0.0,0.0,0.010942917987095362,0.49999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999145,1.0843631410922641e-15,7.5131500505604496e-15,3.2746625220992303e-16,2.460476071642882e-28
1.6307963222501011e-21,0.004023131612903226,0.0,0.0,0.01094291798709395,0.49999999999999939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999998285,2.1689616439874822e-15,1.5027930912880013e-14,6.5500358394997924e-16,9.843506452334096e-28
3.2617696164288244e-21,0.004023131612903226,0.0,0.0,0.010942917987091126,0.49999999999999872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999996564,4.3381586163589128e-15,3.0057492637339182e-14,1.3100782455695338e-15,3.9377230368842074e-27
6.5237162047862704e-21,0.004023131612903226,0.0,0.0,0.010942917987085478,0.49999999999999739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999993122,8.6765524274257636e-15,6.0116616085537706e-14,2.620227561366412e-15,1.5751533082078551e-26
1.3047609381501162e-20,0.004023131612903226,0.0,0.0,0.010942917987074181,0.49999999999999478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999986244,1.7353339514855439e-14,1.2023486297905548e-13,5.2405261631912436e-15,6.3007414218778433e-26
2.6095395734930947e-20,0.004023131612903226,0.0,0.0,0.010942917987051586,0.49999999999998956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999972483,3.4706911550898974e-14,2.4047135675457387e-13,1.0481123247765212e-14,2.5203222066734431e-25
5.2190968441790515e-20,0.004023131612903226,0.0,0.0,0.010942917987006398,0.49999999999997907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999944966,6.9414047067724846e-14,4.809443442595425e-13,2.0962316940610388e-14,1.0081340101845156e-24
1.0438211385550966e-19,0.004023131612903226,0.0,0.0,0.010942917986916021,0.49999999999995809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999889932,1.3882828388034841e-13,9.6189031908520609e-13,4.1924702421089892e-14,4.0325462950539774e-24
2.0876440468294793e-19,0.004023131612903226,0.0,0.0,0.010942917986735268,0.49999999999991618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999779859,2.7765662062161934e-13,1.9237822679994394e-12,8.3849465761206855e-14,1.6130205682973264e-23
4.175289863378245e-19,0.004023131612903226,0.0,0.0,0.010942917986373762,0.49999999999983236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999559713,5.553127465693341e-13,3.8475661628795298e-12,1.6769896195808375e-13,6.4520863690251874e-23
