Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),C2H6X(52),CH4OX(63),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.106167949390087e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-1.9163979676642253e-119,5.852212541467365e-54,3.772711919275466e-36,5.241707282506885e-88,2.5737247431669194e-54,2.264411972201689e-131,6.271756745260255e-20,-1.3417613958603933e-105,6.271756745260253e-20,4.1872705360126316e-72,3.170289648490531e-71,1.3254515362661254e-111,1.5368580326492617e-112,1.3589325006584998e-37,2.2155183030131484e-85,3.4251785348053283e-18,1.0141344874121237e-19,4.0599204172327846e-22,1.1443589938867384e-37,4.237365451411085e-37,4.059920417145674e-22,4.352540425180405e-33,1.0181395397472674e-40,1.0640435232348218e-44,1.7061902897703661e-75,4.749458751097419e-54,3.071844157586373e-52,3.812197541577014e-37,5.156388044149752e-77,2.3342449008609255e-105,7.624660450979385e-28,-1.5605008141707566e-107,-2.3959124341055678e-123,1.1254665123858645e-93,-6.964395010767063e-107,4.835733145141121e-102,5.426005065982588e-71,6.474674930900886e-88,-2.621147929640841e-144,-4.378807079926052e-146,-2.1306456667330774e-211
1.9897270258292246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.4718536375287445e-117,6.947746729252298e-53,2.2787180054478476e-35,5.792260878523704e-86,3.889412807274484e-53,8.170695285617183e-129,1.756091888672872e-19,2.5902903537190155e-104,1.756091888672871e-19,1.180877280280225e-70,9.967897913220403e-70,2.6496569695679304e-109,3.072271211749911e-110,8.20795230397736e-37,1.1468876939184624e-83,9.590499897454917e-18,2.839576564753946e-19,1.1367777168393056e-21,6.9119283229963084e-37,2.5593687326493557e-36,1.1367777167866903e-21,2.6289343573976575e-32,1.2087352359342818e-39,1.2632388281603779e-43,1.0379639514659442e-73,5.638557429221189e-53,3.646893392981315e-51,2.302567315108248e-36,3.136882413714205e-75,4.666295297112569e-103,2.134904926714522e-27,1.5792752656250823e-105,4.423946595814117e-121,1.243671803527437e-91,7.048183938479144e-105,4.554245226499914e-100,1.5302202353531316e-69,3.729081261256552e-86,8.64190752888617e-142,1.4235417245210934e-143,3.96442241511879e-208
4.547947487609656e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.4656328775484695e-114,6.821338938403304e-52,1.0971046354335035e-34,5.24045777889433e-84,4.1840528123077e-52,2.9584451532333585e-126,4.013924316966564e-19,2.735073060014832e-102,4.0139243169665603e-19,2.568666018926818e-69,2.2237831911631872e-68,4.7969846534329735e-107,5.5620927626489146e-108,3.951775711914943e-36,5.008391182242199e-82,2.1921142622754077e-17,6.490460719437593e-19,2.5983490671278614e-21,3.3277959541032424e-36,1.2322258732659328e-35,2.5983490668745406e-21,1.2657186665255043e-31,1.186743368003028e-38,1.2402688385472207e-42,4.685915563100341e-72,5.535969120025975e-52,3.5805415782764677e-50,1.1085870450841921e-35,1.4161386037455424e-73,8.447941445118521e-101,4.879782691708862e-27,3.3072802725999736e-103,1.8440460703466956e-118,1.1251806819025332e-89,1.4760137264000812e-102,3.98093199707999e-98,3.3285632517998556e-68,1.6722765569254808e-84,7.38151525965295e-139,1.207008539977072e-140,3.498297910456991e-203
9.664388411170519e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.714307068006087e-112,6.033397041895967e-51,4.791344233664543e-34,3.966142040861795e-82,3.8458653831889426e-51,8.970695584269798e-124,8.529589173553949e-19,2.1618473074983683e-100,8.529589173553932e-19,4.7618738953173495e-68,4.1648998060861574e-67,7.26887845515732e-105,8.428247986785873e-106,1.7258442758363191e-35,1.864967203476129e-80,4.658242807335231e-17,1.3792229028804885e-18,5.521491767930982e-21,1.453335922112784e-35,5.381454123246499e-35,5.521491766824662e-21,5.527725419103968e-31,1.0496609728924438e-37,1.0970276972263755e-41,1.7693505867434266e-70,4.896501993499719e-51,3.166948511912201e-49,4.841490877736636e-35,5.347069429978151e-72,1.2801179073294308e-98,1.0369538228742246e-26,5.315099336805877e-101,5.93564512952146e-116,8.515536271140721e-88,2.372087918824586e-100,2.9706396664394617e-96,6.17059529766474e-67,6.291522358932031e-83,4.768722662684704e-136,7.767761519474687e-138,1.0195098171648394e-198
1.9897270258292245e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.3486026877801631e-109,5.071433753297609e-50,2.0002919461660675e-33,2.7554929007758242e-80,3.2902188046844083e-50,2.4952041561844405e-121,1.7560918886728717e-18,1.532240811074646e-98,1.756091888672865e-18,8.184444561949791e-67,7.19382867718158e-66,1.0106198529428704e-102,1.1718114140291314e-103,7.205060118491583e-35,6.428325578397708e-79,9.590499897454848e-17,2.8395765647539465e-18,1.136777717044125e-20,6.067391384477113e-35,2.2466511622971353e-34,1.1367777165822588e-20,2.307716104643168e-30,8.823031319168886e-37,9.22158179483384e-41,6.138963163245967e-69,4.1158049613963864e-50,2.6620111048761422e-48,2.021227136484576e-34,1.8551464449928278e-70,1.7797966759500933e-96,2.134904933098781e-26,7.599394759838805e-99,1.6987009247157723e-113,5.915949052808392e-86,3.391551382239453e-98,2.050152829888206e-94,1.060567672269625e-65,2.17855444250662e-81,2.733997439450977e-133,4.4450465645675734e-135,2.2013637233262612e-194
4.03630339525357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.646991883103364e-107,4.157867794306156e-49,8.171845658554446e-33,1.8366810934613667e-78,2.7204165343042614e-49,6.655820941246044e-119,3.562357831307826e-18,1.031127823204948e-96,3.562357831307797e-18,1.3565116642642386e-65,1.1952653938619617e-64,1.347678699217658e-100,1.562630377365197e-101,2.943502153726518e-34,2.1354715613566364e-77,1.9455014077693961e-16,5.760283888500861e-18,2.3060347979077912e-20,2.4787273541783087e-34,9.17830306202714e-34,2.3060347960209167e-20,9.427769645492932e-30,7.233651473772974e-36,7.561070769373812e-40,2.0447069270556393e-67,3.374385572965632e-49,2.1824776302571826e-47,8.257372362453222e-34,6.178409974121443e-69,2.373389026613034e-94,4.3308071648194144e-26,1.0273340313419864e-96,4.594731003901952e-111,3.942953569337716e-84,4.584912700311687e-96,1.3628746990398076e-92,1.7578131384319022e-64,7.248187851866182e-80,1.4802181664769287e-130,2.4043695495450874e-132,4.126951557381413e-190
8.12945613410226e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,9.595204248563272e-105,3.3671491402058216e-48,3.3031909783889374e-32,1.1996278217615017e-76,2.212197546160479e-48,1.7393066777656873e-116,7.174889716577736e-18,6.765606802028792e-95,7.174889716577618e-18,2.2087275925507653e-64,1.9485842609716117e-63,1.7607471119082495e-98,2.041582259545375e-99,1.189810633086696e-33,6.972099981513326e-76,3.9184042438171695e-16,1.160169853599468e-17,4.644548961081574e-20,1.0019412276062184e-33,3.710016845966368e-33,4.6445489534545223e-20,3.810852292088283e-29,5.857994189184267e-35,6.124221546085192e-39,6.675412193344667e-66,2.7326649224663846e-48,1.7674271226663082e-46,3.3377619327178816e-33,2.016734454932255e-67,3.1008413772845016e-92,8.72261167334676e-26,1.3513137802795656e-94,1.208998094739648e-108,2.5748978414239204e-82,6.0308093837532e-94,8.901714373764094e-91,2.8621430126175026e-63,2.3647251156261353e-78,7.79287583282598e-128,1.2652410413015037e-129,7.2213564820921485e-186
1.631576161179964e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,2.4907204611525557e-102,2.7101745639950883e-47,1.3281988110396056e-31,7.757852389198353e-75,1.7842174633362847e-47,4.499681173231423e-114,1.4399953487117557e-17,4.384012521110494e-93,1.4399953487117092e-17,3.5648952392813694e-63,3.1469687850054363e-62,2.2774859132807174e-96,2.640739720855109e-97,4.7841762258694686e-33,2.2602749687300913e-74,7.864209915912519e-16,2.3284527830982297e-17,9.321577293214962e-20,4.028761606065465e-33,1.4917814563993392e-32,9.321577262546897e-20,1.532324585040717e-28,4.715016404220929e-34,4.931029408219864e-38,2.1581200491179598e-64,2.199486463862576e-47,1.4225793575124644e-45,1.342099392965913e-32,6.517727808537594e-66,4.0108670390892775e-90,1.7506220870745773e-25,1.7537775563072332e-92,3.138477418773921e-106,1.664585687283823e-80,7.826974244414858e-92,5.772319157701246e-89,4.619510361649792e-62,7.640430409124865e-77,4.0467787024001006e-125,6.568793786320945e-127,1.2203489233288917e-181
3.26883725671944e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996373,0.022821567693054264,6.423887017273823e-100,2.174744407741132e-46,5.326673261583549e-31,4.9934189705171765e-73,1.4331804964567478e-46,1.1585701096940382e-111,2.88500810281972e-17,2.8231813398437227e-91,2.885008102819535e-17,5.728690947283688e-62,5.058660406651852e-61,2.931961401649659e-94,3.399602556396455e-95,1.918668644085693e-32,7.323479231724708e-73,1.575582126010244e-15,4.6650186420957425e-17,1.8675633980625154e-19,1.6157135922621046e-32,5.982710854787913e-32,1.8675633857632306e-19,6.145287998679828e-28,3.78349256403037e-33,3.95960592530368e-37,6.94496410132274e-63,1.7649493648779695e-46,1.141530739095227e-44,5.382418833057258e-32,2.095997499555838e-64,5.163459969019543e-88,3.5073439986921074e-25,2.2615519157304553e-90,8.094729645661662e-104,1.0706934467311719e-78,1.009313214737398e-89,3.7405975740218382e-87,7.423429137049102e-61,2.4567335173544386e-75,2.0876967573207897e-122,3.3884001049054466e-124,2.023436350673193e-177
