Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),CO2X(24),H2OX(23)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-7.3603910119717e-120,1.3111129442296081e-65,2.9700072546554918e-36,2.557314155652516e-88,1.7977027803130975e-54,8.697023159109563e-132,5.564692090377849e-20,-6.546164226414581e-106,5.564692090377849e-20,2.5950082721553197e-72,1.6064607514417543e-73,5.737558200352249e-112,6.65268564465478e-113,5.334634238317472e-54,1.21823846003403e-85,3.0390311159895404e-18,8.998030998167262e-20,3.602213534570682e-22,9.008783565416967e-38,3.335798334090026e-37,3.6022135345021052e-22,3.426468003332144e-33,7.111530943989978e-41,7.432157646372108e-45,9.381814699885853e-76,2.1456307178831142e-52,2.8353407474423492e-77,1.0104379983816343e-105,-6.755029528823011e-108,-3.0147176762740676e-107,3.3174158799093106e-54
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.3334488098948286e-117,2.9329134275464594e-64,1.793884386146329e-35,2.8259156424904682e-86,2.716688464527372e-53,3.138151903216566e-129,1.5581137853057977e-19,1.2637467322656336e-104,1.558113785305797e-19,7.318338588350228e-71,5.050969640907276e-72,1.1469716055723287e-109,1.329910960160741e-110,6.333277765501483e-53,6.306302591684332e-84,8.50928712477071e-18,2.5194486794868334e-19,1.0086197896909114e-21,5.441305271420445e-37,2.0148221937883227e-36,1.0086197896494907e-21,2.06958663251483e-32,8.442809377719478e-40,8.823496956812378e-44,5.707440793325784e-74,2.547292793907204e-51,1.7248761093361892e-75,2.0199249451820413e-103,6.836295731277145e-106,3.0509861590460267e-105,3.938436131228292e-53
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,5.629108530360048e-115,5.794948187057293e-63,8.636781161554347e-35,2.5567000841778783e-84,2.922489482138335e-52,1.136260611567219e-126,3.5614029378418233e-19,1.3343830912541161e-102,3.561402937841821e-19,1.5918984967546455e-69,1.1268435406770813e-70,2.0764946878650662e-107,2.4076908536260487e-108,6.2180496612728746e-52,2.7538862069453565e-82,1.944979914233304e-17,5.758739838827048e-19,2.3054166622030778e-21,2.619754257686146e-36,9.70050155550299e-36,2.3054166620036545e-21,9.964168331223125e-32,8.289199975459917e-39,8.66304508962867e-43,2.5766360525112474e-72,2.500947182237306e-50,7.78691495370279e-74,3.6569025755883126e-101,1.4316388972407367e-103,6.389294190284848e-103,3.866779945282161e-52
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.8106363880236442e-112,1.0311805152210608e-61,3.771909280595848e-34,1.9349857850371618e-82,2.686271334817238e-51,3.4453989027753244e-124,7.567981242913874e-19,1.0547186236616249e-100,7.567981242913862e-19,2.9511115267390694e-68,2.1104532380788163e-69,3.1465081585534146e-105,3.6483690319414473e-106,5.499794499824841e-51,1.0254314758062946e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.899010407405331e-21,1.1441155095662758e-35,4.236463884262496e-35,4.899010406534399e-21,4.351613721016234e-31,7.331702907020903e-38,7.662513734819908e-42,9.729073012341079e-71,2.2120594816015424e-49,2.940190686021057e-72,5.541297002250145e-99,2.3007679903465015e-101,1.0268150425479757e-100,3.420123066437022e-51
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,5.1795890530743205e-110,1.7392370197909954e-60,1.5746979068833676e-33,1.3443325755671717e-80,2.298161682678128e-50,9.583351109454285e-122,1.5581137853057978e-18,7.475472082599893e-99,1.5581137853057924e-18,5.072206702256773e-67,3.6452831242970515e-68,4.374689155703316e-103,5.07244209636169e-104,4.622908650451111e-50,3.534343146081937e-79,8.509287124770657e-17,2.519448679486833e-18,1.008619789852152e-20,4.77645701720896e-35,1.7686402767058784e-34,1.0086197894885552e-20,1.8167127564727652e-30,6.162737053790248e-37,6.441054243749309e-41,3.375596204315388e-69,1.859369316597172e-48,1.0200885703454524e-70,7.704239328948986e-97,3.289564062231472e-99,1.46810711716445e-98,2.8748195063394163e-50
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,1.4006895650985616e-107,2.856702306170528e-59,6.433155025811035e-33,8.96059819346797e-79,1.900164521328467e-49,2.5562821703576605e-119,3.1607451073346192e-18,5.030650012886955e-97,3.1607451073345965e-18,8.406810630953669e-66,6.056692391524375e-67,5.833666216568282e-101,6.764122670131825e-102,3.790139792844684e-49,1.17396597072901e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.046057288360064e-20,1.951338530701977e-34,7.225472623329759e-34,2.046057286874652e-20,7.421861852637116e-30,5.052582520882805e-36,5.281174986729592e-40,1.1243002817298519e-67,1.5244233627006234e-47,3.39731974929736e-69,1.0273635245142199e-94,4.4469968657295406e-97,1.9846604660668393e-96,2.3569507060218825e-49
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,3.685131148824983e-105,4.630837724549281e-58,2.6003843329083486e-32,5.8525000075823656e-77,1.5451822316099406e-48,6.679977815255409e-117,6.366007751392263e-18,3.300793478740853e-95,6.36600775139217e-18,1.3688311789059836e-64,9.873937100222433e-66,7.621560045761903e-99,8.837181486368735e-100,3.069353432725072e-48,3.832016179312983e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.120932286514582e-20,7.887622229943108e-34,2.9206515596162948e-33,4.120932280510308e-20,3.0000331756691444e-29,4.091709645591437e-35,4.277495796964169e-39,3.670463572606046e-66,1.2345176573602696e-46,1.108941035358703e-67,1.3422284546035484e-92,5.8492874813531306e-95,2.6104919693731e-94,1.908719766237346e-48
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996462,0.022821567693054278,9.5654846141576e-103,7.457821407294738e-57,1.045603275596434e-31,3.7845975589306464e-75,1.2462454478628058e-47,1.728080604910079e-114,1.2776533039507555e-17,2.138865051404957e-93,1.2776533039507187e-17,2.209299041458023e-63,1.594643437741978e-64,9.85793511136289e-97,1.1430253272935277e-97,2.470482609954772e-47,1.2417384612377731e-74,6.977615442311581e-16,2.065947917179199e-17,8.270682287378413e-20,3.1715781245291643e-33,1.1743811465478649e-32,8.270682263235473e-20,1.206298496282616e-28,3.2933595842988168e-34,3.443968629084026e-38,1.1865924946126941e-64,9.936473640215343e-46,3.5839011871835793e-66,1.7360751512024887e-90,7.591096320041226e-93,3.387847836287941e-92,1.5363036847874013e-47
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996391,0.022821567693054268,2.4668710276592555e-100,1.1971454597691202e-55,4.193338174151606e-31,2.43580675900555e-73,1.0010521174563667e-46,4.449092138615765e-112,2.559758361573816e-17,1.3773692188375587e-91,2.5597583615736684e-17,3.550284249364485e-62,2.5633426196997893e-63,1.2689814286645067e-94,1.4713810715689848e-95,1.9824066119681877e-46,4.019767627910896e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182307325331e-19,1.2719446135745723e-32,4.709793651807858e-32,1.657018221050121e-19,4.8377832736188155e-28,2.6427067422038814e-33,2.765281736611117e-37,3.818232499546194e-63,7.973396770766901e-45,1.1525259425994546e-64,2.2347957258131645e-88,9.788204958998895e-91,4.368400484449086e-90,1.232786893114883e-46
