Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24),CHOX(53)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-1.8503430905830695e-117,1.0990294829394852e-72,9.6199592180761892e-42,5.1879321659436198e-90,4.3711259216430462e-62,2.4335416323641215e-139,7.2341660732108014e-25,-9.0234643216187081e-123,7.2341660732107995e-25,1.3995961698726504e-84,2.4519111327321609e-77,1.1058298339354947e-117,6.6819354258064735e-119,1.2689503258710383e-57,8.9212678635735633e-100,2.8689670379046562e-18,1.3794248471136902e-19,5.3170486711593259e-23,5.3170486726899758e-23,7.6532592811166001e-33,1.5909761779050243e-38,1.764517564085453e-42,6.2640574053880792e-38,5.5041699643586078e-73,6.5608651387182869e-58,-2.1098686474229324e-105,-5.1967793570493208e-108
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,3.3521520669150963e-115,3.4306754421241127e-71,6.8395122446329979e-41,5.7328275982868951e-88,6.6056454907292361e-61,8.7809519695700121e-137,2.0255665004990242e-24,1.7414158836021809e-121,2.0255665004990235e-24,3.9470851332420879e-83,7.7092008269523437e-76,2.2106162067928302e-115,1.3357565776675909e-116,1.5064978057051014e-56,4.6179051773394264e-98,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736276766471e-22,1.4887736286011609e-22,4.6225593255845715e-32,1.8888034448017577e-37,2.0948420480294108e-41,3.7834906147018188e-37,3.3484658748103465e-71,9.0523395105785572e-57,2.1352317465127e-103,5.2592927653073045e-106
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.415070059082481e-112,7.6380165264331971e-70,4.3410632939549332e-40,5.1866668608490658e-86,7.1060519815716659e-60,3.179394934968873e-134,4.6298662868549132e-24,1.8387810049601508e-119,4.629866286854911e-24,8.585772310751217e-82,1.7198802417628261e-74,4.0021226258148824e-113,2.418267633042687e-114,1.4790884342114e-55,2.0163581255315232e-96,1.8361389042589783e-17,8.8283190215276172e-19,3.4029111478062195e-22,3.4029111522573652e-22,2.2255538786894922e-31,1.854431064825723e-36,2.0567427400527733e-40,1.8215878062579861e-36,1.5116679800127299e-69,1.156349857200765e-55,4.4714520575134785e-101,1.1013843267314731e-103
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,4.5514680970396695e-110,1.4293846187442287e-68,2.8167538777557889e-39,3.9254016403809364e-84,6.5316860277056916e-59,9.6405942193069503e-132,9.8384658595666911e-24,1.4534033569654883e-117,9.8384658595666793e-24,1.5916574863641469e-80,3.2211451441720496e-73,6.0643769735027309e-111,3.664377111902579e-112,1.3082368901498597e-54,7.5063957310018494e-95,3.9017951715503193e-17,1.8760177920746187e-18,7.2311861840979383e-22,7.2311862035373423e-22,9.7194954454878783e-31,1.6402101874528864e-35,1.8191912689725469e-39,7.9553520034779529e-36,5.7078497445696192e-68,1.4987849730982065e-54,7.1857122117383404e-99,1.770011142034349e-101
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,1.3019054350116507e-107,2.4680314119978388e-67,1.9455444671266037e-38,2.7271469844567235e-82,5.5879948981053701e-58,2.6814964321095266e-129,2.0255665004990253e-23,1.0301208275183232e-115,2.0255665004990203e-23,2.7356525420783029e-79,5.5637264827998771e-72,8.4314068741110048e-109,5.094646078797967e-110,1.0996517991676722e-53,2.5860671362444598e-93,8.0331077061329741e-17,3.8623895719183326e-18,1.4887736240811671e-21,1.4887736321968049e-21,4.057628615537834e-30,1.3786734744897132e-34,1.5291829535156311e-38,3.3212024251084402e-35,1.9803731349960051e-66,2.0605742285915786e-53,1.0273043991039434e-96,2.5306790045979858e-99
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,3.5200901681466692e-105,4.0999792771696234e-66,1.4237184661226697e-37,1.8177319074238933e-80,4.6202622194648072e-57,7.1525298057741618e-127,4.1090063295837405e-23,6.9322408963416204e-114,4.1090063295837164e-23,4.5341434428978659e-78,9.24421239899407e-71,1.124308422174718e-106,6.7935916023172667e-108,9.0156076306243103e-53,8.5822139142755969e-92,1.6295732775298161e-16,7.8351331316057558e-18,3.020083629076031e-21,3.020083662231626e-21,1.6576169713309766e-29,1.1302837041740569e-33,1.2537872146081456e-37,1.3568192033968693e-34,6.5958350871832307e-65,3.0024908549719111e-52,1.3885299135986283e-94,3.4210279000798169e-97
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,9.258068466749587e-103,6.6834480358859113e-65,1.0838838580043427e-36,1.1871791413469941e-78,3.7571204672505687e-56,1.8689945205954587e-124,8.2758859877531775e-23,4.5484967671176935e-112,8.2758859877530811e-23,7.3826771240558347e-77,1.5070391618640731e-69,1.4688242730049232e-104,8.8753157467184316e-106,7.3010692404261635e-52,2.7963894268243016e-90,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036136742293e-21,6.0827037476990298e-21,6.6998943498318285e-29,9.1527457283720796e-33,1.0154637973213525e-36,5.4844772833641405e-34,2.1532291567280703e-63,4.5581260874087941e-51,1.8257724305727501e-92,4.4996104481079501e-95
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,2.4015167154725502e-100,1.0793337004583184e-63,8.4459638832174637e-36,7.676416861983525e-77,3.0302537061810021e-55,4.8346077731166405e-122,1.6609645304092086e-22,2.9473581561960743e-110,1.6609645304091695e-22,1.1915670408174398e-75,2.4338697814226685e-68,1.899660852517114e-102,1.1478629661788514e-103,5.8765299656759049e-51,9.0293718312985324e-89,6.5871483190285983e-16,3.167159448973023e-17,1.220794348130451e-20,1.2207944020249185e-20,2.6936294138036718e-28,7.3659848808744611e-32,8.1751773935324145e-36,2.2052818831784605e-33,6.9604073416424175e-62,7.0915559334050753e-50,2.3678752045867633e-90,5.8390307584158659e-93
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,6.185116745862718e-98,1.7349588712761457e-62,6.6646732888097401e-35,4.9398036532382668e-75,2.4340644699603089e-54,1.2445063627430447e-119,3.3277163936770029e-22,1.8980160716031554e-108,3.3277163936768468e-22,1.9148161706612258e-74,3.9123665829589959e-67,2.4449707999348326e-100,1.4773644609698292e-101,4.7155359982673202e-50,2.9024107793211157e-87,1.3197248374359425e-15,6.3453542967229351e-17,2.4458422810300615e-20,2.4458424972005289e-20,1.0799703031631077e-27,5.9092291005501842e-31,6.5630189967616012e-35,8.8441481528656745e-33,2.2393545948975768e-60,1.118162786501113e-48,3.0491518296783166e-88,7.52779744756154e-91
