Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792273728e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.033432323245856e-72,7.6174103067803839e-42,3.8399841989968699e-93,3.6166882008662061e-57,1.7466670247778502e-142,7.1237166444684483e-25,-7.1281829982551675e-118,7.1237166444678266e-25,1.1403506412629104e-79,2.8601457655992983e-74,8.0601221694100755e-121,4.8702969530183665e-122,1.21171187329807e-57,7.1578095907205613e-95,2.8251634421299508e-18,1.3583636890012977e-19,5.2358675890944879e-23,6.0742374854888266e-38,5.235867589095684e-23,5.9823630458253021e-36,9.8718243922665705e-45,8.8876185412482771e-52,2.6883591930253853e-82,5.1157963561012265e-58,7.1346377190388962e-111
1.9615746618366438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,3.2259106368991247e-71,4.6009158258100712e-41,4.2687893031492738e-91,5.4655392091574819e-56,6.3400620891786326e-140,1.9946406604513675e-24,1.3758712134492393e-116,1.9946406604509909e-24,3.2159712644688133e-78,8.9927558454737273e-73,1.6208931633605505e-118,9.7941828532613571e-120,1.4385443160404491e-56,3.7050883890785973e-93,7.9104576379638617e-18,3.8034183292036332e-19,1.4660429249462627e-22,3.6688393857057597e-37,1.4660429249469854e-22,3.6133472739208354e-35,1.1719829894891409e-43,1.061643722197171e-50,1.6453780664798166e-80,6.0734734345855785e-57,1.4347779424129361e-108
4.483599227055186e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,7.1821305083537181e-70,2.2151429179838159e-40,3.9120480955181723e-89,5.8795776743909633e-55,2.3251475675546634e-137,4.5591786524612203e-24,1.4527868114392808e-114,4.5591786524594071e-24,6.9954399562124073e-77,2.0062342982301462e-71,2.972307243876837e-116,1.7960049003011738e-117,1.4123712977052714e-55,1.6177865930053107e-91,1.8081046029631668e-17,8.6935276096083047e-19,3.3509552570191153e-22,1.7663881774859156e-36,3.3509552570225947e-22,1.7396711650895267e-34,1.1506598438442771e-42,1.0561083289210798e-49,7.5247922997812822e-79,5.9629722346004244e-56,2.6310190998212889e-106
9.52764835749227e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,1.3440697392922651e-68,9.6741110975892497e-40,3.0366149890358417e-87,5.4043448447911199e-54,7.2299967017899448e-135,9.6882546364841476e-24,1.1483069867397281e-112,9.688254636476235e-24,1.2968366720452581e-75,3.7574545720649295e-70,4.6188959173768496e-114,2.7909495960348209e-115,1.2492263430923714e-54,6.0226138582952306e-90,3.8422222812967213e-17,1.8473746170417649e-18,7.1207799211617167e-22,7.7142807458637629e-36,7.1207799211769145e-22,7.5976009789546025e-34,1.0177455921766544e-41,9.5862969545168318e-49,2.9146321888753768e-77,5.2741814153366733e-55,4.088542126202159e-104
1.9615746618366439e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,2.3207234046491212e-67,4.0387509518353042e-39,2.2151416202408216e-85,4.623530795720135e-53,2.1109740890005355e-132,1.9946406604542911e-23,8.138793264369697e-111,1.9946406604509873e-23,2.2289308960397507e-74,6.4900675503002429e-69,6.7415835403157204e-112,4.0735751995820209e-113,1.0500498865104207e-53,2.074881790020402e-88,7.9104576379638032e-17,3.8034183292036333e-18,1.4660429249434506e-21,3.2205599401699245e-35,1.4660429249497951e-21,3.1718488065773956e-33,8.5547647903201541e-41,8.4702502042310603e-48,1.0621899213130197e-75,4.4332672768044854e-54,5.9674971669631086e-102
3.9791943140114775e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,3.8552661184982261e-66,1.6499615481692147e-38,1.6170639847716359e-83,3.8228246722047735e-52,6.1640699795118858e-130,4.0462710540712038e-23,5.477034759588213e-109,4.0462710540577067e-23,3.6942894981137984e-73,1.0783341610030812e-67,9.8427560141726321e-110,5.9474464055938212e-111,8.6089413103069437e-53,6.8857761677816177e-87,1.6046928351297846e-16,7.7155057535273671e-18,2.9739727905930435e-21,1.3157034804482846e-34,2.9739727906189623e-21,1.2958036971743738e-32,7.0137127868156058e-40,7.620706393786606e-47,3.8770575711332575e-74,3.6346603667194376e-53,8.7125848513959557e-100
8.014433618361144e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,6.2845368494810753e-65,6.66940840928856e-38,1.2397475696910936e-81,3.1086575355459653e-51,1.889385925029197e-127,8.1495318413256779e-23,3.5936828383821818e-107,8.1495318412711209e-23,6.0151927655802289e-72,1.7579559621846939e-66,1.5087264543299454e-107,9.1164199487465117e-109,6.9717405177910762e-52,2.2436299129712406e-85,3.2319869777965478e-16,1.5539680602174825e-17,5.9898325218723688e-21,5.3182810869819814e-34,5.9898325219771394e-21,5.2378454406620727e-32,5.679886060063072e-39,7.2668157142859379e-46,1.4871906752759924e-72,2.9434422103792621e-52,1.3354905100882011e-97
1.6084912227060478e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,1.0149121262372025e-63,2.6817398087049837e-37,1.0390247807527794e-79,2.5072449212298718e-50,6.3286376994439188e-125,1.6356053415917209e-22,2.3286529976191603e-105,1.6356053415697836e-22,9.7085453749238159e-71,2.8391007395485578e-65,2.5274976036995947e-105,1.5272304338951904e-106,5.6114578921258144e-51,7.2445450316032708e-84,6.4865752631298909e-16,3.1188030299469699e-17,1.2021551984351581e-20,2.1384552278062333e-33,1.2021551984772858e-20,2.1061143860123038e-31,4.5716658001953942e-38,7.6122730374656718e-45,6.239046020826244e-71,2.3691383814625274e-51,2.2372836731838212e-95
3.2225869444459145e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,0.0,1.6314053927045435e-62,1.0754976234410778e-36,9.7394025445089347e-78,2.0139554704938142e-49,2.3706266312070877e-122,3.2769096565430615e-22,1.4995873433527243e-103,3.2769096564550823e-22,1.5601371784076754e-69,4.5637624049734651e-64,4.7353408191916272e-103,2.8613109675501182e-104,4.5028328879336137e-50,2.3286942656247654e-82,1.299575183379584e-15,6.248472969405931e-17,2.4084990908992238e-20,8.5761442119323571e-33,2.4084990910681751e-20,8.4464588354334567e-31,3.6684728643011858e-37,8.9382587538584771e-44,2.9278555154386561e-69,1.9010843750652564e-50,4.1916165156710613e-93
