Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40),HX(39),CH3X(38),CH2X(175),CHX(176)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.321971340313412e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.0333488528741884e-84,6.2032406350503258e-42,0.0,1.3166561401354207e-52,0.0,6.4285378433818513e-25,-1.9067201850384369e-113,6.4285378431662417e-25,3.7463256580590377e-75,2.2317480495212742e-106,0.0,0.0,1.0600487421058537e-67,2.1220376794243841e-90,2.549466377647142e-18,1.0516385371828101e-20,1.0516385371828035e-20,2.2186647987840035e-35,2.7664510750781989e-45
1.7701519752877555e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,4.548520049927693e-83,3.7467573435725145e-41,0.0,1.9897307592441582e-51,0.0,1.7999905962167811e-24,3.6809491646744271e-112,1.7999905960865525e-24,1.0565237769222331e-73,1.3576812479310879e-104,0.0,0.0,1.2584898666287206e-66,1.0984278176970055e-88,7.1385058574119997e-18,2.9445879041118756e-20,2.9445879041118352e-20,1.3400735383041929e-34,3.2843307159707117e-44
4.046061657800584e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,8.9871091274830142e-82,1.8039023766757519e-40,0.0,2.1404615542061643e-50,0.0,4.1142642202534228e-24,3.8866937164912137e-110,4.1142642196264288e-24,2.2981699884962205e-72,6.1292221387341195e-103,0.0,0.0,1.2355928138005655e-65,4.7961657328333264e-87,1.63165848169417e-17,6.7304866379700333e-20,6.7304866379698419e-20,6.4518772324437089e-34,3.2245753719885597e-43
8.59788102282624e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,1.5992080512991333e-80,7.8781156065458419e-40,0.0,1.9674529373687499e-49,0.0,8.7428114694445073e-24,3.0721074596113961e-108,8.7428114667062578e-24,4.2604198425515691e-71,2.3142776573565441e-101,0.0,0.0,1.0928678511655769e-64,1.7854922481251097e-85,3.4672742736001037e-17,1.4302284105686462e-19,1.4302284105685626e-19,2.8177042919548392e-33,2.8521003980051841e-42
1.7701519752877555e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,2.6972981236900428e-79,3.2889581847322993e-39,0.0,1.6831974099211585e-48,0.0,1.7999905972297878e-23,2.1774009711034565e-106,1.7999905960866224e-23,7.3225731673727534e-70,8.0293042855566005e-100,0.0,0.0,9.1862127913651307e-64,6.1512915140033674e-84,7.1385058574119494e-17,2.9445879041119779e-19,2.9445879041116283e-19,1.1763360740645178e-32,2.3973622341685024e-41
3.590879721298018e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996518,0.022821567693054285,0.0,4.4303202676772375e-78,1.3436467345386196e-38,0.0,1.3917001683690578e-47,0.0,3.6514094995889424e-23,1.4652910354223565e-104,3.6514094949187392e-23,1.2136628012812313e-68,2.6740935653668769e-98,0.0,0.0,7.5314122540262781e-63,2.0413893799677825e-82,1.4480969025035545e-16,5.9733068911988218e-19,5.9733068911973928e-19,4.805716681701661e-32,1.9655023983323148e-40
7.232335213318544e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996503,0.022821567693054285,0.0,7.1817400694858873e-77,5.4312349317357286e-38,0.0,1.1317074641458931e-46,0.0,7.3542473114611739e-23,9.6143104490986371e-103,7.354247292583467e-23,1.9761352503380934e-67,8.7286867848656176e-97,0.0,0.0,6.0991329084651731e-62,6.651570084985146e-81,2.9165895360282363e-16,1.2030744865373232e-18,1.203074486536746e-18,1.9425475115702762e-31,1.5917147951632553e-39
1.4515246197359594e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999942,0.11866996602996474,0.022821567693054285,0.0,1.1565970981584215e-75,2.183875678693083e-37,0.0,9.1276306875153753e-46,0.0,1.475992296382133e-22,6.2299301006951403e-101,1.4759922887914896e-22,3.1894902612213109e-66,2.8209607448483561e-95,0.0,0.0,4.909112777474011e-61,2.1477516739135459e-79,5.8535748030774516e-16,2.4145620813724949e-18,2.414562081370173e-18,7.8108980435656333e-31,1.2811505333897938e-38
2.9081068165441695e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999881,0.11866996602996414,0.022821567693054285,0.0,1.8565944902875211e-74,8.7583182344808981e-37,0.0,7.3318093500542754e-45,0.0,2.9571274383004395e-22,4.0119006016726781e-99,2.9571274078585659e-22,5.1254252256010256e-65,9.0717870303283848e-94,0.0,0.0,3.9392538390724933e-60,6.9037558402367365e-78,1.1727545337175283e-15,4.8375372710439946e-18,4.8375372710346854e-18,3.132519414997219e-30,1.0280426032508811e-37
5.821271210160589e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999764,0.11866996602996296,0.022821567693054285,0.0,2.9753921636229372e-73,3.5078956088479263e-36,0.0,5.8773526900113844e-44,0.0,5.9193977679221583e-22,2.5755635569973359e-97,5.9193976459958753e-22,8.2185137151334732e-64,2.9101469940471371e-92,0.0,0.0,3.1561967252368757e-59,2.2141660884394475e-76,2.3475486405368556e-15,9.6834876503916216e-18,9.6834876503543371e-18,1.2546416382553123e-29,8.2368507602056331e-37
1.164759999739343e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999526,0.11866996602996061,0.022821567693054285,0.0,4.7645041147950593e-72,1.4040724279358741e-35,0.0,4.7066488947616395e-43,0.0,1.1843938610306009e-21,1.6509083806549277e-95,1.1843938122283138e-21,1.3163904914844408e-62,9.3239676274621438e-91,0.0,0.0,2.5268764836191006e-58,7.0932839508745285e-75,4.6971368541745559e-15,1.9375388409105394e-17,1.9375388408956157e-17,5.0218359137229585e-29,6.5944885618789442e-36
