Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H5X(365),C4H5X(364),C6H8(56),C2H2(37),C6H7X(480),C8H10(439),C6H7X(479),C6H7X(478),C4H4(421),C8H9X(637),S(632)
3.0072188092873384e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771073,0.66999999999999826,6.6057684020821881e-66,0.0,1.6463617436001505e-36,6.7020907462098384e-66,0.0,0.0,0.0,0.0,0.0,1.7831215325689991e-15,1.7831215325689991e-15,4.7337003752693017e-45,4.8422879052362044e-60,2.4211439524348728e-60,4.5476484894148851e-88,7.181759911940237e-34,3.6118965742579008e-103,1.347507573739442e-98,1.8059482871256972e-103,1.8059482871736797e-103,2.8144858527990271e-77,9.3715533657593767e-114,9.6382225821273867e-143
6.017050319538436e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770717,0.66999999999999649,1.0581529440688973e-64,0.0,6.5897375164802369e-36,2.6825829137395637e-65,0.0,0.0,0.0,0.0,0.0,3.5677922584763908e-15,3.5677922584763908e-15,3.7907995001500007e-44,7.7560760697842709e-59,3.8780380345986271e-59,2.9149934494158779e-86,2.8745755854243258e-33,4.6304298823166163e-101,4.3158963270134899e-97,2.3152149411541351e-101,2.3152149412156491e-101,9.0164633240268769e-76,6.0032669247546334e-112,2.4707222893523404e-140
1.2036713340040632e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770001,0.66999999999999293,1.6940293551576691e-63,0.0,2.6367533592929348e-35,1.0733825881013702e-64,0.0,0.0,0.0,0.0,0.0,7.1371337102909715e-15,7.1371337102909715e-15,3.0341760306067092e-43,1.2416457887818192e-57,6.2082289434392095e-58,1.8670365990540422e-84,1.1502046649791344e-32,5.9315639246351287e-99,1.3817065754391031e-95,2.9657819623122168e-99,2.9657819623910164e-99,2.8868866271270483e-74,3.8438427500720995e-110,6.3293237679571248e-138
2.407603938104502e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583768575,0.66999999999998583,2.7112349415327772e-62,0.0,1.0548730384967823e-34,4.2942292971693584e-64,0.0,0.0,0.0,0.0,0.0,1.4275816613919305e-14,1.4275816613919305e-14,2.4279555467887513e-42,1.9871723097149367e-56,9.9358615478226457e-57,1.1953646844563192e-82,4.601567628214905e-32,7.5953559280290012e-97,4.4224528156577609e-94,3.7976779640076526e-97,3.7976779641085551e-97,9.240627378946895e-73,2.4606200749372725e-108,1.6208542361356546e-135
4.81546914630538e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583765721,0.66999999999997151,4.3386063866144973e-61,0.0,4.2198355662733832e-34,1.7178315177744937e-63,0.0,0.0,0.0,0.0,0.0,2.8553182421172696e-14,2.8553182421172696e-14,1.9426103563743511e-41,3.1799069951044302e-55,1.589953497431872e-55,7.6518103484710883e-81,1.8407768556134323e-31,9.7239466475849234e-95,1.415343598728881e-92,4.8619733237836956e-95,4.8619733239128748e-95,2.9574152520579745e-71,1.5749762928934977e-106,4.1500875754607372e-133
9.631199562707136e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583760009,0.66999999999994297,6.9422746385146063e-60,0.0,1.688002910029383e-33,6.8716056788550149e-63,0.0,0.0,0.0,0.0,0.0,5.7107914035666326e-14,5.7107914035666326e-14,1.5541866586806744e-40,5.0881962563843462e-54,2.5440981279996099e-54,4.89763111397578e-79,7.363407041775197e-31,1.2447862125628873e-92,4.5293534433490191e-91,6.2239310628032136e-93,6.2239310629685791e-93,9.4643920424544028e-70,1.0080422524165764e-104,1.062512120622328e-130
1.926266039551065e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583748585,0.66999999999988591,1.1108042956475928e-58,0.0,6.7521489985409768e-33,2.7486981940794211e-62,0.0,0.0,0.0,0.0,0.0,1.1421737726460099e-13,1.1421737726460099e-13,1.2433886775768185e-39,8.1413900714058665e-53,4.070695035394822e-53,3.1346351185589351e-77,2.9454227416400076e-30,1.5934038231796572e-90,1.4494337311416561e-89,7.9670191158839228e-91,7.9670191160955961e-91,3.0287115753683772e-68,6.451654179478199e-103,2.7201458514120222e-128
3.852558206111767e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583725742,0.66999999999977167,1.7773191508481872e-57,0.0,2.7008870624959021e-32,1.0994904622311736e-61,0.0,0.0,0.0,0.0,0.0,2.2843630372225992e-13,2.2843630372225992e-13,9.9472668255276648e-39,1.3026444967095365e-51,6.513222483054698e-52,2.0062148630294434e-75,1.1781810817477383e-29,2.0396064765820756e-88,4.6382529471787299e-88,1.0198032382891993e-88,1.0198032383162933e-88,9.6920468392421219e-67,4.1291174799937882e-101,6.9637203557037558e-126
7.705142539233172e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583680056,0.66999999999954318,2.8437364458323395e-56,0.0,1.0803603105589331e-31,4.397984218162001e-61,0.0,0.0,0.0,0.0,0.0,4.5687415663673615e-13,4.5687415663673604e-13,7.9578764228392121e-38,2.0842488631079113e-50,1.0421244314750783e-50,1.2839929964360489e-73,4.7127482972736626e-29,2.6107280235173385e-86,1.4842513443483082e-86,1.305364011756317e-86,1.3053640117909956e-86,3.1014821564887032e-65,2.642654004919272e-99,1.7827312241845668e-123
1.5410311205475983e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258358868,0.66999999999908633,4.549998899293613e-55,0.0,4.3214521567430476e-31,1.7591981610733703e-60,0.0,0.0,0.0,0.0,0.0,9.1374986246232202e-13,9.1374986246232202e-13,6.3663263232886143e-37,3.3348123156943546e-49,1.6674061577209751e-49,8.2176047265310812e-72,1.8851041129707216e-28,3.3417521796174352e-84,4.7496209439000442e-85,1.6708760898057102e-84,1.6708760898500935e-84,9.9247863695458878e-64,1.6913045848065248e-97,4.5638160147495322e-121
3.08206485379616e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583405931,0.66999999999817261,7.2800145229645454e-54,0.0,1.7285830002905041e-30,7.0368015915298058e-60,0.0,0.0,0.0,0.0,0.0,1.8275012741000299e-12,1.8275012741000283e-12,5.0930711325839548e-36,5.3357110127876257e-48,2.6678555061918973e-48,5.259282880671707e-70,7.5404260399684459e-28,4.2774557878799498e-82,1.5198813647298465e-83,2.1387278939361324e-82,2.1387278939929287e-82,3.175938593202665e-62,1.0824368611708521e-95,1.1683399820841736e-118
6.164132320293285e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583040429,0.66999999999634507,1.1648035672941565e-52,0.0,6.9143359138660819e-30,2.8147224257475662e-59,0.0,0.0,0.0,0.0,0.0,3.6550040973215852e-12,3.6550040973215795e-12,4.0744609355353473e-35,8.5371466662088312e-47,4.268573332781376e-47,3.3659461172644752e-68,3.0161723335674593e-27,5.4751517267752588e-80,4.8636246271767371e-82,2.7375758633827294e-80,2.7375758634553916e-80,1.0163014625706711e-60,6.92760207706592e-94,2.9909542992539383e-116
1.2328267253287532e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282582309431,0.66999999999269011,1.8636865134170129e-51,0.0,2.7657348580995976e-29,1.1258893278761614e-58,0.0,0.0,0.0,0.0,0.0,7.3100097435492555e-12,7.3100097435492313e-12,3.2595703600293059e-34,1.3659441901248215e-45,6.8297209501073249e-46,2.1542071383632281e-66,1.2064693169126276e-26,7.0081995328901008e-78,1.5563605621417174e-80,3.5040997664388268e-78,3.5040997665317386e-78,3.2521664603185276e-59,4.4336673016726848e-92,7.6568480546087113e-114
2.4656537119276026e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282580847428,0.66999999998538007,2.9818984607842811e-50,0.0,1.1062938097602865e-28,4.5035580246582641e-58,0.0,0.0,0.0,0.0,0.0,1.4620021035142836e-11,1.4620021035142736e-11,2.6076569323647875e-33,2.1855112826125741e-44,1.0927556412236277e-44,1.3786930876924839e-64,4.8258780343780741e-26,8.9704988057809787e-76,4.9803548881312758e-79,4.4852494028826453e-76,4.4852494030013281e-76,1.0406935519235226e-57,2.8375477034120541e-90,1.9601537475574016e-111
4.931307685125302e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282577923422,0.6699999999707601,4.7710356318133928e-49,0.0,4.4251731161620871e-28,1.8014233508934392e-57,0.0,0.0,0.0,0.0,0.0,2.9240043614882944e-11,2.9240043614882556e-11,2.0861258031496416e-32,3.496818513590695e-43,1.7484092566631758e-43,8.8236374183756149e-63,1.9303513669016899e-25,1.1482240642600545e-73,1.5937137378242797e-77,5.7411203212905447e-74,5.7411203214418304e-74,3.3302198203129429e-56,1.8160307308552801e-88,5.017994416845242e-109
