Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),H2OX(23),OCX(25),H2X(49),C2H4(47),CH3X(55),O(29),COX(50),CHOX(53),acetyl(44),C2H6X(52),C2H4X(215),CH4OX(63),C2H4X(70),C2H3X(214),C2H2X(254),C2HX(261),C2H3X(69),C2H2X(276),C2H3(46),C2H2(294),C2H2(314),C2H2X(315)
6.882615702794807e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999965,0.11866996602996195,0.022821567693054236,0.0,2.0277599896747764e-45,2.360408455316342e-30,5.043500207068787e-72,1.3701927844822898e-45,5.1781567876432505e-110,6.074454159607288e-17,2.5155288624842343e-89,6.074454159606038e-17,1.1523428618775264e-60,1.9894359001170226e-59,6.229366102780171e-93,7.222935784008382e-94,8.502201692344957e-32,1.08725243110366e-70,3.3174261763041573e-15,9.822309291757501e-17,3.9321997786622634e-19,7.159716054383938e-32,2.6511203220836754e-31,3.932199772398736e-19,3.091137036264288e-28,4.545567951689744e-34,5.5327248253426436e-39,1.645661738557672e-45,4.2970428587171034e-64,1.0643773815821627e-43,6.718823634338194e-61,2.385112751326718e-31,7.38479784809229e-25,1.0970499976815665e-86,5.4492750702863695e-90,3.621306283540834e-102,1.4932443826263716e-59,7.220505448428904e-75,2.0326791357946297e-73,1.1618339800145686e-84,5.901860800198841e-66,3.4823531219471875e-68,4.361959879873732e-80,3.7538592208774795e-86,3.176334635518275e-98,1.4628092492277265e-86,1.1510156169237973e-96,6.879503359847282e-109,1.2671083940588393e-110
1.3771211089084658e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999305,0.11866996602995857,0.022821567693054188,0.0,1.6234409596586708e-44,9.447785244816485e-30,3.3119862970843095e-70,1.0972655027912898e-44,1.3599971562885107e-107,1.2154185864097825e-16,1.6124267679383108e-87,1.2154185864092825e-16,1.8457512377517986e-59,3.186801758165348e-58,8.180775596412988e-91,9.485590637695343e-92,3.4030964146470427e-31,5.98972840365353e-69,6.637734564749215e-15,1.9653152301405081e-16,7.867815897032648e-19,2.865752258484239e-31,1.0611390300295186e-30,7.867815871962198e-19,1.2372585673988422e-27,3.639212139321115e-33,4.541911456221655e-38,1.3175300038135582e-44,1.4111358266078712e-62,8.521490940960053e-43,2.152674399565001e-59,9.546666778370736e-31,1.4776013382329944e-24,1.4407115736799323e-84,7.160638135875527e-88,9.515972719694539e-100,2.39178612437481e-58,4.626913051978837e-73,6.51239510148811e-72,1.2789471029140375e-82,3.783828574236695e-64,5.574348022384812e-67,1.3978307319128508e-78,4.132249214771092e-84,6.989823357782644e-96,1.6102608057762838e-84,2.5329182124786656e-94,3.0271077580907527e-106,5.575509540600635e-108
2.754840186166436e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999862,0.1186699660299518,0.02282156769305409,0.0,1.2992461694346195e-43,3.780344746218338e-29,2.223587890856455e-68,8.782571295062756e-44,3.651362945026621e-105,2.4313649273081546e-16,1.0327501042130773e-85,2.431364927306154e-16,2.9548050207205327e-58,5.10184814055722e-57,1.0982914531377512e-88,1.273466433346348e-89,1.3616818396955374e-30,3.5229141614912834e-67,1.3278351341633777e-14,3.9314838320699517e-16,1.5739048152614163e-18,1.1466741536033572e-30,4.245938312115502e-30,1.5739048052299563e-18,4.95063130348742e-27,2.9124659435271826e-32,3.814764911049669e-37,1.054424395589171e-43,4.738616124043112e-61,6.819782636886294e-42,6.892785407467237e-58,3.8199102141554716e-30,2.9558449558770313e-24,1.9341946082009804e-82,9.618696862188932e-86,2.5558616553457424e-97,3.828935072377918e-57,2.963071116620349e-71,2.085218779416421e-70,1.5035716286132001e-80,2.4237668279267207e-62,8.921007614878342e-66,4.492019071688272e-77,4.858006342750822e-82,1.6430140761508348e-93,1.8930748866581104e-82,5.953827538752628e-92,1.4228848795121441e-103,2.620755157550816e-105
5.510278340682375e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997257,0.11866996602993828,0.022821567693053893,0.0,1.0395943442413205e-42,1.5123840735758226e-28,1.5548944445362996e-66,7.0278363788630026e-43,1.0208632097600371e-102,4.863257609105957e-16,6.612152127957587e-84,4.86325760909795e-16,4.7289708299866107e-57,8.165329841814926e-56,1.5355523231906533e-86,1.7804694126734814e-87,5.447614032756978e-30,2.1552071498308217e-65,2.6559584895380694e-14,7.863821035928551e-16,3.1481512739140925e-18,4.587443033274605e-30,1.6986517992667874e-29,3.1481512337816047e-18,1.980563229325531e-26,2.3303995793135727e-31,3.3402119539951525e-36,8.436996696308929e-43,1.65779196484084e-59,5.456862319435943e-41,2.2063569871056606e-56,1.5282128167754203e-29,5.9123342343511256e-24,2.7042521408146542e-80,1.34577296884237e-83,7.148692182704778e-95,6.127958407358574e-56,1.8969473506950817e-69,6.674704355994733e-69,1.8390619298885127e-78,1.5518760826590802e-60,1.4275315356393494e-64,1.4625876436093612e-75,5.941968884181628e-80,4.0185678567579266e-91,2.31547496965478e-80,1.4562175914390232e-89,6.959750282678792e-101,1.2818887834581403e-102
1.1021154649714256e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999452,0.11866996602991123,0.0228215676930535,0.0,8.317544566371443e-42,6.050028762484802e-28,1.1634422575865064e-64,5.6229809258721784e-42,3.0532727716956874e-100,9.727042972705792e-16,4.232594011799192e-82,9.72704297267376e-16,7.567379708813779e-56,1.3066425599799045e-54,2.296858919193572e-84,2.663202667794558e-85,2.179222960533081e-29,1.3474796371789058e-63,5.3122052002785697e-14,1.5728495443644593e-15,6.296644221365554e-18,1.835126357388947e-29,6.795160158413973e-29,6.296644060821606e-18,7.922804422308461e-26,1.864471591902687e-30,3.132970705807606e-35,6.75023742876119e-42,6.208063405961255e-58,4.365904439609319e-40,7.061337428684858e-55,6.113348725738784e-29,1.1825320964043406e-23,4.044984668157971e-78,2.0150063982952894e-81,2.1392044031077826e-92,9.806063472132103e-55,1.2142205552634425e-67,2.1362260062181695e-67,2.2992270143536974e-76,9.933978800878208e-59,2.2843508772098842e-63,5.0529171042471395e-74,7.428754392766848e-78,1.0047272124551124e-88,2.894847691023957e-78,3.6408529052876727e-87,3.480015071062877e-98,6.409701805300086e-100
2.2042907267778014e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989047,0.11866996602985712,0.022821567693052713,0.0,6.654351744239646e-41,2.4201100684878038e-27,9.599068527120008e-63,4.498669485199333e-41,1.0067065922068031e-97,1.945461369992238e-15,2.709121522953681e-80,1.945461369979424e-15,1.2108628688219858e-54,2.0907797089207506e-53,3.7877119406000136e-82,4.39184332360893e-83,8.717246549669707e-29,8.521752737103357e-62,1.062469862172404e-13,3.145784425907205e-15,1.2593630236857805e-17,7.340802525722739e-29,2.718174638073157e-28,1.259362959464843e-17,3.169176111250298e-25,1.491607937443307e-29,3.2433776092110764e-34,5.400445010370247e-41,2.5642345438486404e-56,3.492889483460992e-39,2.2597422903342638e-53,2.445438954351075e-28,2.3651327114404315e-23,6.670517016743936e-76,3.327188881579319e-79,7.057857289615489e-90,1.5690765640045244e-53,7.771415967541837e-66,6.836435438943621e-66,2.907891121535681e-74,6.358175710416964e-57,3.6575722166037282e-62,2.228400842536362e-72,9.395340912104744e-76,2.5412923166680655e-86,3.6611899752405375e-76,9.208938957317511e-85,1.760384438671859e-95,3.2423824716107094e-97
4.408641250390553e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679978106,0.11866996602974891,0.02282156769305114,0.0,5.323608074094395e-40,9.680637935215282e-27,8.898680237420163e-61,3.5990494862496774e-40,3.7292621920451274e-95,3.890975515442325e-15,1.7339214105646289e-78,3.890975515391069e-15,1.9374462818950678e-53,3.345368100911786e-52,7.017980949704107e-80,8.137332787002173e-81,3.486969562676223e-28,5.421028377584942e-60,2.1249685464472857e-13,6.291654188990847e-15,2.5187602750238807e-17,2.936379468485506e-28,1.0872919533647083e-27,2.518760018128938e-17,1.267636546253383e-24,1.1932504420252393e-28,3.7737108274439285e-33,4.3204564779537514e-40,1.1901727768897499e-54,2.79437810410827e-38,7.231070815129918e-52,9.781954499340184e-28,4.7303470179031537e-23,1.2359324238035431e-73,6.173110647903749e-77,2.616314948915021e-87,2.5106076298318162e-52,4.973639500316233e-64,2.1877407834843668e-64,3.6994740772815146e-72,4.0691115495461904e-55,5.885405684801582e-61,1.8406132468188692e-70,1.1952944432878107e-73,6.466016124425383e-84,4.657840654676624e-74,2.3431050450396403e-82,8.958071869273252e-93,1.6499519886769054e-94
8.817342297616059e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679956223,0.1186699660295325,0.022821567693047995,0.0,4.258937513625071e-39,3.8722951312402784e-26,9.22123321576881e-59,2.8792851438325916e-39,1.5444497552822365e-92,7.782003806369575e-15,1.1097364637123497e-76,7.782003806164547e-15,3.0999665961480866e-52,5.352683084923445e-51,1.4536407268314382e-77,1.6854930591745563e-78,1.394802013788791e-27,3.4586597564540706e-58,4.249965914940202e-13,1.2583393715150738e-14,5.0375549706900054e-17,1.174562709460534e-27,4.349211872524556e-27,5.037553943052062e-17,5.070120306664741e-24,9.545089237343038e-28,4.9050475576589225e-32,3.456402874736597e-39,6.173653523020041e-53,2.235529319116801e-37,2.3137420141228767e-50,3.912821336703048e-27,9.460827936390761e-23,2.559997833852282e-71,1.2801196238652774e-74,1.0841575517206246e-84,4.017040303275982e-51,3.1828569101104844e-62,7.000897518854677e-63,4.7204669941084315e-70,2.603862162379348e-53,9.845347096648488e-60,2.9148224086582717e-68,1.5251792848404047e-71,1.6500902542981017e-81,5.943340815678707e-72,5.97946991682456e-80,4.572069675969442e-90,8.42111677889766e-92
1.7634744392067067e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991245,0.11866996602909967,0.022821567693041705,0.0,3.4071710442826595e-38,1.5489263834982055e-25,1.0413524386325321e-56,2.3034463289807298e-38,6.97239159021316e-90,1.5564060388332375e-14,7.102398961993427e-75,1.5564060387512262e-14,4.9599885607245627e-51,8.56436077358848e-50,3.2818741516535905e-75,3.8053253775327765e-76,5.579236432960779e-27,2.209738644939255e-56,8.499960651698639e-13,2.5166872767440933e-14,1.0075145134232153e-16,4.6982665246643186e-27,1.7396934507831852e-26,1.0075141023278163e-16,2.027676569251407e-23,7.63447298278996e-27,6.940805186296481e-31,2.7651333832002143e-38,3.4887475458770685e-51,1.7884345552517512e-36,7.402476649799538e-49,1.5651362822904827e-26,1.8921998995614615e-22,5.779687918856526e-69,2.8924402428827297e-72,4.8963865665391103e-82,6.427318937820161e-50,2.0366200551067985e-60,2.2403054161339205e-61,6.0317196868211194e-68,1.6659307076608675e-51,2.124884324016334e-58,6.167982791991918e-66,1.9488531892524453e-69,4.2169019654002975e-79,7.594319817042276e-70,1.5280885124079878e-77,2.336830876076985e-87,4.304119317310083e-89
3.526954858096909e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679824917,0.118669966028234,0.02282156769302912,0.0,2.7257462272122804e-37,6.195724910650973e-25,1.2436328050059307e-54,1.8427643357262097e-37,3.3294938865598748e-87,3.112817355269119e-14,4.5455626722450884e-73,3.112817354941072e-14,7.936015208164977e-50,1.3703007630420863e-48,7.836840670908399e-73,9.086797855029033e-74,2.2317002489522342e-26,1.4125703721619028e-54,1.6999950124305931e-12,5.0333830871902983e-14,2.0150328552161255e-16,1.8793048213354893e-26,6.958790326085789e-26,2.015031210525074e-16,8.10767355597869e-23,6.104967944550145e-26,1.0376449476921957e-29,2.2121047501459075e-37,2.0842266546692588e-49,1.4307526687390494e-35,2.3678002162408093e-47,6.260559345859973e-26,3.784517800305682e-22,1.380140760261511e-66,6.910222801622563e-70,2.338717968465739e-79,1.0283753784873314e-48,1.3028952616930026e-58,7.168992951228862e-60,7.711419798331572e-66,1.0654816027550512e-49,1.0433543586965952e-56,1.4449541199673382e-63,2.4915889856067683e-67,1.0782509154648331e-76,9.709261608965651e-68,3.9072831302312597e-75,1.1950410833222532e-84,2.2011021405541205e-86
7.053915695877312e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679649846,0.11866996602650268,0.022821567693003954,0.0,2.1806023039190348e-36,2.478296008619951e-24,1.5337803476583844e-52,1.4742143567199366e-36,1.6421856147969916e-84,6.225639988314163e-14,2.9091687891333e-71,6.225639987001975e-14,1.2697650839035431e-48,2.192476011481766e-47,1.9327871593056226e-70,2.2410617962778035e-71,8.926812348910763e-26,9.029439284619752e-53,3.3999929065882213e-12,1.0066774708035375e-13,4.0300707767385597e-16,7.517176301500049e-26,2.783518730522804e-25,4.030064195528497e-16,3.2406334368516416e-22,4.879780357026116e-25,1.6009607219690414e-28,1.7696727939907205e-36,1.2855887864262392e-47,1.1446050789592453e-34,7.570561857391711e-46,2.50422555884332e-25,7.569488357391876e-22,3.403816942409911e-64,1.7046858561594898e-67,1.1536637897280719e-76,1.6454040594097468e-47,8.331543604887673e-57,2.2940715929219352e-58,9.858412074961899e-64,6.809884846483056e-48,1.0660315862679328e-54,3.5344166580237875e-61,3.1853502170582317e-65,2.756961372226904e-74,1.2412723276445657e-65,9.99046744713865e-73,6.11115228531532e-82,1.1255923876898858e-83
1.410783737143812e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276792997,0.11866996602304002,0.02282156769295362,0.0,1.744486476617614e-35,9.91321343280695e-24,1.9237289802226182e-50,1.1793726072195062e-35,8.237940556433951e-82,1.2451285255097386e-13,1.8618707141863402e-69,1.2451285249848626e-13,2.0316261578001183e-47,3.507933000816667e-46,4.848029134353262e-68,5.621276184196717e-69,3.5707272114285825e-25,5.768050245007612e-51,6.799988693448151e-12,2.0133557949536186e-13,8.060151584307651e-16,3.0068303991197146e-25,1.1134074486229908e-24,8.060125239977e-16,1.2943062154908594e-21,3.89711943323491e-24,2.5110433443017262e-27,1.4157174754113657e-35,8.06328570510229e-46,9.156867318415712e-34,2.4184844083690555e-44,1.0016897693639506e-24,1.5140768493954894e-21,8.537819776449048e-62,4.276317892525188e-65,5.787663984588727e-74,2.632649178357606e-46,5.323244912612779e-55,7.340963892237023e-57,1.2594793180643332e-61,4.3465636366131805e-46,1.318013053787844e-52,8.823291915644621e-59,4.069654964192536e-63,7.04469479615114e-72,1.5858702226015976e-63,2.5528040047406785e-70,3.1230860389046035e-79,5.752324159356046e-81
2.821568072255973e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678599403,0.11866996601611471,0.02282156769285295,0.0,1.3955950418726875e-34,3.965305032659752e-23,2.4311121437978334e-48,9.434984810524276e-35,4.164091807992914e-79,2.4902575791436355e-13,1.191598004823641e-67,2.490257577044132e-13,3.2506031611632854e-46,5.612591670620662e-45,1.2253026469805613e-65,1.4207343412607046e-66,1.4282913399384666e-24,3.678842221196336e-49,1.359998026134671e-11,4.026712443178045e-13,1.6120333159331498e-15,1.2026989167345603e-24,4.45362519849624e-24,1.6120227626688971e-15,5.161708009717466e-21,3.107009679066667e-23,3.9674764504244414e-26,1.1325395058758338e-34,5.095296046572349e-44,7.325528273641461e-33,7.713035638161497e-43,4.006751622943885e-24,3.0288684856640373e-21,2.1578652928683054e-59,1.0807970573756324e-62,2.925592038451829e-71,4.2122405767675525e-45,3.3954713026560128e-53,2.349062582074803e-55,1.6064817041227536e-59,2.766820110755836e-44,1.6708885895914706e-50,2.2212686232397134e-56,5.191286409107784e-61,1.797265635471823e-69,2.0229510902750908e-61,6.512802151093961e-68,1.5935399917518807e-76,2.935114806265448e-78
