Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99)
0.0,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3994019416676306e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,9.7261350714128294e-165,4.0468789343611481e-46,3.0475730150681538e-103,8.8799398111526989e-124,1.7557504775404711e-180,2.0534377157989601e-37,3.2603795722912688e-52,0.0,0.5,3.1912083455291504e-19,2.2110709545077879e-18,9.6371131861238659e-20,3.1961289799706267e-35,4.4570449820803155e-21,4.4570449820803155e-21,1.7965071378021464e-51
6.718325436669366e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,1.4505765145133397e-162,6.1156434447198126e-45,2.5247578956689456e-92,1.3241856561668588e-112,2.6185636837800638e-178,1.2402763803425703e-36,3.8707226282241898e-51,0.0,0.5,8.9353833674581882e-19,6.1909986726217915e-18,2.6983916921133779e-19,1.9304619039022548e-34,1.2479725949824882e-20,1.2479725949824884e-20,2.7148815862529546e-50
1.5356172426672837e-24,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,6.9796941559694654e-160,6.5789301449969875e-44,4.8691759693017419e-91,5.2399918398059301e-111,2.9363030011845587e-175,5.9713968775433479e-36,3.8002984294626875e-50,0.0,0.5,2.0423733411222526e-18,1.415085410884975e-17,6.1677524391101428e-19,9.2943430737545265e-34,2.8525087885314012e-20,2.8525087885314018e-20,2.9205457233315052e-49
3.263186640667978e-24,0.004023131612903226,0.0,0.0,0.010942917987096769,0.5,2.2357448785469151e-157,6.0471702530988381e-43,8.3353081172601907e-90,1.8010817175467543e-109,1.9559423273963325e-172,2.6078658990646495e-35,3.3613209238493701e-49,0.0,0.5,4.3400433498376253e-18,3.0070564981305467e-17,1.3106473933082798e-18,4.0590838045626379e-33,6.0615811756292243e-20,6.0615811756292267e-20,2.684484685458444e-48
6.718325436669367e-24,0.004023131612903226,0.0,0.0,0.010942917987096762,0.5,6.3394613542395333e-155,5.1734814663368234e-42,1.3760293171388766e-88,5.953709790615261e-108,1.1301259489675026e-169,1.0887326769165805e-34,2.8253927712743872e-48,0.0,0.49999999999999994,8.9353833671183918e-18,6.1909986726216082e-17,2.6983916920944599e-18,1.6945875851803746e-32,1.2479725949824857e-19,1.2479725949824867e-19,2.2966331665240307e-47
1.3628603028672145e-23,0.004023131612903226,0.0,0.0,0.01094291798709675,0.5,1.7050677690202616e-152,4.2775345216894675e-41,2.2354327985951435e-87,1.9354416682621017e-106,6.1364485706181295e-167,4.4478282299289383e-34,2.316427696931869e-47,0.0,0.49999999999999989,1.8126063401080004e-17,1.2558883021603409e-16,5.4738802896334225e-18,6.9229432157751434e-32,2.5316015498216073e-19,2.5316015498216112e-19,1.8989007146128926e-46
2.74491582126777e-23,0.004023131612903226,0.0,0.0,0.010942917987096725,0.5,4.4724295574722044e-150,3.4784200335422835e-40,3.6037151488953833e-86,6.2417919355108943e-105,3.2343810198920277e-164,1.7978832851921484e-33,1.8759032064190316e-46,0.0,0.49999999999999972,3.6507423466603559e-17,2.5294651719565715e-16,1.1024857484577747e-17,2.7983643361549658e-31,5.0988594594998307e-19,5.098859459499848e-19,1.5441545249782032e-45
5.50902685806888e-23,0.004023131612903226,0.0,0.0,0.010942917987096677,0.5,1.1588523891277086e-147,2.8054717714713527e-39,5.787598999196265e-85,2.0051260017994313e-103,1.6800733840309895e-161,7.2292096159772495e-33,1.5098901004164272e-45,0.0,0.49999999999999944,7.3270143588052e-17,5.0766189115485174e-16,2.2126811873932005e-17,1.1252099919142904e-30,1.0233375278856201e-18,1.0233375278856273e-18,1.2454165652342211e-44
1.10372489316711e-22,0.004023131612903226,0.0,0.0,0.01094291798709658,0.5,2.9846367528063651e-145,2.2535074949455596e-38,9.2777250798645335e-84,6.4289715870075515e-102,8.6642783507885779e-159,2.8992363903089506e-32,1.211591716026823e-44,0.0,0.49999999999999883,1.4679558379255421e-16,1.017092639073034e-15,4.4330720650502946e-17,4.5125953300443275e-30,2.0502406917568642e-18,2.0502406917568931e-18,1.0003863138543681e-43
