Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H7X(141),C4H6(54),C2H2X(348),C2H6(343),C2H2(37),C4H5X(380),C4H5X(379),C4H7X(140),C6H9X(429),C6H8(498),C6H9X(428),C6H8(56)
3.0072188092873384e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771073,0.66999999999999826,4.3632881239327528e-64,0.0,1.6463617437124784e-36,6.3796898678052211e-63,4.6180647737804662e-88,0.0,0.0,6.9023669249887555e-111,0.0,1.7831215325689991e-15,1.7831215325689991e-15,1.6463617433764147e-36,3.3606901603035746e-46,4.7541637741765902e-35,2.1042703244019485e-68,7.9259687549583028e-40,3.4379062754863991e-61,1.7189531377431975e-61,2.6710586037404268e-52,4.6058847704168031e-82,7.1201665354961525e-93,4.6058847704879687e-82,3.9267176261511237e-95
6.017050319538436e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770717,0.66999999999999649,6.9893854772408276e-63,0.0,6.5897375173795461e-36,2.5535385422839919e-62,1.4800978415215028e-86,0.0,0.0,4.4252894390413768e-109,0.0,3.5677922584763908e-15,3.5677922584763908e-15,6.5897375146889915e-36,2.6905955818262044e-45,1.9029044805070005e-34,3.3707506886374173e-67,3.1724530690533587e-39,5.5051293264269659e-60,2.7525646632134796e-60,2.1384710005660231e-51,1.4757027765556141e-80,4.5626232088513357e-91,1.475702776601217e-80,2.5162855142071687e-93
1.2036713340040632e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770001,0.66999999999999293,1.1189520604001397e-61,0.0,2.6367533600126559e-35,1.0217480307113786e-61,4.7400235469062331e-85,0.0,0.0,2.8346755849183178e-107,0.0,7.1371337102909715e-15,7.1371337102909715e-15,2.6367533578593943e-35,2.1532941958067572e-44,7.6140965698966427e-34,5.3963376922307385e-66,1.2693944587697832e-38,8.8117921363671921e-59,4.4058960681835907e-59,1.7114267247937804e-50,4.7251624657207917e-79,2.921909563965676e-89,4.7251624660128336e-79,1.6114431124737009e-91
2.407603938104502e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583768575,0.66999999999998583,1.7908437732935994e-60,0.0,1.0548730390726688e-34,4.0876574452049266e-61,1.5174014528161991e-83,0.0,0.0,1.814989678934134e-105,0.0,1.4275816613919305e-14,1.4275816613919305e-14,1.0548730373497322e-34,1.7229625177035825e-43,3.0461344281517553e-33,8.6366504020761022e-65,5.0784044151102251e-38,1.4101736296842928e-57,7.0508681484214554e-58,1.3694014043480869e-49,1.5125183324593602e-77,1.8706081697179254e-87,1.5125183326463256e-77,1.0316502404000366e-89
4.81546914630538e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583765721,0.66999999999997151,2.8657664833986576e-59,0.0,4.2198355708809114e-34,1.6351960520289968e-60,4.8566351091820254e-82,0.0,0.0,1.1618485940671331e-103,0.0,2.8553182421172696e-14,2.8553182421172696e-14,4.2198355570961099e-34,1.3785008909907133e-42,1.218552938361082e-32,1.3820649047853028e-63,2.0315270938235547e-37,2.2565073438972987e-56,1.128253671948648e-56,1.0956251431426854e-48,4.8408049446271417e-76,1.1973767984066554e-85,4.8408049458239069e-76,6.6036070083496644e-88
9.631199562707136e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583760009,0.66999999999994297,4.5855595467501028e-58,0.0,1.6880029137155807e-33,6.5410503654752499e-60,1.5542753210243208e-80,0.0,0.0,7.4366477263696344e-102,0.0,5.7107914035666326e-14,5.7107914035666326e-14,1.6880029026872167e-33,1.1028530637976723e-41,4.8744100947054342e-32,2.2114645331763312e-62,8.1264390426249921e-37,3.6105953828084229e-55,1.8052976914042093e-55,8.7654172259754593e-48,1.5491769944017907e-74,7.6638117716011811e-84,1.5491769951677807e-74,4.2266430587207393e-86
1.926266039551065e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583748585,0.66999999999988591,7.3371617895638093e-57,0.0,6.7521490280312578e-33,2.6164733786005279e-59,4.9739243565673442e-79,0.0,0.0,4.7597158930326612e-100,0.0,1.1421737726460099e-13,1.1421737726460099e-13,6.7521489398022523e-33,8.8230338796385495e-41,1.9498037068392978e-31,3.5384718067585364e-61,3.2506417516922127e-36,5.7770994975538642e-54,2.8885497487769286e-54,7.0125001854840448e-47,4.9575574261025633e-73,4.9050316030087939e-82,4.9575574310050916e-73,2.7051586143359505e-84
3.852558206111767e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583725742,0.66999999999977167,1.1739671968117736e-55,0.0,2.7008870860884066e-32,1.0465999980097971e-58,1.5916947143257791e-77,0.0,0.0,3.0463017801502827e-98,0.0,2.2843630372225992e-13,2.2843630372225992e-13,2.7008870155043664e-32,7.0585107879632111e-40,7.7992941659672859e-31,5.6616577358506028e-60,1.3002699277220361e-35,9.2434766241253787e-53,4.6217383120626838e-53,5.610066659838198e-46,1.5864489286375154e-71,3.1392816591716164e-80,1.5864489317751948e-71,1.73133575693139e-82
7.705142539233172e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583680056,0.66999999999954318,1.8783645278231938e-54,0.0,1.0803603294330486e-31,4.1864212852150055e-58,5.0934852727994874e-76,0.0,0.0,1.9496598619622388e-96,0.0,4.5687415663673615e-13,4.5687415663673615e-13,1.0803602729654827e-31,5.6468420009848677e-39,3.1197335341712753e-30,9.0587346542018558e-59,5.2011061650879702e-35,1.4789656279876355e-51,7.3948281399381688e-52,4.4880798505176071e-45,5.0766853569108791e-70,2.0091598818910722e-78,5.0766853769922219e-70,1.10806582307222e-80
1.5410311205475983e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258358868,0.66999999999908633,3.0053967408927657e-53,0.0,4.3214523077364174e-31,1.6745727726841446e-57,1.629925182100266e-74,0.0,0.0,1.2477908213704428e-94,0.0,9.1374986246232202e-13,9.1374986246232202e-13,4.3214518559945714e-31,4.51748678378181e-38,1.2478965872258213e-29,1.4494041268433803e-57,2.0804477568803559e-34,2.366352415507432e-50,1.1831762077537148e-50,3.5904743581306698e-44,1.6245470565739363e-68,1.2858685531251792e-76,1.6245470694260595e-68,7.0916560219303595e-79
3.08206485379616e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583405931,0.66999999999817261,4.808645217649181e-52,0.0,1.7285831210853748e-30,6.6982996075703678e-57,5.2157760613511411e-73,0.0,0.0,7.9858879554210146e-93,0.0,1.8275012741000291e-12,1.8275012741000291e-12,1.7285827596913983e-30,3.6139944357575465e-37,4.9915926959719907e-29,2.3190518686681527e-56,8.3218016091709801e-34,3.7861695252321866e-49,1.893084762616091e-49,2.8723834673938485e-43,5.1985625635672466e-67,8.2295780354141191e-75,5.1985626458210257e-67,4.5386706559735422e-77
6.164132320293285e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583040429,0.66999999999634507,7.6938395263221784e-51,0.0,6.9143368802257034e-30,2.6793215460982729e-56,1.6690505902280312e-71,0.0,0.0,5.1109761533999501e-91,0.0,3.6550040973215827e-12,3.6550040973215819e-12,6.9143339890723086e-30,2.8911971289417361e-36,1.9966383477608598e-28,3.7104872023483132e-55,3.3287227599574347e-33,6.0578749105584725e-48,3.0289374552792326e-48,2.2979080299452453e-42,1.663541678166828e-65,5.2669353024428952e-73,1.6635417308093e-65,2.9047522675379523e-75
1.2328267253287532e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282582309431,0.66999999999269011,1.2310145247935515e-49,0.0,2.7657356311874786e-29,1.0717289588153655e-55,5.3409640433553803e-70,0.0,0.0,3.2710263814791637e-89,0.0,7.3100097435492442e-12,7.3100097435492426e-12,2.7657333182648081e-29,2.3129576582341851e-35,7.9865559294491989e-28,5.9367828934192944e-54,1.3314895272072639e-32,9.6926000469541467e-47,4.8463000234770685e-47,1.8383263882457306e-41,5.3233343626099107e-64,3.3708392657968426e-71,5.3233346995218001e-64,1.8590419030885147e-73
