Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),CH4OX(63),C2H6X(52),CHO2X(213),OH(D)X(68),HOCO(73),S(216),CHO2(74)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.255787892642773e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-2.2640115677665322e-119,6.229704167734924e-54,3.933252852244161e-36,5.939740643868567e-88,2.739740487576494e-54,2.675151499154931e-131,6.40380821026975e-20,-1.5204423438561932e-105,6.403808210269749e-20,4.551216153637501e-72,4.573727705080599e-71,1.5335843974758276e-111,1.7781876104243454e-112,1.4167594155801428e-37,2.4587897697613842e-85,3.497295465007052e-18,1.0354870286886379e-19,4.145401799993458e-22,1.1930551212933742e-37,4.417678874875279e-37,4.1454017999026407e-22,4.53775490912213e-33,1.083813700536417e-40,1.132678814845306e-44,1.8935338466282666e-75,5.0558182510834456e-54,3.2699906602306365e-52,3.974418713558856e-37,5.722570447996919e-77,2.7007864579735375e-105,-1.8055429702781535e-107,7.785197223024305e-28,-2.8305047060662656e-123,1.275343706628763e-93,-8.057999285944108e-107,5.479708964777403e-102,9.537585470838636e-88,5.8976179574809325e-71,-5.341028506161832e-123,8.267191733465755e-55,-3.9943065202355964e-137,-2.8524487371459568e-211,-5.2820878461464765e-146
2.0316206099399765e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,4.101610297438532e-117,7.395904787959092e-53,2.3756847293612174e-35,6.563611647762428e-86,4.140295826936503e-53,9.652770913040766e-129,1.7930662988755308e-19,2.9352366016327114e-104,1.7930662988755298e-19,1.2835157754153667e-70,1.4380531688401667e-69,3.065727339453021e-109,3.5547038564814376e-110,8.5572268701041e-37,1.2728215563883232e-83,9.792427302019744e-18,2.899363680328186e-19,1.160712504012895e-21,7.206052932570992e-37,2.6682780404215386e-36,1.1607125039580408e-21,2.740803901866187e-32,1.2867035973934155e-39,1.3447231989253833e-43,1.1519348655195275e-73,6.002267427630863e-53,3.8821329217110756e-51,2.400548902985005e-36,3.481318790859265e-75,5.399034377137078e-103,1.8272657276584636e-105,2.1798552229058346e-27,5.226402599425148e-121,1.4092902716701932e-91,8.154946280383451e-105,5.160741974072956e-100,5.49316090201244e-86,1.6632226267148493e-69,1.7194850787859087e-120,9.814810025954555e-54,2.3106666986596027e-134,5.307644244126787e-208,1.717264217384355e-143
4.6437042512913753e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.731483197515304e-114,7.261343177986804e-52,1.1437899393412164e-34,5.938326697282862e-84,4.45394131825998e-52,3.4950758392064456e-126,4.098437254572641e-19,3.0992998700867117e-102,4.098437254572637e-19,2.791927166578697e-69,3.208217512347096e-68,5.5502468612257e-107,6.435498574222972e-108,4.119936380507108e-36,5.558351700511824e-82,2.2382690976045108e-17,6.627116983607283e-19,2.6530571520989003e-21,3.4694042926596445e-36,1.2846610168090357e-35,2.6530571518348e-21,1.3195790327073503e-31,1.2632931629066534e-38,1.3202718473999239e-42,5.20044142415954e-72,5.893061753291108e-52,3.811501144209144e-50,1.1557609618960987e-35,1.571633640278963e-73,9.774507086660263e-101,3.8266167868599705e-103,4.982526225948761e-27,2.1785365425183e-118,1.2750198105971837e-89,1.7077896148941123e-102,4.5110915138970847e-98,2.463363910664998e-84,3.6178725065464977e-68,8.979546432815717e-118,9.636238684478109e-53,2.4198490395748626e-131,4.6839577019516003e-203,1.456176234582083e-140
9.867871533994172e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,5.569435070532212e-112,6.422575808925448e-51,4.995231224739091e-34,4.494313042090827e-82,4.0939394180090765e-51,1.0597889692342517e-123,8.709179165966862e-19,2.4497382456432425e-100,8.709179165966845e-19,5.175762436648605e-68,6.008636340114456e-67,8.410301635512391e-105,9.751725560560428e-106,1.7992844577868357e-35,2.0697661372819658e-80,4.756321832409575e-17,1.4082623590165477e-18,5.637746448506535e-21,1.5151800039790453e-35,5.610452171043083e-35,5.63774644735314e-21,5.7629477543097544e-31,1.117368391183992e-37,1.1677915346629128e-41,1.9636308263153737e-70,5.212346383776291e-51,3.37122963542443e-49,5.047511766149305e-35,5.934189036855647e-72,1.4811332719451002e-98,6.149722986330159e-101,1.058786823937909e-26,7.012311580135681e-116,9.649541267127034e-88,2.7445740287537506e-100,3.3662714542869646e-96,9.267790699931454e-83,6.706925898398969e-67,3.1681110069045616e-115,8.523143989429747e-52,1.7083033169835321e-128,1.365262602495748e-198,9.372878863409561e-138
2.0316206099399766e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.5932271188061428e-109,5.398561956778058e-50,2.0854107544099422e-33,3.122444602256313e-80,3.502451364343211e-50,2.947811769677756e-121,1.793066298875531e-18,1.7362877125676057e-98,1.7930662988755233e-18,8.89581321558191e-67,1.0378425034552221e-65,1.1693173108888696e-102,1.3558207544916516e-103,7.511658421406406e-35,7.13431919865903e-79,9.792427302019671e-17,2.899363680328186e-18,1.1607125042264307e-20,6.325578252525603e-35,2.3422533394152044e-34,1.1607125037449105e-20,2.4059167705688988e-30,9.392152825346922e-37,9.816429513714588e-41,6.813046727404108e-69,4.381291202642481e-50,2.83372170306011e-48,2.107236801865507e-34,2.0588454662389043e-70,2.0592778352706557e-96,8.792726500246317e-99,2.1798552295617645e-26,2.0068300220925932e-113,6.703769731608769e-86,3.924126151908184e-98,2.3232179407181302e-94,3.209141675020516e-81,1.1527491992379738e-65,9.453019212096423e-113,7.16421608096481e-51,1.0197123529792095e-125,2.948857376425781e-194,5.365376023184109e-135
4.1212875230210956e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,4.308531255104954e-107,4.426067259793254e-49,8.51958378827873e-33,2.0812774617118492e-78,2.8958945188067656e-49,7.863141099500842e-119,3.637363063433219e-18,1.168442033771094e-96,3.63736306343319e-18,1.4744158016740056e-65,1.7243908415170023e-64,1.559307239198343e-100,1.8080131866969588e-101,3.0687575645236263e-34,2.3700507078836117e-77,1.9864638241239738e-16,5.88156632295146e-18,2.354588223354985e-20,2.584205114442115e-34,9.568869149765116e-34,2.3545882213878175e-20,9.828951173660824e-30,7.70025143762186e-36,8.048820309376511e-40,2.2692283200139214e-67,3.5920472338152876e-49,2.323256361183184e-47,8.608749909780244e-34,6.856812463999728e-69,2.7460868030160446e-94,1.1886582736833415e-96,4.4219920525606353e-26,5.428183691778529e-111,4.4680324923182155e-84,5.304890375615721e-96,1.5444318418550257e-92,1.0677016488339452e-79,1.9105972591101824e-64,2.6084302245696624e-110,5.873657186712851e-50,5.628280553723547e-123,5.531788284353835e-190,2.9041445944304684e-132
8.300621349183333e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,1.1335749447088074e-104,3.5843440209307844e-48,3.4437523100567346e-32,1.3593907654276513e-76,2.354893328893333e-48,2.0548122895158906e-116,7.325956592548597e-18,7.666575562753943e-95,7.325956592548479e-18,2.400703915669463e-64,2.8111922847273755e-63,2.0372478576080778e-98,2.3621842434144704e-99,1.2404408727927034e-33,7.738303253545999e-76,4.0009060119679355e-16,1.1845971608198001e-17,4.742339663120095e-20,1.0445770249398878e-33,3.8678899032351655e-33,4.7423396551684874e-20,3.9730160907507984e-29,6.235858561904117e-35,6.519306805677676e-39,7.408440323367212e-66,2.9089329791242925e-48,1.881433402214909e-46,3.479794355377482e-33,2.2381761316767006e-67,3.587785213399937e-92,1.5635188260936588e-94,8.906265745563011e-26,1.4283071774903793e-108,2.9177941974473344e-82,6.977864168865736e-94,1.0087989526825827e-90,3.4833822694778695e-78,3.110912346443779e-63,6.930824063788894e-108,4.756639874377135e-49,2.9911747173511116e-120,9.691763677591769e-186,1.5302978164604157e-129
1.6659289001507807e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.1186699660299645,0.022821567693054275,2.9425518754812392e-102,2.884991899582907e-47,1.384717920198142e-31,8.79108373418709e-75,1.8993067816199167e-47,5.315949338127231e-114,1.4703143650779354e-17,4.967826869730579e-93,1.4703143650778873e-17,3.874745798783637e-63,4.540083046578969e-62,2.6351521211815057e-96,3.055452872974261e-97,4.987758192929276e-33,2.5088793621121274e-74,8.029790387655656e-16,2.3774782178691056e-17,9.517842548682344e-20,4.20019827348765e-33,1.5552615183686535e-32,9.517842516709252e-20,1.5975297829750368e-28,5.019153920490663e-34,5.249178164668888e-38,2.3951209091463827e-64,2.3413623315470737e-47,1.5143415510409223e-45,1.399210005425106e-32,7.233387783012213e-66,4.6407508929705365e-90,2.029198573970587e-92,1.7874813319586312e-25,3.7078155638013357e-106,1.886256702719714e-80,9.056157047343946e-92,6.54210311496214e-89,1.1254813356769868e-76,5.021025069407174e-62,1.8079071253076536e-105,3.828557588781838e-48,1.5605521873617286e-117,1.6419557277249168e-181,7.966310979623855e-127
3.3376624306156757e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996369,0.022821567693054264,7.589327200887986e-100,2.3150243100238495e-46,5.553340295679474e-31,5.658549804137056e-73,1.525626495727521e-46,1.3687609452408402e-111,2.945751776724088e-17,3.199141437361266e-91,2.9457517767238957e-17,6.226612478235998e-62,7.298050891659997e-61,3.392457744902857e-94,3.933547015838742e-95,2.000314118303334e-32,8.130323264539714e-73,1.6087559139030279e-15,4.763240331967707e-17,1.9068848343935082e-19,1.684467364821159e-32,6.237294295376056e-32,1.9068848215708488e-19,6.406788784671853e-28,4.027542797019036e-33,4.215140623653521e-37,7.707759023353196e-63,1.8787958148071802e-46,1.2151641548059476e-44,5.611457932276577e-32,2.3261422116624286e-64,5.974437368916916e-88,2.616753767234479e-90,3.58119092197071e-25,9.563297849871743e-104,1.2132764227024927e-78,1.1678370674854841e-89,4.240131645954791e-87,3.618916176267019e-75,8.068652493459799e-61,4.674158185416662e-103,3.0721763501668557e-47,8.0694335639917185e-115,2.7361792385753746e-177,4.131376392895296e-124
