Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),HOX(22),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221183e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-7.8560626545073119e-125,8.749633756094272e-74,8.0934958598258272e-42,1.90438476881815e-92,3.9609964956937316e-57,9.2037363217998828e-142,7.3429566300641022e-25,-8.549948355551296e-118,7.3429566300639433e-25,1.2873492206681136e-79,5.8260445386735093e-76,4.1203224211590057e-120,2.4896894175578222e-121,9.9527401046554194e-59,8.3291886198498506e-95,2.9121118203838406e-18,1.400169241939002e-19,5.3970087778941429e-23,5.3970087778994232e-23,6.4538760390705528e-38,2.6419449299479295e-35,1.8678197195264293e-43,6.9528337417335868e-50,2.2345633507214407e-80,5.6028180265895819e-58,3.6472174486588579e-110,-6.424963680081468e-113,-8.825221323850072e-113
2.0219448808219312e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.4254260063388964e-122,2.7312413739297454e-72,4.8884715398132468e-41,2.1075509197589199e-90,5.9858579042489258e-56,3.3259119131707309e-139,2.0560278564180001e-24,1.6503066619099818e-116,2.0560278564179042e-24,3.6305307781339734e-78,1.8318012520112899e-74,8.2490092367052765e-118,4.9844329890057702e-119,1.1815890801326041e-57,4.311427910236936e-93,8.1539130970747493e-18,3.9204738774292058e-19,1.5111624578095056e-22,1.5111624578126942e-22,3.8981403167016391e-37,1.5957347267946679e-34,2.2174755558896875e-42,8.2670921537835325e-49,1.3614491256022298e-78,6.651665611606153e-57,7.3018388723246336e-108,6.5121576852706467e-111,8.9449893913144651e-111
4.6215882990215566e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,6.0366823374293623e-120,6.0808021218674627e-71,2.353588656755019e-40,1.9129315665231589e-88,6.4393127830560274e-55,1.2081168116691519e-136,4.699492243241386e-24,1.7425636443870679e-114,4.6994922432409224e-24,7.897197449539916e-77,4.0866460824193419e-73,1.4982221402566553e-115,9.0529512652108927e-117,1.1600906888134438e-56,1.8825381576409373e-91,1.8637515650456547e-17,8.9610831484096137e-19,3.4540856178462702e-22,3.4540856178616222e-22,1.8767859358167567e-36,7.6827756928803612e-34,2.1771306181705292e-41,8.143555609152655e-48,6.1662845423296231e-77,6.5306448481537214e-56,1.3261928007279331e-105,1.3681536799077054e-108,1.8792726298399301e-108
9.820875135420809e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.954311479413871e-117,1.1379653468023463e-69,1.0278740369394689e-39,1.457121739574773e-86,5.9188378435008833e-54,3.6868278551764379e-134,9.9864210168889821e-24,1.3773514374023144e-112,9.9864210168869529e-24,1.4640073137668198e-75,7.6538292748189389e-72,2.2848723509447255e-113,1.3806255750591814e-114,1.0260862284818238e-55,7.0082175522784484e-90,3.9604720757220064e-17,1.9042301690370426e-18,7.3399319379061291e-22,7.3399319379731717e-22,8.1964100007320708e-36,3.3552698921787163e-33,1.9256473195330676e-40,7.2506919315635793e-47,2.3434844372027674e-75,5.7762816010506801e-55,2.0225180104142108e-103,2.2130106786373882e-106,3.0397536130925942e-106
2.0219448808219312e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,5.6625788896505044e-115,1.9648523738417524e-68,4.2911720695539231e-39,1.0253455039036565e-84,5.0636903880204042e-53,1.038590402555659e-131,2.0560278564187466e-23,9.7621792172640134e-111,2.0560278564178999e-23,2.5162545168586469e-74,1.3220064023039105e-70,3.2173953089299587e-111,1.9440990856343794e-112,8.62485874530072e-55,2.4144372064635253e-88,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624577971158e-21,1.5111624578251052e-21,3.4218337639351432e-35,1.4007590498887609e-32,1.6186225051009945e-39,6.1750716675453817e-46,8.2362527457412603e-74,4.8553130524890979e-54,2.847966520170651e-101,3.2049124402197541e-104,4.4022122575241064e-104
4.1016596153816315e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.5702335836565457e-112,3.2640704591670959e-67,1.7530840553125426e-38,7.0078189593993387e-83,4.1867571349129134e-52,2.8402494822058715e-129,4.1707993658797613e-23,6.5694990847845192e-109,4.1707993658763012e-23,4.1705073282477519e-73,2.1965258733380906e-69,4.3988589477598142e-109,2.6579940715403041e-110,7.0711568925625038e-54,8.0126367943572551e-87,1.6540795139779909e-16,7.952961294213526e-18,3.0655009857882463e-21,3.0655009859025924e-21,1.3979257881220757e-34,5.7225571093883377e-32,1.3270443654314874e-38,5.1945920526160784e-45,2.8133713150893251e-72,3.98067951041925e-53,3.8937717641263155e-99,4.4429228815988528e-102,6.1027201755839874e-102
8.261089084501032e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,4.3359997387519471e-110,5.3207846234020594e-66,7.0862480457605565e-38,4.8035485959589421e-81,3.4046013700890612e-51,7.787232607418941e-127,8.4003423848070611e-23,4.310488640916216e-107,8.4003423847930739e-23,6.7905900503553385e-72,3.5808669752384541e-68,6.0303257659263869e-107,3.6438017951934816e-108,5.7263682851787439e-53,2.6108010419000113e-85,3.3314559225189871e-16,1.601793612778216e-17,6.1741780416830091e-21,6.1741780421452128e-21,5.6505994765706257e-34,2.3131485411314423e-31,1.0746746782928742e-37,4.420344720516065e-44,9.6426222826661536e-71,3.2236583228752516e-52,5.3379097775906323e-97,6.1341925134484385e-100,8.4258132245084639e-100
1.6579948022739835e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,1.2317698757250238e-107,8.5926143968026634e-65,2.8493507812756188e-37,3.3990609323403457e-79,2.7459343449392836e-50,2.2033898374553719e-124,1.6859428422682741e-22,2.7931324899110119e-105,1.68594284226265e-22,1.0960039718128276e-70,5.7830303607423629e-67,8.5323419722163132e-105,5.1556357292054807e-106,4.6090183714470068e-52,8.4301183569917615e-84,6.6862087396007854e-16,3.2147885794919389e-17,1.2391532153122533e-20,1.2391532154981039e-20,2.2720489752042778e-33,9.301064218926349e-31,8.6499126553044642e-37,3.9017746792113739e-43,3.4132116465334654e-69,2.5946820372960359e-51,7.5526386756988811e-95,8.7138961222608244e-98,1.1969232230998536e-97
3.3217665899217438e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,3.7243013630992121e-105,1.3811718940855715e-63,1.142718393803256e-36,2.5642038961541816e-77,2.2056837958618977e-49,6.6444485795023982e-122,3.3777600498518432e-22,1.7986991337908941e-103,3.3777600498292883e-22,1.7612489594441235e-69,9.2957972470970565e-66,1.2867697809549804e-102,7.775258272421758e-104,3.6983490719369371e-51,2.7097862169149294e-82,1.3395714373763602e-15,6.4407785129193661e-17,2.4826240374601591e-20,2.482624038205503e-20,9.111674149056612e-33,3.7301392798103473e-30,6.9410035711216592e-36,3.682839278137421e-42,1.2885836883381602e-67,2.0820711216030177e-50,1.1390198883439311e-92,1.3176235734353793e-95,1.8098569456738208e-95
