Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C2H2X(98)
0.0,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3994019416676306e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,6.152833028266604e-190,2.5600888944191994e-71,-1.0140764347484531e-115,-2.954799418122996e-136,1.1107021903616944e-205,5.1647457980112766e-50,8.2004102517233334e-65,0.0,0.5,3.1912083455291504e-19,2.2110709545077879e-18,9.6371131861238659e-20,3.1961289799706267e-35,4.4570449820827048e-21,4.4570449820779254e-21,2.3895012804630697e-33
6.718325436669366e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,9.1764663022977017e-188,3.8688063333191434e-70,6.350196364009999e-105,3.3305525861940247e-125,1.6565249169600715e-203,3.1195064620004214e-49,9.7355270508505419e-64,0.0,0.5,8.9353833674581882e-19,6.1909986726217915e-18,2.6983916921133779e-19,1.9304619039022548e-34,1.2479725949839316e-20,1.2479725949810451e-20,1.4432587733989473e-32
1.5356172426672837e-24,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,4.4154118898646794e-185,4.1618853093928775e-69,1.2246807273648101e-103,1.3179472377120373e-123,1.8575294133342747e-200,1.5019080780640944e-48,9.5583981894229811e-63,0.0,0.5,2.0423733411222526e-18,1.415085410884975e-17,6.1677524391101428e-19,9.2943430737545265e-34,2.8525087885383508e-20,2.8525087885244528e-20,6.9486697235754002e-32
3.263186640667978e-24,0.004023131612903226,0.0,0.0,0.010942917987096769,0.5,1.414350551643855e-182,3.8254896290243671e-68,2.0964719710735455e-102,4.5300273105789611e-122,1.2373451654712377e-197,6.5592271634992747e-48,8.4542949531466393e-62,0.0,0.5,4.3400433498376253e-18,3.0070564981305467e-17,1.3106473933082798e-18,4.0590838045626379e-33,6.0615811756595734e-20,6.0615811755988789e-20,3.0346666261765176e-31
6.718325436669367e-24,0.004023131612903226,0.0,0.0,0.010942917987096762,0.5,4.0103948452497267e-180,3.2727869180562041e-67,3.4609477355615472e-101,1.497459264193137e-120,7.1492688012241063e-195,2.7383482221280356e-47,7.1063443176337489e-61,0.0,0.49999999999999994,8.9353833671183918e-18,6.1909986726216082e-17,2.6983916920944599e-18,1.6945875851803746e-32,1.2479725949951557e-19,1.2479725949698175e-19,1.2669135788910949e-30
1.3628603028672145e-23,0.004023131612903226,0.0,0.0,0.01094291798709675,0.5,1.0786392874391774e-177,2.7060035133941943e-66,5.6224910760159468e-100,4.8679627804049354e-119,3.8819658171264286e-192,1.1187045988514478e-46,5.8262104188834357e-60,0.0,0.49999999999999989,1.8126063401080004e-17,1.2558883021603409e-16,5.4738802896334225e-18,6.9229432157751434e-32,2.5316015498733686e-19,2.5316015497698537e-19,5.1757553534459647e-30
2.74491582126777e-23,0.004023131612903226,0.0,0.0,0.010942917987096725,0.5,2.8292892377596535e-175,2.2004771170076288e-65,9.063935544415489e-99,1.5699132899267779e-117,2.0460916962748657e-189,4.5219828541135765e-46,4.7182162519950577e-59,0.0,0.49999999999999972,3.6507423466603559e-17,2.5294651719565715e-16,1.1024857484577747e-17,2.7983643361549658e-31,5.0988594597090608e-19,5.0988594592906362e-19,2.0921230670342755e-29
5.50902685806888e-23,0.004023131612903226,0.0,0.0,0.010942917987096677,0.5,7.330927649117582e-173,1.774764512761086e-64,1.4556653736067975e-97,5.0431848732119294e-116,1.0628191320479328e-186,1.8182694172999186e-45,3.7976309152672692e-58,0.0,0.49999999999999944,7.3270143588052e-17,5.0766189115485174e-16,2.2126811873932005e-17,1.1252099919142904e-30,1.0233375279697505e-18,1.0233375278015038e-18,8.4123348373325509e-29
1.10372489316711e-22,0.004023131612903226,0.0,0.0,0.01094291798709658,0.5,1.8880354733008357e-170,1.4255873727033796e-63,2.3334131171737638e-96,1.6169330949465156e-114,5.4809048359705968e-184,7.2920736047591813e-45,3.0473596432610061e-57,0.0,0.49999999999999883,1.4679558379255421e-16,1.017092639073034e-15,4.4330720650502946e-17,4.5125953300443275e-30,2.0502406920942656e-18,2.0502406914195207e-18,3.3737225204037563e-28
