Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),CO2X(24),H2OX(23)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033530381265e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-2.4798358515913077e-120,1.3110990220893073e-65,2.9700081019072153e-36,1.7794777549858344e-88,1.7990172200268773e-54,6.0517257281226349e-132,5.5646936881172801e-20,-6.5509510702060748e-106,5.5646936881172801e-20,2.5969050723856456e-72,1.117835610491729e-73,3.9924153298341953e-112,4.6291950823221673e-113,2.58300141776872e-54,1.2190690365957187e-85,3.0390311154049371e-18,8.9980309964363556e-20,3.6022135338673209e-22,9.0087835581305725e-38,3.3357997036290013e-37,3.6022135338195841e-22,2.384261330449336e-33,3.4433204255645511e-41,2.5040167844139708e-45,3.1608884787987143e-76,2.1456313295528216e-52,2.0237697108083092e-98,7.0310170402504727e-106,-3.2685487047274497e-108,-1.0157082258726061e-107,3.3174158765879761e-54
1.7654093885067544e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,4.4926154735579737e-118,2.9328790765209751e-64,1.79388489501229e-35,1.9663847882430887e-86,2.7186748419213053e-53,2.183651849008839e-129,1.5581142326728387e-19,1.2646708177160524e-104,1.558114232672838e-19,7.323687858350326e-71,3.5146540304464117e-72,7.9810880996897053e-110,9.2540506761740105e-111,3.0665392809458551e-53,6.310252467052459e-84,8.5092871231338226e-18,2.5194486790021794e-19,1.0086197894905932e-21,5.4413052647913803e-37,2.0148230209898635e-36,1.0086197894617603e-21,1.4400938234992931e-32,4.0879099550845515e-40,2.9727878434775488e-44,1.922934879019392e-74,2.5472935163440872e-51,1.9058483859713697e-96,1.4055443082086812e-103,3.3078773499407155e-106,1.0279296837695893e-105,3.9384361258083272e-53
4.03522145944401e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,1.8965500623594974e-115,5.7948774754098635e-63,8.6367835822511514e-35,1.7790612491033551e-84,2.9246263360253436e-52,7.9065893176720859e-127,3.5614039603950602e-19,1.3353588288461246e-102,3.5614039603950569e-19,1.5930620796047948e-69,7.8409997896110976e-71,1.4449141984737495e-107,1.6753742156924028e-108,3.0107464456407922e-52,2.7553031872884365e-82,1.9449799138591578e-17,5.7587398377192674e-19,2.3054166617292885e-21,2.6197542522251389e-36,9.7005055381223277e-36,2.3054166615904718e-21,6.9334316475650875e-32,4.0135341201864258e-39,2.9187412266772539e-43,8.6811658950775951e-73,2.5009478836135957e-50,1.6657213291692826e-94,2.5446291309421559e-101,6.9272975721067391e-104,2.1526719549606557e-103,3.8667799368324978e-52
8.57484560131852e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,6.1004174875585669e-113,1.031167699153574e-61,3.7719103120572985e-34,1.3464570683683157e-82,2.6882354716641893e-51,2.3974763769639213e-124,7.5679834158395039e-19,1.0554898629004831e-100,7.5679834158394914e-19,2.9532686131998295e-68,1.4685324777380787e-69,2.1894936990100255e-105,2.5387121897008016e-106,2.6629711271509382e-51,1.0257302930267982e-80,4.1330823169507025e-17,1.2237322155153443e-18,4.8990104063305716e-21,1.144115505187376e-35,4.2364656235769958e-35,4.8990104057243234e-21,3.0280115782430402e-31,3.5499252734516581e-38,2.5816655958575901e-42,3.2779330908103168e-71,2.2120600878781126e-49,1.242679794492491e-92,3.8559033154820413e-99,1.1132861654029461e-101,3.4595596342122768e-101,3.4201230533983994e-51
1.7654093885067543e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,1.7451423962244683e-110,1.7392152095816317e-60,1.5746983160028241e-33,9.3546747300459067e-81,2.299842043100675e-50,6.6686729705648886e-122,1.5581142326728393e-18,7.4809383531823841e-99,1.5581142326728331e-18,5.0759141827363847e-67,2.5365246403206497e-68,3.0441724135448442e-103,3.5297099129763012e-104,2.2383876742869494e-50,3.5337963823861604e-79,8.5092871231337665e-17,2.5194486790021791e-18,1.008619789602871e-20,4.7764569822639636e-35,1.7686410028354434e-34,1.0086197893497738e-20,1.264135077119414e-30,2.9839257481528822e-37,2.170166672198981e-41,1.1373297677427028e-69,1.8593698025180083e-48,8.5719353470242213e-91,5.3610725198496628e-97,1.5917673782373544e-99,4.9464498320170566e-99,2.874819486017825e-50
3.5812590452565587e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,4.7194562064126601e-108,2.8566663123379032e-59,6.4331565215347697e-33,6.2355310407966261e-79,1.9015538758204177e-49,1.7788740501484656e-119,3.1607460148506173e-18,5.0343285623966877e-97,3.1607460148505942e-18,8.4129555079524077e-66,4.2144735712013238e-67,4.0595513538990452e-101,4.7070391257258594e-102,1.8351654298945137e-49,1.1727381785652989e-77,1.7261696735499801e-16,5.1108816059758468e-18,2.0460572877407274e-20,1.9513385028078326e-34,7.225475589805962e-34,2.0460572867067423e-20,5.1644030391288288e-30,2.4464020466741174e-36,1.7794324814105049e-40,3.7881993388617443e-68,1.5244237222364848e-47,5.6926649551693715e-89,7.1492498614573905e-95,2.1519025775633638e-97,6.6870814651604993e-97,2.3569506740084077e-49
7.212958358756168e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,1.241743834465194e-105,4.6307791958840058e-58,2.6003847954870282e-32,4.0729286680451723e-77,1.5463120316086449e-48,4.6487928899923723e-117,6.3660095792061761e-18,3.3032071096231784e-95,6.3660095792060813e-18,1.369831712829385e-64,6.8706554178905762e-66,5.3040689885600262e-99,6.1500540522619284e-100,1.4861645074723643e-48,3.8211966137190048e-76,3.4766515960231483e-16,1.0293747459923178e-17,4.1209322848093542e-20,7.887622007094177e-34,2.9206527587134064e-33,4.1209322806298202e-20,2.0875332873053755e-29,1.9811588929914371e-35,1.441352435390612e-39,1.236803174337794e-66,1.2345178855945457e-46,3.7108098330368204e-87,9.3409618881639734e-93,2.8306606192155266e-95,8.7963360040385276e-95,1.9087197154455323e-48
1.4476356985755386e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,3.2236211953354485e-103,7.4577268621430056e-57,1.0456033473878627e-31,2.6341647394397356e-75,1.2471566724910661e-47,1.2027813371093966e-114,1.2776536707917303e-17,2.1404290482959052e-93,1.2776536707916922e-17,2.2109139072433581e-63,1.1096126266500379e-64,6.8613387796497959e-97,7.955704282082933e-98,1.1961944285837742e-47,1.2338412312434473e-74,6.9776154409693308e-16,2.0659479167817825e-17,8.2706822821182768e-20,3.1715779463832818e-33,1.1743816286995401e-32,8.2706822653125423e-20,8.39387155104502e-29,1.5946075664326794e-34,1.1606439862545946e-38,3.9988910741463133e-65,9.9364744642545253e-46,2.3967415752979922e-85,1.2083459731503097e-90,3.6740698946796467e-93,1.1417247598499951e-92,1.5363036038761149e-47
2.9003154239753823e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,8.3157086203796524e-101,1.1971302149147955e-55,4.1933375460076392e-31,1.6958272998230627e-73,1.0017840626314893e-46,3.0974832869501324e-112,2.5597590965339593e-17,1.3783763890525437e-91,2.5597590965338071e-17,3.5528792953264588e-62,1.7836697015119898e-63,8.8347300954003891e-95,1.0243846325768656e-95,9.5987059827807352e-47,3.9660723860020336e-73,1.3979543130861079e-15,4.1390942583607037e-17,1.6570182289422816e-19,1.2719444711135222e-32,4.7097955854517265e-32,1.6570182222024248e-19,3.3663115130420897e-28,1.2795697919152109e-33,9.3217527079347892e-38,1.287113443831701e-63,7.97339580629181e-45,1.5409336083223488e-83,1.5558786521769844e-88,4.7387302650563054e-91,1.4725701422162482e-90,1.2327867639461114e-46
5.8056748747750694e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,2.1397519427711483e-98,1.9185294309711303e-54,1.6795226245009955e-30,1.0899506989018576e-71,8.0305392218861354e-46,7.9634765461686501e-110,5.1239699480184328e-17,8.8489130782851226e-90,5.1239699480178227e-17,5.6969687257557771e-61,2.8605200885760611e-62,1.1356753033062488e-92,1.3168125292270603e-93,7.690643838117223e-46,1.2719950102724791e-71,2.7983398510642101e-15,8.2853869415185128e-17,3.3169182354779036e-19,5.0944112087361268e-32,1.886374849989316e-31,3.3169182084832698e-19,1.348275334116261e-27,1.0252091599216682e-32,7.482070986985793e-37,4.1361930080115284e-62,6.3884207445431754e-44,9.8844928082209993e-82,2.0000304938176405e-86,6.0966591464182982e-89,1.8945492926707016e-88,9.8772938118304855e-46
1.1616393776374444e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,5.5061411780386044e-96,3.0721455476493015e-53,6.7224704449780197e-30,7.0087274804702149e-70,6.4309444313325175e-45,2.0482958429519993e-107,1.025239165098744e-16,5.6720574857215746e-88,1.0252391650984998e-16,9.1250507337494482e-60,4.5821565195324144e-61,1.4605449596183353e-90,1.6934980415348679e-91,6.1571888231791069e-45,4.0749525693303683e-70,5.5991109270194273e-15,1.6577972307833999e-16,6.6367182688482735e-19,2.0390912425158889e-31,7.5504154304955531e-31,6.6367181607989775e-19,5.3965739781868083e-27,8.2078465583457289e-32,6.01154256752954e-36,1.3298614354038848e-60,5.1146231483749122e-43,6.3332901745783855e-80,2.5721563602695243e-84,7.8441506264300903e-87,2.4375857584689917e-86,7.9078376559849092e-45
2.3237831579573192e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998839,0.11866996602995392,0.022821567693054122,1.4205606207769285e-93,4.9174297408684262e-52,2.6898662087992345e-29,4.5195104393243375e-68,5.1473620397287074e-44,5.28312276232596e-105,2.0509235056925696e-16,3.6329203138404122e-86,2.0509235056915924e-16,1.4608006307957917e-58,7.335708076319612e-60,1.8835955762328256e-88,2.1840241186727668e-89,4.927618371598624e-44,1.3047162344291507e-68,1.1200653078925914e-14,3.3163143040464459e-16,1.3276318416787675e-18,8.1590139442694303e-31,3.0211496559924842e-30,1.3276317984446468e-18,2.1592996654243016e-26,6.5686750534754107e-31,4.8452114978206994e-35,4.2879317082029241e-59,4.0932563494013991e-42,4.0556158972266472e-78,3.3171880826303614e-82,1.011888789820646e-84,3.1444647750425651e-84,6.3286683385866984e-44
4.648070718597069e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,3.6883573967932279e-91,7.8694761973778434e-51,1.0761235481041325e-28,2.9332281789130267e-66,4.1189324841692036e-43,1.3714267492393278e-102,4.1022921868803183e-16,2.3259665323360595e-84,4.102292186876407e-16,2.3379152004378198e-57,1.1740525274698954e-58,2.4448396494088377e-86,2.8347851439103163e-87,3.9428370018810203e-43,4.1762625657123157e-67,2.2403737382723085e-14,6.6333484505723323e-16,2.6555519037478349e-18,3.2641312077748691e-30,1.2086565851601081e-29,2.655551730780575e-18,8.6383417842931778e-26,5.2557832706513053e-30,3.9315540576535682e-34,1.391606073043963e-57,3.2752324167833892e-41,2.5963336656078709e-76,4.3055914053680394e-80,1.3136715137661683e-82,4.0822601003073846e-82,5.0638879921185174e-43
9.296645839876569e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.11866996602991969,0.022821567693053622,9.70118024153061e-89,1.2592403272948567e-49,4.3048598131914588e-28,1.9285526602724505e-64,3.295563179009121e-42,3.6062304560998216e-100,8.2050295492562026e-16,1.4889058551876356e-82,8.2050295492405565e-16,3.7411717451714026e-56,1.878750714938679e-57,3.2145690409136137e-84,3.7272843435571732e-85,3.1545589064367613e-42,1.3365913472200325e-65,4.4809905990254221e-14,1.3267416743623283e-15,5.3113921578245126e-18,1.3057542243516498e-29,4.8350197980557312e-29,5.3113914658781578e-18,3.4554075931588539e-25,4.2047781952483601e-29,3.2329806412045923e-33,4.5757208185494182e-56,2.6204434096388037e-40,1.6618902189804047e-74,5.6611568588601947e-78,1.7277068897616554e-80,5.368881708237529e-80,4.0514818917799238e-42
1.8593796082435566e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990762,0.11866996602987405,0.02282156769305296,2.6153362214305768e-86,2.0148743372623235e-48,1.7220262234289197e-27,1.2996348736803453e-62,2.6366174297230741e-41,9.7181238075859139e-98,1.6410504274009516e-15,9.5299168514104654e-81,1.6410504273946938e-15,5.9862807584121034e-55,3.0061992605582764e-56,4.3317348470625808e-82,5.0226351409861817e-83,2.5237506154103304e-41,4.2773920502410167e-64,8.9622243205063667e-14,2.6535553329721894e-15,1.0623073185842347e-17,5.2231932490516859e-29,1.9340866006021067e-28,1.0623070417776282e-17,1.3820510281523393e-24,3.363586045339404e-28,2.7263920177079526e-32,1.5423489629794912e-54,2.0964681450746265e-39,1.0636854794627815e-72,7.6285902803234537e-76,2.3290758980552287e-78,7.2376432513380099e-78,3.2413183266406825e-41
3.7188096567553564e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981531,0.11866996602978278,0.022821567693051634,7.3690692301099208e-84,3.2238403893282295e-47,6.8883428353659803e-27,9.1531248268333872e-61,2.1093606998777464e-40,2.7364107445349225e-95,3.2821453723522337e-15,6.099440997745903e-79,3.2821453723272027e-15,9.5783739904182025e-54,4.8100285567940359e-55,6.0995839639979304e-80,7.0724514917948442e-81,2.0190223091640187e-40,1.3688134125586763e-62,1.7924691763367133e-13,5.3071826501905966e-15,2.1246437322218015e-17,2.0892908604731763e-28,7.736503664727593e-28,2.1246426248384767e-17,5.5269710015186155e-24,2.6902989752994378e-27,2.4049097269671957e-31,5.4347915147224317e-53,1.6772365521544641e-38,6.8078294181521743e-71,1.0741937687538728e-73,3.281777164482137e-76,1.0198167555377577e-75,2.593082518019621e-40
7.437669753778956e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,2.2311148685976808e-81,5.1580804960090125e-46,2.7554433503739538e-26,6.926387359547029e-59,1.687515261878442e-39,8.2766976794070802e-93,6.5643352622572771e-15,3.9037363832355286e-77,6.5643352621571502e-15,1.5325658186812397e-52,7.6959774587455531e-54,9.226838068417909e-78,1.0698494236906064e-78,1.6151952468156873e-39,4.3802796289180417e-61,3.5849626648684167e-13,1.0614437284622147e-14,4.2493173923377387e-17,8.3570168903488897e-28,3.0946328360410556e-27,4.2493129616853936e-17,2.2097351439993394e-23,2.1512514082182147e-26,2.2817011198281654e-30,2.0583704868294055e-51,1.3418407048000423e-37,4.357088348025167e-69,1.6249323778641371e-71,4.9693162228401477e-74,1.5442184460855952e-73,2.074436726840954e-39
