Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50)
6.450778387925648e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996273,0.022821567693054223,0.0,1.1515674056075874e-54,4.3076003909993436e-36,1.0170600097202968e-75,1.6144345871779678e-48,9.8941745130791626e-120,6.5595182865778746e-22,9.6270642472110187e-102,6.5595182862255019e-22,2.5016478112693076e-68,1.7350157885700302e-59,9.8845474051493371e-101,5.9726986883167235e-102,8.5523528788166731e-46,7.4685663750280591e-81,2.6014104975124807e-15,1.2507812848323788e-16,4.8211868757002497e-20,3.4349451374821664e-32,4.821186876376936e-20,3.3829877136676809e-30,2.9392407877556813e-36,1.1696191487014312e-42,1.530428714234008e-67,6.4108557576700306e-46,8.7495776362955902e-91
1.2907161274885116e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999454,0.11866996602996012,0.02282156769305416,0.0,1.8440083381332081e-53,1.724162854662772e-35,1.1543450921596121e-73,1.2928570336369722e-47,4.4892902558276373e-117,1.3124735547176043e-21,6.1708439604645518e-100,1.312473554576563e-21,4.0069841160345103e-67,2.7792558666368411e-58,2.2428927283514152e-98,1.3552590632103215e-99,6.8470824774991774e-45,2.3926236732760969e-79,5.2050811257771009e-15,2.5026492606159265e-16,9.6465624447938817e-20,1.3748732227463559e-31,9.6465624475023905e-20,1.3540755407116688e-29,2.3531771795744247e-35,1.6625100449151895e-41,8.6917585338396909e-66,5.1325826550024097e-45,1.985357875463862e-88
2.581992704880405e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999891,0.11866996602995492,0.022821567693054035,0.0,2.9516143097259625e-52,6.8988980866664521e-35,1.3829862312172963e-71,1.0348096282272285e-46,2.1506397084743376e-114,2.6255170070486527e-21,3.9523901919887259e-98,2.6255170064843048e-21,6.4146546621781231e-66,4.4493955418543969e-57,5.3730291757970892e-96,3.2466316356722547e-97,5.4797469145516943e-44,7.6606902686487927e-78,1.0412422382301648e-14,5.0063852121829258e-16,1.9297313580947465e-19,5.5012837080048213e-31,1.9297313591785041e-19,5.4180565104923441e-29,1.8832527048765811e-34,2.4927165825083731e-40,5.2091047178577937e-64,4.1076259792140825e-44,4.7560837985089482e-86
5.164545859664192e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997816,0.11866996602994451,0.022821567693053785,0.0,4.7235438409497711e-51,2.760009137554491e-34,1.7096314982921492e-69,8.2805735397789437e-46,1.0632315157088951e-111,5.2516039125564119e-21,2.5305061804370792e-96,5.2516039102986533e-21,1.02662323101734e-64,7.1211023958505705e-56,1.32824299178517e-93,8.0258557617502613e-95,4.3846300398282868e-43,2.4521082171187521e-76,2.0827104895331955e-14,1.0013857115316534e-15,3.8598815845119884e-19,2.2008716746505735e-30,3.8598815888477333e-19,2.1675678717203932e-28,1.5068815467982841e-33,3.8544183138323562e-39,3.220552993334559e-62,3.286724809063114e-43,1.1757306243417384e-83
1.0329652169231765e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995634,0.11866996602992368,0.022821567693053286,0.0,7.5584387762919794e-50,1.1040940462322863e-33,2.1495181874741874e-67,6.6252975345865919e-45,5.346651337925615e-109,1.0503777726954573e-20,1.6198364914321066e-94,1.0503777717922802e-20,1.6428199881655812e-63,1.1395419493407397e-54,3.339768923996267e-91,2.0180421674170562e-92,3.5080370023505667e-42,7.8478461865783035e-75,4.1656469921317468e-14,2.0028800921582208e-15,7.7201820340925803e-19,8.8042029486925427e-30,7.7201820514370296e-19,8.670916854633579e-28,1.2056089025586034e-32,6.0598574058418781e-38,2.0248764651471394e-60,2.6296294046083695e-42,2.9562878131671173e-81
2.0659864788366913e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991266,0.11866996602988202,0.022821567693052283,0.0,1.2094116276614117e-48,4.4165602075495707e-33,2.7265040013838756e-65,5.3005735209126048e-44,2.7125888283293266e-106,2.1008125369281471e-20,1.0367953761751986e-92,2.1008125333152922e-20,2.6286902445779507e-62,1.8233995076321032e-53,8.4721992686599813e-89,5.1192929097734938e-90,2.8065626878064258e-41,2.5114867720487498e-73,8.3315199972987975e-14,4.0058688534107363e-15,1.5440782920238189e-18,3.5218242875329335e-29,1.5440782989619287e-18,3.4684596472131148e-27,9.6451563042881398e-32,9.6098662419366847e-37,1.2842929364269504e-58,2.1038032246218272e-41,7.4993987914758e-79
4.132029002663721e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982534,0.11866996602979869,0.022821567693050281,0.0,1.9351075178654556e-47,1.7666634751069271e-32,3.4739110892208929e-63,4.240593004778135e-43,1.382435697852707e-103,4.2016820708057581e-20,6.6358104806299373e-91,4.2016820563540438e-20,4.2060469943745035e-61,2.9175448876093666e-52,2.1588923988005161e-86,1.3045021956005175e-87,2.2453032110228038e-40,8.0370392449056516e-72,1.6663266007512709e-13,8.0118463759132912e-15,3.0881984640467104e-18,1.4087582194830199e-28,3.0881984918001016e-18,1.3873735032013254e-26,7.716031730134065e-31,1.5306660329988979e-35,8.1820494326037168e-57,1.683082257391173e-40,1.9110025620212356e-76
8.26411405031778e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996507,0.11866996602963205,0.022821567693046274,0.0,3.0962104346762422e-46,7.0667533787470654e-32,4.4361277262334211e-61,3.392528058508846e-42,7.0612974983670998e-101,8.4034211602099016e-20,4.2470211156750763e-89,8.4034211024024608e-20,6.7297892343867129e-60,4.6681555945770627e-51,5.5136918763629503e-84,3.3316265132887272e-85,1.7962635133886389e-39,2.571897595673658e-70,3.3326758027459762e-13,1.6023801420908488e-14,6.1764387872675746e-18,5.6350889461697643e-28,6.1764388982853534e-18,5.5492418249005381e-26,6.1724563292433507e-30,2.4434086096268081e-34,5.2242642135054938e-55,1.3464813512085042e-39,4.8805946083070502e-74
1.6528284145625898e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319930137,0.11866996602929877,0.022821567693038263,0.0,4.9539650992981135e-45,2.826737799023624e-31,5.6709512400105441e-59,2.7140438746821903e-41,3.6107183298894241e-98,1.680689942561388e-19,2.7181262617716107e-87,1.680689919438294e-19,1.0767753879073967e-58,7.4691135150536852e-50,1.4096864298821255e-81,8.5179745007403343e-83,1.437018740555835e-38,8.2301442676396752e-69,6.6653742065430773e-13,3.2047711510859249e-14,1.235291935040963e-17,2.2540460391972198e-27,1.235291979450769e-17,2.2194611444357252e-25,4.9372867758938207e-29,3.9045223973308893e-33,3.3392634865580481e-53,1.0771907775356967e-38,1.2478221904043149e-71
3.3056624336242133e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319860276,0.11866996602863222,0.022821567693022238,0.0,7.9263594538725907e-44,1.1307156457485018e-30,7.2526513118613586e-57,2.1712436162673649e-40,1.8471125882820062e-95,3.3613856302804592e-19,1.7396112570540421e-85,3.3613855377878484e-19,1.7228478669392354e-57,1.1950625414605065e-48,3.605725442501502e-79,2.178745334195462e-80,1.1496174475307766e-37,2.6336576162477147e-67,1.3330771013368044e-12,6.4095531690602262e-14,2.4705880143495045e-17,9.0161990545533419e-27,2.4705881920089268e-17,8.8758927607953635e-25,3.9487093703031037e-28,6.2419930696507512e-32,2.1353204926842438e-51,8.6175406611885038e-38,3.1917048557189618e-69
