Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),CO2X(24),COX(50),H2OX(23),CHOX(53),O(29),acetyl(44),C2H4X(215),C2H4X(70),C2H6X(52),HOCO(73),CHO2(74),S(216),CHO2X(213)
6.5433594477983924e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999666,0.11866996602996212,0.02282156769305424,1.4535688675275113e-96,1.7424419607219073e-45,2.1334740078412356e-30,6.6164758137716e-71,1.1482683680483973e-45,6.140788166453896e-109,5.775033611035626e-17,1.811476903872196e-89,5.775033611034912e-17,9.181015026200903e-61,5.757077652407934e-60,7.77008355092498e-92,9.009394150109992e-93,7.68468229884691e-32,2.327811462449867e-71,3.153904394847914e-15,9.33815036009073e-17,3.7383747710239267e-19,6.471281548379082e-32,2.396204906576392e-31,3.7383746693222267e-19,5.0832985341832814e-27,1.293024420211343e-31,2.7946826042948856e-35,1.962559868583317e-60,9.146242473157946e-44,1.576280287816071e-63,2.155774986888942e-31,1.1418995502699908e-86,1.3683848406497594e-85,1.4141071773317765e-45,1.2417357547220788e-87,7.020788110478078e-25,4.294121687067069e-101,1.6104792574818717e-77,2.378183624601529e-85,1.1897066028013947e-59,3.905468740657486e-113,1.5338565277012304e-120,6.968865317425001e-173,2.3852479280927302e-101
1.3092403829956296e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999934,0.1186699660299589,0.022821567693054195,3.732289260761381e-94,1.3950130503753926e-44,8.539567752231912e-30,4.245381151300167e-69,9.195459810593682e-45,1.5760762555711603e-106,1.155508462746742e-16,1.161137084516099e-87,1.1555084627464569e-16,1.4705579745057279e-59,9.22204395812821e-59,9.97120730074391e-90,1.156159211381558e-90,3.0758756055436926e-31,7.513263045163419e-70,6.3105489325219995e-15,1.8684413796080537e-16,7.479997580271608e-19,2.590198940537627e-31,9.59106431050414e-31,7.479997173194595e-19,2.0345923611530356e-26,1.0351808489663698e-30,2.240431139329648e-34,6.296203019575486e-59,7.322644704387992e-43,5.050204716197217e-62,8.628718050584883e-31,1.4660062694753588e-84,1.756023447129285e-83,1.1321455185656754e-44,1.5941792151632572e-85,1.4047677488253662e-24,1.1025916273900583e-98,1.0319754909942076e-75,1.535107349756578e-83,1.9055981578470095e-58,2.0067553691286163e-110,7.8790947287282925e-118,1.1465173265308053e-168,6.128065422664837e-99
2.6190492594272105e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999869,0.11866996602995247,0.0228215676930541,9.587661951519162e-92,1.1164344172312493e-43,3.417028835551508e-29,2.725822558890857e-67,7.360094815454722e-44,4.047759956486723e-104,2.3115186660330913e-16,7.437016483243886e-86,2.311518666031948e-16,2.3541699432419914e-58,1.4763851691754737e-57,1.2804316045979417e-87,1.4846575233373356e-88,1.2307508935688268e-30,2.4413899400748484e-68,1.2623838007865154e-14,3.7376940668059506e-16,1.4963243504468121e-18,1.0364168504480873e-30,3.837675013371379e-30,1.496324187558844e-18,8.14060513166288e-26,8.284194371287107e-30,1.7978045361453928e-33,2.0213160579001858e-57,5.860484379415967e-42,1.6169860127929948e-60,3.452611155825249e-30,1.8829726963484002e-82,2.2549605563646823e-81,9.06060399346763e-44,2.047601308258602e-83,2.8101460860619402e-24,2.8323641700651646e-96,6.60847328527525e-74,9.97543396906622e-82,3.0506120704298906e-57,1.0312598569325622e-107,4.0502821290126754e-115,1.8823397764580454e-164,1.5745888832347107e-96
5.238667012290372e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999739,0.11866996602993961,0.022821567693053914,2.468247850693842e-89,8.933171655865233e-43,1.3671055627814475e-28,1.7541310090518312e-65,5.889567003206711e-43,1.0419040094979477e-101,4.623539072605746e-16,4.761527902167356e-84,4.623539072601172e-16,3.7676939472566914e-57,2.3629029933683744e-56,1.6479466867584095e-85,1.9107904207624145e-86,4.9238049911286094e-30,8.043772359475188e-67,2.525041615853139e-14,7.476199441201481e-16,2.9929736575883118e-18,4.146341357342286e-30,1.5353198958894107e-29,2.9929730058972644e-18,3.256440536526897e-25,6.627976448449864e-29,1.4461631012776017e-32,6.504055192892402e-56,4.689506911413175e-41,5.175460840975489e-59,1.3812692772795205e-29,2.4237830596604175e-80,2.902189192692915e-79,7.249858254754751e-43,2.6356955477912535e-81,5.620904607260915e-24,7.291502134431667e-94,4.230350789075781e-72,6.5719120343828e-80,4.882303704187714e-56,5.3099293351686794e-105,2.0877229317732974e-112,3.087188503083413e-160,4.053773393948167e-94
1.0477902518016696e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999479,0.11866996602991389,0.02282156769305354,6.385429332124508e-87,7.147216000949317e-42,5.469439396714385e-28,1.1344124039350556e-63,4.7122501356121416e-42,2.6950800578886097e-99,9.24757988575088e-16,3.0479659422514226e-82,9.247579885732585e-16,6.029128061485656e-56,3.7811942224831244e-55,2.1314022190224485e-83,2.471356002477167e-84,1.9696822912373574e-29,2.720992991598459e-65,5.050357245978357e-14,1.49532101899915e-15,5.986272761253947e-18,1.6586707924260828e-29,6.141779377137603e-29,5.9862701540128e-18,1.3024170018285866e-24,5.301864480370352e-28,1.1692721941649704e-31,2.1032792071541905e-54,3.752328075920091e-40,1.656089100033141e-57,5.525526737509005e-29,3.135258491835934e-78,3.753599853968022e-77,5.800434811202286e-42,3.4093775165882734e-79,1.1242429036562174e-23,1.8862586949680577e-91,2.7073398543124534e-70,4.444433472938774e-78,7.812745590474905e-55,2.746955900960779e-102,1.0825921217825696e-109,5.060545121153915e-156,1.0485674956886586e-91
2.0956373529469343e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998959,0.11866996602986246,0.02282156769305279,1.6683029035433294e-84,5.718044408260786e-41,2.1883222081821753e-27,7.409123962062844e-62,3.7700387360870536e-41,7.040086349752468e-97,1.8495661512040464e-15,1.950886410717409e-80,1.849566151196727e-15,9.64725913829618e-55,6.050350226294216e-54,2.7839292473410226e-81,3.2279595899113636e-82,7.879049765938043e-29,9.645724884499448e-64,1.010098850619668e-13,2.990723168756736e-15,1.1972872927505544e-17,6.634947268434215e-29,2.456811694653915e-28,1.1972862495999291e-17,5.2077593099931386e-24,4.24006153071875e-27,9.55023139915574e-31,6.869574230667092e-53,3.002590797161828e-39,5.297886731197709e-56,2.2103005970597316e-28,4.0958561892679574e-76,4.902761280438527e-75,4.640564143015532e-41,4.4539662788051216e-77,2.2485507442777938e-23,4.927792520783871e-89,1.7321822236119867e-68,3.148888206558257e-76,1.2501240735017663e-53,1.4347833515946606e-99,5.681897019729016e-107,8.292817346803327e-152,2.7384769722898592e-89
4.1913315552374635e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997919,0.11866996602975959,0.022821567693051294,4.442218724776588e-82,4.57454436850849e-40,8.757122226216056e-27,4.931667385968234e-60,3.0161264425228077e-40,1.8740063406105565e-94,3.699182476461686e-15,1.248627531840554e-78,3.69918247643241e-15,1.5436138021059195e-53,9.680911593837956e-53,3.7055479034213096e-79,4.296574283282605e-80,3.151684027715848e-28,3.686364778578987e-62,2.020225102650487e-13,5.981527468270237e-15,2.394608110679431e-17,2.6540282002023057e-28,9.827446521960761e-28,2.394603936299903e-17,2.0814514515703652e-23,3.3895222928564286e-26,7.95300020882735e-30,2.2869333269821247e-51,2.403065966116384e-38,1.694106020241272e-54,8.841381980959027e-28,5.453447012713799e-74,6.525818248079391e-73,3.712533033326365e-40,5.930267589336202e-75,4.4971782445662423e-23,1.3119397776123202e-86,1.1078076224295887e-66,2.404374227217178e-74,2.0002663428753414e-52,7.634476937968566e-97,3.0524373435412946e-104,1.3586245110768886e-147,7.285970406147016e-87
8.382719959818522e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767995838,0.11866996602955383,0.022821567693048304,1.2246697179845304e-79,3.6596793457407435e-39,3.5058021444444975e-26,3.3985411470619544e-58,2.4129393355839813e-39,5.1637173527351175e-92,7.398415126975856e-15,7.991408930852345e-77,7.398415126858754e-15,2.4698239526462423e-52,1.5489738392872787e-51,5.105866179789008e-77,5.92024002919365e-78,1.2606864354697388e-27,1.5625606557345722e-60,4.040477606660743e-13,1.1963136067290554e-14,4.789252894108299e-17,1.061618316456621e-27,3.931018439559643e-27,4.789236182914618e-17,8.312363953741411e-23,2.7074872325845585e-25,6.861580587902978e-29,7.884027791424947e-50,1.923970407682554e-37,5.413049810410618e-53,3.5365885395723514e-27,7.518237867873608e-72,8.991909893643944e-71,2.970051433044319e-39,8.175629096553805e-73,8.994480521324324e-23,3.615927544713642e-84,7.079475617712685e-65,2.035656338954451e-72,3.20048040862288e-51,4.203124714749124e-94,1.7123056489802657e-101,2.224879938300681e-143,2.0057548735850253e-84
1.676549676898064e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991677,0.11866996602914234,0.022821567693042322,3.580883019960953e-77,2.927761518814804e-38,1.4046515106303613e-25,2.4837602377662835e-56,1.93036674044491e-38,1.5085824002325678e-89,1.4796880427999776e-14,5.114563375075909e-75,1.479688042753136e-14,3.9517518089086913e-51,2.478380163011403e-50,7.459949868498536e-75,8.649794390871587e-76,5.042771390768889e-27,7.439846489022234e-59,8.080982614475725e-13,2.3926353265304448e-14,9.578555121708658e-17,4.246464760642201e-27,1.5724152474148366e-26,9.578488169035851e-17,3.3141902657702056e-22,2.1593713771125906e-24,6.284319574009641e-28,2.8833679211412277e-48,1.5415666844263553e-36,1.7269712990783973e-51,1.4146424279583373e-26,1.0993792860298495e-69,1.3137670922389995e-68,2.376038858574197e-38,1.1955190183813157e-70,1.7989274179565223e-22,1.0568368756146042e-81,4.5173586817711134e-63,1.9359329464117285e-70,5.120812058483454e-50,2.4519188730859785e-91,1.0354716861403969e-98,3.639122558235681e-139,5.850948224586142e-82
3.3531050387304875e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983355,0.11866996602831935,0.02282156769303036,1.1429090655011658e-74,2.3422172346792013e-37,5.63704085351958e-25,1.9812650512244258e-54,1.5442994999462747e-37,4.8093563775696115e-87,2.9593811030029895e-14,3.273340272995909e-73,2.9593811028156224e-14,6.322829646769673e-50,3.965424701068766e-49,1.1894563264386797e-72,1.379171749064153e-73,2.0171136861041434e-26,3.928187196205875e-57,1.616199262928357e-12,4.785278766122527e-14,1.9157210777289008e-16,1.6985661412342483e-26,6.28967597607963e-26,1.915694211310681e-16,1.3171393804939531e-21,1.7169847787328644e-23,6.288263993893115e-27,1.1513507457135174e-46,1.2370337148815902e-35,5.493207457523926e-50,5.658582637401638e-26,1.7549473951913686e-67,2.0947436146617418e-66,1.9008105073726046e-37,1.908449127747077e-68,3.5979617914945896e-22,3.371135890918697e-79,2.8739291230047707e-61,2.042163117398026e-68,8.193334005582337e-49,1.5598046043847065e-88,7.0440266268945704e-96,5.932656146901837e-135,1.8613262817331665e-79
