Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CO2X(24),COX(50),H2OX(23),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-6.4842116868571696e-119,1.3112018842936687e-65,2.9700073126975632e-36,5.281639460232943e-88,1.7967589324328686e-54,1.7962024963644841e-131,5.5646920903778486e-20,-6.5427272132085723e-106,5.5646920903778486e-20,2.5936458149773724e-72,3.3178437674919965e-73,1.1849820535104067e-111,1.373983987836193e-112,2.2754779007741563e-53,1.2175393936409189e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135346071855e-22,9.0087835681624273e-38,3.3357983340900261e-37,3.6022135344656061e-22,7.0767277102431574e-33,3.0334352115291142e-40,6.5474352365656778e-44,8.265005543825838e-75,2.1456307598146115e-52,2.0212293325809721e-98,-2.6558463480100726e-106,2.086864921376668e-105,3.3174158809203196e-54,-2.8880466243356091e-107
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,1.1747126209045701e-116,2.933132684791355e-64,1.793884455053874e-35,5.8363707906223031e-86,2.7152621216107907e-53,6.4812332513237828e-129,1.5581137853057977e-19,1.2630832281382804e-104,1.558113785305797e-19,7.3144962411153288e-71,1.043183172644103e-71,2.3688434119911682e-109,2.7466685323387934e-110,2.7014473635763218e-52,6.3023346031472251e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.0086197897129588e-21,5.4413052746798571e-37,2.0148221937883227e-36,1.0086197896274452e-21,4.274343359957691e-32,3.601294144849665e-39,7.773131692865494e-43,5.0280167640740654e-73,2.5472928877062837e-51,1.9034560334686954e-96,2.6877912121338088e-104,4.171756193322223e-103,3.9384361334898817e-53,2.922784421601009e-105
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,4.9589849046617635e-114,5.7953993553044662e-63,8.6367818380926463e-35,5.2803332133253902e-84,2.9209550875164711e-52,2.346710483701019e-126,3.5614029378418233e-19,1.3336825001218768e-102,3.5614029378418209e-19,1.591062702303716e-69,2.3272842726923572e-70,4.2885687822181037e-107,4.9725857197876332e-108,2.6522970404518082e-51,2.751845938473576e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.305416662309227e-21,2.6197542608862563e-36,9.7005015555029895e-36,2.3054166618975155e-21,2.0579121525949648e-31,3.5357716538974966e-38,7.631741909782435e-42,2.2698974036450353e-71,2.5009473675684642e-50,1.663630401018563e-94,5.6286733329994657e-102,7.5525732461204744e-101,3.8667799497506784e-52,6.1207874561952863e-103
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,1.595071324351445e-111,1.0312622661175601e-61,3.7719098789862083e-34,3.9962719079921805e-82,2.6848609618069121e-51,7.1156864829202282e-124,7.5679812429138743e-19,1.0541648647539455e-100,7.5679812429138618e-19,2.9495621046855849e-68,4.3587458752904869e-69,6.4983955344608093e-105,7.5348747978880608e-106,2.3459266951319704e-50,1.0244432459945447e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104078689141e-21,1.1441155123967374e-35,4.2364638842624962e-35,4.8990104060708614e-21,8.9874414480572265e-31,3.1273494654904383e-37,6.7502517673594365e-41,8.5707787764833453e-70,2.2120598113883797e-49,1.241119897240126e-92,9.0456769234940067e-100,1.1444286135618467e-98,3.4201230743885145e-51,9.8365391980513646e-101
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,4.5628433835575724e-109,1.7393761022896405e-60,1.574698409866345e-33,2.7763574854070406e-80,2.296955078874478e-50,1.9791839278409802e-121,1.5581137853057976e-18,7.471547235572376e-99,1.5581137853057924e-18,5.0695436416261753e-67,7.5286495492466825e-68,9.0347455218897734e-103,1.0475766822289961e-103,1.9718927385334749e-49,3.5293623102234864e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197900456891e-20,4.7764570410006932e-35,1.7686402767058782e-34,1.0086197892950375e-20,3.7520785624153064e-30,2.6287247861507297e-36,5.674098443487241e-40,2.9736555187596876e-68,1.8593698728306877e-48,8.5611752635102406e-91,1.2932961112600819e-97,1.5911037173016631e-96,2.8748195197507696e-50,1.4063688116486594e-98
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,1.2338573154408482e-106,2.8569317279275272e-59,6.4331591495664749e-33,1.8504974456953148e-78,1.899166877970408e-49,5.2791070780649485e-119,3.1607451073346185e-18,5.028008770765111e-97,3.1607451073345965e-18,8.4023968032590617e-66,1.2508963804040198e-66,1.204739618163747e-100,1.396892838963443e-101,1.6166768014752934e-48,1.1712666716794767e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572891507263e-20,1.9513385502078778e-34,7.2254726233297584e-34,2.0460572860840686e-20,1.5328454380604635e-29,2.1551859631088057e-35,4.6521410729484145e-39,9.9038755316953749e-67,1.5244242763152215e-47,5.6855191301215644e-89,1.7482728047277586e-95,2.121659852124161e-94,2.3569507280500694e-49,1.9011240582789713e-96
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,3.2459481592528538e-104,4.6312104460370209e-58,2.600387672427729e-32,1.2085331353655407e-76,1.5443709645999812e-48,1.379407409946001e-116,6.3660077513922597e-18,3.2990604631771809e-95,6.3660077513921703e-18,1.3681125014872523e-64,2.0392768026636673e-65,1.5738425362766026e-98,1.8248668304826398e-99,1.3092267852606614e-47,3.8164019227727113e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322897105739e-20,7.8876223879069475e-34,2.9206515596162941e-33,4.120932277314643e-20,6.1959975940220253e-29,1.7453231416917571e-34,3.7677036160545043e-38,3.2330256691317023e-65,1.2345191383668906e-46,3.7061517690102503e-87,2.2993805914631293e-93,2.7716848290534102e-92,1.9087198019459864e-48,2.5004151335629884e-94
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,8.4241637372761142e-102,7.4584224224448986e-57,1.045605963524611e-31,7.8139058261274965e-75,1.2455911316297071e-47,3.5679048317031398e-114,1.2776533039507543e-17,2.1377420831116351e-93,1.2776533039507187e-17,2.2081390932077327e-63,3.2934374597788481e-64,2.0353305718368671e-96,2.3599611548899051e-97,1.0537796108961955e-46,1.2322930545923513e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.2706823002294078e-20,3.1715782516722022e-33,1.1743811465478639e-32,8.2706822503858473e-20,2.4913763468554213e-28,1.4047841562281225e-33,3.0330250386733157e-37,1.0450104066526974e-63,9.9364974913055539e-46,2.3937330202365076e-85,2.9836196023433513e-91,3.5844086924203105e-90,1.536303742295065e-47,3.2444770961812622e-92
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,2.1718445669525331e-99,1.1972420293602775e-55,4.1933597429612326e-31,5.0275227917758286e-73,1.0005265350756623e-46,9.1829922837946203e-112,2.5597583615738111e-17,1.3766460586937168e-91,2.5597583615736684e-17,3.5484202436692373e-62,5.2941044518384976e-63,2.6191933155409379e-94,3.0369486741205901e-95,8.4559176333262803e-46,3.9610959105035554e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182358863999e-19,1.2719447155988472e-32,4.7097936518078502e-32,1.6570182158968471e-19,9.9914770218236297e-28,1.1272448003086397e-32,2.4345327830305079e-36,3.3615768900415719e-62,7.973435056840724e-45,1.5389993223532982e-83,3.8459550804419941e-89,4.6126459335252135e-88,1.2327869854274132e-46,4.1822065236987642e-90
