Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40),HX(39),CH3X(38),CH2X(175),CHX(176)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.321315377401528e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.0325050693273815e-84,6.2019534148390908e-42,0.0,9.3443302859671689e-52,0.0,6.427870823133693e-25,-1.3527805889188915e-112,6.4278708229955384e-25,2.6584976100499142e-74,2.2305904674426666e-106,0.0,0.0,1.0597188068038863e-67,1.5057011224772899e-89,2.5492018469653652e-18,2.8017341918250543e-20,2.8017341918250032e-20,2.4565703285456587e-34,1.2730268818021993e-43
1.7699683056724277e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,4.5466325398985074e-83,3.7459798625778098e-41,0.0,1.4121151908989566e-50,0.0,1.799803830522209e-24,2.611562652018266e-111,1.799803830438764e-24,7.4973886101443319e-73,1.3569770342303594e-104,0.0,0.0,1.2580981674421872e-66,7.7939426418605916e-88,7.1377651715030208e-18,7.8448557371102316e-20,7.8448557371099258e-20,1.4837684776991351e-33,1.5113375133830328e-42
4.0456418415369776e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,8.9833797257955606e-82,1.8035280530572773e-40,0.0,1.5190890837349646e-49,0.0,4.1138373271189895e-24,2.7575343834285826e-109,4.1138373267172372e-24,1.6308457859483058e-71,6.126042981372869e-103,0.0,0.0,1.2352082412246472e-65,3.4031403806511791e-86,1.6314891820578324e-17,1.7931098827680904e-19,1.7931098827679433e-19,7.143706504274137e-33,1.4838401312817748e-41
8.596988913266077e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,1.5985444242154042e-80,7.8764808370717023e-40,0.0,1.396304583943464e-48,0.0,8.7419043210289527e-24,2.179601112116802e-107,8.7419043192743966e-24,3.0233132367372079e-70,2.3130772679580944e-101,0.0,0.0,1.0925277010917491e-64,1.2669038367934031e-84,3.4669145118728871e-17,3.8103585008823522e-19,3.8103585008817104e-19,3.1198443057451273e-32,1.3124397895543716e-40
1.7699683056724277e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,2.6961788196844023e-79,3.28827570075028e-39,0.0,1.1945679688254456e-47,0.0,1.799803831171449e-23,1.5448240792789609e-105,1.7998038304389565e-23,5.1963029940722453e-69,8.0251395766148417e-100,0.0,0.0,9.1833536252810864e-64,4.3646758077452562e-83,7.1377651715029724e-17,7.8448557371113823e-19,7.8448557371087043e-19,1.3024735778378346e-31,1.1031847191601081e-39
3.5905071343640676e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996518,0.022821567693054285,0.0,4.4284818077129805e-78,1.3433679176389819e-38,0.0,9.8769189730397629e-47,0.0,3.6510306304548008e-23,1.0395957861469607e-103,3.6510306274623283e-23,8.6124911338401785e-68,2.6727065430851576e-98,0.0,0.0,7.5290681373241931e-63,1.4484767663255873e-81,1.4479466490763048e-16,1.5913850209571472e-18,1.5913850209560528e-18,5.3210295067531455e-31,9.0445747718164488e-39
7.231584791747348e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996503,0.022821567693054285,0.0,7.1787598473920673e-77,5.4301079098621547e-38,0.0,8.0317464771513e-46,0.0,7.3534842336064829e-23,6.8211682080834659e-102,7.3534842215104298e-23,1.4023209168833756e-66,8.7241593110329796e-97,0.0,0.0,6.0972345826276982e-62,4.7196506566697683e-80,2.916286912928282e-16,3.2051839154499762e-18,3.2051839154455535e-18,2.150845165885485e-30,7.3245310300492305e-38
1.4513740106513907e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999942,0.11866996602996474,0.022821567693054285,0.0,1.1561171428137673e-75,2.1834225086481046e-37,0.0,6.4778945038119144e-45,0.0,1.4758391458249757e-22,4.4200154903880356e-100,1.4758391409612059e-22,2.2633516135791131e-65,2.8194975421871032e-95,0.0,0.0,4.9075848407247863e-61,1.5239465973641927e-78,5.852967440632089e-16,6.4327817044388818e-18,6.4327817044210978e-18,8.6484535193874076e-30,5.8954196050743539e-37
2.907805073604703e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999881,0.11866996602996414,0.022821567693054285,0.0,1.8558240564230741e-74,8.7565008238740926e-37,0.0,5.203397148463335e-44,0.0,2.9568205980895946e-22,2.8463662506831244e-98,2.9568205785837023e-22,3.637145281699234e-64,9.067081581154622e-94,0.0,0.0,3.9380277677189987e-60,4.898590162696242e-77,1.1726328496039107e-15,1.2887977282429676e-17,1.2887977282358358e-17,3.4684164361702932e-29,4.7307026512670129e-36
