Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.717554270695001e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.574650140591173e-121,4.9436445721064605e-54,3.371359578045049e-36,8.76926035867931e-89,2.1997868044751745e-54,3.385299325564415e-132,5.928774356156224e-20,-9.68770828763394e-106,5.928774356156224e-20,3.383180993008287e-72,1.8420870685742814e-71,2.0961857723629664e-112,2.4305226211863284e-113,1.2143652133544025e-37,1.6936649233999757e-85,3.2378664363469204e-18,9.586747042136973e-20,3.8378963080343597e-22,1.0226186749666432e-37,3.786581892750577e-37,3.8378963080160436e-22,9.118483668634975e-34,4.727060949213414e-42,1.1581883375829854e-46,1.6595819062846968e-77,2.594934060596457e-52,7.082187822360211e-76,3.4066446116223703e-37,3.6915804286436237e-106,-5.77608496272814e-109,7.207692069672048e-28,4.012095562023364e-54,-3.581892724885355e-124,1.4612688989756954e-92,-6.053493134012966e-109,3.494541432323223e-102
1.8809151957946003e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,2.8527678906393977e-119,5.869094836022523e-53,2.0363011852067533e-35,9.690469264800082e-87,3.324317818659261e-53,1.2215383075341322e-129,1.6600568197237432e-19,1.8702259919884964e-104,1.6600568197237423e-19,9.541111708512066e-71,5.7918165022036826e-70,4.1904632005100053e-110,4.858832521601498e-111,7.334765888660591e-37,8.77619635273065e-84,9.066026021771375e-18,2.684289171798353e-19,1.074610966252596e-21,6.176616794269175e-37,2.2870954632188658e-36,1.0746109662415328e-21,5.507564108273976e-33,5.611966730367368e-41,1.3750292049537328e-45,1.0096248932955537e-75,3.080705716833683e-51,4.308440441482891e-74,2.0576133454163065e-36,7.379800083501036e-104,5.845666355093994e-107,2.018153779901628e-27,4.763159849430144e-53,6.61390629937218e-122,1.6147428070630536e-90,6.126416320624178e-107,3.294374503580187e-100
4.299234733244801e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.2043263429892566e-116,5.762312113302262e-52,9.803913653968152e-35,8.767584958101964e-85,3.5761494119969265e-52,4.4230881496566e-127,3.794415587939985e-19,1.974761165911685e-102,3.7944155879399806e-19,2.0754002005344253e-69,1.2921224010247498e-68,7.586731669147027e-108,8.796798063326357e-109,3.531374040434601e-36,3.8402191825931037e-82,2.0722345192620263e-17,6.135518106967663e-19,2.456253637162817e-21,2.9737751030089688e-36,1.1011380144081425e-35,2.4562536371095502e-21,2.6516550094667245e-32,5.509862153932884e-40,1.350071159068958e-44,4.55812675159247e-74,3.0246551413212914e-50,1.9450359420043004e-72,9.906522530543762e-36,1.3360948498122795e-101,1.2242249286381576e-104,4.6129229273442896e-27,4.676498581502041e-52,2.7569819472030353e-119,1.460897858676533e-88,1.2830208103007807e-104,2.8854145896151015e-98
9.135873808145201e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,3.8740492483043735e-114,5.0966998081743187e-51,4.281626665164134e-34,6.636013296883408e-83,3.2870974259109285e-51,1.3412701395273657e-124,8.06313312437247e-19,1.560884121422088e-100,8.063133124372452e-19,3.847442199589275e-68,2.42000225498039e-67,1.1496930877637107e-105,1.333066512550192e-106,1.5422438209600898e-35,1.4357033073547698e-80,4.403498353431798e-17,1.3037975977306284e-18,5.219538979030861e-21,1.2987257132871385e-35,4.808959003754733e-35,5.219538978798234e-21,1.1580473831652382e-31,4.873410570413492e-39,1.1942281973533403e-43,1.721211668704119e-72,2.6752732197216523e-49,7.344085469718887e-71,4.326438656704513e-35,2.0247177314349685e-99,1.967568866348762e-102,9.802461228524878e-27,4.136310028879576e-51,8.874793502028654e-117,1.1056295006907668e-86,2.0620653465863408e-102,2.1617021058182892e-96
1.8809151957946004e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,1.1083779476430695e-111,4.284083288083748e-50,1.7874948492217137e-33,4.610996059403311e-81,2.8121810531580445e-50,3.731232934820036e-122,1.6600568197237446e-18,1.1062993875318993e-98,1.660056819723737e-18,6.612770115357372e-67,4.179952082741222e-66,1.598669129541276e-103,1.853653208768941e-104,6.43856436120503e-35,4.9881631553331627e-79,9.06602602177131e-17,2.684289171798352e-18,1.074610966295736e-20,5.421924179388648e-35,2.0076457195017047e-34,1.0746109661986183e-20,4.834619656347645e-31,4.0963950485414364e-38,1.0039983152150975e-42,5.972722427288322e-71,2.248728339073054e-48,2.5480043057789584e-69,1.806202973031872e-34,2.815406796552024e-97,2.813547533085565e-100,2.018153785606711e-26,3.47681779921342e-50,2.5401748550351058e-114,7.681076663386758e-85,2.948673853651976e-100,1.5036772140716966e-94
3.815570825754761e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,2.9981391995901723e-109,3.512350313165538e-49,7.302499708406237e-33,3.074270816161368e-79,2.3251656769980725e-49,9.955433074515499e-120,3.3675438342967413e-18,7.44488771630456e-97,3.3675438342967105e-18,1.0960181508571836e-65,6.945052899684766e-65,2.1324045358319763e-101,2.4725181947738222e-102,2.6303636267341588e-34,1.6832352784398812e-77,1.8391081358450232e-16,5.445272319933798e-18,2.1799251031571993e-20,2.2150329248505396e-34,8.20188784268007e-34,2.1799251027604427e-20,1.975099710795351e-30,3.358471857888489e-37,8.234296569005783e-42,1.9898584340146947e-69,1.8436433557884523e-47,8.485917434924027e-68,7.378928494132564e-34,3.755365079670956e-95,3.804523647849588e-98,4.093969121187579e-26,2.8505052735256273e-49,6.872574750260757e-112,5.119404624538184e-83,3.9872436075145296e-98,1.0152670859279278e-92
7.684882085675081e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996495,0.02282156769305428,7.892186805416245e-107,2.844392347731409e-48,2.951787142400355e-32,2.0090029646955204e-77,1.8907861131565253e-48,2.602909389529783e-117,6.782517863442746e-18,4.8848631411329327e-95,6.782517863442621e-18,1.7845814345020964e-64,1.1322189059958812e-63,2.7874367130575767e-99,3.232026509942447e-100,1.0632350338220108e-33,5.666047662265718e-76,3.704119203180764e-16,1.0967238616204684e-17,4.390553377184782e-20,8.953517110557482e-34,3.315334202792644e-33,4.390553375581028e-20,7.983667459421176e-30,2.7197771042673614e-36,6.673063049452782e-41,6.499750250887153e-68,1.4930301907748164e-46,2.769944304669367e-66,2.9826808760663586e-33,4.908938392120571e-93,5.006928590337415e-96,8.245599832639005e-26,2.3084130444666753e-48,1.809298562562922e-109,3.343166716160412e-81,5.247396493639996e-96,6.835407220594825e-91
1.5423504605515724e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996457,0.022821567693054275,2.0507834801037205e-104,2.289414418476476e-47,1.186900630211717e-31,1.3005478687866929e-75,1.5249874986852943e-47,6.7408206211217e-115,1.3612465921734788e-17,3.1653186183027144e-93,1.3612465921734287e-17,2.8803216301568514e-63,1.8285365551121274e-62,3.6092149605570804e-97,4.184876513131048e-98,4.27522130822263e-33,1.9467252038433157e-74,7.434141337852069e-16,2.2011171208746434e-17,8.81180992645857e-20,3.6001697506450575e-33,1.3330813014746582e-32,8.811809920009945e-20,3.2101964759561606e-29,2.1891124552524138e-35,5.378653738078979e-40,2.1035291321529842e-66,1.2017205907626679e-45,8.951978238991778e-65,1.1993228618159005e-32,6.356167227223121e-91,6.504924668121886e-94,1.6548861416700607e-25,1.8580115966867645e-47,4.7016850267564346e-107,2.1612482918321235e-79,6.817336895728393e-94,4.695570657357707e-89
3.090074964519701e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999984,0.11866996602996381,0.022821567693054264,5.300218389794828e-102,1.8371108893148644e-46,4.760002402958845e-31,8.388456934948208e-74,1.224952891311567e-46,1.7391912331746036e-112,2.7272362038319017e-17,2.038376581903019e-91,2.7272362038317002e-17,4.62859953527734e-62,2.9393191002245417e-61,4.6559792079501584e-95,5.398597269753416e-96,1.7145549585437378e-32,7.01098682878838e-73,1.4894185607193983e-15,4.409903639382984e-17,1.7654323029880639e-19,1.4438290109171278e-32,5.346252253306364e-32,1.7654323004018765e-19,1.287431487288281e-28,1.756623638446723e-34,4.328215180367211e-39,6.783428931627487e-65,9.643050964378731e-45,2.878820040725879e-63,4.809821084992677e-32,8.199617581554558e-89,8.405762779535216e-92,3.3155385229458826e-25,1.490937214385844e-46,1.2151625138990461e-104,1.3901594070853036e-77,8.809466681708062e-92,3.37987133300921e-87
