Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),HOX(22),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),H2OX(23),COX(50),CHOX(53)
6.649310165217264e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,0.0,1.2998199643930999e-54,4.5768442976100226e-36,2.1300816546030657e-75,1.7681285707771513e-48,2.2057919435668143e-119,6.7613944650527131e-22,1.154730479378665e-101,6.7613944649623768e-22,2.8241264066762157e-68,3.5341837797202839e-61,2.1365288695502327e-100,1.2909895751777733e-101,7.0247193838400408e-47,8.6908008997901253e-81,2.6814725642086117e-15,1.2892758379774161e-16,4.9695656811959735e-20,4.9695656841812395e-20,3.6496290466437157e-32,1.4939985608299077e-29,5.5612387733925554e-35,3.835151442833077e-41,5.3587311708462858e-66,1.6681940725002052e-49,7.0211684974349083e-46,1.8912076608511175e-90,2.1923732064731295e-93
1.3304397315808305e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,0.0,2.0814054194904169e-53,1.8319387523589095e-35,1.9863707781237276e-73,1.4159368711978327e-47,8.2197466402141391e-117,1.3528663295589379e-21,7.4016973591586982e-100,1.3528663295227801e-21,4.5235103029078521e-67,5.6612744647886299e-60,3.982132243070877e-98,2.4061884967494089e-99,5.6240465859765307e-46,2.7841777015721752e-79,5.3652748178718675e-15,2.5796718113483488e-16,9.9434489664276096e-20,9.9434489783764811e-20,1.4608026695246795e-31,5.9798654502589492e-29,4.4523556009727061e-34,4.4865583415622512e-40,2.5019206010338473e-64,1.3355752209340261e-48,5.6212037074812008e-45,3.5248945469124586e-88,4.0934443057384487e-91
2.6614571616990387e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,0.0,3.331603903319834e-52,7.3302074271697453e-35,2.0679669797666155e-71,1.133323382166625e-46,3.4200751960217257e-114,2.7063200957202405e-21,4.740744735743549e-98,2.7063200955755629e-21,7.2415451595459113e-66,9.0633062950309624e-59,8.2867563284981086e-96,5.0072414350813153e-97,4.5009461292556178e-45,8.914365951239105e-78,1.0732879325193391e-14,5.1604637580901121e-16,1.9891215527930923e-19,1.9891215575742136e-19,5.8451129022146177e-31,2.3927072754926234e-28,3.5632106101525819e-33,5.8572144806826297e-39,1.3038191691434069e-62,1.0688750958870224e-47,4.4986709459958544e-44,7.3352515881049898e-86,8.5298988247017369e-89
5.323492021935455e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,0.0,5.331649981209414e-51,2.9326132584339767e-34,2.3429533423773228e-69,9.068883143601008e-46,1.5490335781823534e-111,5.4132276282587253e-21,3.0352478499918218e-96,5.4132276276799209e-21,1.1589616071976461e-64,1.4505503147111098e-57,1.8769997953938353e-93,1.1341700662614323e-94,3.60144011101441e-44,2.8533969129575057e-76,2.1468088339816482e-14,1.0322047651573227e-15,3.9786748615097692e-19,3.9786748806375113e-19,2.3384253241263525e-30,9.5722445738957044e-28,2.8510666052432483e-32,8.3138371816640533e-38,7.3917779726317463e-61,8.5527689555915208e-47,3.599619592394224e-43,1.6614782514902007e-83,1.9338073480466256e-86
1.0647561742408289e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,0.0,8.5315047621100768e-50,1.1731831549659113e-33,2.8042434621487689e-67,7.2560250371252758e-45,7.4134359998608243e-109,1.0827042694199209e-20,1.9429334923830132e-94,1.0827042691883808e-20,1.8545901066408057e-63,2.3212169561771268e-56,4.4920357887404898e-91,2.7142956280398104e-92,2.8814246287618897e-43,9.1321499812153887e-75,4.2938506368982849e-14,2.0645215438537819e-15,7.9577814646071828e-19,7.9577815411255187e-19,9.3544589908387039e-30,3.8290953976765598e-27,2.2810006361514001e-31,1.2455477759506638e-36,4.4256539156118688e-59,6.8430955650296262e-46,2.8799680334410498e-42,3.9762494619665834e-81,4.6304460399462003e-84
2.1295701183353955e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,0.0,1.3651092121328435e-48,4.6932626033491646e-33,3.4646253454205174e-65,5.8051874219824531e-44,3.6630002624559549e-106,2.1654672829534253e-20,1.2435973986226136e-92,2.1654672820272266e-20,2.967545393730615e-62,3.7142142385448154e-55,1.1098305273404929e-88,6.7061084674388282e-90,2.3052474891282885e-42,2.9224927684448657e-73,8.5879342426996336e-14,4.1291551012460408e-15,1.5915994613458252e-18,1.5915994919553172e-18,3.7419329915378572e-29,1.5316092428045929e-26,1.8247763933685773e-30,1.925052039938914e-35,2.7346537749999336e-57,5.4751054892703928e-45,2.3040820901308998e-41,9.8239703356357986e-79,1.1443597547045638e-81
4.2591980065245286e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,0.0,2.1842271412879994e-47,1.8776144179389445e-32,4.3544628684584003e-63,4.6442968365145726e-43,1.8413452506748038e-103,4.3309933114020604e-20,7.9594071548914344e-91,4.3309933076971923e-20,4.7482335523439049e-61,5.9429498356980955e-54,2.7895552274245236e-86,1.6855778142623762e-87,1.8442391297941351e-41,9.3523043907810022e-72,1.7176101454174625e-13,8.2584222160279254e-15,3.1832420681785337e-18,3.1832421906262922e-18,1.4968013569336118e-28,6.1258317905464764e-26,1.4596785970739643e-29,3.0255581334261056e-34,1.7187425882313032e-55,4.3807789067107337e-44,1.8433066805909355e-40,2.4692511257212176e-76,2.8767798307934419e-79
8.518453782902795e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,0.0,3.4947977962531369e-46,7.5127028263953825e-32,5.5213922266454404e-61,3.7154961297283433e-42,9.3389150402564261e-101,8.6620453738258396e-20,5.0941432703606586e-89,8.6620453590062168e-20,7.5973022260491835e-60,9.5088641304012242e-53,7.0739793032235448e-84,4.2744229986799479e-85,1.475404596081098e-40,2.9927897344125397e-70,3.4352435876613784e-13,1.651695644558117e-14,6.3665271900939338e-18,6.3665276799483095e-18,5.9872479948692703e-28,2.4497739703698159e-25,1.1674733557296396e-28,4.7964340825889694e-33,1.0897464866678049e-53,3.5056093014229589e-43,1.4746584552634977e-39,6.2617240176764185e-74,7.2957178700932017e-77
1.7036965335659327e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,0.0,5.5916798042656219e-45,3.0068302701519763e-31,7.0314598101970171e-59,2.9724202082457669e-41,4.7573208657955487e-98,1.732414952077944e-19,3.2602907891263091e-87,1.7324149461500638e-19,1.2155785763174227e-58,1.5214230114239728e-51,1.8017041107853223e-81,1.0886716754113038e-82,1.180323932443604e-39,9.5770103869011531e-69,6.870510471944883e-13,3.3034024904645548e-14,1.2733097066924696e-17,1.2733099026818756e-17,2.3948967083035933e-27,9.7944794339300822e-25,9.335311096314459e-28,7.6360494666716573e-32,6.9391666257787203e-52,2.8060144495661076e-42,1.1797267400850833e-38,1.59482593365842e-71,1.8582406438152444e-74
3.4073988441172392e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,0.0,8.9466130208760247e-44,1.204120406256379e-30,8.9710502795322873e-57,2.3779452325409573e-40,2.4280416517415596e-95,3.4648357903110786e-19,2.0865984038458532e-85,3.4648357665994995e-19,1.9449336956207714e-57,2.4342588558691164e-50,4.5973609604751935e-79,2.7779315515169117e-80,9.4425115016640039e-39,3.0646563275178768e-67,1.3741044239694581e-12,6.6068161822605875e-14,2.5466235352586223e-17,2.5466243195910684e-17,9.5794938307395761e-27,3.9140736696705803e-24,7.461030557173263e-27,1.217852825643312e-30,4.4267138070258235e-50,2.2472316980385971e-41,9.4377295300864894e-38,4.069469404509529e-69,4.7416524825249451e-72
6.814803465219852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,0.0,1.4314273653276575e-42,4.8275402010777288e-30,1.1448348759670672e-54,1.9023594030149714e-39,1.2396422676409014e-92,6.9296775021469943e-19,1.3354266426895573e-83,6.9296774073005693e-19,3.1118996433594434e-56,3.8947301609043837e-49,1.1733802752705394e-76,7.0900726512056659e-78,7.5538476547452453e-38,9.8069190429117269e-66,2.7482111771924732e-12,1.3213643565785279e-13,5.0932506051910643e-17,5.0932537455004929e-17,3.831708516032041e-26,1.5626569338743322e-23,5.9572785679014625e-26,1.9427031236226895e-29,2.8245665640601238e-48,1.8016396553500604e-40,7.550015002386987e-37,1.0386439511191754e-66,1.2101860672208632e-69
1.3629612707425078e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,0.0,2.2901800329910473e-41,1.9398123919426677e-29,1.4591292115318225e-52,1.5218881541624026e-38,6.3222701640702523e-90,1.385936106729736e-18,8.5467387648027588e-82,1.3859360687911518e-18,4.979041938607219e-55,6.2312782247552316e-48,2.9910515559976846e-74,1.8073144932374395e-75,6.0428062197021387e-37,3.1382158137890093e-64,5.4964246823308054e-12,2.6427298332565152e-13,1.018650239625759e-16,1.0186514981191255e-16,1.5326092750502263e-25,6.2269616627982124e-23,4.7474343955577664e-25,3.0949539142972009e-28,1.7999829153146659e-46,1.4474437829941718e-39,6.0397287852416935e-36,2.6475810829363345e-64,3.084716372542094e-67
2.725923119183553e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,0.0,3.6639517234498828e-40,7.8288715194978535e-29,1.8534448063262443e-50,1.2175097279615709e-37,3.2147890311987432e-87,2.771872876351166e-18,5.4699110033187915e-80,2.7718727245968624e-18,7.9664624689549116e-54,9.9691002028338682e-47,7.5988820620501545e-72,4.5915085556314429e-73,4.8338046087597592e-36,1.0042285118639801e-62,1.0992851687376673e-11,5.2854607865046877e-13,2.0372996583205806e-16,2.0373047110660463e-16,6.1298382847256436e-25,2.4720488794649932e-22,3.7688240355526915e-24,4.913774828986201e-27,1.143174920301525e-44,1.1676650343273279e-38,4.8313245662958538e-35,6.7262033108651682e-62,7.8359882005827013e-65
5.451846816065644e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,0.0,5.8612432916350861e-39,3.1860866129131376e-28,2.3377014728452749e-48,9.7400578731635493e-37,1.6243849571930734e-84,5.5437466419590648e-18,3.5007367724355725e-78,5.5437460349423711e-18,1.2746314995476341e-52,1.5947523699557393e-45,1.9169445155119367e-69,1.1582624091479247e-70,3.8663371359738216e-35,3.2135250882499903e-61,2.1985705676545238e-11,1.0570922692569831e-12,4.0745947376432696e-16,4.0746150959512256e-16,2.4514552239683296e-24,9.7414209741654264e-22,2.9694049849403214e-23,7.7457097734407042e-26,7.2088765065534239e-43,9.4935489602514905e-38,3.8643241592662753e-34,1.6967570535437325e-59,1.9763217388419704e-62
1.0903694209829825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,0.0,9.3745339896457384e-38,1.3162966099024393e-27,2.9074815700463713e-46,7.7920114879970211e-36,8.1060136717820037e-82,1.1087495078631539e-17,2.2404623904462054e-76,1.1087492650569738e-17,2.0394016033781113e-51,2.5506298572956654e-44,4.7687913802936998e-67,2.8813048018049899e-68,3.0919389671724455e-34,1.0283236702022306e-59,4.3971413571189661e-11,2.1141846502975351e-12,8.1491698640763727e-16,8.1492524326734747e-16,9.8019799461699983e-24,3.7839060447926949e-21,2.3053643103890159e-22,1.2037949321976763e-24,4.4824614530997335e-41,7.8288493410092572e-37,3.0902823034757652e-33,4.2208325424278284e-57,4.9143454862108288e-60
2.180738899735819e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,0.0,1.498820682701544e-36,5.574255497869865e-27,3.5209212144257328e-44,6.2335523381407051e-35,3.9504895048572196e-79,2.2174995573776598e-17,1.4338837274286615e-74,2.2174985861569895e-17,3.2630137704905811e-50,4.0778961554262719e-43,1.155202199800833e-64,6.9792032381857128e-66,2.471743562844805e-33,3.2906071778855235e-58,8.7942829025707707e-11,4.2283694116887456e-12,1.6298259988538226e-15,1.6298598713177277e-15,3.917722120328836e-23,1.4303823899027818e-20,1.7404838129508265e-21,1.8210283142061258e-23,2.7135054574202124e-39,6.6095440608652264e-36,2.4703442621926822e-32,1.022367887049059e-54,1.1894210188086824e-57
4.3614778572414917e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,0.0,2.3945850803264111e-35,2.4422000328517091e-26,4.0623599197385039e-42,4.9867504462981357e-34,1.8452524382963585e-76,4.4350011051052953e-17,9.1766983608086979e-73,4.4349972202552046e-17,5.2207293721801579e-49,6.5146976973379673e-42,2.6666444976455941e-62,1.6108200616165596e-63,1.9745086640142563e-32,1.0529759064506462e-56,1.7588565859566058e-10,8.456738931711764e-12,3.259619972740223e-15,3.2597613697372155e-15,1.5646382457557185e-22,5.1496241069192009e-20,1.2490982215519696e-20,2.6230816908165868e-22,1.5647445794286619e-37,5.7665208957149969e-35,1.9732711333648944e-31,2.3595720992611289e-52,2.7409118728098135e-55
6.542216814747164e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613188,0.022821567686711734,0.0,8.8074409336608007e-35,5.4657578898660009e-26,2.5775884478777389e-41,1.4804260980696734e-33,1.536353525029719e-75,6.6525041015102773e-17,5.2102265881239636e-72,6.6524958462516038e-17,1.9750910854360641e-48,2.4820139390061334e-41,1.9514159540490234e-61,1.1787273525873185e-62,5.6411276531524881e-32,4.9120743069891708e-56,2.6382848682653032e-10,1.2685108448975377e-11,4.8893898959764548e-15,4.8896981545835951e-15,3.3212634522910459e-22,1.0199907228127016e-19,3.3611253098137315e-20,9.1913398486034136e-22,8.4367639430213879e-37,1.7193016900041342e-34,5.6373954460283706e-31,1.7266150186005532e-51,2.0154232492873561e-54
1.0903694729758509e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756273912775,0.11866996559024293,0.022821567682483362,0.0,6.759472816225576e-34,1.6659988039487143e-25,9.8086558796020765e-40,6.9343804545213091e-33,1.8988985725440408e-73,1.1087515888857446e-16,1.4006034781164351e-70,1.1087493065837411e-16,1.5587091690330666e-47,2.0351408203175357e-40,1.3022440212062878e-59,7.8628895930937568e-61,2.5859042803047827e-31,6.5822805011767709e-55,4.3971413793193717e-10,2.1141847472467223e-11,8.1488335426940835e-15,8.149730959424977e-15,9.1568039878664715e-22,2.403127909748887e-19,1.3110226893871712e-19,6.0430687780586944e-21,1.8554948055728165e-35,8.68504240949994e-34,2.5839212267149526e-30,1.1516957324347896e-49,1.6344259329428853e-52
1.4829024853268719e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756257321374,0.11866996543194287,0.02282156767867783,0.0,1.8594448544091588e-33,3.1201387850316271e-25,4.4315882296685621e-39,1.6001437018422442e-32,1.0524198166713581e-72,1.5079031177920643e-16,6.0815243217563272e-70,1.5078990537287803e-16,4.3741711772180541e-47,5.926622870230118e-40,6.4705270574874951e-59,3.9061077090132352e-60,5.8126847407214586e-31,2.1845827040592923e-54,5.9801121960019253e-10,2.875291258469675e-11,1.1082255120831898e-14,1.1083899196114849e-14,1.6275526662954692e-21,3.8661400666376713e-19,2.7001238050654136e-19,1.5508011443141144e-20,7.4656135044542251e-35,2.0393684186501979e-33,5.8078871519588905e-30,5.7213038002210081e-49,9.5973929487158644e-52
1.875435497677893e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756240729974,0.11866996527364282,0.022821567674872298,0.0,4.1826549940705528e-33,5.0729939027369537e-25,1.4853189375139102e-38,3.0809191173834157e-32,4.6642796783501183e-72,1.9070551420996272e-16,1.8414682017326873e-69,1.9070487981030521e-16,1.0014755913507199e-46,1.3544218961943794e-39,2.5086090248957361e-58,1.5142563193517284e-59,1.0970214469748956e-30,5.8699114351371992e-54,7.5630829668881878e-10,3.6363977687491688e-11,1.4015594453448459e-14,1.4018223573785536e-14,2.5359181450329092e-21,5.490281119088831e-19,4.6772370279838099e-19,3.2448921947020905e-20,2.1287535056574234e-34,3.9981621079022312e-33,1.0960486715048586e-29,2.2178937937429304e-48,3.4822698030516685e-51
2.267968510028914e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756224138573,0.11866996511534277,0.022821567671066766,0.0,8.0295473569145399e-33,7.5118952625944979e-25,3.99846867577905e-38,5.2382137653442307e-32,1.5527780019764603e-71,2.3062076343539507e-16,4.7805845670427594e-69,2.3061985398600723e-16,1.9529065634859383e-46,2.6748103048043935e-39,7.4680657173688858e-58,4.5073114961375988e-59,1.8311215533500499e-30,1.2985465128728826e-53,9.1460536945150032e-10,4.3975042781376805e-11,1.6948856098481216e-14,1.6952701461351706e-14,3.6289981974170892e-21,7.2263547921880839e-19,7.2300959251224913e-19,5.8446127854943737e-20,5.1737537936626836e-34,6.8812703110208665e-33,1.829393028544073e-29,6.6016320801375124e-48,1.0801790217775927e-50
3.053034534730956e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756190955772,0.1186699647987427,0.022821567663455701,0.0,2.0725663285106537e-32,1.3528840338769259e-24,1.7535556483832653e-37,1.158130123944206e-31,9.6001846754222016e-71,3.1045136859713187e-16,2.1144901770638685e-68,3.1044980174055772e-16,5.1847371937463522e-46,7.4618813506900295e-39,3.7006629891223765e-57,2.2324505280028335e-58,3.9005790678673346e-30,4.0855381674128501e-53,1.231199505111626e-09,5.9197172948832006e-11,2.2815202229296028e-14,2.2822021415973553e-14,6.2338281719565937e-21,1.0871026222084613e-18,1.3673090421575446e-18,1.3693109477488001e-19,2.0124363400439191e-33,1.5287599184487767e-32,3.8965349091998422e-29,3.269677848344403e-47,7.1347772005328963e-50
3.838100559432998e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756157772971,0.11866996448214263,0.022821567655844636,0.0,4.3817925064994877e-32,2.1420021270211923e-24,5.4790999576468573e-37,2.1696638956520738e-31,3.8165019255131825e-70,3.9028214672074689e-16,6.3625241625327166e-68,3.9027974852767701e-16,1.1246090525571025e-45,1.6671823837971583e-38,1.2782638294181438e-56,7.7086065082441037e-58,7.0779682231275736e-30,1.0105422614503875e-52,1.5477936247812997e-09,7.4419303083359751e-11,2.8681261212275582e-14,2.8691946719812919e-14,9.5139603028238685e-21,1.4720417454901016e-18,2.2282755396941919e-18,2.6592959048622317e-19,5.5750736886996698e-33,2.8675830331261805e-32,7.0700088233819775e-29,1.1289906198439873e-46,2.6460408554133862e-49
4.6231665841350404e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675612459017,0.11866996416554258,0.022821567648233572,0.0,8.2757075915446536e-32,3.1349431169640754e-24,1.4509693219917121e-36,3.6718164229299183e-31,1.2799088344000393e-69,4.7011310952939624e-16,1.646973946371365e-67,4.7010969428175735e-16,2.1733809081739601e-45,3.2866572181449696e-38,3.7305139207576327e-56,2.2489734471781262e-57,1.1683516650633004e-29,2.1979227865764656e-52,1.8643877273759259e-09,8.9641433182733096e-11,3.4547013584879142e-14,3.4562542190435645e-14,1.3509106511471939e-20,1.8689059282108618e-18,3.3166822393851123e-18,4.6271216489188189e-19,1.325532522607045e-32,4.8695809866350188e-32,1.1669335485903411e-28,3.2937419034205872e-46,8.1978295503621113e-49
