Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),H2OX(23),CO2X(24)
5.8056748747750694e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,2.4379236013190545e-99,1.9185542483034221e-54,1.6795219635918212e-30,5.2970233748057291e-72,8.0676558788523745e-46,3.8700658706736391e-110,5.1239699480184932e-17,8.8898122087430631e-90,5.1239699480178227e-17,5.7232997638237738e-61,1.2201598376698633e-61,5.5191595491383536e-93,6.399450990922447e-94,1.5883401637514684e-45,1.2778740927549984e-71,2.7983398510642101e-15,8.2853869415185128e-17,3.3169182285232088e-19,5.0944123462352704e-32,1.8863748499893349e-31,3.3169182154318671e-19,6.5282154532966714e-28,2.4034906639967584e-33,8.525382902733272e-38,4.7126684434969794e-63,6.3884183979735548e-44,9.9301783243190711e-82,9.7197564888369098e-87,1.4334998754285625e-89,9.8772958704936053e-46,2.1585678740946467e-89
1.1616393776374444e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,6.2965269094577783e-97,3.0721859124853339e-53,6.7224651537260803e-30,3.4186770731264495e-70,6.4606678597653326e-45,9.9906327815358131e-108,1.025239165098768e-16,5.698273385513203e-88,1.0252391650984998e-16,9.1672261553177042e-60,1.954527288754987e-60,7.1239590861698498e-91,8.2602118346006063e-92,1.2716376610166985e-44,4.093786748723968e-70,5.5991109270194273e-15,1.6577972307833999e-16,6.6367182410110554e-19,2.0390921532063048e-31,7.5504154304957038e-31,6.6367181886114753e-19,2.612977856365216e-27,1.9242468383357588e-32,6.8755873104494655e-37,1.5208234492301557e-61,5.114619390833695e-43,6.3625622510687726e-80,1.2545958652710045e-84,1.8511933626871426e-87,7.9078409525262208e-45,2.7875318876206381e-87
2.3237831579573192e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998839,0.11866996602995392,0.022821567693054122,1.6362789697083899e-94,4.9174963388239083e-52,2.6898619742536842e-29,2.2204856845272681e-68,5.1711528294152713e-44,2.5954391343964389e-105,2.050923505692666e-16,3.6497114473379376e-86,2.0509235056915924e-16,1.4675523611625439e-58,3.1290611317958167e-59,9.2537957027095548e-89,1.0729751789084501e-89,1.0176962072241723e-43,1.3107465523490738e-68,1.1200653078925914e-14,3.3163143040464459e-16,1.327631830540003e-18,8.1590212325517941e-31,3.0211496559926065e-30,1.3276318095732686e-18,1.045523794644282e-26,1.5399708954239439e-31,5.5827445759746331e-36,4.9394894056518374e-60,4.0932503349764986e-42,4.0743607036280766e-78,1.6296800232208446e-82,2.405406168047867e-85,6.3286736151935131e-44,3.6220671707084537e-85
4.648070718597069e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,4.3084865864501253e-92,7.8695891287245155e-51,1.0761201599269264e-28,1.4614534848918599e-66,4.1379699357302215e-43,6.8319048876776839e-103,4.1022921868807038e-16,2.3367170060079375e-84,4.102292186876407e-16,2.3487209001139985e-57,5.0079491900520561e-58,1.2179874284715785e-86,1.4122532201806914e-87,8.1431095212003022e-43,4.1955649933876924e-67,2.2403737382723085e-14,6.6333484505723323e-16,2.6555518591835131e-18,3.2641370394941141e-30,1.2086565851602056e-29,2.6555517753023076e-18,4.1827143417915493e-26,1.2321924596378882e-30,4.595361639143889e-35,1.6258420350202418e-58,3.275222792027499e-41,2.6083337594765855e-76,2.144989838145982e-80,3.1669973339772199e-83,5.0638964363876697e-43,4.7688736665593247e-83
9.296645839876569e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.11866996602991969,0.022821567693053622,1.1635520009794608e-89,1.2592604305036062e-49,4.3048327068418862e-28,9.865511291850502e-65,3.3107950681918746e-42,1.8442184759670658e-100,8.2050295492577438e-16,1.4957874859724756e-82,8.2050295492405565e-16,3.7584632096080474e-56,8.0138701633284991e-57,1.6440861161085561e-84,1.9063135250924773e-85,6.5150959794257395e-42,1.3427689897702855e-65,4.4809905990254221e-14,1.3267416743623283e-15,5.3113919795366309e-18,1.3057588901476424e-29,4.8350197980565103e-29,5.3113916439795748e-18,1.6731725904732444e-25,9.8581839349666376e-30,3.881957477450418e-34,5.4897233864027517e-57,2.6204280093653975e-40,1.669571372801287e-74,2.8953894827958531e-78,4.2768109861169479e-81,4.0514954039221231e-42,6.4400354354884118e-81
1.8593796082435566e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990762,0.11866996602987405,0.02282156769305296,3.2879890418675548e-87,2.0149130071882486e-48,1.7220045399463054e-27,6.968169244831541e-63,2.6488037119280687e-41,5.207835426978042e-98,1.6410504274015687e-15,9.573963536076894e-81,1.6410504273946938e-15,6.0139489768056646e-55,1.2823082033743545e-55,2.3217241013610595e-82,2.6920329777544865e-83,5.2123079034485388e-41,4.2971618910353954e-64,8.9622243205063667e-14,2.6535553329721894e-15,1.0623072472533115e-17,5.2232305768334445e-29,1.9340866006027302e-28,1.0623071130210877e-17,6.6925681989106887e-25,7.8864547993833665e-29,3.4342113421093202e-33,1.9400304815661708e-55,2.0964435062720623e-39,1.0686017677874669e-72,4.0887733295396011e-76,6.0437429180009481e-79,3.2413399469664334e-41,9.1006904580352119e-79
3.7188096567553564e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981531,0.11866996602978278,0.022821567693051634,9.9994967378496921e-85,3.2239230723414494e-47,6.8881694053985922e-27,5.2964903367296578e-61,2.1191100334156845e-40,1.5821925076376969e-95,3.2821453723547024e-15,6.1276322336336339e-79,3.2821453723272027e-15,9.622644637569283e-54,2.0517542395445394e-54,3.5276988483981614e-80,4.090357494903205e-81,4.1699191923029689e-40,1.3751399827897445e-62,1.7924691763367133e-13,5.3071826501905966e-15,2.1246434467894058e-17,2.089320722834275e-28,7.7365036647325812e-28,2.1246429098180652e-17,2.6767661893343841e-24,6.3085668941683331e-28,3.2729531440280166e-32,7.3805569771939189e-54,1.6771971383072241e-38,6.8392947812110343e-71,6.2126075210845912e-74,9.1924795471474238e-77,2.5931171107759921e-40,1.3842079958282238e-76
7.437669753778956e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,3.3695665448388511e-82,5.1582793778843012e-46,2.7553046719260755e-26,4.4604372728368283e-59,1.6953148508938667e-39,5.3246278491113533e-93,6.5643352622671505e-15,3.9217792066050962e-77,6.5643352621571502e-15,1.5396492412234985e-52,3.2828234502635103e-53,5.9378726984649924e-78,6.8849476248017033e-79,3.3359331731536554e-39,4.400525005160263e-61,3.5849626648684167e-13,1.0614437284622147e-14,4.2493162497741089e-17,8.357255782903156e-28,3.0946328360450451e-27,4.2493141016149675e-17,1.0704650037548467e-23,5.0457190576111861e-27,3.4589448791756138e-31,3.1118033165448027e-52,1.3417776713893312e-37,4.3772265356770719e-69,1.0457148518268445e-71,1.5493073626361726e-74,2.0744920738923471e-39,2.3329579343171017e-74
1.4875389947826155e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679926153,0.11866996602923512,0.022821567693043672,1.2768733889689713e-79,8.2530974688796204e-45,1.1021345749633886e-25,4.2241806552422655e-57,1.3562626075857887e-38,2.0150401118496146e-90,1.3128715042116769e-14,2.509968946876772e-75,1.3128715041676764e-14,2.4634596551879673e-51,5.2524277372054519e-52,1.123928315476215e-75,1.3031918660018847e-76,2.6686955420230993e-38,1.4081803150920698e-59,7.1699496417700236e-13,2.1228946553464198e-14,8.4986634727160405e-17,3.3428296197845997e-27,1.2378593424024278e-26,8.4986548780211715e-17,4.2798642036324493e-23,4.0346894471516832e-26,4.1111386824889327e-30,1.475451034917459e-50,1.0734349613878977e-36,2.8014498580011682e-67,1.979342564005081e-69,2.9364542894383337e-72,1.659561532482332e-38,4.4217466184921808e-72
2.9750830335920553e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679852312,0.11866996602850491,0.022821567693033059,5.3869235857497637e-77,1.3204351543523307e-43,4.4086062404731085e-25,4.4540442644322116e-55,1.0850143722321594e-37,8.4918695157665046e-88,2.6257474601914897e-14,1.6063897941913023e-73,2.6257474600154876e-14,3.9415521107179874e-50,8.40348260624765e-51,2.3688937317903537e-73,2.7467257948920105e-74,2.1348558429139316e-37,4.5061966054834619e-58,1.4339923594926035e-12,4.2457965091064106e-14,1.6997364397057186e-16,1.3370634965506982e-26,4.9514492570145688e-26,1.6997330002088021e-16,1.7103380857325273e-22,3.2247094395385562e-25,5.4363218110412766e-29,7.7871512115864958e-49,8.5876083120147572e-36,1.7929358112265357e-65,4.1718419343392994e-67,6.1958458393560589e-70,1.3275860103297755e-37,9.3298310633392157e-70
5.950171111210935e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.022821567693011829,2.4605872554783611e-74,2.1124927912916784e-42,1.7634900024030601e-24,5.0852407383844505e-53,8.6801320489263707e-37,3.8759887812775977e-85,5.2514993721906701e-14,1.0280925450059249e-71,5.2514993714866603e-14,6.306496601379953e-49,1.3444195103412478e-49,5.4072194463155671e-71,6.269655543475662e-72,1.7077161524159314e-36,1.4419859824897512e-56,2.8679871498649258e-12,8.4916002165927116e-14,3.39947922438583e-16,5.3476868573803922e-26,1.9805816574162084e-25,3.3994654535278329e-16,6.8284993582413376e-22,2.574901158498341e-24,7.7754938819015631e-28,4.4486007466932069e-47,6.8702614482634863e-35,1.1474813736414936e-63,9.5226120637087914e-65,1.4152795368069147e-67,1.0619629516480695e-36,2.1311820141624978e-67
1.1900347266448695e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679409272,0.11866996602412364,0.02282156769296937,1.1806590444166514e-71,3.3793295371667747e-41,7.0543247056468614e-24,6.0994565124022348e-51,6.9441123497874004e-36,1.8590192619044776e-82,1.0503003196347254e-13,6.5798019145851644e-70,1.0503003193531215e-13,1.0090404803261968e-47,2.1506233603231229e-48,1.2968550850405234e-68,1.503699490101407e-69,1.3659003257658728e-35,4.6143596262844422e-55,5.7359767295740496e-12,1.6983207631430599e-13,6.7989752599690159e-16,2.1386170969964258e-25,7.9223271559044231e-25,6.7989200742197557e-16,2.7211660894946074e-21,2.0521698599070457e-23,1.1672734250610683e-26,2.6690561986903036e-45,5.4964752692482711e-34,7.3438876955147179e-62,2.2838796091668182e-62,3.3957324859801242e-65,8.4939914983356597e-36,5.1135447653699665e-65
2.380069957692421e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,5.8119887212328797e-69,5.4048134500796164e-40,2.8220159441473361e-23,7.5060295273004236e-49,5.5552923756306651e-35,9.1494267842509277e-80,2.1006010845293303e-13,4.211076025532246e-68,2.1006010834029149e-13,1.6144654795374541e-46,3.4395592255500609e-47,3.1914974874237548e-66,3.7005301299820488e-67,1.0922831449237193e-34,1.4765955238772484e-53,1.1471955884850218e-11,3.3966422460567507e-13,1.3598009725353399e-15,8.5508012641916683e-25,3.1689282612277882e-24,1.3597788172068317e-15,1.080363792370228e-20,1.6294581090826803e-22,1.7967181332829801e-25,1.6426283133597909e-43,4.3975968703833504e-33,4.7000891184006926e-60,5.6205082098822638e-60,8.3580717726681544e-63,6.7924478496766942e-35,1.2586797577622115e-62
