Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CO2X(24),CHOX(53)
4.6480707194911954e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,9.4688522852239765e-90,7.8916357326635451e-51,1.0762193442171274e-28,8.5480631515722338e-66,4.1137620376897026e-43,3.9970558002705503e-102,4.1022910090265688e-16,2.323046654737462e-84,4.1022910090228976e-16,2.3349809931781178e-57,1.3094714081934195e-56,7.1252933705939525e-86,8.2617613965430709e-87,1.3052274049554852e-40,4.171022351850515e-67,2.2403737387032777e-14,6.6333484518483572e-16,2.6555520743213148e-18,3.2641424807163201e-30,1.2086560889365186e-29,2.6555515612938126e-18,2.5636397018033041e-25,4.6296288577890895e-29,1.0089161215550591e-32,3.5721855326871933e-56,5.0639043163242886e-43,3.2755044826803515e-41,2.5930745689459071e-76,1.2548312149358701e-79,1.047971333952213e-80,1.1395958326500648e-81
9.296645841664919e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.11866996602991969,0.022821567693053622,2.4468195363656258e-87,1.2627901594148843e-49,4.3056273570087608e-28,5.5218025527728068e-64,3.2914262983168866e-42,1.0327404984632759e-99,8.2050271934204023e-16,1.4870367729786082e-82,8.2050271934057177e-16,3.7364763769168316e-56,2.0954585739977246e-55,9.2051549598257735e-84,1.0673356145194139e-84,1.0442810604036134e-39,1.3349142438068019e-65,4.4809905998874073e-14,1.3267416746175471e-15,5.311392839316217e-18,1.3057632430295082e-29,4.8350178129995938e-29,5.3113907868542268e-18,1.0253540721510963e-24,3.7034224955081825e-28,8.147905553006654e-32,1.1538440390568538e-54,4.0515080107458561e-42,2.6208794375778532e-40,1.6598041001176591e-74,1.6211144033814041e-77,1.3540394807694294e-78,1.4724242849595618e-79
1.8593796086012365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990762,0.11866996602987405,0.02282156769305296,6.378558705678323e-85,2.0205669412789458e-48,1.7226405689206128e-27,3.5984408299197384e-62,2.6333077159779846e-41,2.691785469508562e-97,1.6410499562208178e-15,9.5179535721789719e-81,1.6410499562149443e-15,5.9787676603535145e-55,3.3529767405950416e-54,1.1996789457605566e-81,1.3910249926088903e-82,8.3546449281979927e-39,4.2720249436800174e-64,8.962224322230385e-14,2.6535553334826408e-15,1.0623075911188273e-17,5.2232653994225166e-29,1.9340858065471541e-28,1.0623067699527066e-17,4.100101727963821e-24,2.9618674752120791e-27,6.6398758558593383e-31,3.7601953776108958e-53,3.2413601169778452e-41,2.0971661923749306e-39,1.0623502684315301e-72,2.1127474802389947e-75,1.764967485299433e-76,1.9192817890328115e-77
3.7188096574707257e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981531,0.11866996602978278,0.022821567693051634,1.6913315301524282e-82,3.2329890209686723e-47,6.8932562906825822e-27,2.3852043736801944e-60,2.1067128455624883e-40,7.1355473208691584e-95,3.2821444299784161e-15,6.0917841310294767e-79,3.2821444299549218e-15,9.566352628016868e-54,5.3649557564134108e-53,1.5901932604920242e-79,1.8438254360418131e-80,6.6838743296306168e-38,1.367095878581205e-62,1.7924691766815217e-13,5.3071826512115136e-15,2.1246448230218463e-17,2.0893485805877133e-28,7.7365004884416649e-28,2.1246415371084359e-17,1.6388900676096563e-23,2.3679338893989626e-26,5.5058263827533423e-30,1.246538327181864e-51,2.5931493819201116e-40,1.6783531890061664e-38,6.799283764798856e-71,2.800479856733707e-73,2.3401360147724257e-74,2.5447428952847114e-75
7.437669755209705e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,4.6280183399224635e-80,5.1728472093594849e-46,2.7593695197958391e-26,1.6314606754499206e-58,1.6853969456738853e-39,1.9515783044039011e-92,6.5643333774937866e-15,3.8988358720542793e-77,6.5643333773998065e-15,1.5306423687639884e-52,8.5840789369434318e-52,2.1748494339219052e-77,2.5217328973603157e-78,5.3471625071406936e-37,4.3747834258333921e-61,3.5849626655580382e-13,1.0614437286663997e-14,4.2493217631328788e-17,8.3574786415596518e-28,3.0946315655125629e-27,4.2493086099074066e-17,6.5461740468469498e-23,1.8917884798414513e-25,4.7141829829761019e-29,4.2651301369810058e-50,2.0745437065481484e-39,1.3436253417584501e-37,4.3516190344396512e-69,3.8301141659768175e-71,3.2020516652012741e-72,3.4820314628421339e-73
1.4875389950687662e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679926153,0.11866996602923512,0.022821567693043672,1.3368193002144812e-77,8.2766049331600875e-45,1.1053780242688985e-25,1.1778946237775317e-56,1.3483282238379004e-38,5.6328014853077039e-90,1.3128711272525216e-14,2.4952850414176425e-75,1.3128711272149297e-14,2.4490485427624712e-51,1.3734631189996255e-50,3.1392158704020778e-75,3.639913467314121e-76,4.2777547236737317e-36,1.3999429408247774e-59,7.1699496431492726e-13,2.122894655754791e-14,8.4986855978528903e-17,3.3430079019950158e-27,1.2378588341842967e-26,8.4986329094782022e-17,2.6109510130637225e-22,1.5093260493204722e-24,4.2645687704685285e-28,1.5408880741980622e-48,1.6596441422674247e-38,1.0763838493982404e-36,2.7850609178962662e-67,5.5284535165000281e-69,4.6255130708543299e-70,5.0299924739650497e-71
2.9750830341643574e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679852312,0.11866996602850491,0.022821567693033059,4.1946356652066329e-75,1.3242599658758821e-43,4.4344160319352622e-25,9.2372765913642103e-55,1.0786668452506688e-37,1.7654792524703457e-87,2.6257467062590845e-14,1.5969920453686378e-73,2.6257467061087156e-14,3.9184942512628095e-50,2.1975446164046777e-49,4.9209483569481713e-73,5.7058278508131043e-74,3.4222128668492203e-35,4.4798369133306231e-58,1.4339923597684539e-12,4.2457965099231542e-14,1.6997453475631717e-16,1.3372061150554672e-26,4.9514472241164465e-26,1.6997242124693561e-16,1.0384057754893865e-21,1.2009334927068914e-23,4.1945893959866134e-27,6.0487046756155551e-47,1.3277181791437893e-37,8.6345482582039358e-36,1.7824468512807831e-65,8.6662498079151621e-67,7.2589077892054547e-68,7.8937752360531305e-69
5.95017111235554e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.022821567693011829,1.4631930219058238e-72,2.1188160058160368e-42,1.7839191596143333e-24,8.0528077412670676e-53,8.6293518146718083e-37,6.1504504714097497e-85,5.2514978642733146e-14,1.0220779770172586e-71,5.2514978636718391e-14,6.2696040061700762e-49,3.5160590383001368e-48,8.5743758308646591e-71,9.9419673209409395e-72,2.7377726498316372e-34,1.4335508759389389e-56,2.8679871504166266e-12,8.4916002182261989e-14,3.3995153125957165e-16,5.348827690340049e-26,1.9805808442395846e-25,3.399430302088139e-16,4.1065685063576472e-21,9.5045914977123666e-23,4.5888728877077357e-26,2.6399686504420284e-45,1.062174400694188e-36,6.9445956977705714e-35,1.1407684350932013e-63,1.5100271020122628e-64,1.2664502834039454e-65,1.3772522667413422e-66
1.1900347268737906e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679409272,0.11866996602412364,0.02282156769296937,5.6791562472904515e-70,3.3900977195667038e-41,7.2143583495959747e-24,7.8115824602173124e-51,6.9034882534720876e-36,2.3843936968763265e-82,1.0503000180306198e-13,6.5413087416355324e-70,1.0503000177900293e-13,1.003137677431203e-47,5.6256357882480578e-47,1.6625329648661707e-68,1.927702444750997e-69,2.1902170164805945e-33,4.5873673415928713e-55,5.7359767306774536e-12,1.6983207634697563e-13,6.7991231556195632e-16,2.1395295796785396e-25,7.9223239030651101e-25,6.7987794687962873e-16,1.6061514504252829e-20,7.4440099961708523e-22,5.5840225064709435e-25,1.2819488677615425e-43,8.4973740159319556e-36,5.6130153355502523e-34,7.3009249786679776e-62,2.927872445600205e-62,2.4584805899583514e-63,2.673715378945694e-64
2.3800699581502637e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,2.3862240981606511e-67,5.4241246415830962e-40,2.9449164662409458e-23,8.2038559266861009e-49,5.5227932925326226e-35,1.0010572905926363e-79,2.1006004812389653e-13,4.1864405301369058e-68,2.100600480276603e-13,1.6050210494006679e-46,9.0008141885548306e-46,3.4906571880376556e-66,4.0474059566399256e-67,1.7521698989166986e-32,1.4679580429761287e-53,1.1471955887057029e-11,3.3966422467101411e-13,1.359862794101256e-15,8.5580981896975087e-25,3.168926959987073e-24,1.3597225761442306e-15,6.1502599745457153e-20,5.7145450542109135e-21,7.3480930454276214e-24,6.7369745505953692e-42,6.7978577491862807e-35,4.5768314276094322e-33,4.6725931405320195e-60,6.1473566192225707e-60,5.1659443985294868e-61,5.6187777156196374e-62
