Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),CHOX(53),CO2X(24),OH(D)X(68),CH4OX(63),acetyl(44),CHO2X(213),C2H4X(215),C2H6X(52),C2H4X(70),S(216),HOCO(73),CHO3(123),CHO2(74)
6.748959956367469e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999655,0.11866996602996202,0.02282156769305424,1.861838543140403e-96,1.911906019969317e-45,2.2696541327141034e-30,7.966378707041302e-71,1.259945097033909e-45,7.865573205231482e-109,5.956492364280784e-17,2.1809677333906605e-89,5.956492364280026e-17,1.0390465172241398e-60,1.2186679589097881e-59,9.649302274204393e-92,1.1188343972303894e-92,8.175193934982435e-32,2.717880967863416e-71,3.253004001515094e-15,9.631566682156775e-17,3.8558391669607935e-19,6.884342443512575e-32,2.5491541558821466e-31,3.8558390587674534e-19,5.4077600730841395e-27,1.4187785649123968e-31,3.0666126254333924e-35,2.290979484415378e-60,1.5516385749056192e-45,1.0035779180431872e-43,2.293377645553674e-31,1.8399816309737805e-63,7.241390047533131e-25,1.6993329438445866e-85,1.542053885480567e-87,1.4180719528182845e-86,2.5372141556581132e-46,1.2209773342255414e-73,5.50022781355153e-101,1.1480706722188015e-99,1.9389707344682666e-77,1.3464311937540873e-59,2.863935875249728e-85,1.0746500642047193e-172,1.9388460744380708e-111,1.2389645097131816e-140,2.0471970192341867e-120
1.3503783474816925e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999932,0.1186699660299587,0.02282156769305419,4.7807878222285177e-94,1.5306873395119308e-44,9.084654013303397e-30,5.111738611353353e-69,1.0089779380598652e-44,2.018836349313343e-106,1.191815978708827e-16,1.39797670616577e-87,1.1918159787085234e-16,1.6642801884371195e-59,1.9521378923112663e-58,1.2383278219585257e-89,1.435838284037866e-90,3.2722080910350785e-31,8.774289509879936e-70,6.508834244558829e-15,1.9271501363168362e-16,7.715028432856594e-19,2.7555310846465144e-31,1.0203259904389856e-30,7.715027999795596e-19,2.1644564962241807e-26,1.1358573483347022e-30,2.458533820693364e-34,7.350127649149396e-59,1.2422543180420162e-44,8.034826725877895e-43,9.179487287272942e-31,5.895066421633317e-62,1.448907312166074e-24,2.180811836408164e-83,1.97981818542096e-85,1.820639656987492e-84,2.0313140574996237e-45,3.91182587180344e-72,1.4123382399984492e-98,2.949686632944834e-97,1.2424679108230282e-75,2.1566298753351135e-58,1.8490838963249876e-83,1.768013557084847e-168,9.962812894272323e-109,2.5477652894626106e-137,1.062329522267173e-117
2.7013430511715837e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999865,0.11866996602995207,0.022821567693054094,1.228209019602685e-91,1.2250150832640158e-43,3.635143035490846e-29,3.282349714534105e-67,8.075912943760912e-44,5.1852983767683e-104,2.384149463270314e-16,8.953960686958643e-86,2.3841494632690976e-16,2.6642937338539817e-58,3.125237114680577e-57,1.5903014374656486e-87,1.8439508873157345e-88,1.3093094612683627e-30,2.852446193282461e-68,1.3020494730640965e-14,3.8551370725190847e-16,1.5433407289863999e-18,1.1025713550605809e-30,4.082632992626724e-30,1.5433405557010506e-18,8.660190517729743e-26,9.089859842588155e-30,1.972982461312757e-33,2.3598585978238168e-57,9.941809935776673e-44,6.43046529560541e-42,3.6729905908366275e-30,1.8874929430453235e-60,2.8984444181420822e-24,2.8006704934102764e-81,2.5431327152601605e-83,2.3386630671374015e-82,1.6256686008434065e-44,1.2525365380615577e-70,3.6283432818806663e-96,7.579740040953888e-95,7.956394260652689e-74,3.4524808402297337e-57,1.2021125341087573e-81,2.9027051478771426e-164,5.120239349864074e-106,5.23896290402218e-134,5.571155021861151e-115
5.403272458551366e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997307,0.1186699660299388,0.0228215676930539,3.162412728548436e-89,9.801981964721437e-43,1.4543724010799662e-28,2.112610124808075e-65,6.4623665301764154e-43,1.3349234693918265e-101,4.76881643239324e-16,5.73274696133412e-84,4.768816432388375e-16,4.264026649195473e-57,5.001832955016423e-56,2.0470856561686644e-85,2.373591144368718e-86,5.238090416293743e-30,9.406255705139468e-67,2.604381570278388e-14,7.711110944923303e-16,3.0870166304980535e-18,4.411003344842639e-30,1.633319037922935e-29,3.087015937207496e-18,3.464276277226914e-25,7.272547232876701e-29,1.5873392604077377e-32,7.594629317987977e-56,7.954958340274087e-43,5.145608408585664e-41,1.4694354009876584e-29,6.0412499961836395e-59,5.797520594696044e-24,3.6051104773608693e-79,3.2740794133349083e-81,3.0108403538519854e-80,1.3007818718261626e-43,4.0093208740746376e-69,9.342136560487712e-94,1.9517101982005496e-92,5.093194435368296e-72,5.5254682030086415e-56,7.926456098084273e-80,4.7606679974948715e-160,2.6368143826348556e-103,1.0794101390762592e-130,2.985083972439717e-112
1.0807131273310931e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994626,0.11866996602991228,0.022821567693053515,8.183857182266755e-87,7.842330257642321e-42,5.818590787360488e-28,1.3666778691903983e-63,5.1705477739852755e-42,3.4541199128420485e-99,9.53815037063891e-16,3.669666093022628e-82,9.538150370619446e-16,6.8233681093225615e-56,8.004095474254013e-55,2.6484733801088535e-83,3.0708988318715686e-84,2.0954066929652968e-29,3.1869530716821953e-65,5.209045764698431e-14,1.542305868973063e-15,6.1743689541528346e-18,1.7645449170309214e-29,6.533807845960218e-29,6.174366180474317e-18,1.3855322743942944e-24,5.817435702382751e-28,1.283834952087569e-31,2.456734448085374e-54,6.36457075315139e-42,4.117292170043215e-40,5.878219930531663e-29,1.9331203626807116e-57,1.1595680806211743e-23,4.664210818488978e-77,4.236502450921444e-79,3.895881643305655e-78,1.0407242987778113e-42,1.2831752916041947e-67,2.4175087886147349e-91,5.0499554794480445e-90,3.2595232797977235e-70,8.841948382124502e-55,5.368963139936697e-78,7.803719188335457e-156,1.364512979744899e-100,2.2348863725748124e-127,1.6651708531521069e-109
2.1614848902830063e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989263,0.11866996602985923,0.022821567693052745,2.1394907680074204e-84,6.27416223538131e-41,2.3280329171083068e-27,8.931596132233018e-62,4.136700054896489e-41,9.028368490632938e-97,1.9076818247129512e-15,2.3488128963002864e-80,1.9076818247051655e-15,1.091812940019668e-54,1.2807482067225574e-53,3.461421054247272e-81,4.0135097884040157e-82,8.381967837381141e-29,1.1328174682978426e-63,1.0418374153504354e-13,3.0846954179340844e-15,1.2349075685513215e-17,7.058466708118814e-29,2.613629460750896e-28,1.2349064588024404e-17,5.540027760963392e-24,4.6523232409109005e-27,1.0492537623697831e-30,8.02897515695322e-53,5.091898023357869e-41,3.294653083644853e-39,2.3513836115023725e-28,6.184045837989234e-56,2.319203266287425e-23,6.095888076749857e-75,5.537928255617782e-77,5.092665662361471e-76,8.326189525419487e-42,4.106468791867274e-66,6.31954412565316e-89,1.3196612459431905e-87,2.08544991032027e-68,1.4148076884249243e-53,3.814183946756593e-76,1.2788076055601133e-151,7.131391554661858e-98,4.674041085510053e-124,9.962297266767347e-107
4.323028416186832e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679978533,0.11866996602975312,0.0228215676930512,5.7034555699325e-82,5.019449225614367e-40,9.316331647267082e-27,5.951927391970947e-60,3.3094647810586875e-40,2.406031929675168e-94,3.815415400010778e-15,1.5033127676044058e-78,3.815415399979633e-15,1.7469599389039785e-53,2.049271169752537e-52,4.612629475539099e-79,5.3483332805576466e-80,3.352855349655377e-28,4.347023198070847e-62,2.0837030930979543e-13,6.169474515854347e-15,2.4698497496617656e-17,2.8234439895345902e-28,1.0454730329336048e-27,2.4698453087195906e-17,2.2141968527001136e-23,3.7189962049658367e-26,8.748022695996041e-30,2.676017341105685e-51,4.0736146304899385e-40,2.636844611827405e-38,9.405725492530418e-28,1.9774262582991013e-54,4.638486211072369e-23,8.123274165001221e-73,7.382069070367475e-75,6.7885190722965936e-74,6.66110953274733e-41,1.3141190506503535e-64,1.6844107402964032e-86,3.5150699328049906e-85,1.333706586598454e-66,2.263769061617175e-52,2.924209087954374e-74,2.0950708086888184e-147,3.798918806246188e-95,9.96691896129868e-121,6.648884675385666e-104
8.646115467994484e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767995707,0.1186699660295409,0.022821567693048116,1.5756109881899573e-79,4.015607511920296e-39,3.7297714884979535e-26,4.1100461900185285e-58,2.6476137198016578e-39,6.643226687416824e-92,7.630882550605252e-15,9.621433750135704e-77,7.630882550480674e-15,2.7951832869590696e-52,3.278892116101319e-51,6.368735163974883e-77,7.384533690009082e-78,1.3411557832318224e-27,1.8520114567960627e-60,4.1674344485383296e-13,1.2339032711687763e-14,4.939737460953191e-17,1.129388974986572e-27,4.1819344996293906e-27,4.9397196821868947e-17,8.842037534642404e-23,2.9705217628911733e-25,7.563275962231742e-29,9.244413002960525e-50,3.258929615050956e-39,2.111192227941183e-37,3.76232821828493e-27,6.318022065226296e-53,9.277102394452027e-23,1.1215940746650896e-70,1.0198072861462879e-72,9.378065336166905e-72,5.328950558584453e-40,4.205258000643518e-63,4.6520330829594205e-84,9.696203823419056e-83,8.522688260043894e-65,3.622091906434508e-51,2.48840410752194e-72,3.43078513897471e-143,2.095702560368411e-92,2.2021957873545867e-117,5.14806729986778e-101
1.7292289571609788e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679914157,0.11866996602911647,0.022821567693041948,4.622241403272813e-77,3.212505831610498e-38,1.4944649542504303e-25,3.0136598026970624e-56,2.1181077330852276e-38,1.9472021182039648e-89,1.5261816851789495e-14,6.157791835486907e-75,1.5261816851291175e-14,4.4723311543495774e-51,5.246270820519502e-50,9.33569639738353e-75,1.0824718077231299e-75,5.364650422249277e-27,8.862880553626878e-59,8.334897159200431e-13,2.467814910332615e-14,9.879526357115132e-17,4.517578000910013e-27,1.6727821696684867e-26,9.879455123689419e-17,3.5250164761116733e-22,2.368928760107328e-24,6.950158974096724e-28,3.39209771859991e-48,2.6071579370879353e-38,1.6916579731568242e-36,1.5049387409049557e-26,2.015501926416396e-51,1.8554535936450421e-22,1.6441036255426344e-68,1.4961918582388742e-70,1.3758746663065481e-69,4.263185246515131e-39,1.3456939759428985e-61,1.364142524227013e-81,2.8376903664725897e-80,5.437751964666121e-63,5.795396172670918e-50,2.378558236496702e-70,5.611077067500816e-139,1.226528086698456e-89,5.1661840824924024e-114,4.744653157408713e-98
3.45846377788404e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767982832,0.11866996602826763,0.022821567693029607,1.4819613894176656e-74,2.5700135050982185e-37,5.998075580492382e-25,2.414837041619951e-54,1.6944928880059078e-37,6.235709631417981e-87,3.052368545413913e-14,3.9410105076340185e-73,3.0523685452145856e-14,7.15576012200994e-50,8.394057944646934e-49,1.4952626824081035e-72,1.7337534772868727e-73,2.1458656287452173e-26,4.6981454032891843e-57,1.6669822579650044e-12,4.935638188648914e-14,1.9759158654961096e-16,1.807035094587972e-26,6.691144587944458e-26,1.9758872785253255e-16,1.4006448174312817e-21,1.8832522181011043e-23,6.98623205018652e-27,1.3606350634323273e-46,2.085730576808659e-37,1.3576022734388952e-35,6.01976866525529e-26,6.409774599824517e-50,3.7110207721403465e-22,2.633297115042073e-66,2.399246230464199e-68,2.2062737399947956e-67,3.410557519543626e-38,4.30623316068431e-60,4.3710671307386315e-79,9.068013950444616e-78,3.458837606234891e-61,9.272673160463175e-49,2.519091884925475e-68,9.14529684134574e-135,7.837758315868175e-87,1.3243081550090264e-110,5.2436817900659466e-95
