Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),C2H4X(215),C2H4X(70),CHO2X(213)
2.5627190344583186e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998717,0.11866996602995275,0.022821567693054105,0.0,1.0459365138941235e-43,3.2714538202773303e-29,4.006192613591251e-68,6.93591173495224e-44,5.695060726143222e-105,2.261803425271696e-16,6.565849123106566e-86,2.261803425270412e-16,2.1707768672758167e-58,8.740054640875121e-57,1.8412145143334965e-88,2.1348833886585123e-89,1.1783788532506589e-30,4.499633164057836e-68,1.2352325880938344e-14,3.6573041516906793e-16,1.4641415030466832e-18,9.923142194752297e-31,3.6743712023939874e-30,1.4641414775465819e-18,8.488466136068342e-44,1.271581066772043e-26,2.065513495291412e-31,7.5100835413161e-36,8.081093710609944e-60,5.490153650155774e-42,3.305692480958234e-30,5.45075032447504e-59,2.7497057771627018e-24,3.242551065455062e-82,1.3880205830621984e-44,3.3230955797341503e-70,4.786108005157952e-85,2.8129658566097113e-57,3.9854403762059897e-97,2.1797577167118603e-72,1.7919747417661217e-81,1.3575599524037705e-96
5.1259943352579565e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997446,0.11866996602994016,0.02282156769305392,0.0,8.369081312773908e-43,1.3087948433543556e-28,2.6439219488977394e-66,5.5501345991148134e-43,1.5031515808938053e-102,4.524097799843755e-16,4.203765565017886e-84,4.524097799838615e-16,3.474185407274953e-57,1.3988152690477812e-55,2.4299808223333846e-86,2.8175563725656326e-87,4.714282727316439e-30,2.1961867440978722e-66,2.4707332969986714e-14,7.315402161456062e-16,2.9286008396667572e-18,3.969903011251315e-30,1.46998773803602e-29,2.9286007376489215e-18,6.792062508936529e-43,5.0870695940913865e-26,1.6526976514357802e-30,6.199012351328808e-35,2.6671949650384708e-58,4.3929579778961435e-41,1.3224922409160593e-29,1.7447500271009503e-57,5.500010765462178e-24,4.279423617750947e-80,1.1106273514604251e-43,1.0637100203200742e-68,6.318672458111337e-83,4.501966590092098e-56,1.0521466954742475e-94,1.395459890844694e-70,1.7470030457107718e-79,3.5825805431032616e-94
1.0252544936857233e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994903,0.118669966029915,0.022821567693053556,0.0,6.695900868823468e-42,5.23560778020747e-28,1.793704884987467e-64,4.440669831732698e-42,4.077842657497346e-100,9.048686548988849e-16,2.690929158183787e-82,9.04868654896829e-16,5.559450693139246e-56,2.2384296684776092e-54,3.2964406712734976e-84,3.822214282346805e-85,1.885866564769931e-29,1.1866992118937504e-64,4.941734714800659e-14,1.4631598180985829e-15,5.857519589609725e-18,1.5880904266532298e-29,5.880429478743571e-29,5.857519181498561e-18,5.434165788621266e-42,2.0349273036476414e-25,1.3222405101867042e-29,5.263382371373669e-34,9.051258600119705e-57,3.514701534987841e-40,5.290399459977075e-29,5.583881541210759e-56,1.1000627814630161e-23,5.805340453140242e-78,8.885862395686876e-43,3.404383178930464e-67,8.575770581627562e-81,7.204123657761627e-55,2.8550742886702752e-92,8.932057830952519e-69,1.8860736250559813e-77,9.712967632894458e-92
2.0505646140055784e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989813,0.11866996602986467,0.022821567693052824,0.0,5.35697514815562e-41,2.094330193095687e-27,1.27776110925451e-62,3.552760739049253e-41,1.1613410523581661e-97,1.8097864047282942e-15,1.7223608218665967e-80,1.809786404720069e-15,8.895724380040627e-55,3.5817475645431113e-53,4.6948398216918436e-82,5.443654398965729e-83,7.543773218106156e-29,6.894078518412256e-63,9.883737550373888e-14,2.926399022004136e-15,1.1715357396341608e-17,6.352620050354373e-29,2.352267482915963e-28,1.1715355763777697e-17,4.3475387726295473e-41,8.139511311057863e-25,1.0577735854672152e-28,4.696805393674771e-33,3.2261684205171354e-55,2.8118970462736428e-39,2.1162458611893746e-28,1.7868650155635753e-54,2.2001890203242236e-23,8.268052086798338e-76,7.109027294318686e-42,1.0894843569095435e-65,1.2222748936416275e-78,1.1527379595233653e-53,8.134136774568933e-90,5.7166003453226624e-67,2.1899741367700794e-75,2.7628233794514507e-89
4.1011848546452885e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997963,0.11866996602976401,0.02282156769305136,0.0,4.285682081796523e-40,8.377506108033924e-27,9.837906199056745e-61,2.8422985417870957e-40,3.5737951392612256e-95,3.6196219043886745e-15,1.1023640991253423e-78,3.619621904355774e-15,1.4233641625609094e-53,5.731003814229983e-52,7.225613175723562e-80,8.378079377698138e-81,3.0175706804690252e-28,4.187552817782862e-61,1.9767743221397354e-13,5.852877429813641e-15,2.3431034237466623e-17,2.5410996019964236e-28,9.409261179434542e-28,2.343102770665553e-17,3.478113185994882e-40,3.2554475343924725e-24,8.461285073766156e-28,4.5348440131722513e-32,1.243289282769645e-53,2.2495747653199585e-38,8.465155401180546e-28,5.717453661435542e-53,4.4004528141570843e-23,1.2724980352297224e-73,5.68735667199726e-41,3.4864804384944674e-64,1.8831705610372806e-76,1.8444432756907024e-52,2.5044713593353244e-87,3.6583010670928776e-65,2.65942178329654e-73,8.486018461892182e-87
8.202425335924709e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679959276,0.11866996602956269,0.022821567693048436,0.0,3.428586738196219e-39,3.351048443326625e-26,8.420320105170179e-59,2.273874811537396e-39,1.2223307897352552e-92,7.239292903715682e-15,7.055300377020248e-77,7.239292903584076e-15,2.2774212649229348e-52,9.169771079596851e-51,1.236077666152716e-77,1.4332287677772607e-78,1.2070405512048933e-27,2.607654727510037e-59,3.953575456295232e-13,1.1705834245426253e-14,4.686239283258202e-17,1.016450087010438e-27,3.763742610889311e-27,4.686236670569044e-17,2.7825229507835092e-39,1.3018537952193919e-23,6.767341843900084e-27,4.87115866482341e-31,5.327724766287835e-52,1.799687141320166e-37,3.386096391231426e-27,1.8291503272463263e-51,8.801025666264587e-23,2.176848218503556e-71,4.549939083863406e-40,1.1156944328066295e-62,3.2257906453694563e-74,2.9511592705227156e-51,8.571617420356523e-85,2.3407616783475683e-63,3.3114395547455436e-71,2.895543902266141e-84
1.640490629848355e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991856,0.11866996602916004,0.022821567693042583,0.0,2.742886278819929e-38,1.3404357174623098e-25,8.105687960023385e-57,1.8191142363261672e-38,4.7020345649843855e-90,1.4478634902394683e-14,4.5154466669723e-75,1.4478634901868264e-14,3.643904891162668e-51,1.4671761885067035e-49,2.378230821490716e-75,2.7575522426098105e-76,4.8281867650648515e-27,1.6451169196137557e-57,7.907177724409444e-13,2.3411747876625874e-14,9.372512969199628e-17,4.065820278549927e-27,1.5055045835893655e-26,9.372502515688542e-17,2.226030576535294e-38,5.204735901265013e-23,5.411081103218534e-26,5.884639943604469e-30,2.5676859996663193e-50,1.4397678027886167e-36,1.354445274009498e-26,5.85033086860957e-50,1.7602352428246715e-22,4.1882861501998227e-69,3.6399724632255435e-39,3.570254094020251e-61,6.214605131776189e-72,4.721894844452183e-50,3.2994701403206655e-82,1.4973386967235886e-61,4.1777818477507634e-69,1.111197224109573e-81
3.280986822360123e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983713,0.11866996602835475,0.022821567693030877,0.0,2.1943165128628418e-37,5.361832573899331e-25,8.659767170063835e-55,1.4552971371107755e-37,2.007822034704126e-87,2.8957318899852644e-14,2.889903256674304e-73,2.8957318897746954e-14,5.830272465881121e-50,2.347490930247774e-48,5.0789694611198216e-73,5.889051123956098e-74,1.9312796197670607e-26,1.044471898164846e-55,1.5814382259850731e-12,4.6823575138922706e-14,1.8745068222920249e-16,1.62633164792597e-26,6.022032703870707e-26,1.8745026387184178e-16,1.780828155652044e-37,2.0797381816864125e-22,4.324364904668608e-25,7.883226016113991e-29,1.373027249341956e-48,1.1518329122173934e-35,5.417793501778345e-26,1.870193376223259e-48,3.5205730183279403e-22,8.944536703465542e-67,2.911985965038402e-38,1.1424856480051925e-59,1.3285699017612839e-69,7.555063721280273e-49,1.4096418531768078e-79,9.573256075582671e-60,5.304565516510382e-67,4.735847431760586e-79
6.561979207383659e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679674265,0.11866996602674416,0.022821567693007465,0.0,1.755457381381727e-36,2.1447964349388563e-24,9.973290143533073e-53,1.1642399980159843e-36,9.244754356619862e-85,5.79146868951684e-14,1.8495436150752142e-71,5.791468688674556e-14,9.328455484933387e-49,3.755988794441807e-47,1.1694717878819465e-70,1.3559991798054764e-71,7.725128320010472e-26,6.647618858277286e-54,3.162879132758476e-12,9.364722966310676e-14,3.749021037063527e-16,6.505330067926498e-26,2.4088153882641377e-25,3.749004285525414e-16,1.4246620951744885e-36,8.30172165088952e-22,3.452296907403018e-24,1.1372045619582798e-27,7.911852545815506e-47,9.214920323629874e-35,2.167119058403827e-25,5.972369887124799e-47,7.041538261761813e-22,2.0595474942320987e-64,2.3295911953805757e-37,3.6559561019722756e-58,3.061188667987219e-67,1.2088127404540219e-47,6.492719108919503e-77,6.114442814428979e-58,6.752008142565943e-65,2.17772515894534e-76
1.3123963977430732e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679348537,0.11866996602352299,0.02282156769296064,0.0,1.4043694537942033e-35,8.579673813241852e-24,1.2020866845142317e-50,9.313928963095303e-36,4.4558035476535526e-82,1.158294228873991e-13,1.18370964004508e-69,1.1582942285370783e-13,1.4925543855412215e-47,6.0095721820392095e-46,2.8185947016304926e-68,3.2681517761868887e-69,3.0900533069529407e-25,4.229776505149355e-52,6.325760945045867e-12,1.8729453870983628e-13,7.498062212450135e-16,2.6021298450232875e-25,9.635261628974715e-25,7.497995069212698e-16,1.1397264530389107e-35,3.3069771639409424e-21,2.750384115421117e-23,1.7153568003038527e-26,4.76995993445187e-45,7.372328917847593e-34,8.668472961345056e-25,1.9033559144525925e-45,1.4084627518338603e-21,4.96380050959695e-62,1.8636726865448452e-36,1.1699031333017313e-56,7.380572948719497e-65,1.9341023805471783e-46,3.1299692380330626e-74,3.897393010715568e-56,8.592110989382335e-63,1.0487703452321925e-73
