Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,4.0911082029573805e-76,7.3793638089225721e-42,8.5803114751347267e-94,3.4484872400433497e-57,3.7809009369259248e-143,7.0115228147969074e-25,-6.4805976689570086e-118,7.0115228147944003e-25,1.0701925614670123e-79,4.7061867886381054e-77,1.7726416289076692e-121,1.0711120765411607e-122,4.8736292153979864e-61,6.6116467075564161e-95,2.780669898587693e-18,1.3369707978709934e-19,5.1534078279770839e-23,5.8842024498014382e-38,5.1534078279773813e-23,1.3943193961577374e-36,5.4484200326220315e-46,1.2055840408990224e-53,3.5327352693632059e-84,4.8778751327900626e-58
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.2770162910252353e-74,4.4571357405960762e-41,9.7096634627617685e-92,5.2113539171496685e-56,1.3968361192672537e-140,1.9632263881439464e-24,1.250871839299854e-116,1.9632263881424319e-24,3.01811425414466e-78,1.4796498364407491e-75,3.6284527485415595e-119,2.1924790068912854e-120,5.7857855011623344e-60,3.4223787512539875e-93,7.785875716045541e-18,3.7435182340387818e-19,1.4429541918335322e-22,3.5539327795080119e-37,1.4429541918337121e-22,8.4216891496149657e-36,6.4683642569597204e-45,1.4666096334525913e-52,2.2013284571679929e-82,5.7910133576564813e-57
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.8429288266092123e-73,2.1459189956449475e-40,9.2317067971986764e-90,5.6061367363885284e-55,5.3138761736792206e-138,4.4873746014757069e-24,1.3207997491412418e-114,4.4873746014684151e-24,6.5650577413811981e-77,3.3007783202431773e-74,6.9022623138667589e-117,4.1706661962986786e-118,5.6801222324683539e-59,1.4943445010072514e-91,1.7796287350961222e-17,8.5566131063743596e-19,3.2981810099049748e-22,1.7109378353616147e-36,3.2981810099058404e-22,4.0546807992600481e-35,6.3506783721398539e-44,1.514783564168117e-51,1.0447095328103287e-80,5.6856512548052681e-56
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.3195073199234651e-72,9.371792037437727e-40,7.6660321945097805e-88,5.1530055130458062e-54,1.7670819506377669e-135,9.5356710281522193e-24,1.0439822071584459e-112,9.5356710281203766e-24,1.217051062751655e-75,6.1810932921011819e-73,1.1472072549542998e-114,6.931956945150938e-116,5.0232989812996105e-58,5.5630699004130887e-90,3.7817110620792512e-17,1.8182802851045512e-18,7.0086346460470342e-22,7.4709922682659653e-36,7.0086346460508212e-22,1.7707856281947852e-34,5.6171030792747944e-43,1.4729740147449402e-50,4.3309633638797721e-79,5.0288941469541024e-55
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.182200078308451e-71,3.9125386915862022e-39,6.2701053804922083e-86,4.4085047058168242e-53,5.7820809317926392e-133,1.9632263881557221e-23,7.3993761720718743e-111,1.9632263881424282e-23,2.0917998189786149e-74,1.067319435621467e-71,1.8768001297101297e-112,1.1340494612127522e-113,4.2212002728963472e-57,1.9165619288535028e-88,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541918327863e-21,3.1180542715893494e-35,1.4429541918343667e-21,7.3926813940984454e-34,4.7215135574102072e-42,1.4621436470312666e-49,1.7708339432243581e-77,4.2270885441696464e-54
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.5244926012004961e-69,1.5983997185486819e-38,5.4378590993515682e-84,3.6450369428874751e-52,2.0048019023336371e-130,3.9825449588575118e-23,4.9794409536602126e-109,3.9825449588032028e-23,3.4670047946132461e-73,1.7723353991174171e-70,3.2542450892794773e-110,1.9663654279056276e-111,3.4588529809797581e-56,6.3603702713516304e-87,1.5794205023977832e-16,7.5939941319072389e-18,2.9271356462876343e-21,1.2730610645330743e-34,2.9271356462940906e-21,3.0201515473208724e-33,3.8709820162264405e-41,1.566127302229764e-48,7.6843438726510807e-76,3.4656225785274405e-53
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.4822172983944684e-68,6.4609872248393237e-38,5.1953169923333279e-82,2.9640835067079532e-51,7.6554041557031234e-128,8.0211821003442502e-23,3.2671933419465685e-107,8.0211821001247243e-23,5.6451185456792739e-72,2.8859952799108022e-69,6.214875897344922e-108,3.7553155241799147e-109,2.7979284407178011e-55,2.0724340511138531e-85,3.1810863639842088e-16,1.5294945927644146e-17,5.8954985551920621e-21,5.1397352022190331e-34,5.8954985552181592e-21,1.2207935277934977e-32,3.1348215015897937e-40,1.8633221113846724e-47,3.67475134398535e-74,2.8065510165612881e-52
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,3.9993338438644472e-67,2.5979345469256406e-37,5.4844359058249664e-80,2.3906407294486724e-50,3.2301491974905721e-125,1.6098456383650372e-22,2.1170926628422768e-105,1.6098456382767663e-22,9.1112440920918006e-71,4.6500771208664967e-68,1.3114908228923424e-105,7.9246342620078439e-107,2.2469773140458177e-54,6.6917639677083198e-84,6.3844180871568824e-16,3.0696849519117916e-17,1.1832224372979839e-20,2.0617107193123769e-33,1.1832224373084778e-20,4.9087569565298278e-32,2.5231769114176523e-39,2.4576353009746891e-46,1.9415738603023542e-72,2.2589564227688011e-51
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,6.3990099777717255e-66,1.0418879489978348e-36,6.2624646823743359e-78,1.9202926424962278e-49,1.474556602704667e-122,3.225300495159316e-22,1.3633484101377847e-103,3.2253004948053112e-22,1.4641524657920897e-69,7.4403287487123989e-67,2.9940028825571254e-103,1.8091150475070455e-104,1.7950232738480703e-53,2.1510077321478825e-82,1.2791081533501516e-15,6.1500656702065314e-17,2.3705676008471078e-20,8.2289105284187318e-33,2.3705676008891975e-20,1.9686309878030113e-31,2.0246903163287627e-38,3.509362476366837e-45,1.1093043402403008e-70,1.8126702655188668e-50
