Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),HX(5),C2H3X(75),C4H6(49),C4H5X(118),C6H8(51),C4H5X(117),C6H8(233)
3.3175010134004844e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282545334818,0.66999999980781499,0.0,0.0,1.9218518645627338e-10,1.9218090365569957e-10,2.1414002866662655e-15,1.1226667909602058e-25,1.9625648504914608e-30,5.6134034087921302e-26,3.2711137751288009e-31
4.054723465162753e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282536793606,0.66999999976510716,0.0,0.0,2.3489300583943503e-10,2.3488519093973925e-10,3.9074498473670821e-15,2.4982873489908153e-25,6.4616715260056578e-30,1.2491663049027264e-25,1.0770067901655058e-30
5.529168368687291e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282519711676,0.66999999967969148,0.0,0.0,3.2030864451740827e-10,3.2028883743488685e-10,9.9035412587444432e-15,8.6992009987485895e-25,4.4103144312816877e-29,4.3497528095344308e-25,7.3510592681224872e-30
7.003613272211829e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282502630589,0.66999999959427581,0.0,0.0,4.0572428307755583e-10,4.0568403667449234e-10,2.0123201526743989e-14,2.2342214664886944e-24,1.775342950024267e-28,1.1171716223760962e-24,2.959163642668969e-29
9.022227247783734e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282479247222,0.66999999947733602,0.0,0.0,5.2266402157568389e-10,5.2257799447603602e-10,4.3013549810144053e-14,6.1411043087270994e-24,7.9950388457382924e-28,3.0708246594259878e-24,1.3326568580390928e-28
1e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228246792172,0.66999999942069288,0.0,0.0,5.7930709012571719e-10,5.7918996085925637e-10,5.8564633209631289e-14,9.2807885401852497e-24,1.5125250984451396e-27,4.6409085657082236e-24,2.5212175280225788e-28
1.1040841223355638e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282455866436,0.66999999936039623,0.0,0.0,6.3960375985277689e-10,6.3944612837100171e-10,7.881574085665273e-14,1.3776511837563511e-23,2.7152626972550431e-27,6.8891775699361524e-24,4.5261383050773022e-28
1.3059455198927541e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282432488808,0.66999999924345643,0.0,0.0,7.5654349790873369e-10,7.5628267052432156e-10,1.3041369214551996e-13,2.6903196665163958e-23,7.313837432092671e-27,1.3454074234216449e-23,1.2192094248345284e-27
1.5078069174499445e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282409114916,0.66999999912651664,0.0,0.0,8.7348323574346043e-10,8.7308185844324646e-10,2.0068864999988429e-13,4.7608911123140782e-23,1.6833423248212587e-26,2.3810143141265423e-23,2.8062278995819924e-27
1.7096683150071348e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282385745338,0.66999999900957685,0.0,0.0,9.9042297335687157e-10,9.8983793815913632e-10,2.9251759869121047e-13,7.8424760365372132e-23,3.5024807596065413e-26,3.9224196090026731e-23,5.8391057094206552e-27
1.9115297125643252e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282362380639,0.66999999889263706,0.0,0.0,1.1073627107488874e-09,1.1065451637661866e-09,4.0877349107518959e-13,1.2223243027702608e-22,6.7307938860877789e-26,6.1138894153172782e-23,1.1221702250367684e-26
2.1133911101215156e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282339021396,0.66999999877569727,0.0,0.0,1.2243024479194327e-09,1.2231978001025644e-09,5.5232390802356272e-13,1.8229219618370452e-22,1.21795310584193e-25,9.1187093620860689e-23,2.0307123316496141e-26
2.315252507678706e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282315668188,0.66999999865875748,0.0,0.0,1.3412421848684379e-09,1.339790121683809e-09,7.2603159172394014e-13,2.6221090473884796e-22,2.0912792302133361e-25,1.3117578200499255e-22,3.4870476390849124e-26
2.5171139052358963e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282292321586,0.66999999854181769,0.0,0.0,1.45818192159584e-09,1.4563164161762345e-09,9.3275270897830418e-13,3.6596382727704724e-22,3.4394755515833774e-25,1.8309749604489874e-22,5.7354670913253896e-26
2.7189753027930866e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282268982155,0.6699999984248779,0.0,0.0,1.5751216581015804e-09,1.5727709824822358e-09,1.1753378085505107e-12,4.9785466847595235e-22,5.4459105629984041e-25,2.4911022337119524e-22,9.0819789384102238e-26
2.920836700350277e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282245650469,0.6699999983079381,0.0,0.0,1.6920613943856064e-09,1.6891481343876359e-09,1.4566299974923547e-12,6.6254916305034414e-22,8.3459990877477296e-25,3.3155470463537014e-22,1.3919513483717911e-25
3.122698097907468e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282222327092,0.66999999819099831,0.0,0.0,1.8090011304478713e-09,1.8054422018012627e-09,1.7794643213545915e-12,8.6506364994715697e-22,1.2439601051682512e-24,4.3294913328736117e-22,2.0748696462616756e-25
3.3245594954646584e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282199012581,0.66999999807405852,0.0,0.0,1.9259408662883331e-09,1.9216475299169699e-09,2.1466681831773859e-12,1.1107632552906791e-21,1.8087340403860422e-24,5.5598812385735374e-22,3.0171733998816104e-25
3.526420893021849e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282175707517,0.66999999795711873,0.0,0.0,2.0428806019069558e-09,2.0377584820465334e-09,2.561059927042222e-12,1.4053564945238e-21,2.5732756904658562e-24,7.0354075078017914e-22,4.2929493378415206e-25
3.72828229057904e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282152412446,0.66999999784017916,0.0,0.0,2.1598203373037088e-09,2.1537694386536904e-09,3.0254493210508958e-12,1.754898858185154e-21,3.5897092815646518e-24,8.7865216649776227e-22,5.9892879682874759e-25
3.9301436881362304e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282129127927,0.66999999772323948,0.0,0.0,2.2767600724785673e-09,2.2696748002799605e-09,3.5426360944166219e-12,2.1657875708135036e-21,4.9202307180858331e-24,1.0845417474687258e-21,8.2101351198155649e-25
4.132005085693421e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282105854544,0.6699999976062998,0.0,0.0,2.3936998074315123e-09,2.3854689890903456e-09,4.1154091646140782e-12,2.6447594974924567e-21,6.6387898653001183e-24,1.324602605888221e-21,1.1079123878189338e-24
4.333866483250612e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282082592818,0.66999999748936012,0.0,0.0,2.5106395421625292e-09,2.5011464481775758e-09,4.7465469852545202e-12,3.1988911742242564e-21,8.8306108059329185e-24,1.6024014446183982e-21,1.4738776236124943e-24
4.5357278808078025e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282059343327,0.66999999737242044,0.0,0.0,2.6275792766716099e-09,2.6167016429918148e-09,5.4388168312349973e-12,3.8355950049148826e-21,1.1593918337344337e-23,1.9216772284012782e-21,1.9353413155410615e-24
4.737589278364993e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228203610662,0.66999999725548076,0.0,0.0,2.7445190109587523e-09,2.7321290630608757e-09,6.1949739386297955e-12,4.5626151644170253e-21,1.5041868472864391e-23,2.286339776031489e-21,2.5112406314163148e-24
4.939450675922184e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282012883219,0.66999999713854108,0.0,0.0,2.8614587450239575e-09,2.8474232230173464e-09,7.0177609911280747e-12,5.3880248589898663e-21,1.9303800526806104e-23,2.7004688055019629e-21,3.2232292842525663e-24
