Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-3.1953510766019942e-122,1.3111419593737353e-65,2.970007247255636e-36,4.1718708054356834e-89,1.8423403295077388e-54,1.4187876343424614e-132,5.5646920903778486e-20,-6.7087114431362558e-106,5.5646920903778486e-20,2.6594431780125918e-72,2.0338572518909766e-72,9.3599573981281711e-113,1.085284925097311e-113,1.1017625339663156e-53,1.2484267573011623e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135345420081e-22,9.0087835672667755e-38,3.3357983340900261e-37,3.6022135345307445e-22,5.5896182957681449e-34,1.8924919407013463e-42,3.2265069744970845e-47,4.0729074925169508e-78,2.1456307125372157e-52,2.0725052467421465e-98,1.6483765894908668e-106,3.317415880590497e-54,-1.7943915018706862e-109,-1.3087730470929014e-109
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,5.7890063567207425e-120,2.9329849566278914e-64,1.7938843773612203e-35,4.6101568737188163e-87,2.7841447288681267e-53,5.119533588165734e-130,1.558113785305798e-19,1.2951259393886311e-104,1.558113785305797e-19,7.5000553324469881e-71,6.3947726572274584e-71,1.871152258946494e-110,2.16959677572903e-111,1.3080124801019003e-52,6.4622164930084986e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.0086197896735916e-21,5.4413052736165361e-37,2.0148221937883227e-36,1.0086197896667887e-21,3.3761294396016759e-33,2.2467664242183476e-41,3.8306143469445006e-46,2.477815363072933e-76,2.5472927819486424e-51,1.9517441944579175e-96,3.2952752323748874e-104,3.9384361327520807e-53,1.8160203961766944e-107,1.3245484872906226e-107
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,2.4439270848093119e-117,5.7950953743887537e-63,8.6367810753016293e-35,4.1711652521054259e-85,2.995055853110155e-52,1.8537680270485993e-127,3.5614029378418247e-19,1.367516260047332e-102,3.5614029378418209e-19,1.6314258577855478e-69,1.4266386019721042e-69,3.3877263164818206e-108,3.9280609357916098e-109,1.2842144089001169e-51,2.8216566287237456e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.3054166621196903e-21,2.6197542598422811e-36,9.7005015555029909e-36,2.3054166620869378e-21,1.6254609838459515e-32,2.2058885819563878e-40,3.761142856618269e-45,1.1186696413146509e-74,2.5009471586092045e-50,1.7058345029974936e-94,5.966104880753603e-102,3.8667799482929092e-52,3.8032460105427075e-105,2.7739687071699168e-105
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,7.8618056591174125e-115,1.031207185706101e-61,3.7719092043063038e-34,3.1571683695017308e-83,2.7529723318243096e-51,5.6215885464480372e-125,7.5679812429138801e-19,1.0809076325076616e-100,7.5679812429138618e-19,3.0243885924480761e-68,2.6719362102995342e-68,5.133913488441147e-106,5.9527609782224161e-107,1.1358731005667693e-50,1.0504320156116514e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104070411577e-21,1.1441155114733531e-35,4.2364638842624989e-35,4.8990104068981206e-21,7.0988150644701477e-32,1.951083440522748e-39,3.3270849174209187e-44,4.2243794467560225e-73,2.2120594395566011e-49,1.2726054667948569e-92,9.0413048337334177e-100,3.420123071794491e-51,6.1127449479268218e-103,4.4584450117530833e-103
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,2.2494236915869722e-112,1.7392823955459124e-60,1.5746978427574193e-33,2.1938726567164723e-81,2.3552257899136068e-50,1.56394392517768e-122,1.5581137853057998e-18,7.6610905026496064e-99,1.5581137853057924e-18,5.1981512558363885e-67,4.6151053325469678e-67,7.1392284796617622e-104,8.2779191359388968e-105,9.5476978110187652e-50,3.6188975620111966e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.008619789700117e-20,4.776457033239093e-35,1.7686402767058803e-34,1.0086197896404012e-20,2.9636154663764159e-31,1.6400031440241022e-38,2.7972826263537008e-43,1.4659776427555244e-71,1.8593692456822445e-48,8.7783609518701856e-91,1.2572853264249934e-97,2.874819515375571e-50,8.7415181381437787e-101,6.3757899744290037e-101
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,6.0853785013184873e-110,2.8567771596448675e-59,6.4331545000679369e-33,1.4628880614922698e-79,1.9473462287001361e-49,4.1733131613516218e-120,3.1607451073346269e-18,5.1555627002537675e-97,3.1607451073345965e-18,8.6155544921655303e-66,7.6680665110383607e-66,9.5238905161497515e-102,1.1042929327218043e-102,7.8277794899057547e-49,1.2009801573282295e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572877389498e-20,1.9513385438444488e-34,7.2254726233297746e-34,2.0460572874949926e-20,1.2107335509161592e-30,1.344573581387987e-37,2.29447558480551e-42,4.8846102732681216e-70,1.5244232462226785e-47,5.8297532274142557e-89,1.6772467543600994e-95,2.3569507208637926e-49,1.1821849098392628e-98,8.6224870595309815e-99
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,1.6022779722305275e-107,4.6309593469991378e-58,2.6003839071482306e-32,9.5621167738008752e-78,1.5835496124669391e-48,1.0913994938890551e-117,6.3660077513922944e-18,3.3827532618262192e-95,6.3660077513921703e-18,1.4028197053696994e-64,1.250088365568643e-64,1.2452423883647521e-99,1.4438557085984148e-100,6.3391387422822059e-48,3.9132189897079634e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322840039387e-20,7.8876223363742529e-34,2.9206515596163074e-33,4.1209322830178247e-20,4.8939780468103163e-30,1.0888704156001151e-36,1.8598982167131327e-41,1.5959148912236836e-68,1.2345174685446192e-46,3.8001719354271887e-87,2.1929890422776581e-93,1.9087197902967221e-48,1.5561857293529624e-96,1.1350332105758412e-96
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,4.1655198916670877e-105,7.458017570971579e-57,1.0456029329080893e-31,6.1931027386287756e-76,1.2771901304718672e-47,2.8277742004134578e-115,1.2776533039507682e-17,2.1919737710988656e-93,1.2776533039507187e-17,2.2641566601915534e-63,2.0188960245598295e-63,1.6131297204308406e-97,1.8704202308424167e-98,5.1022902919771742e-47,1.2635546988167096e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.2706822772832128e-20,3.1715782101942056e-33,1.174381146547875e-32,8.2706822733180878e-20,1.9678466093280829e-29,8.764174291270562e-36,1.4998610700306915e-40,5.1673956190459273e-67,9.9364705994012708e-46,2.4544588595716297e-85,2.8408732576037401e-91,1.5363037235342842e-47,2.0227471898853691e-94,1.4753285561369039e-94
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,1.077603355112327e-102,1.1971769939146314e-55,4.1933354243004994e-31,3.9983329902337829e-74,1.0259085693624669e-46,7.3028405849708185e-113,2.5597583615738666e-17,1.4115697476102536e-91,2.5597583615736684e-17,3.6384389699435771e-62,3.2453163150175391e-62,2.0829598682468954e-95,2.4151872153102789e-96,4.0942665313294531e-46,4.0615836723899011e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182266838926e-19,1.2719446823153683e-32,4.7097936518079373e-32,1.6570182250936999e-19,7.891941524763831e-29,7.0326945351135738e-35,1.2081230443787094e-39,1.6679793141753416e-65,7.9733918895989726e-45,1.5780416987418006e-83,3.668288365337295e-89,1.2327869553122058e-46,2.616333125327288e-92,1.9082715914900176e-92
