Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53),CO2X(24),CH3X(55),C2H4X(215)
5.9605200431059904e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999694,0.1186699660299624,0.022821567693054243,3.4434770949124384e-100,2.1316272829849593e-54,1.770306347838654e-30,3.027681475813475e-72,8.899663195750454e-46,2.3315206931121988e-110,5.2606316163438025e-17,1.0612387388553095e-89,5.2606316163429816e-17,6.481928598029015e-61,5.782470620823653e-61,3.2386879745784586e-93,3.755251317636782e-94,3.549935905617204e-45,3.0837055272862824e-71,2.872975343858981e-15,8.506369370489945e-17,3.40538490172661e-19,5.369786554640432e-32,1.9883402417382607e-31,3.4053848950132684e-19,3.331748976977566e-28,6.097695541189788e-34,1.05586770735938e-38,6.15133901123877e-64,6.913333910631986e-44,1.5847489007088135e-61,5.703634329417704e-87,1.0688885637195122e-45,4.071652250527326e-90,2.969735910022969e-90,1.7888345637498666e-31,1.4749097639389488e-75
1.1926218644025279e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799994,0.11866996602995947,0.022821567693054202,8.963639247433301e-98,3.4133806541031365e-53,7.085838984462069e-30,1.969409077130673e-70,7.126948500726699e-45,6.06588500177082e-108,1.0525833720625788e-16,6.802425427172737e-88,1.0525833720622506e-16,1.0382350712251116e-59,9.262719062104219e-60,4.2131240369442253e-91,4.885107707899827e-92,2.842106961083131e-44,1.4999114547211936e-69,5.748446756651292e-15,1.7020129157461456e-16,6.813728441729204e-19,2.1493138046496063e-31,7.958542726626496e-31,6.813728414858316e-19,1.333565427278104e-27,4.881854442597943e-33,8.583895931634603e-38,2.0008163140477445e-62,5.53487076181946e-43,5.077447459025814e-60,7.419707937602004e-85,8.55760696044625e-45,5.299531253623986e-88,3.8653125942319675e-88,7.160000085818227e-31,9.451245930851655e-74
2.3857615845863856e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998806,0.11866996602995361,0.022821567693054115,2.3650100542087515e-95,5.4636309687514776e-52,2.8352586003588156e-29,1.2986907474091774e-68,5.704447388854119e-44,1.5997635556659311e-105,2.1056237929191074e-16,4.356914502063073e-86,2.1056237929177944e-16,1.662077824122399e-58,1.4828966738132309e-58,5.55595234389036e-89,6.4421140634710165e-90,2.2745489007578472e-43,8.08114408907315e-68,1.1499389582231747e-14,3.404764873140394e-16,1.3630415541953373e-18,8.600053037134377e-31,3.184453735211138e-30,1.3630415434434634e-18,5.335979213419266e-27,3.906951803052841e-32,7.0786583475952295e-37,6.598408540433923e-61,4.42957881822029e-42,1.6257793311132513e-58,9.78455494803116e-83,6.848685040293991e-44,6.99163118339598e-86,5.099477733054917e-86,2.8649326622493634e-30,6.052566236825324e-72
4.772041024954101e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997623,0.1186699660299419,0.022821567693053945,6.407236496052462e-93,8.743585011162796e-51,1.1342880877438495e-28,8.794098240070593e-67,4.564713627981532e-43,4.33183403908771e-103,4.2117046346326904e-16,2.7895016788721753e-84,4.2117046346274376e-16,2.660046091762151e-57,2.3733234790984002e-57,7.522939205056037e-87,8.722830833487126e-88,1.8199839960807064e-42,4.6856457760232283e-66,2.3001275233376008e-14,6.810268787928672e-16,2.7263789823278697e-18,3.440579782571148e-30,1.27398885034987e-29,2.7263789393132174e-18,2.134723505000056e-26,3.126130326575135e-31,5.998354275750059e-36,2.2349598579518887e-59,3.544336140162412e-41,5.204057886264824e-57,1.3248603882104263e-80,5.479986411304346e-43,9.471731176857545e-84,6.90838611544755e-84,1.1461596138880214e-29,3.874826429303021e-70
9.544599905689531e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995253,0.11866996602991847,0.022821567693053605,1.8199634159400897e-90,1.3991148500055498e-49,4.537521832380192e-28,6.243423962074641e-65,3.652233244587907e-42,1.2295336719502148e-100,8.423866318061962e-16,1.7856255985870418e-82,8.423866318040949e-16,4.256651085870684e-56,3.797866380830583e-56,1.0678253383040547e-84,1.238141040047346e-85,1.4561243120266586e-41,2.8431049453375197e-64,4.6005046535597894e-14,1.3621276617504365e-15,5.453053870944548e-18,1.3763427739462958e-29,5.0963701260094e-29,5.453053698870686e-18,8.539463865241992e-26,2.5011021733126003e-30,5.334140940284952e-35,7.939112126059894e-58,2.835738268368037e-40,1.6655293634331473e-55,1.8805408960836453e-78,4.384401913875292e-42,1.3454437353947932e-81,9.813250384193822e-82,4.5850115547567323e-29,2.4802391420389732e-68
1.9089717667160392e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999051,0.11866996602987162,0.022821567693052925,5.578000910769981e-88,2.2386941851704364e-48,1.8150827597826075e-27,4.7824588422479455e-63,2.9219715422391767e-41,3.7643673253099e-98,1.684818968492893e-15,1.142910642315915e-80,1.6848189684844864e-15,6.811103636044976e-55,6.0770178828035054e-55,1.6350602048001586e-82,1.8958485659824623e-83,1.1649529389700638e-40,1.7697101491966446e-62,9.201258913977522e-14,2.7243292276652277e-15,1.0906403777590923e-17,5.505585940799484e-29,2.0386309843142783e-28,1.0906403089257461e-17,3.415824448874655e-25,2.0009134436401315e-29,5.123519678358065e-34,3.043855752814663e-56,2.26869851212421e-39,5.329938859817573e-54,2.879494832979991e-76,3.507682475916829e-41,2.0623558393456862e-79,1.5042192415143764e-79,1.8340792241258182e-28,1.587428351774163e-66
3.8179953190102114e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981036,0.1186699660297779,0.02282156769305156,1.8982479391922225e-85,3.581990781653491e-47,7.260480118682468e-27,4.067375152707331e-61,2.3376512121148197e-40,1.2793540626478123e-95,3.369683641869655e-15,7.314980948513252e-79,3.369683641836028e-15,1.0898135332207816e-53,9.723550240728395e-54,2.7793522487028658e-80,3.2226525527648433e-81,9.319815720461816e-40,1.1166011647956128e-60,1.8402767434706391e-13,5.4487323594934236e-15,2.1813104108588174e-17,2.202271838312059e-28,8.154689696311689e-28,2.1813101355118405e-17,1.3662775093703305e-24,1.6006675012563196e-28,5.46842673262664e-33,1.2960665609718469e-54,1.815002208491563e-38,1.7055399589509977e-52,4.894700644781327e-74,2.806203675658813e-40,3.510337070660995e-77,2.5603348009719076e-77,7.336465941406824e-28,1.0159311646045416e-64
7.636042423598555e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962085,0.11866996602959048,0.022821567693048838,7.266714414572557e-83,5.731222896082893e-46,2.9042226820987494e-26,3.8912583953607755e-59,1.8701505573738286e-39,4.891015935570147e-93,6.739412988636654e-15,4.68170070333437e-77,6.739412988502146e-15,1.7437312092286583e-52,1.5557861774356008e-52,5.314521735065635e-78,6.162175677845549e-79,7.455894654036955e-39,7.094349342887887e-59,3.680578447573777e-13,1.089753862314427e-14,4.362650684182086e-17,8.809118216044511e-28,3.261908941254954e-27,4.362649582719009e-17,5.464525179688983e-24,1.280387224052322e-27,6.565638880679047e-32,6.207925385282344e-53,1.4520195083412618e-37,5.457153363491137e-51,9.359372016363274e-72,2.2449753233177865e-39,6.721175926033246e-75,4.902233592458369e-75,2.9346160560492643e-27,6.501283424057459e-63
1.5272136632775244e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992418,0.11866996602921565,0.022821567693043388,3.0922914597476804e-80,9.169902195483637e-45,1.1616958543022402e-25,4.1385978870213564e-57,1.496132274503799e-38,2.0791126258033475e-90,1.3478871682224554e-14,2.9963245583122353e-75,1.3478871681686521e-14,2.7899935618726837e-51,2.4892481016437036e-51,1.129868099130627e-75,1.310079419488174e-76,5.964676864515899e-38,4.522940523488327e-57,7.361181855609508e-13,2.1795151150423773e-14,8.725332059659949e-17,3.523618210236081e-27,1.3047701175767892e-26,8.725327653273404e-17,2.1853089930252042e-23,1.024056780877074e-26,8.7566289482664e-31,3.304763148837499e-51,1.161623313993559e-36,1.7458710408400688e-49,1.9898036618941894e-69,1.7959680993464039e-38,1.430441819264973e-72,1.0433272143198457e-72,1.173852254535689e-26,4.159834157364013e-61
3.054432505112862e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767984837,0.11866996602846595,0.02282156769303249,1.421954589811616e-77,1.4671529397419879e-43,4.646802212244056e-25,4.756846826420915e-55,1.1969105405696192e-37,9.553746337844894e-88,2.6957789069615956e-14,1.917659247516588e-73,2.6957789067463817e-14,4.464008543281145e-50,3.9827114006682413e-50,2.596391276939555e-73,3.010509468520853e-74,4.7716368479046324e-37,2.8880317920395772e-55,1.4722388670998782e-12,4.3590376204894026e-14,1.745069812862368e-16,1.4094132710381807e-26,5.219092980480177e-26,1.7450680498943684e-16,8.73716330586938e-23,8.188336001329348e-26,1.260776376503815e-29,1.9005704202988336e-49,9.293027104569772e-36,5.584032904288966e-48,4.57248756672511e-67,1.436742236930808e-37,3.289414495926256e-70,2.3992314024100427e-70,4.695419851938452e-26,2.660991924472875e-59
