Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),CO2X(24),H2X(49),H2OX(23),CHOX(53)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221183e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-2.0850504999171894e-117,8.882669407377074e-66,9.9388126153583503e-42,5.6739988553489906e-90,4.5713111552163346e-62,2.7421973862840277e-139,7.3429566300639442e-25,-9.8688422849716644e-123,7.3429566300639433e-25,1.4857053924427984e-84,4.6273608095148528e-75,1.2276250621259796e-117,7.4178785383609165e-119,2.359341298632277e-55,9.6125590853753117e-100,2.9121118203838406e-18,1.400169241939002e-19,5.3970087771082673e-23,5.3970087786853011e-23,7.8851759824771269e-33,1.6638383456916885e-38,1.8453275915476567e-42,6.453877428911497e-38,5.9306774177760269e-73,-2.3422715605018863e-105,6.8802603286219603e-58,2.3581486926528315e-54,-5.7691485538951695e-108
2.0219448808219312e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,3.777387430110354e-115,1.987035963225143e-64,7.079227503733011e-41,6.2699468271448551e-88,6.9081654155617777e-61,9.8946754761162424e-137,2.0560278564179046e-24,1.9045726258037646e-121,2.0560278564179042e-24,4.1899269182637828e-83,1.4549162770625603e-73,2.4540918567537536e-115,1.4828758288235179e-116,2.8010099895115385e-54,4.9757374227922618e-98,8.1539130970747493e-18,3.9204738774292058e-19,1.5111624573348367e-22,1.5111624582873663e-22,4.7626365881997534e-32,1.9753051966870449e-37,2.1907801307480323e-41,3.8981419667204937e-37,3.6079321782876234e-71,2.3704474346144371e-103,9.5092478493116643e-57,2.7995941276831526e-53,5.8385474272894176e-106
4.6215882990215566e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.5946072621908193e-112,3.9260644408461581e-63,4.504477193483226e-40,5.6726158653405497e-86,7.4314891116540917e-60,3.5826507691478612e-134,4.6994922432409253e-24,2.0110595982778853e-119,4.6994922432409224e-24,9.1140062360424087e-82,3.2458381778194853e-72,4.4429139382148317e-113,2.6846141354767517e-114,2.7500482169892114e-53,2.1726016879030872e-96,1.8637515650456547e-17,8.9610831484096137e-19,3.4540856155609437e-22,3.4540856201469727e-22,2.292994617938687e-31,1.9393585450968561e-36,2.1509362042144358e-40,1.8767875558143865e-36,1.6288044493202301e-69,4.9641158083818001e-101,1.2176723777801493e-55,2.7486581154298432e-52,1.2226901182285908e-103
9.820875135420809e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,5.129123985038445e-110,6.9862351573221669e-62,2.9302951850389301e-39,4.2931811193902679e-84,6.8308188176204895e-59,1.0863352971896313e-131,9.9864210168869661e-24,1.5895752439479304e-117,9.9864210168869529e-24,1.6895831535076273e-80,6.0790956774319505e-71,6.7323050955058111e-111,4.0679701822761797e-112,2.4323865037751303e-52,8.0880513379271159e-95,3.9604720757220064e-17,1.9042301690370426e-18,7.3399319279255077e-22,7.3399319479539867e-22,1.0014023068719786e-30,1.7153267767156569e-35,1.9025058967770855e-39,8.1964243294157969e-36,6.1501421776963152e-68,7.9777252454205948e-99,1.5823098634399832e-54,2.4311569746521375e-51,1.9649594900822823e-101
2.0219448808219312e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,1.4672459876003883e-107,1.1783317502700516e-60,2.0281908972546327e-38,2.9826605969351683e-82,5.8439092968301401e-58,3.0216036052226547e-129,2.0560278564179055e-23,1.1266346384461965e-115,2.0560278564178999e-23,2.9039617432598609e-79,1.0500125998578391e-69,9.3600426163551509e-109,5.6557707538842055e-110,2.0445674172800122e-51,2.7864563113990468e-93,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624536304027e-21,1.511162461991971e-21,4.1805849219799921e-30,1.4418121392438125e-34,1.5992165685477415e-38,3.4218458080372521e-35,2.1338300729899267e-66,1.1406181062362708e-96,2.1800472685698631e-53,2.0435339239066659e-50,2.8094081945130902e-99
4.1016596153816315e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,3.9677186118610126e-105,1.9354143079035113e-59,1.4862831338567205e-37,1.9880416655950541e-80,4.8318571917829556e-57,8.0597264327424593e-127,4.1707993658763259e-23,7.5817345952611237e-114,4.1707993658763012e-23,4.8131035989130363e-78,1.7446116323345788e-68,1.2481408616204941e-106,7.5418444874551907e-108,1.6762598939106571e-50,9.2472325216564595e-92,1.6540795139779909e-16,7.952961294213526e-18,3.0655009687658641e-21,3.0655010029261915e-21,1.7078460371635488e-29,1.1820463748630826e-33,1.3112093494371796e-37,1.3979356625719697e-34,7.1069450417982512e-65,1.5419136896460532e-94,3.1812282026122177e-52,1.6754125735024696e-49,3.7978233666001884e-97
8.261089084501032e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,1.0438416201534898e-102,3.1373906891616168e-58,1.1324549825755096e-36,1.2984123247377995e-78,3.9291859823063128e-56,2.1060533531036336e-124,8.4003423847931738e-23,4.9746533345112071e-112,8.4003423847930739e-23,7.8368914167902318e-77,2.8441572564419281e-67,1.6306047219762762e-104,9.8528680601784953e-106,1.3574787182781013e-49,3.0130760553710342e-90,3.3314559225189871e-16,1.601793612778216e-17,6.1741779728758171e-21,6.1741781109621165e-21,6.9029072692239438e-29,9.5718972811272036e-33,1.0619727691853446e-36,5.6506794418965351e-34,2.3200863358338177e-63,2.0280509544361753e-92,4.8337055018672525e-51,1.3567925360818369e-48,4.9952104407426613e-95
1.6579948022739835e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,2.7092807571986537e-100,5.0526715196451127e-57,8.8284474204023978e-36,8.3956893721993164e-77,3.1690307737792149e-55,5.4478359121409401e-122,1.6859428422626902e-22,3.2235012634076641e-110,1.68594284226265e-22,1.2648774089710397e-75,4.5933214968269815e-66,2.1089018203834989e-102,1.2742960385144995e-103,1.0926169643592736e-48,9.7290398079107373e-89,6.6862087396007854e-16,3.2147885794919389e-17,1.2391531876451847e-20,1.2391532431729321e-20,2.7752431354902341e-28,7.7032966176983033e-32,8.5496353360195594e-36,2.2721133374031069e-33,7.4998055198427933e-62,2.6317564934640559e-90,7.5239301998714261e-50,1.0920646649713226e-47,6.4821800135659868e-93
3.3217665899217438e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,6.9859297029676642e-98,8.110657147267414e-56,6.9681254231000812e-35,5.4026940331395915e-75,2.5455377515781989e-54,1.4023704510693671e-119,3.3777600498294496e-22,2.0758444942708123e-108,3.3777600498292883e-22,2.0326239583674877e-74,7.3836299297436954e-65,2.7142936401228702e-100,1.6401017797522527e-101,8.7675629351114765e-48,3.1273127878704138e-87,1.3395714373763602e-15,6.4407785129193661e-17,2.4826239265028404e-20,2.4826241492248433e-20,1.112687523234036e-27,6.1798076501458208e-31,6.8636796205564753e-35,9.1121906014906554e-33,2.4129099326837013e-60,3.3929296106360405e-88,1.1866352327128302e-48,8.7631310761782374e-47,8.357014371457929e-91
6.649310165217264e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,1.7960511463130488e-95,1.2998199643970482e-54,5.5343463067901416e-34,3.4694983998967166e-73,2.0405634135864938e-53,3.6023823894801095e-117,6.7613944649630201e-22,1.3326524004753939e-106,6.7613944649623768e-22,3.2592703645027944e-73,1.1841331893335621e-63,3.4861835894313298e-98,2.1065133895954414e-99,7.0247193843671244e-47,1.0029887409091071e-85,2.6814725642086117e-15,1.2892758379774161e-16,4.969565236787965e-20,4.9695661290850197e-20,4.4540797396807401e-27,4.9487999215717154e-30,5.5043170383502505e-34,3.6496290466440157e-32,7.7473512918196009e-59,4.3614848573413632e-86,1.8840881076600232e-47,7.0211684974354497e-46,1.0742676474783353e-88
1.3304397315808305e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,4.6138666461623997e-93,2.0814054195030831e-53,4.4079696910180388e-33,2.2272191653447601e-71,1.6341054304662592e-52,9.2501374528157612e-115,1.3528663295230374e-21,8.5421562598047443e-105,1.3528663295227801e-21,5.2204960401811036e-72,1.8968177397480723e-62,4.4758736389266605e-96,2.7045298862249887e-97,5.6240465868197089e-46,3.2131658306075663e-84,5.3652748178718675e-15,2.5796718113483488e-16,9.943447187637555e-20,9.9434507611280315e-20,1.7808151678411595e-26,3.9579458846097742e-29,4.4148280651988134e-33,1.4608026695249208e-31,2.486663298140703e-57,5.6020805798891861e-84,3.0006426784583637e-46,5.6212037074820682e-45,1.3798476321041438e-86
2.6614571616990387e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,1.1863405275076935e-90,3.3316039033604809e-52,3.513124787242403e-32,1.4313639696696616e-69,1.3079462232253762e-51,2.3778799358046409e-112,2.7063200955765921e-21,5.4712003939881527e-103,2.7063200955755629e-21,8.3573250071665339e-71,3.0366726979767486e-61,5.7529570513853251e-94,3.4762027236256651e-95,4.5009461306025659e-45,1.0287894724082213e-82,1.0732879325193391e-14,5.1604637580901121e-16,1.9891208410454819e-19,1.989122272484245e-19,7.1098042331028402e-26,3.1610117988458654e-28,3.5460146409486646e-32,5.8451129022165655e-31,7.990645754142849e-56,7.2022010279621011e-82,4.7827305294587545e-45,4.4986709459972534e-44,1.7740028450452e-84
