Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2X(348),C4H7X(141),C4H6(54),C4H7X(140),C4H9X(153),C4H9X(171),C4H7X(142),SX(176),SX(174),C6H10(456),C6H10(549),C6H9X(432),C6H8(857),C6H9X(431)
1.2431464082413338e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583769957,0.66999999999999271,1.4050756737128964e-67,8.5523968633480513e-88,2.812536917346854e-35,1.0898645720932729e-61,9.4751093638457356e-97,0.0,0.0,4.9186399545995695e-104,0.0,7.371199999896725e-15,7.371199999896561e-15,8.1974177261533471e-29,2.8125369173467957e-35,2.6179489861248308e-50,1.8853908503986412e-50,9.1988818741933409e-56,5.7555490912890482e-71,5.6058989322726853e-71,5.7555490912889372e-71,3.4850092402959124e-86,7.2279385003592441e-88,1.3533569279734537e-104,6.1277816098639837e-85,4.3190590625209836e-101,6.1277816098639837e-85
2.4865626550779014e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258376848,0.66999999999998539,2.2487746415630782e-66,2.7373424411045234e-86,1.1251979083441964e-34,4.3601679655603298e-61,3.0332110119857325e-95,0.0,0.0,3.1489276762649539e-102,0.0,1.4743999999792417e-14,1.4743999999791764e-14,3.2795008742469647e-28,1.1251979083441502e-34,2.0947569468833414e-49,1.5085991371088237e-49,7.3605031311359081e-55,9.2107523926005891e-70,8.9712634162716984e-70,9.2107523926002313e-70,1.115437444441594e-84,2.3134266492610879e-86,8.6633349116554553e-103,1.9614948877546941e-83,2.7650640750961394e-99,1.9614948877546944e-83
4.973395148751037e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583765533,0.66999999999997062,3.5985623630422828e-65,8.7604166462285347e-85,4.5011579422731045e-34,1.7442091317683755e-60,9.7081572514118142e-94,0.0,0.0,2.0156331683805313e-100,0.0,2.9489599999580804e-14,2.9489599999578179e-14,1.3119071140586519e-27,4.5011579422727324e-34,1.6759646776976079e-48,1.2069939046442907e-48,5.888961617346828e-54,1.4738703092242681e-68,1.4355481747789992e-68,1.473870309224154e-68,3.5697750523933286e-83,7.40374350818784e-85,5.5451266084225045e-101,6.2777514548558615e-82,1.7699182687467283e-97,6.2777514548558626e-82
9.947060136097307e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583759632,0.66999999999994109,5.7581181643588241e-64,2.8034806701805083e-83,1.8005364412967248e-33,6.9771204282580122e-60,3.1069114735971849e-92,0.0,0.0,1.2901074634455352e-98,0.0,5.8980799999145505e-14,5.8980799999135004e-14,5.2478419925553749e-27,1.8005364412964275e-33,1.3408353936336712e-47,9.6564096414636468e-48,4.7113929507968814e-53,2.3583124433589505e-67,2.2969939094833726e-67,2.3583124433585855e-67,1.1423880576028334e-81,2.3693224478213669e-83,3.5490705672533531e-99,2.0090353300315593e-80,1.1328364238429137e-95,2.00903533003156e-80
1.9894390110789848e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583747836,0.66999999999988213,9.2133237834637093e-63,8.9713739018631491e-82,7.2022922965675231e-33,2.7909049525410968e-59,9.9425985853830552e-91,0.0,0.0,8.2570149360672352e-97,0.0,1.179631999982267e-13,1.179631999981847e-13,2.0991795050450437e-26,7.2022922965651406e-33,1.0726937761765476e-46,7.7253110797873692e-47,3.7692038257926383e-52,3.7733958712424238e-66,3.6752837220086156e-66,3.7733958712412557e-66,3.6557378528729936e-80,7.5820310799970147e-82,2.2714658172491902e-97,6.4291608506456844e-79,7.2504370679748807e-94,6.4291608506456904e-79
3.9789050060174924e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583724243,0.66999999999976412,1.4741585835389422e-61,2.8708773703890127e-80,2.8809462251616459e-32,1.1163733373572242e-58,3.1817086484848027e-89,0.0,0.0,5.2845942560136539e-95,0.0,2.3592799999619609e-13,2.3592799999602812e-13,8.3968034369737949e-26,2.8809462251597399e-32,8.5816520558421265e-46,6.1803222114496573e-46,3.0153988471712842e-51,6.0375101646729993e-65,5.8805287300186887e-65,6.0375101646692657e-65,1.1698514841416646e-78,2.426281825643407e-80,1.4537575327189187e-95,2.0573711202410149e-77,4.6403705913746648e-92,2.0573711202410192e-77
7.957836995894509e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583677059,0.6699999999995282,2.3586751564209927e-60,9.1868679406013796e-79,1.1523843513957954e-31,4.4655160621485437e-58,1.01815910385682e-87,0.0,0.0,3.3821738272605923e-93,0.0,4.7185759999136307e-13,4.7185759999069139e-13,3.3587384582142992e-25,1.1523843513942711e-31,6.8653623835039541e-45,4.944287108393691e-45,2.4123333924431596e-50,9.6600776804865712e-64,9.4089057888900383e-64,9.6600776804746263e-64,3.7435493434061841e-77,7.7641528505383542e-79,9.3041103208909745e-94,6.5836510223315665e-76,2.9698662565330945e-90,6.5836510223315947e-76
1.591570097564854e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583582684,0.66999999999905635,3.7738973885413772e-59,2.9398073978797962e-77,4.6095491282565292e-31,1.7862109673630495e-57,3.2581288705945959e-86,0.0,0.0,2.1646019705887782e-91,0.0,9.4371679997861014e-13,9.4371679997592342e-13,1.3434987999703002e-24,4.609549128244337e-31,5.492306202367879e-44,3.9554414224320265e-44,1.9298724398492152e-49,1.5456173422524333e-62,1.5054297120859515e-62,1.5456173422486112e-62,1.1979397249656922e-75,2.4845370735520432e-77,5.9546504811072218e-92,2.1067784771990422e-74,1.9007237092000318e-88,2.1067784771990603e-74
3.1831428935156604e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583393941,0.66999999999811266,6.0382495322295245e-58,9.407399124203459e-76,1.8438219958278816e-30,7.1448529540663234e-57,1.0426043967073581e-84,0.0,0.0,1.3853486919338472e-89,0.0,1.8874351999407568e-12,1.8874351999300091e-12,5.3740020331941336e-24,1.8438219958181261e-30,4.3938514800962203e-43,3.1643578322151897e-43,1.5439002422300651e-48,2.4729916782941458e-61,2.4086913685993288e-61,2.4729916782819132e-61,3.8334134159914508e-74,7.9505316935310389e-76,3.8109826681255845e-90,6.7417073670722078e-73,1.2164661514856905e-86,6.7417073670723247e-73
6.366288485417273e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583016454,0.66999999999622517,9.6612102197567459e-57,3.0103701918648904e-74,7.3752926722686025e-30,2.8579429982277685e-56,3.3363391223724112e-83,0.0,0.0,8.8662426065751915e-88,0.0,3.7748719998156591e-12,3.7748719997726675e-12,2.1496021798899534e-23,7.3752926721905599e-30,3.5150837913041664e-42,2.5314881434413939e-42,1.2351211099074855e-47,3.9567898297712809e-60,3.8539092549746028e-60,3.9567898297321359e-60,1.2266933004733668e-72,2.5441722311933948e-74,2.4390309428302829e-88,2.1573489558110014e-71,7.7853928976149819e-85,2.1573489558110754e-71
