Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.553161002830065e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,6.0253351259174747e-66,6.6652318274033472e-42,0.0,2.9602141457974258e-57,0.0,6.6636245612947117e-25,-4.7753787066158295e-118,6.6636245612852995e-25,8.7308113235337554e-80,1.0767182439110981e-70,0.0,0.0,3.1347875762726152e-53,5.1262582687759362e-95,2.642698415522306e-18,1.2706328827193013e-19,4.8977056602268849e-23,5.3149578831135639e-38,4.897705660226973e-23,1.762340644868065e-54,3.2641946571194476e-42
1.8348850807924183e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.3478996091892594e-64,4.02580002375163e-41,0.0,4.4734756171187488e-56,0.0,1.8658148771655686e-24,9.2172556631708529e-117,1.865814877159884e-24,2.4622284862122158e-78,3.3853744278102553e-69,0.0,0.0,3.7216198105493365e-52,2.653498916150774e-93,7.3995555634624574e-18,3.5577720716140437e-19,1.3713575848634988e-22,3.2102345613991676e-37,1.3713575848635524e-22,2.0922508135801934e-53,1.9715735729027825e-41
4.194023041811242e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.6632722154001049e-63,1.9382494154089048e-40,0.0,4.812360932527766e-55,0.0,4.2647197192499598e-24,9.7325353195713781e-115,4.2647197192225914e-24,5.3558847754875175e-77,7.552584118832919e-68,0.0,0.0,3.653908398898672e-51,1.1586214741209533e-91,1.6913269859342745e-17,8.1320504494035286e-19,3.1345316225450046e-22,1.5455897524072873e-36,3.1345316225452627e-22,2.0541842556359771e-52,9.4922780629428934e-41
8.912298963848889e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,4.7391912444555289e-62,8.4648444208023637e-40,0.0,4.4233887937701936e-54,0.0,9.0625294034675252e-24,7.6927586890225918e-113,9.0625294033480025e-24,9.9289077335848871e-76,1.4145154193834319e-66,0.0,0.0,3.2318405996241668e-50,4.3132572471144095e-90,3.5940698451103261e-17,1.7280607204982499e-18,6.6608796979075558e-22,6.7499965115321386e-36,6.6608796979086833e-22,1.8169027111864756e-51,4.145527214582553e-40
1.8348850807924181e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,7.9933717995925892e-61,3.5339059148893551e-39,0.0,3.7843022414061888e-53,0.0,1.86581487720978e-23,5.4523549303965024e-111,1.8658148771598808e-23,1.706525554713789e-74,2.4432236218335558e-65,0.0,0.0,2.7165567569787589e-49,1.4859825199318209e-88,7.3995555634624035e-17,3.5577720716140435e-18,1.3713575848630813e-21,2.8179906696069334e-35,1.3713575848635521e-21,1.5272162053076111e-50,1.7306760072415e-39
3.7221954496074766e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996518,0.022821567693054282,0.0,1.3129163928263886e-59,1.4437158747429585e-38,0.0,3.128934274422626e-52,0.0,3.7849387510138892e-23,3.6691849155055519e-109,3.7849387508100368e-23,2.8284409562738486e-73,4.0594525891455559e-64,0.0,0.0,2.2271973568016295e-48,4.9314342006055082e-87,1.5010527000166457e-16,7.2171947738456284e-18,2.7818968150069944e-21,1.1512411372970992e-34,2.781896815008918e-21,1.2521041155532681e-49,7.0703761954183162e-39
7.496816187237595e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996503,0.022821567693054278,0.0,2.128296202498728e-58,5.8357303960200302e-38,0.0,2.544397387931779e-51,0.0,7.6231864989343325e-23,2.4074864303477158e-107,7.6231864981103239e-23,4.6053828718213512e-72,6.6179322731379083e-63,0.0,0.0,1.8036421635033965e-47,1.606836036606916e-85,3.0232469873574168e-16,1.4536040178308787e-17,5.602975275291868e-21,4.6535007445058625e-34,5.6029752752996432e-21,1.0139863756456516e-48,2.8579591039076947e-38
1.5046057662497829e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996473,0.022821567693054271,0.0,3.4275571491182811e-57,2.3465215257652107e-37,0.0,2.0521486704871292e-50,0.0,1.5299681996024107e-22,1.5600153784707811e-105,1.5299681992710797e-22,7.433106522606715e-71,1.0687978298186133e-61,0.0,0.0,1.4517281264684243e-46,5.1883761927289839e-84,6.0676355620387971e-16,2.9173730987235074e-17,1.1245132195849806e-20,1.8711521824693617e-33,1.1245132195881069e-20,8.1614444974614086e-48,1.1491727860252364e-37
3.0144540613018297e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999875,0.11866996602996412,0.022821567693054257,0.0,5.5019896954388794e-56,9.4106008257242679e-37,0.0,1.6483974127588604e-49,0.0,3.0652672995199207e-22,1.0046062336342798e-103,3.0652672981911367e-22,1.1944802634641658e-69,1.7180612958886229e-60,0.0,0.0,1.1649203947811763e-45,1.6677571656360437e-82,1.2156412711400919e-15,5.8449112605087531e-17,2.2529446036918451e-20,7.5041571445161512e-33,2.2529446037043826e-20,6.549045216270906e-47,4.6086968528921045e-37
6.034150651405923e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999748,0.1186699660299629,0.02282156769305423,0.0,8.8175307802243084e-55,3.7691488736184652e-36,0.0,1.321394556984321e-48,0.0,6.1358655013531637e-22,6.4493800914183479e-102,6.1358654960310923e-22,1.9153244844205414e-68,2.7553026681057615e-59,0.0,0.0,9.3335390011575755e-45,5.3488151164807085e-81,2.4333967010122595e-15,1.1699987584079189e-16,4.5098073718866794e-20,3.0055770050255774e-32,4.5098073719368938e-20,5.2472056604813165e-46,1.8458826253439627e-36
1.2073543831614112e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999492,0.11866996602996045,0.022821567693054171,0.0,1.4119538509495544e-53,1.5086418179936839e-35,0.0,1.0581873437073936e-47,0.0,1.2277061913012537e-21,4.1339828207615282e-100,1.2277061891710385e-21,3.0678478210928862e-67,4.4136146653589214e-58,0.0,0.0,7.4725063905262562e-44,1.7135419343401248e-79,4.8689075607555671e-15,2.3410140231219854e-16,9.0235329082007733e-20,1.2030140776919222e-31,9.023532908401761e-20,4.2009550460561107e-45,7.3883410157166265e-36
2.415233019203049e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998982,0.11866996602995558,0.022821567693054053,0.0,2.2600457548108723e-52,6.0365323689553805e-35,0.0,8.4697876369028422e-47,0.0,2.4559454768302833e-21,2.6477923086441299e-98,2.4559454683066481e-21,4.9112209489123579e-66,7.0658904695454975e-57,0.0,0.0,5.9802761569588759e-43,5.486409823114796e-78,9.7399292802380765e-15,4.6830445525500335e-16,1.8050983980526655e-19,4.8136233068387728e-31,1.8050983981330871e-19,3.3620407800275537e-44,2.9562987865815719e-35
4.830990291286324e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999796,0.11866996602994584,0.022821567693053817,0.0,3.6168090457755491e-51,2.4150060229730904e-34,0.0,6.7775460830195106e-46,0.0,4.9124240606769634e-21,1.6952412322405265e-96,4.9124240265768736e-21,7.8600856733466619e-65,1.1308711423533393e-55,0.0,0.0,4.7851295342810369e-42,1.756143394864966e-76,1.9481972719186654e-14,9.3671056114057896e-16,3.610588612396919e-19,1.9257627651963663e-30,3.6105886127186586e-19,2.6901434150541668e-43,1.1827120206983807e-34
9.662504835452874e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995918,0.11866996602992635,0.022821567693053348,0.0,5.7874831530386909e-50,9.6608102987170822e-34,0.0,5.4227233389429589e-45,0.0,9.8253812795248074e-21,1.0851637690525652e-94,9.8253811431133471e-21,1.2577843042864659e-63,1.8096568019703886e-54,0.0,0.0,3.8284671045471793e-41,5.6204465854496223e-75,3.8966059597018093e-14,1.8735227729115949e-15,7.2215690406017374e-19,7.7036779791607723e-30,7.2215690418887998e-19,2.1523190456671978e-42,4.7312331430445217e-34
1.9325533923785973e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991832,0.11866996602988739,0.022821567693052412,0.0,9.2604438130990357e-49,3.8644813664944871e-33,0.0,4.3384532758419381e-44,0.0,1.9651295921838425e-20,6.9457182627373355e-93,1.965129537617039e-20,2.0125913733250479e-62,2.8956612712810749e-53,0.0,0.0,3.0629190739454946e-40,1.7986689520278982e-73,7.7934233352418034e-14,3.7471471964530848e-15,1.444352989507661e-18,3.0815965708502917e-29,1.4443529900225073e-18,1.7219369269603584e-41,1.8925702885701403e-33
3.8651592100452177e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319983661,0.11866996602980945,0.022821567693050538,0.0,1.4817086071435271e-47,1.5458239965943373e-32,0.0,3.4708724641651463e-43,0.0,3.9303126024937391e-20,4.4454742067154306e-91,3.9303123842220836e-20,3.2202553888018443e-61,4.6332263243569291e-52,0.0,0.0,2.4503934035416114e-39,5.7559423228991501e-72,1.5587058086216622e-13,7.4943960435338969e-15,2.8887451596287319e-18,1.2326636974608554e-28,2.8887451616881589e-18,1.3775821555901193e-40,7.570435352208811e-33
7.730370845378459e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319967324,0.11866996602965357,0.022821567693046791,0.0,2.3707636396641365e-46,6.1833588872113761e-32,0.0,2.7767419066220317e-42,0.0,7.8606789505022228e-20,2.8451722188030186e-89,7.8606780774067222e-20,5.1524959717693898e-60,7.4132966672935259e-51,0.0,0.0,1.9603379596323683e-38,1.8419338103907226e-70,3.1174327587745583e-13,1.4988893737686847e-14,5.7775294967752604e-18,4.9307048712280477e-28,5.7775295050130521e-18,1.1020786694203386e-39,3.0282050867287001e-32
1.5460794116044938e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631993465,0.11866996602934182,0.022821567693039297,0.0,3.7932450466437413e-45,2.4733561353321918e-31,0.0,2.2214110951041795e-41,0.0,1.5721412956073951e-19,1.8209323134745578e-87,1.5721409463674191e-19,8.2440634190290622e-59,1.1861382030053744e-49,0.0,0.0,1.5682796284626356e-37,5.8942398096637534e-69,6.2348866589120821e-13,2.9977889125958087e-14,1.1555098158685861e-17,1.9722919189701438e-27,1.1555098191637194e-17,8.8166795221435864e-39,1.2112883086761991e-31
3.09216406573779e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319869302,0.11866996602871832,0.022821567693024309,0.0,6.0692085041497266e-44,9.8934497040788236e-31,0.0,1.7771358969231764e-40,0.0,3.1442886205436441e-19,1.1654038794059712e-85,3.1442872235801894e-19,1.3190557310299626e-57,1.8978296250829305e-48,0.0,0.0,1.2546273526452099e-36,1.886164990474903e-67,1.2469794458514048e-12,5.9955879902361829e-14,2.311023543297724e-17,7.8891872501419397e-27,2.3110235564782902e-17,7.0533611031208125e-38,4.845166461007772e-31
6.184333374004383e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319738601,0.11866996602747132,0.02282156769299433,0.0,9.7107398731744681e-43,3.9573849156261694e-30,0.0,1.4217115145044679e-39,0.0,6.2885853657037324e-19,7.4586095134274546e-84,6.2885797778428376e-19,2.110493620284823e-56,3.0365339163362357e-47,0.0,0.0,1.0037032549646785e-35,6.0357411251517485e-66,2.493961005502566e-12,1.1991186145461443e-13,4.6220509783440699e-17,3.1556785215206696e-26,4.6220510310664021e-17,5.6426917464770981e-37,1.9380697723113242e-30
1.2368671990537567e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319477205,0.11866996602497731,0.022821567692934374,0.0,1.5537166803628184e-41,1.582954974201178e-29,0.0,1.1373703121904228e-38,0.0,1.2577187237174135e-18,4.7735200986594839e-82,1.257716488571656e-18,3.3767932999729782e-55,4.858458570200835e-46,0.0,0.0,8.0296301374527526e-35,1.9314392351208765e-64,4.9879241237279602e-12,2.3982382455690021e-13,9.2441057691890451e-17,1.2622718981873143e-25,9.2441059800785121e-17,4.5141479344827764e-36,7.7522898062233464e-30
2.4737349223603934e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318954412,0.11866996601998929,0.022821567692814463,0.0,2.4859382870048581e-40,6.3318219219164785e-29,0.0,9.0989666086634388e-38,0.0,2.5154424504714603e-18,3.055058768163217e-80,2.515433509885771e-18,5.402871916384252e-54,7.7735342470742738e-45,0.0,0.0,6.4237035191972036e-34,6.1806086815840034e-63,9.9758503558710367e-12,4.796477507525939e-13,1.8488215033888137e-16,5.049086694195901e-25,1.8488215877446291e-16,3.611305589299627e-35,3.1009215388120291e-29
