Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),CO2X(24),H2X(49),H2OX(23),CHOX(53)
6.649310165217264e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,2.5252548705455746e-97,1.2998199643940389e-54,1.2226363737586789e-35,8.4273126554306238e-74,3.4808874472038762e-52,8.7495982511625428e-118,6.7613944649639717e-22,2.2733000887605447e-105,6.7613944649623768e-22,5.5598141070488569e-72,4.9217858602493561e-63,8.4675264702133114e-99,5.1164711866984484e-100,7.0247193838475055e-47,1.710944572431082e-84,2.6814725642086117e-15,1.2892758379774161e-16,4.9695655754110056e-20,4.9695657899957571e-20,1.0725119050495109e-27,2.8668007632496192e-31,7.7407123933509111e-36,3.6496290466437858e-32,1.089341341964637e-60,6.1323784483073975e-88,4.2707621626524234e-49,7.0211684974350359e-46,6.2318294363368313e-90
1.3304397315808305e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,6.5486226867816892e-95,2.0814054194934269e-53,7.9546779401483674e-35,5.4610433660845697e-72,2.7875329694196905e-51,2.2678440938351227e-115,1.352866329523418e-21,1.4571606900650376e-103,1.3528663295227801e-21,8.9053646356944668e-71,7.8840212776113648e-62,1.0973840741257332e-96,6.6309021763476354e-98,5.624046585988482e-46,5.4811675033331151e-83,5.3652748178718675e-15,2.5796718113483488e-16,9.9434485430120642e-20,9.9434494020249966e-20,4.291695412590108e-27,2.2946105233402788e-30,6.2687148959845607e-35,1.4608026695247364e-31,3.5297975678136773e-59,7.9515212223404485e-86,5.5020690764594426e-48,5.6212037074814049e-45,8.0804776866103609e-88
2.6614571616990387e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,1.7152683581215583e-92,3.3316039033294805e-52,5.6306296003003507e-34,3.5750723511456937e-70,2.2311559972038755e-50,5.9378841302648451e-113,2.7063200955781159e-21,9.3330299907340012e-102,2.7063200955755629e-21,1.4256316642489151e-69,1.2621768753469834e-60,1.4366924141057376e-94,8.6811600347216868e-96,4.5009461292747437e-45,1.7549572802200537e-81,1.0732879325193391e-14,5.1604637580901121e-16,1.9891213833717275e-19,1.9891217271805117e-19,1.7163197685561789e-26,1.835468953511694e-29,5.1311389339012248e-34,5.8451129022150784e-31,1.1555745698932949e-57,1.0414035193278507e-83,7.7347605086341775e-47,4.498670945996185e-44,1.0582938201461589e-85
5.323492021935455e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,4.5842636267064636e-90,5.3316499812403233e-51,4.2081881332227357e-33,2.3882531481830431e-68,1.7853765410068175e-49,1.5863097913511013e-110,5.4132276276901358e-21,5.9754440430713375e-100,5.4132276276799209e-21,2.2816292302566601e-68,2.0200695799686197e-59,1.9192105749910072e-92,1.159675771163642e-93,3.6014401110449929e-44,5.6174370172961957e-80,2.1468088339816482e-14,1.0322047651573227e-15,3.9786741837140406e-19,3.9786755599058382e-19,6.8590671237612838e-26,1.467188927381954e-28,4.2882795856817174e-33,2.3384253241267221e-30,3.8609876221950283e-56,1.3917453256666407e-81,1.1512578194717546e-45,3.5996195923947545e-43,1.4143203841184674e-83
1.0647561742408289e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,1.2715172984768252e-87,8.5315047622092143e-50,3.2433275526550362e-32,1.6557244942531416e-66,1.4284816068919328e-48,4.3972274824319121e-108,1.082704269192467e-20,3.8250210177219146e-98,1.0827042691883808e-20,3.6511008388333058e-67,3.2325794215886883e-58,2.6603663970203488e-90,1.6075163291766933e-91,2.8814246288107406e-43,1.7978312654008976e-78,4.2938506368982849e-14,2.0645215438537819e-15,7.9577787532040199e-19,7.9577842642645197e-19,2.7380035226938791e-25,1.1715249651887172e-27,3.722274645720521e-32,9.35445899084169e-30,1.3391105474677063e-54,1.9303758449742504e-79,1.770490265219743e-44,2.8799680334419075e-42,1.9616951453974226e-81
2.1295701183353955e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,3.7528446203501293e-85,1.3651092121646979e-48,2.5379482585010657e-31,1.2213977696225355e-64,1.1428568871035385e-47,1.2966620354118677e-105,2.1654672820435726e-20,2.4482481272558072e-96,2.1654672820272266e-20,5.8421538936398865e-66,5.1724975903896167e-57,3.9232961878953694e-88,2.3706367003703484e-89,2.3052474892061824e-42,5.7534597029953321e-77,8.5879342426996336e-14,4.1291551012460408e-15,1.5915983767407523e-18,1.5916005859033128e-18,1.0905962884836194e-24,9.3354560244084711e-27,3.4414184397528275e-31,3.7419329915402899e-29,4.9435383187394607e-53,2.8493437867949943e-77,2.7677398150117477e-43,2.3040820901322966e-41,2.8955941919023315e-79
4.2591980065245286e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,1.2125885553049888e-82,2.1842271413907521e-47,1.9959598914341691e-30,9.863082169802223e-63,9.1431326726724592e-47,4.1846963702855102e-103,4.3309933077625764e-20,1.5669524474828569e-94,4.3309933076971923e-20,9.3477515365828077e-65,8.2762798021590749e-56,6.3325806736599032e-86,3.826437056649882e-87,1.8442391299179165e-41,1.8411693567611437e-75,1.7176101454174625e-13,8.2584222160279254e-15,3.1832377296725758e-18,3.1832466032542332e-18,4.3257145930692602e-24,7.4097183788644262e-26,3.4862694576831543e-30,1.4968013569356295e-28,1.998385719659437e-51,4.6046381147603535e-75,4.3516520939697384e-42,1.8433066805932491e-40,4.6794485196013807e-77
8.518453782902795e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,4.3648613246406706e-80,3.4947977965872168e-46,1.5647609767869418e-29,8.8728823825584633e-61,7.3146030273297699e-46,1.5044272996106755e-100,8.6620453592677556e-20,1.0028712720357165e-92,8.6620453590062168e-20,1.4956618722194937e-63,1.3242233758776294e-54,1.1386388875087475e-83,6.8801788068128892e-85,1.4754045962765619e-40,5.8918306969054519e-74,3.4352435876613784e-13,1.651695644558117e-14,6.3665098359144208e-18,6.3665456177887438e-18,1.7015795452384225e-23,5.8358442576592525e-25,3.9355384660426724e-29,5.9872479948868921e-28,9.0003299028300539e-50,8.2901139208321262e-73,6.8242818264446369e-41,1.4746584552675267e-39,8.4250420099935764e-75
1.7036965335659327e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,1.7348642137853322e-77,5.5916798053654061e-45,1.2113002988664794e-28,8.8141614535290969e-59,5.8516985493712009e-45,5.9734308314010765e-98,1.7324149462546808e-19,6.4184217697127194e-91,1.7324149461500638e-19,2.3930673412751074e-62,2.1187592139651888e-53,2.2610130922987059e-81,1.3662070782747061e-82,1.1803239327480737e-39,1.8853930803180853e-72,6.870510471944883e-13,3.3034024904645548e-14,1.2733027650020622e-17,1.2733172972048167e-17,6.5869438949524996e-23,4.5279389977602272e-24,4.902499775589578e-28,2.3948967083191339e-27,4.4751265488721404e-48,1.6479334630584704e-70,1.0574212270261331e-39,1.1797267400921844e-38,1.6748475284174674e-72
3.4073988441172392e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,7.3433220135929877e-75,8.9466130245795163e-44,9.1278976699964664e-28,9.3256497937306318e-57,4.6813290853698953e-44,2.5270892343884254e-95,3.464835767017967e-19,4.1077740313211306e-89,3.4648357665994995e-19,3.8288857652718838e-61,3.3899743576537994e-52,4.7829622104384294e-79,2.8900801365049739e-80,9.4425115062953583e-39,6.0332250297282104e-71,1.3741044239694581e-12,6.6068161822605875e-14,2.5465957685596515e-17,2.5466555026758761e-17,2.4742654000749575e-22,3.4157818672365864e-23,6.4958406626128052e-27,9.5794938308889695e-27,2.3688807107500887e-46,3.4882176208648673e-68,1.5965564642689458e-38,9.4377295302223744e-38,3.5455573012961012e-70
6.814803465219852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,3.1455845018764215e-72,1.4314273666167827e-42,6.5483691665140735e-27,9.986567768893111e-55,3.7449934397362612e-43,1.0825829275905422e-92,6.9296774089744354e-19,2.6289312491928832e-87,6.9296774073005702e-19,6.1261079382844375e-60,5.4237927988674379e-51,1.0243299848256348e-76,6.1894460888327053e-78,7.5538476615163042e-38,1.9305983167971556e-69,2.7482111771924732e-12,1.3213643565785279e-13,5.0931395393216973e-17,5.0933893375502661e-17,8.8111590119822081e-22,2.4515129239530239e-22,8.698170564306493e-26,3.8317085161949767e-26,1.2685279288232096e-44,7.471272162124202e-66,2.2986810845324341e-37,7.5500150026814939e-37,7.5955057464097263e-68
1.3629612707425078e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,1.2924033104188326e-69,2.2901800375998321e-41,4.3382276077734194e-26,1.0258888488261556e-52,2.995874141753385e-42,4.451399839127145e-90,1.3859360694606919e-18,1.6824519056170241e-85,1.3859360687911523e-18,9.8013918412427143e-59,8.6775072060442536e-50,2.1049508131184499e-74,1.2718965156670681e-75,6.0428062289285692e-37,6.1776786956687377e-68,5.4964246823308054e-12,2.6427298332565152e-13,1.0186058141034071e-16,1.0187121810691599e-16,2.8801829482151775e-21,1.6240356601889544e-21,1.1155592643881236e-24,1.5326092752129939e-25,6.5129883275555343e-43,1.5346805432384441e-63,3.0640330592049934e-36,6.0397287858323985e-36,1.5606741550880053e-65
2.725923119183553e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,4.8674710151716614e-67,3.663951740196666e-40,2.5750849037703008e-25,9.6616542187281837e-51,2.3965027979033698e-41,1.679270548229688e-87,2.7718727272749747e-18,1.076684751446429e-83,2.7718727245968678e-18,1.5680983367549478e-57,1.3882192079620759e-48,3.9666101555396964e-72,2.3967636034993406e-73,4.8338046203273927e-36,1.9767029604507604e-66,1.0992851687376673e-11,5.2854607865046877e-13,2.0371219630054033e-16,2.0375789755477388e-16,8.3726930239365568e-21,9.6348690515808135e-21,1.3097176212827032e-23,6.1298382864080524e-25,3.0641766492617989e-41,2.8893287392644126e-61,3.6710102401919778e-35,4.8313245675151744e-35,2.9395015821809126e-63
5.451846816065644e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,1.6423892203316791e-64,5.8612433622661164e-39,1.3523378277621293e-24,8.1530020776670821e-49,1.9168864508444316e-40,5.6819555525523424e-85,5.5437460456540028e-18,6.8896936292462511e-82,5.543746034942455e-18,2.508557473630048e-56,2.2205150184450191e-47,6.6987286586917688e-70,4.0475272559144632e-71,3.866337149366534e-35,6.3244574386285178e-65,2.1985705676545238e-11,1.0570922692569833e-12,4.0738840109041106e-16,4.0758335904007095e-16,2.1406084033738104e-20,5.0533469930030937e-20,1.3762989323982418e-22,2.4514552256160391e-24,1.2912448853773819e-39,4.8731000739664864e-59,3.9010312517136389e-34,3.8643241616608749e-34,4.9613360808355372e-61
