Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531407515e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-2.4798360164329286e-120,1.3115809830409472e-65,2.9700073808489556e-36,1.7794767575981348e-88,1.7990163458284885e-54,6.051721107071114e-132,5.564692336215776e-20,-6.550946347137032e-106,5.564692336215775e-20,2.5969038263131405e-72,4.2005544394553166e-72,3.9924122806065263e-112,4.6291924884367316e-113,9.706074860782215e-53,1.2191919430544932e-85,3.039031115899591e-18,8.998030997900935e-20,3.602213534453641e-22,9.008783568272774e-38,3.3357984490676632e-37,3.602213534405905e-22,2.3842607631988757e-33,3.4433183231370297e-41,2.5040161914749923e-45,3.160887730273447e-76,3.317415880862768e-54,2.145630808985907e-52,5.855867008906975e-77,7.031013100547653e-106,-3.2685469678154004e-108,-1.0157079859042532e-107
1.7654093887941043e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,4.49261577359219e-118,2.934067308569052e-64,1.7938844594931005e-35,1.9663836867400908e-86,2.718673524133841e-53,2.1836501822997764e-129,1.5581138541404175e-19,1.2646699053035609e-104,1.5581138541404168e-19,7.323684352803928e-71,1.3207215261610381e-70,7.981082006697919e-110,9.25404549385536e-111,1.1523052074497851e-51,6.311610334397556e-84,8.509287124518851e-18,2.519448679412262e-19,1.008619789654763e-21,5.441305275121872e-37,2.0148222632348143e-36,1.00861978962593e-21,1.440093480880027e-32,4.087907459082651e-40,2.9727871395287244e-44,1.922934424288658e-74,3.9384361336703656e-53,2.5472928983270448e-51,3.562409621380323e-75,1.4055435210962259e-103,3.3078755924962763e-106,1.0279294412318298e-105
4.03522146010081e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.8965501894000903e-115,5.797322579611972e-63,8.63678148541373e-35,1.7790602525387563e-84,2.9246249186379763e-52,7.906583282881105e-127,3.5614030951780975e-19,1.335357865619488e-102,3.5614030951780946e-19,1.5930613172559348e-69,2.946457072017485e-69,1.4449130953919863e-107,1.67537327748211e-108,1.1313400857037091e-50,2.756531560689124e-82,1.9449799141757354e-17,5.758739838656599e-19,2.3054166621045337e-21,2.6197542614813962e-36,9.700501889857957e-36,2.3054166619657167e-21,6.933429998000935e-32,4.0135316695970715e-39,2.918740535511405e-43,8.681163842181315e-73,3.866779950454909e-52,2.5009472768407984e-50,1.6082419445260324e-73,2.544627705948718e-101,6.927293891693468e-104,2.1526714474803174e-103
8.57484560271422e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,6.100417898617588e-113,1.0316107503349568e-61,3.7719093963133035e-34,1.346456314119444e-82,2.688234168860167e-51,2.397474547040618e-124,7.567981577253457e-19,1.055489101563998e-100,7.567981577253445e-19,2.9532671999689937e-68,5.518388004549693e-68,2.1894920274773456e-105,2.538710767996204e-106,1.0006574937021644e-49,1.0266599001601178e-80,4.133082317623431e-17,1.2237322157145273e-18,4.899010407127968e-21,1.1441155129925708e-35,4.2364640302840954e-35,4.8990104065217194e-21,3.028010857835146e-31,3.549923105933323e-38,2.5816649844852533e-42,3.2779323156217525e-71,3.420123075948937e-51,2.2120595511944433e-49,6.07241523393039e-72,3.855901156137023e-99,1.113285573912597e-101,3.459558820016624e-101
1.7654093887941043e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,1.7451425152010692e-110,1.739968964634646e-60,1.5746979336977297e-33,9.354669489622434e-81,2.2998409285261724e-50,6.668667880429857e-122,1.558113854140418e-18,7.480932957110341e-99,1.558113854140412e-18,5.075911753760608e-67,9.531642949519676e-67,3.044170089461113e-103,3.5297079362324806e-104,8.411129174524665e-49,3.540254438093708e-79,8.509287124518795e-17,2.5194486794122616e-18,1.0086197897670408e-20,4.776457046295576e-35,1.768640337667022e-34,1.0086197895139433e-20,1.2641347763633905e-30,2.9839239262234515e-37,2.1701661582297212e-41,1.1373294987560266e-69,2.8748195226396e-50,1.8593693514030437e-48,2.1068026981423436e-70,5.361069517487615e-97,1.5917665324973034e-99,4.946448671820753e-99
3.581259045839469e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,4.719456535657953e-108,2.8579096270545995e-59,6.433154959693694e-33,6.235527547445759e-79,1.9015529542688345e-49,1.7788726922798444e-119,3.1607452469705626e-18,5.03432493108849e-97,3.160745246970539e-18,8.412951482104564e-66,1.583696731121707e-65,4.0595482544587624e-101,4.707036489454318e-102,6.895951873979401e-48,1.1770423948715928e-77,1.726169673830943e-16,5.110881606807728e-18,2.0460572880737574e-20,1.9513385546652445e-34,7.225472872375921e-34,2.0460572870397723e-20,5.16440181044309e-30,2.44640055294684e-36,1.7794320599061464e-40,3.7881984427723025e-68,2.3569507330049774e-49,1.5244233523851763e-47,7.016531020999554e-69,7.149245857376779e-95,2.1519014341249022e-97,6.687079907333454e-97
7.212958359930197e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,1.2417439250361005e-105,4.63279898671465e-58,2.600384164165877e-32,4.0729263859293536e-77,1.5463112822182196e-48,4.648789341057145e-117,6.3660080326308544e-18,3.3032047269891246e-95,6.36600803263076e-18,1.369831057324455e-64,2.5818253738012033e-64,5.304064938515491e-99,6.150050607310085e-100,5.584520613423215e-47,3.8493046214366895e-76,3.476651596589031e-16,1.0293747461598658e-17,4.1209322854801044e-20,7.88762242447239e-34,2.9206516602847355e-33,4.1209322813005716e-20,2.0875327906515613e-29,1.9811576833332455e-35,1.4413520938489735e-39,1.236802881675083e-66,1.908719810147882e-48,1.2345175860793599e-46,2.2903115502277273e-67,9.340956655825541e-93,2.8306591148833222e-95,8.796333982821925e-95
1.4476356988111654e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996462,0.022821567693054278,3.2236214509323467e-103,7.460983409677703e-57,1.045603093536391e-31,2.6341632630604935e-75,1.2471560680805412e-47,1.202780418702525e-114,1.2776533603951449e-17,2.140427504384502e-93,1.2776533603951068e-17,2.2109128492557635e-63,4.169654867524403e-63,6.861333539421296e-97,7.95569982442719e-98,4.494908025957378e-46,1.252012080060518e-74,6.977615442105055e-16,2.0659479171180505e-17,8.270682283464466e-20,3.1715782812913226e-33,1.1743811870262026e-32,8.270682266658737e-20,8.393869554026751e-29,1.5946065927959516e-34,1.1606437110358807e-38,3.9988901272497265e-65,1.5363037556404985e-47,9.936472053495617e-46,7.401884463295291e-66,1.2083452961027194e-90,3.6740679415333982e-93,1.1417245047696582e-92
2.900315424447457e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996391,0.022821567693054268,8.315709385339265e-101,1.1976533478247526e-55,4.193336527949589e-31,1.695826348814505e-73,1.001783577136087e-46,3.097480920822011e-112,2.5597584746592677e-17,1.3783753948168213e-91,2.559758474659115e-17,3.5528775951687987e-62,6.702598395758353e-62,8.834723345213388e-95,1.0243840582781354e-95,3.606880601719764e-45,4.0829507317700064e-73,1.397954313313648e-15,4.1390942590344106e-17,1.6570182292119886e-19,1.2719447394416855e-32,4.709793814144101e-32,1.6570182224721332e-19,3.366310712152355e-28,1.2795690106353394e-33,9.321750494401897e-38,1.287113138641379e-63,1.2327870069593012e-46,7.973393871809415e-45,2.380330802092027e-64,1.5558777799078065e-88,4.7387277444114074e-91,1.47256983195921e-90
