Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H7X(141),H2(190),C2H6(343),C4H5X(364),C4H5X(365),C4H7X(140),C4H7X(142),C4H7X(143),C6H8(455),C6H7X(563),C6H7X(565),C6H7X(564),C8H10(459),C8H9X(844),C8H9X(846),C8H9X(845),S(746),S(1212),S(1748),SX(3061),S(3004),SX(3899),SX(3897),SX(3060),SX(3058),C6H9X(441),SX(3062),SX(3895),C8H10(843),SX(3064),SX(3063),SX(1214),SX(730)
1.4291289722831554e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770962,0.66999999999999771,3.3856157389328144e-52,0.0,1.0300841504383472e-34,3.4428238133856941e-52,8.5913484099111892e-83,0.0,2.5593249395547252e-114,2.447980115922254e-96,0.0,2.3475885840253263e-15,2.3475885840253263e-15,5.4632662969106156e-41,1.0300841404458107e-34,4.9894300341925394e-43,3.0562720594418481e-53,1.3279413622900985e-54,1.9528676465261227e-56,7.9421346602309627e-49,1.0208294156776481e-66,1.150485109587955e-67,2.6161824203804844e-80,4.9373381832686741e-94,1.8320809645310821e-95,9.1604048226767453e-96,1.8282913816612391e-95,3.0213583368768414e-109,1.121124964617584e-110,1.1211249646202051e-110,5.9017287321708801e-135,2.1245918410085618e-146,3.5741074540033504e-155,5.2129104461082068e-169,3.885584879388291e-183,1.8153815041863316e-195,1.8153815041863453e-195,7.5738349981574403e-170,6.9467245816155593e-170,4.5126991674382926e-74,1.8111712538448306e-170,2.8434285832560478e-197,6.5722883152765466e-114,2.6445251781586989e-171,2.6445251781586989e-171,8.6203943542549167e-149,1.6318785188225497e-113
2.8594995857238115e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377049,0.66999999999999538,5.4232891772381207e-51,0.0,4.1230210785236801e-34,1.3780267511256806e-51,2.7535421774908176e-81,0.0,6.566689444002949e-112,1.5694645886250709e-94,0.0,4.6972167758559433e-15,4.6972167758559433e-15,4.3750236566081488e-40,4.1230209985226297e-34,3.9955906331629494e-42,4.8957261001885167e-52,2.1270034453102008e-53,3.1279665882478743e-55,6.3585368284845458e-48,3.2270523984318178e-65,3.6859794860964809e-66,1.676935852013543e-78,6.3296048106272242e-92,2.3487045156889263e-93,1.1743522578499329e-93,5.8557620061592434e-94,1.9354256623705562e-107,7.1817169143957152e-109,7.1817169144292959e-109,1.5128797359484571e-132,1.089260567458646e-143,3.6648351722339817e-152,1.0690484496186974e-165,1.5936893238345435e-179,1.4891732849057247e-191,1.4891732849057469e-191,1.5532199615078545e-166,1.4246139888032257e-166,1.4456771073598725e-72,3.7142971108628831e-167,2.3324892723417233e-193,4.2100847137983383e-112,5.423315000162381e-168,5.423315000162381e-168,4.4196048166957641e-146,4.1841205692337861e-111
5.720240812605124e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583769552,0.66999999999999071,8.6823090630964175e-50,0.0,1.6497454797749179e-33,5.513901967401224e-51,8.8182376721945491e-80,0.0,1.6829717014169986e-109,1.0053405410376591e-92,0.0,9.3964731595168058e-15,9.3964731595168058e-15,3.5017840327811507e-39,1.6497454157497652e-33,3.1980919399056916e-41,7.8377173886935782e-51,3.4050443703814084e-52,5.0074507615575339e-54,5.0887618597698878e-47,1.0263124135797278e-63,1.1802222583361885e-64,1.0740650006693587e-76,8.1081795368494811e-90,3.0086740739562541e-91,1.5043370369921416e-91,1.8746808665845678e-92,1.2392346505106383e-105,4.5983850599219687e-107,4.5983850599649715e-107,3.8755815126018682e-130,5.5807781301471589e-141,3.7553265200809448e-149,2.1908910663242595e-162,6.532164710685318e-176,1.2207556186714946e-187,1.2207556186715306e-187,3.1831445421560112e-163,2.9195814858931853e-163,4.6287497133045901e-71,7.6120220376963521e-164,1.9120671943039509e-189,2.6956768261471573e-110,1.1114456400882667e-164,1.1114456400882667e-164,2.2643652268503059e-143,1.0719691134464061e-108
1.1441723266367747e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258376767,0.66999999999998128,1.3895732535842395e-48,0.0,6.6000561688414395e-33,2.2059198306403499e-50,2.8229408743919061e-78,0.0,4.3108400687961378e-107,6.4370069596239097e-91,0.0,1.8794985926837016e-14,1.8794985926837016e-14,2.8021334399839111e-38,6.6000556565429576e-33,2.5591214834827649e-40,1.2543993518766034e-49,5.44954249479781e-51,8.0140852063716913e-53,4.0717825011674387e-46,3.2740422127239932e-62,3.7778456365208986e-63,6.8766605670039137e-75,1.0382494283200458e-87,3.8525961629976427e-89,1.9262980815347148e-89,6.0003182425310854e-91,7.9329012080018817e-104,2.9436341520411449e-105,2.9436341520962012e-105,9.9248298357613564e-128,2.8583216965085493e-138,3.8467520348127276e-146,4.4884597990248758e-159,2.6764782215974827e-172,1.0003807640594579e-183,1.0003807640595173e-183,6.5212810128088637e-160,5.9813216324783816e-160,1.4816133075779049e-69,1.559468447822297e-160,1.5668944803648456e-185,1.7256241000023752e-108,2.27700918179718e-161,2.27700918179718e-161,1.159746186410184e-140,2.7453092579459681e-106
2.2884688173892996e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583763912,0.66999999999996251,2.223640176152075e-47,0.0,2.640237332785589e-32,8.8243974607379461e-50,9.0351784208626544e-77,0.0,1.1038864653289111e-104,4.1205892736149767e-89,0.0,3.759201146147105e-14,3.759201146147105e-14,2.2419892696938663e-37,2.6402369229079181e-32,2.0475563910373826e-39,2.0073306665244989e-48,8.7204453524426849e-50,1.2824267754345231e-51,3.2577350622860643e-45,1.0460677319746928e-60,1.2090920740722851e-61,4.4019092089923588e-73,1.3292168922878731e-85,4.9322790451297302e-87,2.4661395226567823e-87,1.9203161693684584e-89,5.0776326419580456e-102,1.8841395429228086e-103,1.8841395429932891e-103,2.5411841778891968e-125,1.46370670940641e-135,3.9397368745670722e-143,9.1939131411655532e-156,1.0964700771347031e-168,8.1964993202382308e-180,8.1964993202392052e-180,1.3357831836641245e-156,1.2251808865555234e-156,4.7418241123452321e-68,3.1943290343772873e-157,1.2838161232807512e-181,1.1045240543774265e-106,4.6640998419165067e-158,4.6640998419165067e-158,5.9389020884607781e-138,7.029359467195479e-104
4.57706179889435e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583756395,0.66999999999992488,3.5580822784007005e-46,0.0,1.0561379076937311e-31,3.5299026167854022e-49,2.8915396529257637e-75,0.0,2.8263477159235193e-102,2.6374664520745402e-87,0.0,7.5186062530710675e-14,7.5186062530710675e-14,1.7937044261586855e-36,1.0561375797760735e-31,1.6381488008328708e-38,3.211962448365807e-47,1.3953654492637049e-48,2.0520213605259857e-50,2.6063113977318142e-44,3.3448147167079751e-59,3.8693845860291813e-60,2.8174927815692012e-71,1.7015625171052883e-83,6.3139290475960397e-85,3.156964524033421e-85,6.1453546748348009e-88,3.2498691704112612e-100,1.2059176874005712e-101,1.205917687490791e-101,6.5059790358963148e-123,7.4948015626514879e-133,4.0346263834819473e-140,1.8830702277205422e-152,4.4915155690009929e-165,6.7151316681053513e-176,6.7151316681069448e-176,2.7359117986282498e-153,2.5093794292171408e-153,1.517489561085561e-66,6.5425307046260751e-154,1.0517897908170513e-177,7.0693466533629435e-105,9.5528720106183967e-155,9.5528720106183967e-155,3.0409742982256904e-135,1.7996911142112961e-101
9.15424776190445e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583741357,0.66999999999984972,5.6931367681241138e-45,0.0,4.2246375814601539e-31,1.4119897735161245e-48,9.2533771455462006e-74,0.0,7.2359585423994507e-100,1.6880707821857594e-85,0.0,1.5037416466905379e-13,1.5037416466905379e-13,1.4350087407605301e-35,4.2246349580573571e-31,1.3105605170906234e-37,5.1393266305631806e-46,2.2326600672070054e-47,3.2833449840073952e-49,2.085098005474752e-43,1.0699241149915949e-57,1.2382491867785002e-58,1.8032820622845027e-69,2.1781055524174039e-81,8.0822207687482822e-83,4.041110384977152e-83,1.9665683581516879e-86,2.0799752311972002e-98,7.7180919875097259e-100,7.7180919886645726e-100,1.665600714333283e-120,3.8374911842347777e-130,4.1316220864274462e-137,3.8566816198588738e-149,1.839798162397094e-161,5.5012553241381375e-172,5.5012553241407506e-172,5.6033708100722003e-150,5.1394140162414671e-150,4.8561359066322213e-65,1.339963722244956e-150,8.6166057086966746e-174,4.5244996805259866e-103,1.9565062076744212e-151,1.9565062076744212e-151,1.5570444827435826e-132,4.6074333623100157e-99
1.8308619687924647e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583711281,0.66999999999969939,9.1091788248273796e-44,0.0,1.6898722228702045e-30,5.6480165465172291e-48,2.961151538747479e-72,0.0,1.8524696645654086e-97,1.0803943945068757e-83,0.0,3.0075036894501527e-13,3.0075036894501527e-13,1.1480250636878772e-34,1.6898701241242343e-30,1.0484650044260096e-36,8.223071982467735e-45,3.5723163598134005e-46,5.2534405812703089e-48,1.6680972344501227e-42,3.4230890725001124e-56,3.962469432486847e-57,1.1541282500847784e-67,2.7880426273353704e-79,1.0345493127405779e-80,5.1727465652484522e-81,6.2931064737833264e-85,1.3312030049868354e-96,4.9396488433279156e-98,4.9396488448061396e-98,4.2640274983407277e-118,1.9648276729436106e-127,4.2308504207103678e-134,7.898613619334778e-146,7.5359370239291013e-158,4.5067023808700447e-168,4.5067023808743252e-168,1.1475891804684801e-146,1.0525692692665725e-146,1.5539905500170855e-63,2.7442907528076995e-147,7.0588393329046684e-170,2.8957074560709045e-101,4.0069904911723743e-148,4.0069904911723743e-148,7.9722357314016068e-130,1.1795316179443514e-96
3.6617363539965045e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258365113,0.66999999999939863,1.4574800979459025e-42,0.0,6.759523272161809e-30,2.2592181078141677e-47,9.4757906685255807e-71,0.0,4.7424005279843669e-95,6.9146117493552258e-82,0.0,6.0150277749259912e-13,6.0150277749259912e-13,9.1842726482617394e-34,6.7595064821132138e-30,8.3877863977820858e-36,1.3157034671870447e-43,5.7157542899412861e-45,8.405575686654606e-47,1.3344841594651055e-41,1.095280634250239e-54,1.268000619202397e-55,7.3865094255384865e-66,3.5687377222150014e-77,1.3242391348372524e-78,6.6211956781522378e-79,2.0138080743273404e-83,8.5197594329298931e-95,3.1613975973187271e-96,3.1613975992108688e-96,1.0916024988996916e-115,1.0059929152731971e-124,4.3323958338535795e-131,1.617637949332288e-142,3.0867234034745398e-154,3.6918949012500743e-164,3.6918949012570865e-164,2.3502653731829769e-143,2.1556643688694009e-143,4.9728128616773126e-62,5.6203139938956943e-144,5.7826079335708443e-166,1.8532487683773525e-99,8.2063260636894225e-145,8.2063260636894225e-145,4.0818276285844639e-127,3.0196375995759587e-94
7.323485124404584e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583530831,0.66999999999879711,2.3319731412790625e-41,0.0,2.7038161849599935e-29,9.0368953989778386e-47,3.0322650560709404e-69,0.0,1.2140624487930216e-92,4.4253725484845645e-80,0.0,1.2030075945588889e-12,1.2030075945588889e-12,7.3474467403222268e-33,2.703802752911343e-29,6.7102556613262873e-35,2.1051351074626533e-42,9.1452450736750381e-44,1.3448977289458126e-45,1.0675880200616929e-40,3.5047192195791664e-53,4.057611423472826e-54,4.7273942478529912e-64,4.5680117673198333e-75,1.6950362894938227e-76,8.4751814576696575e-77,6.4442080258720818e-82,5.4526651198622383e-93,2.0233015419820655e-94,2.0233015444040156e-94,2.7945169703451645e-113,5.1506140302559844e-122,4.4363133671447216e-128,3.3128777629748727e-139,1.2643048292724875e-150,3.0243594588972169e-160,3.024359458908709e-160,4.8132784564591412e-140,4.4147409839217921e-140,1.5913068874462945e-60,1.1510247554916253e-140,4.7370484449662419e-162,1.1860614768188721e-97,1.6806328723517312e-141,1.6806328723517312e-141,2.0899066661453683e-124,7.7303189224254162e-92
