Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792273728e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-1.6360658325105993e-117,7.8690724289159658e-66,9.3023211118429533e-42,4.7304491600542881e-90,4.1739512781625899e-62,2.1517058909436801e-139,7.1237143035489771e-25,-8.2277965374746024e-123,7.1237143035489762e-25,1.3160573718476755e-84,5.4654361416884139e-74,9.9292035102404128e-118,5.9996840967833057e-119,2.8724117828039598e-54,8.2606966733038754e-100,2.8251634421299508e-18,1.3583636890012977e-19,5.2358675883529573e-23,5.2358675898372223e-23,7.4213425687963674e-33,1.5192097828436358e-38,1.6849228462994979e-42,6.0742375806638804e-38,5.0966159297072938e-73,2.1531673116213758e-54,-1.8944620573866442e-105
1.9615746618366438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,2.963982841774554e-115,1.7603534861145056e-64,6.6012397719932214e-41,5.2272942982522872e-88,6.3076751696802123e-61,7.7640032767760621e-137,1.9946400049937136e-24,1.5878537780445395e-121,1.9946400049937132e-24,3.7114923567234702e-83,1.7184205715316194e-72,1.9849036900854633e-115,1.1993706333815796e-116,3.4101272685249782e-53,4.2759745049613401e-98,7.9104576379638617e-18,3.8034183292036332e-19,1.4660429244983777e-22,1.4660429253948757e-22,4.4824820499580936e-32,1.8036025879165066e-37,2.0003467934394474e-41,3.6688394986975857e-37,3.1005299298517475e-71,2.5562402323337079e-53,1.9172509126337493e-103
4.483599227055186e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.2512318847370375e-112,3.4782267946447669e-63,4.1790659157469544e-40,4.7292947185030918e-86,6.7855091076236665e-60,2.811179264383441e-134,4.5591771542713461e-24,1.6766334370452475e-119,4.5591771542713431e-24,8.0733065623222138e-82,3.8337017638740158e-71,3.593489959188959e-113,2.1713528721472188e-114,3.3480831739746574e-52,1.8670578122828342e-96,1.8081046029631668e-17,8.6935276096083047e-19,3.3509552548627419e-22,3.3509552591790034e-22,2.1581131266658649e-31,1.7707807974671397e-36,1.9639658795406111e-40,1.766388288421958e-36,1.3997369240909033e-69,2.5097318183539879e-52,4.0150452020716417e-101
9.52764835749227e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,4.0246403935046297e-110,6.1893718145782734e-62,2.7044654408878427e-39,3.5792499996877663e-84,6.2370519023694849e-59,8.5240850552072281e-132,9.688251452826611e-24,1.3252392019743599e-117,9.6882514528265978e-24,1.4966549734593761e-80,7.1800991154824148e-70,5.4451787853411784e-111,3.29022892207371e-112,2.9613416514701262e-51,6.9505880996313346e-95,3.8422222812967213e-17,1.8473746170417649e-18,7.1207799117442682e-22,7.1207799305945972e-22,9.4249677092699747e-31,1.5662232545099008e-35,1.73712965808147e-39,7.7142817270804394e-36,5.2852124043629155e-68,2.2198293714382077e-51,6.45249130887337e-99
1.9615746618366439e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,1.1512945617066585e-107,1.0439323417254802e-60,1.8639511052412628e-38,2.4866593662857361e-82,5.3359292016146509e-58,2.3709424437691756e-129,1.9946400049937148e-23,9.3928261342370591e-116,1.9946400049937095e-23,2.5723674961407691e-79,1.2401835642749695e-68,7.5705218998585817e-109,4.5744595525789598e-110,2.4891860921545364e-50,2.3945829805451427e-93,7.9104576379638032e-17,3.8034183292036333e-18,1.4660429210118516e-21,1.4660429288815589e-21,3.9346722141281888e-30,1.316484313503568e-34,1.4602026538097887e-38,3.2205607649415661e-35,1.8337357689518395e-66,1.8659003413002011e-50,9.2254647140562041e-97
3.9791943140114775e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,3.1133193002250899e-105,1.7146654990583406e-59,1.3620170938428652e-37,1.6574377227630341e-80,4.4118494285371966e-57,6.3241636214622437e-127,4.0462697244158241e-23,6.320941361969691e-114,4.0462697244158011e-23,4.2635104556686602e-78,2.0605835356754151e-67,1.0095105784649335e-106,6.0999299258002643e-108,2.040785148430799e-49,7.9467478195045414e-92,1.6046928351297846e-16,7.7155057535273671e-18,2.9739727745311786e-21,2.9739728066820418e-21,1.6073878276449514e-29,1.0792994277353099e-33,1.1972287810453596e-37,1.3157041566457453e-34,6.1074392003230397e-65,1.5297778325071184e-49,1.247117375896968e-94
8.014433618361144e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,8.1906046212349798e-103,2.7795494745930669e-58,1.0360117334238976e-36,1.0824875713933612e-78,3.5876426491830412e-56,1.6525351918325598e-124,8.1495291632600496e-23,4.1474007877485708e-112,8.1495291632599555e-23,6.942021466761329e-77,3.3592712116686551e-66,1.3188473365535873e-104,7.9690857207604244e-106,1.6526807237924981e-48,2.5893320541016377e-90,3.2319869777965478e-16,1.5539680602174825e-17,5.9898324569477446e-21,5.9898325869110493e-21,6.4968808000696213e-29,8.7398967403139711e-33,9.6965448321057332e-37,5.3182865630016933e-34,1.9937875631114066e-63,1.2388537505424895e-48,1.6403052661825192e-92
1.6084912227060478e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,2.1258493017987588e-100,4.4763809937000185e-57,8.0691045902845536e-36,6.999447470767763e-77,2.8935637098362436e-55,4.2746687892413822e-122,1.6356048040948533e-22,2.6874539366066214e-110,1.6356048040948157e-22,1.1204450418094274e-75,5.4252319285149416e-65,1.7056868878710158e-102,1.030654924604792e-103,1.3302212259427189e-47,8.3607961372735135e-89,6.4865752631298909e-16,3.1188030299469699e-17,1.2021551723292516e-20,1.2021552245904448e-20,2.6120151849131775e-28,7.0337442685194381e-32,7.8063542859041692e-36,2.138459635379056e-33,6.4449836841148715e-62,9.9713727564850365e-48,2.128573366246751e-90
3.2225869444459145e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,5.4814682193004133e-98,7.1855846629758044e-56,6.365731183860623e-35,4.504141152928533e-75,2.3242676372909759e-54,1.1003615865665811e-119,3.2769085796325619e-22,1.7306450373850863e-108,3.2769085796324109e-22,1.8005250331637504e-74,8.7209017098587733e-64,2.1953007350958493e-100,1.3265022611711539e-101,1.0674187585474683e-46,2.6875031065596196e-87,1.299575183379584e-15,6.248472969405931e-17,2.4084989862028653e-20,2.4084991958218385e-20,1.0472526763700273e-27,5.6427170378178062e-31,6.2668853946995318e-35,8.5761795798603167e-33,2.0735146512020165e-60,8.00139865187037e-47,2.7441761538289852e-88
