Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),HOCO(73),CHO2(74)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.875635998191534e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-5.629544635046864e-121,5.300934559552292e-54,3.531901523983233e-36,1.4489839428369783e-88,2.3437668666875517e-54,5.860048344735213e-132,6.068295760294672e-20,-1.1067764475858682e-105,6.068295760294672e-20,3.6894416051891895e-72,2.064061174554953e-71,3.545130283907217e-112,4.1105692470971414e-113,1.272192493304121e-37,1.8895611348611256e-85,3.314061953202463e-18,9.812348425084416e-20,3.928212106598561e-22,1.0713148021630329e-37,3.966896944855731e-37,3.928212106571031e-22,1.3728370645075107e-33,1.0468446579522094e-41,3.686041210599888e-46,5.5332854819229374e-77,2.7824766610754126e-52,3.8520351349514735e-76,3.568866807613737e-37,6.2433062136081445e-106,-1.4041897102695884e-108,7.377308114096284e-28,4.3020588565303504e-54,-6.200356960641647e-124,8.134945233644959e-93,-2.1144325019659654e-108,3.990481864279937e-102,-8.533117361046907e-146,-1.2445751545430279e-147
1.9251780794936293e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.0198894112966918e-118,6.293269509119943e-53,2.133268520700839e-35,1.6011902331470612e-86,3.5419004860696883e-53,2.114505163872098e-129,1.6991228128825088e-19,2.1366481483368006e-104,1.699122812882508e-19,1.0404815629161972e-70,6.489738582259865e-70,7.086992781273424e-110,8.217349504277522e-111,7.684042659556892e-37,9.786089375893054e-84,9.279373468966893e-18,2.7474575590236363e-19,1.0998993898520665e-21,6.470741403751571e-37,2.396005754690198e-36,1.0998993898354387e-21,8.291935808543242e-33,1.2428139689018328e-40,4.376131601375803e-45,3.366215606968802e-75,3.303356292333554e-51,2.343380935256588e-74,2.1555955517948302e-36,1.2480857549260261e-103,1.421096947737185e-106,2.0656462723591492e-27,5.107404273504181e-53,1.1448791836531788e-121,8.98934089676452e-91,2.1398914638720938e-106,3.7599316871595095e-100,3.0761196781870945e-143,4.046128227000779e-145
4.4004070388425814e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,4.305518833840972e-116,6.178769322674485e-52,1.027076963496773e-34,1.4486808829237023e-84,3.8102149165520866e-52,7.656352167619824e-127,3.883709286588592e-19,2.256074813809032e-102,3.883709286588587e-19,2.2632746687706142e-69,1.447824977657055e-68,1.283066963616045e-107,1.4877127722320388e-108,3.6995357705283825e-36,4.277548120405039e-82,2.120999650049573e-17,6.279902992054025e-19,2.5140557482543668e-21,3.1153834427203755e-36,1.1535736315600512e-35,2.5140557481743098e-21,3.992210091964659e-32,1.2202021053501032e-39,4.296646411142236e-44,1.5197174908323226e-73,3.243254797094455e-50,1.0579141537969042e-72,1.0378264676482741e-35,2.2596010033079442e-101,2.976086409680482e-104,4.721477195906951e-27,5.0144798001689585e-52,4.772326980726231e-119,8.132879582643515e-89,4.4813986228428956e-104,3.289683643089605e-98,2.7437779310715503e-140,3.430744517440434e-142
9.350864957540486e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.3849548925355576e-113,5.46505149364273e-51,4.485514938790674e-34,1.0964509275279267e-82,3.502243950517515e-51,2.3216771687783956e-124,8.252882234000759e-19,1.783239114747764e-100,8.2528822340007395e-19,4.195729800731858e-68,2.711615949101398e-67,1.944311148218192e-105,2.254423666431786e-106,1.6156844664962324e-35,1.5958120111681501e-80,4.507124256355335e-17,1.3344793858114804e-18,5.342368465130483e-21,1.3605697967116696e-35,5.037959119925493e-35,5.342368464780852e-21,1.7435029772472523e-31,1.0792549098485282e-38,3.80057427620817e-43,5.738519567024031e-72,2.8686221404867074e-49,3.994482428438182e-71,4.532460845609507e-35,3.424113897256268e-99,4.783033504348526e-102,1.0033139049597594e-26,4.435250592422612e-51,1.5361858225704732e-116,6.155085693323667e-87,7.202304238980132e-102,2.4593874715514442e-96,1.8117003941552077e-137,2.2079608490195857e-139
1.9251780794936295e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,3.962203071085135e-111,4.593705074584935e-50,1.8726141910146807e-33,7.618248044823616e-81,2.996243434570632e-50,6.45827403844217e-122,1.6991228128825095e-18,1.2638967322364139e-98,1.699122812882502e-18,7.211387513849269e-67,4.683642220272516e-66,2.703466082358705e-103,3.134661817390302e-104,6.745164599498441e-35,5.521166729303493e-79,9.279373468966828e-17,2.747457559023636e-18,1.0998993899168781e-20,5.680111062749955e-35,2.103248760125351e-34,1.0998993897709138e-20,7.278781263923295e-31,9.071787245431072e-38,3.195014053193188e-42,1.9912058180495125e-70,2.4112497584616455e-48,1.3858714308267878e-69,1.8922131813428572e-34,4.761056784418684e-97,6.839211871996322e-100,2.0656462783359045e-26,3.7280953606867583e-50,4.396707322771253e-114,4.276087439746402e-85,1.029850295495345e-99,1.703621136405117e-94,1.049662486193094e-134,1.2635915462390298e-136
3.905361246972791e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.0716609056582889e-108,3.766196960317609e-49,7.650240002398229e-33,5.078778924715347e-79,2.4773520133679062e-49,1.7229844014507548e-119,3.446791991847378e-18,8.505445598680148e-97,3.446791991847348e-18,1.1952345946049697e-65,7.781941596990398e-65,3.6056945358556465e-101,4.180793338005184e-102,2.7556198281964505e-34,1.847775806362432e-77,1.8823871894189698e-16,5.573413905447945e-18,2.231224476838963e-20,2.3205106985675976e-34,8.592457458120703e-34,2.231224476242652e-20,2.9736192737650544e-30,7.437598340546429e-37,2.6201254106551817e-41,6.63319076049378e-69,1.976888236729862e-47,4.615529916480523e-68,7.73030825950691e-34,6.349965529085918e-95,9.247167958969117e-98,4.190311035640258e-26,3.0565178086560025e-49,1.189433946473447e-111,2.8499938181447405e-83,1.3924409480916426e-97,1.140880536724488e-92,5.713006855390816e-132,6.83599012548109e-134
7.865727581931114e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,2.820437694238397e-106,3.049963944043051e-48,3.092349336405451e-32,3.31826828859118e-77,2.014541514446689e-48,4.503959501158556e-117,6.942130349777121e-18,5.5807339596182666e-95,6.942130349777e-18,1.946129692961388e-64,1.2686528857914583e-63,4.71235955870315e-99,5.463968523442162e-100,1.1138655931274302e-33,6.121733850671452e-76,3.791286874463498e-16,1.1225326598296555e-17,4.493874651140834e-20,9.379875196463264e-34,3.473208686015758e-33,4.493874648730449e-20,1.2019841527123275e-29,6.023158450380715e-36,2.1229142499431265e-40,2.166257232599717e-67,1.6009353535249456e-46,1.5065854639266941e-66,3.1247141952968794e-33,8.29890620497812e-93,1.2167272791853661e-95,8.439640592457223e-26,2.4752473507158586e-48,3.1307255403012777e-109,1.8611546597137236e-81,1.832151093863535e-95,7.560744526835279e-91,3.016287958662724e-129,3.5984297740375254e-131
1.578646025184776e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,7.325991124586196e-104,2.4548763235596546e-47,1.2434200760644234e-31,2.147261963809431e-75,1.624800713174628e-47,1.1659420754700034e-114,1.3932807065636628e-17,3.616232552647512e-93,1.3932807065636144e-17,3.1410611706252667e-63,2.048877797415186e-62,6.099224185328626e-97,7.072034412922285e-98,4.47880456037684e-33,2.0419124301766185e-74,7.60908624455237e-16,2.2529151983993754e-17,9.019175001575386e-20,3.7716065101261945e-33,1.3965619368143336e-32,9.019174991883332e-20,4.83312298560065e-29,4.847959479270521e-35,1.7104265495956818e-39,7.007906448881993e-66,1.2885720590068782e-45,4.869021468014555e-65,1.2564338347829017e-32,1.0741304605764024e-90,1.5801241322085424e-93,1.6938299874924176e-25,1.9922943832542197e-47,8.132356262526839e-107,1.2031756348954043e-79,2.3793550261970613e-93,5.0432916738125374e-89,1.5693048124025648e-126,1.8694085217063545e-128
3.1627925591681056e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996377,0.022821567693054264,1.891892308746064e-101,1.9698836477925588e-46,4.9866707067566004e-31,1.3838771100424393e-73,1.3051282932673003e-46,3.0058707375424835e-112,2.791416049735574e-17,2.3287525329758062e-91,2.7914160497353785e-17,5.047600977073395e-62,3.29351121351947e-61,7.861962608210722e-95,9.11592498096921e-96,1.7962009481410883e-32,6.982972639937424e-73,1.5244684984729384e-15,4.5136802755388055e-17,1.806977570976774e-19,1.5125828579301281e-32,5.600837993369326e-32,1.8069775670898257e-19,1.9382965370439095e-28,3.890178245115221e-34,1.3752707273481341e-38,2.2580996134922153e-64,1.0339979391787995e-44,1.5658027803350278e-63,5.038861630014233e-32,1.3845651937093052e-88,2.0402409659766177e-91,3.39356191151902e-25,1.5986907301085177e-46,2.1001709754670617e-104,7.739071167789093e-78,3.0722001718412013e-91,3.4481499042124683e-87,8.111297056224305e-124,9.655390171389173e-126
