! Species         Shape    LJ-depth  LJ-diam   DiplMom   Polzblty  RotRelaxNum Data     
! Name            Index    epsilon/k_B sigma     mu        alpha     Zrot      Source   
n-heptane           2     402.997     6.366     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=523.37 K, Pc=29.47 bar (from Joback method)
Ar                  0     136.500     3.330     0.000     0.000     0.000    ! NOx2018
He                  0      10.200     2.576     0.000     0.000     0.000    ! NOx2018
Ne                  0     148.600     3.758     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
N2                  1      97.530     3.621     0.000     1.760     4.000    ! PrimaryTransportLibrary
! X(1)                None
C2H4(2)             2     280.800     3.971     0.000     0.000     1.500    ! NOx2018
C4H8-1(3)           2     357.002     5.176     0.000     0.000     1.000    ! GRI-Mech
C4H8-2(4)           2     359.053     5.289     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=466.30 K, Pc=45.78 bar (from Joback method)
! HX(5)               None
! C2H3X(37)           None
! C2H2X(70)           None
! C2H5X(40)           None
H2(68)              1      59.700     2.833     0.000     0.000     0.000    ! PrimaryTransportLibrary
! CH2X(75)            None
! CH3X(39)            None
! CHX(83)             None
! C2H4X(76)           None
! C2H3X(93)           None
! CX(90)              None
! C3H7X(84)           None
! C3H7X(94)           None
! C4H9X(65)           None
! C4H9X(64)           None
! C4H9X(121)          None
! C4H9X(155)          None
! C3H6X(96)           None
! C3H6X(92)           None
! C3H5X(99)           None
! SX(114)             None
! C5H11X(87)          None
! SX(192)             None
! C5H11X(86)          None
! SX(179)             None
! SX(109)             None
! SX(101)             None
! C5H11X(85)          None
! SX(181)             None
! SX(147)             None
! SX(254)             None
! SX(263)             None
! SX(463)             None
! SX(116)             None
! SX(117)             None
! SX(196)             None
! SX(617)             None
! SX(202)             None
! SX(498)             None
! SX(231)             None
! SX(582)             None
! SX(197)             None
! SX(886)             None
! SX(306)             None
! SX(299)             None
! SX(703)             None
! SX(115)             None
! SX(219)             None
! SX(212)             None
! SX(534)             None
! SX(104)             None
! SX(320)             None
! SX(195)             None
! SX(1424)            None
! SX(1423)            None
! SX(1320)            None
! SX(103)             None
! SX(201)             None
! SX(1605)            None
! SX(286)             None
! SX(279)             None
! SX(374)             None
! SX(366)             None
! SX(1791)            None
! SX(102)             None
! SX(352)             None
! SX(345)             None
! SX(1663)            None
! SX(198)             None
! C5H9X(184)          None
! C5H9X(149)          None
! SX(124)             None
! SX(163)             None
! C5H9X(166)          None
! SX(110)             None
! SX(929)             None
! SX(164)             None
! SX(157)             None
! SX(200)             None
! SX(237)             None
! C6H13X(79)          None
! SX(140)             None
! SX(193)             None
! SX(326)             None
! SX(261)             None
! SX(1793)            None
! C6H13X(78)          None
! C6H13X(77)          None
! SX(135)             None
! SX(128)             None
! SX(194)             None
! SX(182)             None
! SX(172)             None
! SX(942)             None
! SX(134)             None
! C5H9X(137)          None
! SX(204)             None
! SX(656)             None
! SX(669)             None
! SX(1477)            None
! SX(1490)            None
! SX(888)             None
! SX(896)             None
! SX(2624)            None
! SX(4385)            None
! SX(4384)            None
! SX(950)             None
! SX(4734)            None
! SX(4383)            None
! SX(399)             None
! SX(234)             None
! SX(852)             None
! SX(814)             None
! SX(5412)            None
! SX(5411)            None
! SX(584)             None
! SX(5103)            None
! SX(5102)            None
! SX(302)             None
! SX(1040)            None
! SX(6284)            None
! SX(6283)            None
! SX(5216)            None
! SX(233)             None
! SX(2623)            None
! SX(6960)            None
! SX(509)             None
! SX(627)             None
! SX(677)             None
! SX(7459)            None
! SX(6684)            None
! SX(768)             None
! SX(398)             None
! SX(843)             None
! SX(619)             None
! SX(982)             None
! SX(755)             None
! SX(744)             None
! SX(7862)            None
! SX(6179)            None
! SX(301)             None
! SX(8969)            None
! SX(559)             None
! SX(9445)            None
! SX(4965)            None
! SX(232)             None
! SX(805)             None
! SX(795)             None
! SX(6807)            None
! SX(2622)            None
! SX(10456)           None
! SX(1434)            None
! SX(1495)            None
! SX(10913)           None
! SX(10455)           None
! SX(397)             None
! SX(10302)           None
! SX(1278)            None
! SX(323)             None
! SX(1322)            None
! SX(1270)            None
! SX(2832)            None
! SX(12327)           None
! SX(952)             None
! SX(12326)           None
! SX(939)             None
! SX(930)             None
! SX(414)             None
! SX(7086)            None
! SX(282)             None
! SX(1865)            None
! SX(1136)            None
! SX(1129)            None
! SX(12839)           None
! SX(214)             None
! SX(215)             None
! SX(14304)           None
! SX(1174)            None
! SX(4491)            None
! SX(2694)            None
! SX(1233)            None
! SX(15545)           None
! SX(1932)            None
! SX(15911)           None
! SX(15910)           None
! SX(1387)            None
! SX(16483)           None
! SX(16482)           None
! SX(9108)            None
! SX(300)             None
! SX(1031)            None
! SX(1021)            None
! SX(11411)           None
! SX(11860)           None
! SX(322)             None
! SX(2831)            None
! SX(18399)           None
! SX(679)             None
! SX(1616)            None
! SX(17986)           None
! SX(18398)           None
! SX(1562)            None
! SX(666)             None
! SX(657)             None
! SX(13665)           None
! SX(281)             None
! SX(413)             None
! SX(1742)            None
! SX(1735)            None
! SX(1426)            None
! SX(11229)           None
! SX(561)             None
! SX(1687)            None
! SX(21791)           None
! SX(21375)           None
! SX(548)             None
! SX(537)             None
! SX(3849)            None
! SX(21589)           None
! SX(369)             None
! SX(1977)            None
! SX(255)             None
! SX(435)             None
! SX(425)             None
! SX(23675)           None
! SX(256)             None
! SX(1551)            None
! SX(1540)            None
! SX(19604)           None
! SX(3848)            None
! SX(23273)           None
! SX(368)             None
! SX(1819)            None
! SX(25615)           None
! SX(2105)            None
! SX(2051)            None
! SX(26768)           None
! SX(1607)            None
! SX(213)             None
! SX(1225)            None
! SX(1215)            None
! SX(12490)           None
! SX(2693)            None
! SX(10605)           None
! SX(348)             None
! SX(2224)            None
! SX(2294)            None
! SX(29239)           None
! SX(29238)           None
! SX(28796)           None
! SX(347)             None
! SX(412)             None
! SX(29982)           None
! SX(18595)           None
! SX(280)             None
! SX(1925)            None
! SX(1915)            None
! SX(1497)            None
! SX(1487)            None
! SX(1478)            None
! SX(2171)            None
! SX(2164)            None
! SX(2830)            None
! SX(33086)           None
! SX(18177)           None
! SX(33085)           None
! SX(321)             None
! SX(1378)            None
! SX(1368)            None
! SX(2351)            None
! SX(2343)            None
! SX(3847)            None
! SX(25841)           None
! SX(35365)           None
! SX(1689)            None
! SX(1677)            None
! SX(1666)            None
