Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2192467651223754e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.2412838875435386e-65,2.8897367810926335e-36,2.6739046196307156e-89,1.7681578265248739e-54,8.8477579328738188e-133,5.4889784659455025e-20,-6.1793308399180155e-106,5.4889784659455013e-20,2.5176321309319287e-72,5.714796191462215e-72,5.917514370026964e-113,6.8613444128722675e-114,2.1838549379747081e-53,1.1657757407024911e-85,2.9976818271489012e-18,8.8756031030454665e-20,3.553201542816416e-22,8.7653029311961948e-38,3.2456416223579114e-37,3.553201542808748e-22,3.7843388970761319e-34,8.7942617891533374e-43,1.043303558144823e-47,1.2813961181697399e-78,2.0592360949806413e-52,1.9089650285812916e-98,1.0421299735273373e-106,3.1838388983692465e-54,-7.8930113078363521e-110
1.7413890942342651e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.7767275087647154e-64,1.7454010157860342e-35,2.954851240626904e-87,2.6720401087749608e-53,3.1926481083629123e-130,1.5369139704647408e-19,1.1929282735660032e-104,1.5369139704647396e-19,7.1001254337789426e-71,1.79682335877344e-70,1.1829854691816271e-110,1.3716689528600054e-111,2.5926725821525647e-52,6.0343909801307415e-84,8.3935091160169208e-18,2.4851688688527303e-19,9.9489643198984046e-22,5.2942429699719909e-37,1.960367539902207e-36,9.9489643198520883e-22,2.28574068870273e-33,1.0440547569793466e-41,1.2386582380455766e-46,7.7956566088630358e-77,2.4447250919688131e-51,1.7977331496988444e-96,2.0833487484597163e-104,3.7798535398233074e-53,7.9882416386200468e-108
3.9803179296783205e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,5.4863678338285458e-63,8.4033545595086305e-35,2.6735470692262682e-85,2.8744588169479921e-52,1.1560763460435526e-127,3.5129462182051219e-19,1.2596063142235015e-102,3.5129462182051176e-19,1.5444323680591328e-69,4.0086140695407791e-69,2.1418501667812481e-108,2.4834703823387969e-109,2.5455013150491934e-51,2.6348512639867001e-82,1.9185163693752944e-17,5.6803859859490978e-19,2.2740489874112137e-21,2.5489500916860846e-36,9.4383258377872359e-36,2.2740489873889147e-21,1.1004857435728598e-32,1.0250591459940082e-40,1.216224214202548e-45,3.519623473189067e-75,2.400245592333602e-50,1.5712280532484426e-94,3.7719997249211377e-102,3.7110826189451387e-52,1.6729978587880265e-105
8.458175600566431e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,9.7627165588126513e-62,3.6699657120819411e-34,2.0237147528257074e-83,2.6421228784266114e-51,3.5059940747312402e-125,7.4650107136858875e-19,9.9561381365046334e-101,7.4650107136858682e-19,2.8631173234860072e-68,7.5076905075520898e-68,3.2460137063054146e-106,3.7637454875652438e-107,2.2514670854807394e-50,9.8088906198992007e-81,4.0768472849224944e-17,1.2070820220141834e-18,4.8323540982738635e-21,1.1131934715326219e-35,4.1219648603639932e-35,4.8323540981764777e-21,4.8061103197522733e-32,9.0665319630017298e-40,1.0759183686424423e-44,1.3291639548628598e-73,2.1229900445319925e-49,1.1721848786768818e-92,5.7165356368519552e-100,3.2824105485752403e-51,2.6890472965961899e-103
1.741389094234265e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.6466263174664825e-60,1.5321384414201817e-33,1.4063881648542012e-81,2.2603917487388476e-50,9.7547307322079715e-123,1.5369139704647432e-18,7.0565581207873755e-99,1.5369139704647349e-18,4.9209671494337465e-67,1.2967668311409535e-66,4.5143492233867695e-104,5.2343776262442266e-105,1.8924937450776516e-49,3.3793115425310256e-79,8.3935091160168672e-17,2.4851688688527302e-18,9.9489643200787732e-21,4.6473636075565663e-35,1.7208391881466666e-34,9.9489643196722079e-21,2.0064564116487934e-31,7.6209662477879174e-39,9.0468009643155184e-44,4.6130222399147918e-72,1.7845010522247818e-48,8.085665381543843e-91,7.9501938523096334e-98,2.7590638441170579e-50,3.8458419267758798e-101
3.532532162589509e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.7045898608762072e-59,6.2592854580364347e-33,9.3797072478253436e-80,1.8689356095461031e-49,2.6035084359488027e-120,3.1177397686570564e-18,4.7487401208868504e-97,3.1177397686570229e-18,8.1561421635190851e-66,2.1545974815337544e-65,6.0234087532386214e-102,6.9841287085544563e-103,1.5515807096772199e-48,1.1214702926686219e-77,1.7026832778205523e-16,5.0413425625298211e-18,2.0182184764007038e-20,1.8985996705515897e-34,7.0301895794593162e-34,2.0182184762346089e-20,8.1970288185705814e-31,6.2481282960368055e-38,7.422130157386244e-43,1.5373515445699818e-70,1.4630417777073006e-47,5.3697306492912753e-89,1.060778970991835e-95,2.2620472316899632e-49,5.2020523000747099e-99
7.114818299299997e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,4.3842576614578142e-58,2.5301032598031575e-32,6.1333923766376888e-78,1.519787399182866e-48,6.8112887921682224e-118,6.2793913650417027e-18,3.1158220872215665e-95,6.2793913650415671e-18,1.3280163171382448e-64,3.5125376768072762e-64,7.8786116997516613e-100,9.1352322927736512e-101,1.2565102825902609e-47,3.6541476717071673e-76,3.4293480102582457e-16,1.0153689949884001e-17,4.064862565313734e-20,7.674443405090255e-34,2.8417150309807164e-33,4.0648625646423525e-20,3.3133698541304377e-30,5.0598958451563111e-37,6.0187580314536021e-42,5.0248470603007422e-69,1.1848091636382552e-46,3.5003024859263648e-87,1.3874976701224705e-93,1.8318644903583801e-48,6.8504628926256213e-97
1.4279390572720972e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,0.0,7.0607125354334924e-57,1.017343393210205e-31,3.9754920852735209e-76,1.2257635955158421e-47,1.7661363035009245e-115,1.2602694557811066e-17,2.0190063424621444e-93,1.2602694557810522e-17,2.1434236900060329e-63,5.6727576968550792e-63,1.0214090173578394e-97,1.184321425509367e-98,1.0113487836334408e-46,1.1799021401326102e-74,6.8826774751334837e-16,2.0378384724592344e-17,8.1581507436493066e-20,3.0858599210612564e-33,1.1426411155622581e-32,8.1581507409497077e-20,1.3322912417106918e-29,4.0726436646178493e-36,4.8574989188519681e-41,1.6282586117861446e-67,9.5363749117503541e-46,2.2607788788937346e-85,1.798797409621674e-91,1.4744439017579154e-47,8.9112233309503548e-95
2.8608535119562925e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,0.0,1.133400781986061e-55,4.0800020266657802e-31,2.5705666752562456e-74,9.8459997979469631e-47,4.5680910218112734e-113,2.5249300943350103e-17,1.30018356553314e-91,2.5249300943347915e-17,3.4444243280343597e-62,9.1187922102474214e-62,1.3209184907251317e-95,1.5316019765447398e-96,8.1154369716552655e-46,3.7926899974221256e-73,1.3789336404883359e-15,4.0827774274008945e-17,1.6344727102358494e-19,1.2375678318069929e-32,4.582501931506168e-32,1.6344727091531895e-19,5.3430821255773574e-29,3.2680389111568137e-35,3.9188268672240371e-40,5.2639876365272865e-66,7.6523402901568334e-45,1.4535193077813913e-83,2.326261780160578e-89,1.1831483599786993e-46,1.1544063003805333e-92
5.726682421324683e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996252,0.022821567693054247,0.0,1.8163965459596383e-54,1.6341289299766918e-30,1.6665492175594936e-72,7.892787528243399e-46,1.1845975282652497e-110,5.0542513714429375e-17,8.346930089986402e-90,5.0542513714420618e-17,5.5230634208908079e-61,1.4624060255463097e-60,1.7127203583906685e-93,1.9858953480923071e-94,6.5022250551102386e-45,1.2163879734559896e-71,2.76026542643807e-15,8.172655337284182e-17,3.2717879827929038e-19,4.9567263266313875e-32,1.8353909924149093e-31,3.2717879784566162e-19,2.1400184769601243e-28,2.6184061527095217e-34,3.1734651904094826e-39,1.7064446120686093e-64,6.1311843229509758e-44,9.3237638965488685e-82,3.0162617423437407e-87,9.4795843152529127e-46,1.4981916537909634e-90
1.1458340240061464e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999422,0.1186699660299597,0.022821567693054205,0.0,2.9086009715489898e-53,6.5407743952383324e-30,1.0900433067683239e-70,6.3206313547541065e-45,3.0989333088388638e-108,1.0112893925659276e-16,5.3502918245398076e-88,1.011289392565577e-16,8.8465000154449358e-60,2.3425725424013288e-59,2.24033280741942e-91,2.5976607785529447e-92,5.205733439776977e-44,3.8968103315027135e-70,5.5229289983365781e-15,1.6352411157050634e-16,6.5464185311678927e-19,1.9839821946458721e-31,7.3463471325999024e-31,6.5464185138114323e-19,8.5656404692599436e-28,2.0963140910159641e-33,2.5945583935969646e-38,5.5814577432598973e-63,4.908675489611205e-43,5.9740143900955651e-80,3.9454369179118693e-85,7.5894310873965687e-45,1.9608440807654857e-88
2.2921655877535026e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999885,0.11866996602995408,0.022821567693054122,0.0,4.6556553787654499e-52,2.6171617433650349e-29,7.2638834944734959e-69,5.0590668678103299e-44,8.2585757481966851e-106,2.0230179034093878e-16,3.4268312517184717e-86,2.0230179034079854e-16,1.416208323599792e-58,3.7502955499125652e-58,2.9854244110287236e-89,3.4615927916372409e-90,4.1661685035279443e-43,1.2476787435734797e-68,1.1048256142129752e-14,3.2711922796583032e-16,1.3095679640961437e-18,7.9385122654731494e-31,2.9394957558430432e-30,1.3095679571512904e-18,3.4273635211906239e-27,1.6776836889915308e-32,2.1626382635001746e-37,1.8602329565578131e-61,3.9284322523064238e-42,3.8255483424980048e-78,5.2576133466330261e-83,6.0738508801062364e-44,2.6143016309062325e-86
4.584828715248215e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997712,0.11866996602994283,0.022821567693053959,0.0,7.4505630230784356e-51,1.0470351246460934e-28,5.0129908246232695e-67,4.0482784577642461e-43,2.278896623094587e-103,4.0464749250970805e-16,2.1940186170599861e-84,4.0464749250914688e-16,2.266548149472958e-57,6.0022161820835971e-57,4.119566730332729e-87,4.7766282191861265e-88,3.3335671862324847e-42,3.9936914196008278e-67,2.2098910429700723e-14,6.5430946075645822e-16,2.6194201912723249e-18,3.1759212152899492e-30,1.1759897082261307e-29,2.6194201634883222e-18,1.371161869656935e-26,1.3423943342774988e-31,1.8683890801492895e-36,6.4223345900101219e-60,3.1433426903434856e-41,2.4490484804445489e-76,7.2549446834307027e-81,4.8600026176560575e-43,3.6097360110230434e-84
9.17015497023764e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995436,0.11866996602992032,0.022821567693053633,0.0,1.1922109256908983e-49,4.1884814252363664e-28,3.6730720506967976e-65,3.2390328010797213e-42,6.6748574501641959e-101,8.0933889684755539e-16,1.4044428926323829e-82,8.0933889684531048e-16,3.6269689734696917e-56,9.6049380262756901e-56,6.0343479295342623e-85,6.9968126381367241e-86,2.6671060053638082e-41,1.2781603910582576e-65,4.4200219004781168e-14,1.308689926337634e-15,5.2391246664949285e-18,1.2704713857745769e-29,4.7043416564649968e-29,5.2391245553493358e-18,5.4850401349812469e-26,1.0740054111309985e-30,1.7155903814498114e-35,2.3548672936352809e-58,2.5149129599301411e-40,1.5676142742458408e-74,1.0627054501526345e-78,3.8883697986924436e-42,5.292342911941219e-82
1.834080748021649e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990884,0.1186699660298753,0.022821567693052977,0.0,1.9076331160122705e-48,1.6754607960735344e-27,2.9452243033517952e-63,2.5913902638687799e-41,2.1389772399153457e-98,1.6187217055244849e-15,8.9893017336746529e-81,1.6187217055155049e-15,5.8035439294302433e-55,1.5369005888067411e-54,9.671468719750662e-83,1.121404585213584e-83,2.1337845537956205e-40,4.0903998858553152e-64,8.8402836154696092e-14,2.6174508574996657e-15,1.0478533700423913e-17,5.0820883935869418e-29,1.881813217639838e-28,1.047853325581916e-17,2.1940623512360237e-25,8.5922587636399261e-30,1.7257222543469988e-34,9.4524231173134688e-57,2.012025938905545e-39,1.0033445780119759e-72,1.7032366240391358e-76,3.1108411681952031e-41,8.4925637176986878e-80
3.668211250017419e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998178,0.11866996602978526,0.022821567693051669,0.0,3.0522861528105082e-47,6.7019799444296219e-27,2.6456687246217203e-61,2.0731778207728587e-40,7.6779447836810992e-96,3.237487322883284e-15,5.7534306287672723e-79,3.2374873228473632e-15,9.2859851442859926e-54,2.4591265483583693e-53,1.7363890961378646e-80,2.0133391722937205e-81,1.7070656903944013e-39,1.3089738227325633e-62,1.7680807045354202e-13,5.2349727198224497e-15,2.0957352102239561e-17,2.0328735633216516e-28,7.527405884316619e-28,2.0957350323750009e-17,8.7760841214571609e-25,6.8736623047426819e-29,1.9456829149302149e-33,4.2512703649036662e-55,1.6096590490018479e-38,6.4216338973683767e-71,3.0579444721860956e-74,2.4887282510802179e-40,1.5268184468373805e-77
