Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),CO2X(24),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),HOCO(73),CHO2(74),S(216)
6.4733749816644685e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996215,0.02282156769305424,4.4961755116183206e-97,1.687128965328904e-45,2.088062733292122e-30,4.318766410325899e-71,1.1120076654199388e-45,3.92297587489318e-109,5.713266769797871e-17,1.6985844406655762e-89,5.713266769797161e-17,8.795996842533862e-61,5.772977093823622e-60,5.017503690597434e-92,5.817784081993964e-93,7.521178420149039e-32,2.223584504967996e-71,3.120171827185736e-15,9.238274222635199e-17,3.698390987893403e-19,6.333594889663762e-32,2.3452218234734646e-31,3.6983909186211216e-19,3.4619128232058114e-27,6.061974291776483e-32,9.122116797198076e-36,6.269631882999418e-61,1.3692170511872201e-45,8.855827241727194e-44,3.085122129876863e-63,2.1099074339992307e-31,8.836296216357959e-86,5.57194727473468e-88,6.94569730049329e-25,3.5703109274868737e-87,2.743259095221375e-101,3.1183439383090244e-77,1.1398146601346556e-59,2.2472683540945248e-85,2.821850097646267e-119,4.692498021747275e-121,4.0921175505660325e-173
1.2952374094503277e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999935,0.11866996602995897,0.022821567693054195,1.1551240840361975e-94,1.350729021279734e-44,8.357729030189458e-30,2.772648898724271e-69,8.905080102313354e-45,1.0074245264127467e-106,1.1431497281359237e-16,1.088774237761558e-87,1.1431497281356397e-16,1.4088881527350987e-59,9.247512662661963e-59,6.442493741090816e-90,7.470056792933138e-91,3.0104314437244133e-31,7.231707595947016e-70,6.243054490014653e-15,1.8484574747809399e-16,7.399995243247602e-19,2.5350884710842515e-31,9.386999112534161e-31,7.39999496597552e-19,1.3856430468644496e-26,4.853184583427828e-31,7.317215503582846e-35,2.0125421906440336e-59,1.0962061540202067e-44,7.090075374360758e-43,9.884417188688075e-62,8.445128305010455e-31,1.1345837797102131e-83,7.157495948636983e-86,1.3897430595928532e-24,4.5862755561842097e-85,7.047772851194817e-99,1.998211270861899e-75,1.8256843422753384e-58,1.4616034730767311e-83,1.4499596387458485e-116,2.4111431983951096e-118,6.607110531440564e-169
2.5910372320180892e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998706,0.11866996602995261,0.0228215676930541,2.970674903628249e-92,1.0809937349548674e-43,3.344209423553873e-29,1.7822304588992663e-67,7.12767335642227e-44,2.590211899315866e-104,2.286795830448192e-16,6.973536596771551e-86,2.286795830447056e-16,2.2554446679766296e-58,1.480462529722034e-57,8.282259591888683e-88,9.603261095161584e-89,1.2045647043445982e-30,2.3847604964660346e-68,1.2488819815667576e-14,3.697717579815716e-16,1.4803203962209036e-18,1.0143655451847696e-30,3.756022353613134e-30,1.4803202852740142e-18,5.544182753874644e-26,3.883893341833768e-30,5.878364353362847e-34,6.468333783812277e-58,8.772980354047888e-44,5.6742613077112506e-42,3.1648613030804666e-60,3.379151344145393e-30,1.458583858046019e-81,9.203634013352463e-84,2.78009017053835e-24,5.897369784717194e-83,1.8124809188248641e-96,1.2796153611012947e-73,2.9226805601105395e-57,9.637644813575779e-82,7.457859333585285e-114,1.2401790747548551e-115,1.0460357503757968e-164
5.182636877153612e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999742,0.11866996602993989,0.022821567693053917,7.664787279576327e-90,8.649592347996106e-43,1.3379248662566581e-28,1.1494638165837313e-65,5.703582747491859e-43,6.682049395139948e-102,4.574088035072711e-16,4.46478626972819e-84,4.57408803506817e-16,3.6096906462742354e-57,2.369428660023902e-56,1.0683139234728027e-85,1.2387075551541452e-86,4.819043182811847e-30,8.077077048627545e-67,2.4980350466953782e-14,7.396237789885012e-16,2.9609622233245986e-18,4.0581222653334026e-30,1.5026535152063983e-29,2.960961779449275e-18,2.2178786532052507e-25,3.107497862167085e-29,4.7393769077233106e-33,2.0860126704556734e-56,7.019716449700233e-43,4.540345075189902e-41,1.013001560530157e-58,1.3518805693692894e-29,1.8814013513012087e-79,1.1873530714400882e-81,5.560786199863132e-24,7.608146592675369e-81,4.6763445326545693e-94,8.191572065106983e-72,4.677557747511825e-56,6.525822148263232e-80,3.8484609577942116e-111,6.399825830465562e-113,1.6024077746560016e-160
1.0365836167424658e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999485,0.11866996602991445,0.022821567693053546,1.9916051576647022e-87,6.920331009044707e-42,5.352321685839724e-28,7.466246706433716e-64,4.563443893301605e-42,1.7359651537673154e-99,9.148672444321682e-16,2.85801464761314e-82,9.148672444303508e-16,5.776288486578858e-56,3.791636784894528e-55,1.3877526594965829e-83,1.6090960375876363e-84,1.9277741573853416e-29,2.8689817902765605e-65,4.9963411769447607e-14,1.4793278210022582e-15,5.9222462108591425e-18,1.623380674069423e-29,6.011103220822019e-29,5.922244435089177e-18,8.870993076609989e-25,2.4859033135524677e-28,3.849123575004217e-32,6.77551391464342e-55,5.6163051759484785e-42,3.632739195389399e-40,3.2416798191304056e-57,5.407962339774632e-29,2.4439630091048043e-77,1.5426412243475638e-79,1.1122185488247847e-23,9.884708555882854e-79,1.2150251363487914e-91,5.2427455830386946e-70,7.485107621274048e-55,4.632741572358203e-78,1.9999235615394292e-108,3.325970911869436e-110,2.3261216213462883e-156
2.073223474796675e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799897,0.11866996602986356,0.022821567693052807,5.247515020781224e-85,5.536527790521554e-41,2.1411650672335962e-27,4.917642888548948e-62,3.6509862066138573e-41,4.57284156582526e-97,1.8297841262819337e-15,1.8293058528790706e-80,1.8297841262746647e-15,9.242688381810398e-55,6.067059470667368e-54,1.827891025507979e-81,2.11943546022101e-82,7.711410409248742e-29,1.0998114505847985e-63,9.992953437412099e-14,2.9587359050293637e-15,1.184481551988869e-17,6.493784174432297e-29,2.404539105921816e-28,1.1844808415526808e-17,3.5475471171889984e-24,1.9882875983563703e-27,3.1710332461681423e-31,2.2318283694363353e-53,4.493255506855381e-41,2.9065184537752652e-39,1.0371455944800029e-55,2.163272925530723e-28,3.219088041113628e-75,2.0323977130734184e-77,2.22450129839579e-23,1.302289449546064e-76,3.201021130413481e-89,3.354747397507841e-68,1.19769844307631e-53,3.5481744460682484e-76,1.0538516741150442e-105,1.7528044300145157e-107,3.1253948809046043e-152
4.1465031909050934e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997941,0.11866996602976178,0.02282156769305133,1.4193962596231646e-82,4.4293276157214956e-40,8.566027803394391e-27,3.3250404252618e-60,2.9208814044914003e-40,1.2363966598695836e-94,3.659617889981354e-15,1.1708122212615168e-78,3.659617889952277e-15,1.4788802860550294e-53,9.70764713346372e-53,2.4713518123045515e-79,2.865526750722239e-80,3.0846269207693974e-28,4.681360827426009e-62,1.9986177958221048e-13,5.917552073081938e-15,2.368995947899901e-17,2.597564312646351e-28,9.618351919237487e-28,2.368993105303571e-17,1.418252721339927e-23,1.5898213139273244e-26,2.683318183382344e-30,7.548209537575257e-52,3.594686631370971e-40,2.3255723401150748e-38,3.317254805278838e-54,8.653267476716867e-28,4.3522828969483506e-73,2.7489810878695797e-75,4.449078365114048e-23,1.7614501428222011e-74,8.656684377382132e-87,2.146006275005733e-66,1.9163824897512226e-52,3.0166093188909943e-74,5.700758267461918e-103,9.483842163216795e-105,3.842228392966614e-148
8.293062623121931e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679958826,0.11866996602955823,0.02282156769304837,4.02208977170439e-80,3.543504545950648e-39,3.4273991162871845e-26,2.3550860278519307e-58,2.3367420991817516e-39,3.5011315738128814e-92,7.319285417379748e-15,7.493378931602996e-77,7.319285417263437e-15,2.3662485709094793e-52,1.553251532071751e-51,3.499677461308828e-77,4.057867925345706e-78,1.2338633198424283e-27,2.2404943580107334e-60,3.997262699933606e-13,1.1835184409180543e-14,4.738026880302619e-17,1.039034530772419e-27,3.84737975265785e-27,4.738015503460741e-17,5.666718522993308e-23,1.2705197505079464e-25,2.3806112967887726e-29,2.6749739638486645e-50,2.8757784793887096e-39,1.8609630399524492e-37,1.0604306759118301e-52,3.461341979693464e-27,6.163260712047385e-71,3.895502839668934e-73,8.898278768855553e-23,2.496098332058849e-72,2.4521736349530804e-84,1.3720443534879654e-64,3.066263967838741e-51,2.883688760543064e-72,3.230466995838797e-100,5.376632836355629e-102,4.400070272237049e-144
1.6586181487555605e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991766,0.11866996602915114,0.02282156769304245,1.2278948663619725e-77,2.834821097401126e-38,1.3717267496775595e-25,1.7969713683437244e-56,1.8694084686445751e-38,1.067755490090812e-89,1.4638620472174746e-14,4.795820332057677e-75,1.4638620471709508e-14,3.7860297932298877e-51,2.4852243055894105e-50,5.337912085711024e-75,6.189296558281979e-76,4.9354783826225164e-27,1.1906477710711432e-58,7.994552507955449e-13,2.3670449081351583e-14,9.476097340577902e-17,4.156145151031699e-27,1.5389596064941158e-26,9.476051782411925e-17,2.261634738684412e-22,1.014264536350751e-24,2.2776391686556492e-28,1.0215739731670635e-48,2.3006285069218518e-38,1.489549871529774e-36,3.3863197090786375e-51,1.384543656729707e-26,9.400563515867384e-69,5.947771060703722e-71,1.7796864657558514e-22,3.811110545035771e-70,7.482325554069995e-82,8.762964338948313e-63,4.906063931975321e-50,3.0616722541413566e-70,1.9721424306037544e-97,3.285212544155163e-99,4.928081597449115e-140
3.317241921642295e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679835325,0.11866996602833695,0.022821567693030616,4.152192621384608e-75,2.2678646288683937e-37,5.492964113164197e-25,1.5186372146323076e-54,1.4955326889792868e-37,3.606020805747677e-87,2.9277290581757596e-14,3.0693434958550095e-73,2.927729057989664e-14,6.057673297619903e-50,3.9763746491775885e-49,9.016465687530709e-73,1.0454570286690982e-73,1.9741963737681316e-26,6.822892009968684e-57,1.5989132123194514e-12,4.734097842558897e-14,1.8952272906232795e-16,1.662450999241541e-26,6.155853104101986e-26,1.8952090270984228e-16,9.006300615936233e-22,8.07983167147353e-24,2.4154752125756387e-27,4.322276793374721e-47,1.8404955807886557e-37,1.1928689689300656e-35,1.0791163193928765e-49,5.538187292812351e-26,1.5878837748971663e-66,1.005960536015317e-68,3.55947767598442e-22,6.445796064523638e-68,2.5285474806267024e-79,5.5851603424792845e-61,7.849735544211102e-49,3.506459761523153e-68,1.3335446089467517e-94,2.2252417767702557e-96,5.7199296313011856e-136
