Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CH2(T)(34),C2H4X(222),CH2O2(186),C2H4X(70),CHO2X(213),CH2OX(54),CH2OH(40)
6.681129491545466e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999966,0.11866996602996205,0.02282156769305424,0.0,1.854836588428776e-45,2.2242344117382568e-30,3.4520218843299194e-68,1.2229784710009173e-45,3.5823315649522853e-53,5.896626600016395e-17,2.0730950530468793e-89,5.896626600015625e-17,1.0078105498102173e-60,2.9976371469929605e-59,1.1730311331979366e-70,4.837491018087258e-90,8.011690056323734e-32,2.6738437420232417e-71,3.2203096641776252e-15,9.534764560164865e-17,3.817086003095457e-19,6.746655599940449e-32,2.4981710727807396e-31,3.817085951737776e-19,2.566041130085974e-27,3.226915893838328e-32,3.3820583172143716e-36,2.476049527534684e-61,1.505322946279105e-45,9.736107385939826e-44,7.168610402824538e-25,2.2475100926661666e-31,7.462008916078223e-63,2.461479591364047e-46,7.347385697184611e-83,2.973132804943708e-73,5.929598676355369e-69,1.2937917979699755e-59,2.344888218031295e-98,1.0844688659389837e-34,7.784424761483853e-77,7.078581594558362e-48,2.788692560773778e-85,5.134522438114852e-100,3.670467811393551e-67,1.949872547250569e-71
1.3368063613405046e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999933,0.11866996602995876,0.02282156769305419,0.0,1.4849970935058224e-44,8.902747670063661e-30,1.1067429937846215e-66,9.793746559763704e-45,5.736369824234772e-52,1.179837624660102e-16,1.3288324601672553e-87,1.1798376246597937e-16,1.6142495203975449e-59,4.8018010374815586e-58,3.7568400361668256e-69,3.1018849045072233e-88,3.206763929247163e-31,8.836142301936179e-70,6.443417164725512e-15,1.9077813016559007e-16,7.637488379105811e-19,2.7004204671953024e-31,9.999194706432042e-31,7.637488173539955e-19,1.0270722558075138e-26,2.5834636980097794e-31,2.7154151166929896e-35,7.955377975029041e-60,1.2051736543028695e-44,7.794816911577696e-43,1.4343450567850887e-24,8.995897541716152e-31,2.3907625109331075e-61,1.9706803562899205e-45,4.711273812750942e-81,9.52546580123617e-72,1.8990589688438226e-67,2.072315359965916e-58,3.008476222610669e-96,4.3407016711857995e-34,4.988223078917916e-75,5.66714065427219e-47,1.8427389977811523e-83,1.3210456331621545e-97,1.1755323482088982e-65,6.244816733987958e-70
2.6741931857124205e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999866,0.1186699660299522,0.022821567693054094,0.0,1.1884490000747685e-43,3.562269508503852e-29,3.5505980780817608e-65,7.838966703405066e-44,9.181837507393504e-51,2.360187553977033e-16,8.511098874793773e-86,2.3601875539757975e-16,2.5842021457966353e-58,7.687349811033928e-57,1.202682842118124e-67,1.9902427684365332e-86,1.2831232720692334e-30,3.002192348866506e-68,1.2889632165816053e-14,3.8163909929346624e-16,1.5278293285559134e-18,1.0805199313540323e-30,4.0009803328782145e-30,1.5278292463017612e-18,4.109523410002668e-26,2.0675063164342332e-30,2.1855008623277966e-34,2.5615318374395897e-58,9.645051946916126e-44,6.238240191714039e-42,2.8693135711178346e-24,3.599530779170886e-30,7.654978697463171e-60,1.5771432121887136e-44,3.0228647744797236e-79,3.049980847558448e-70,6.079485576895438e-66,3.3175043881946426e-57,3.861483144334235e-94,1.7368460710505024e-33,3.194389071447074e-73,4.5353889431458136e-46,1.2516657026538426e-81,3.4041595487973164e-95,3.763249358329951e-64,1.9991632958418594e-68
5.3489668344562525e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997335,0.11866996602993907,0.022821567693053903,0.0,9.509397739568232e-43,1.4251484083738377e-28,1.141330786079979e-63,6.272761532614063e-43,1.4693641296879314e-49,4.720887412610914e-16,5.449206989421981e-84,4.720887412605972e-16,4.1358460836957534e-57,1.2303335204640762e-55,3.8493200481549995e-66,1.27947759342153e-84,5.13332860817781e-30,1.0717397923721843e-66,2.5782062167976213e-14,7.633610375491912e-16,3.0559903716250478e-18,4.3227833051082365e-30,1.6006526572477124e-29,3.0559900425466148e-18,1.6439942030184762e-25,1.6542394750140508e-29,1.768484711324257e-33,8.290589040887346e-57,7.71750688809193e-43,4.991568217147878e-41,5.739252525093231e-24,1.4400466930887197e-29,2.4502324470862868e-58,1.26195418841159e-43,1.9433245977808617e-77,9.762870437151574e-69,1.945806632154782e-64,5.309447281040622e-56,4.965522741351153e-92,6.948515250446669e-33,2.0449534614957765e-71,3.628926722856414e-45,8.930134598114547e-80,8.813922761377046e-93,1.2044697649220912e-62,6.398545585348258e-67
1.0698514131943917e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999468,0.11866996602991281,0.022821567693053522,0.0,7.608240647720483e-42,5.70112673864914e-28,3.685028923037177e-62,5.018844571351572e-42,2.351129595637197e-48,9.44228712987875e-16,3.488165811388187e-82,9.44228712985899e-16,6.6182519810321985e-56,1.968819660927239e-54,1.231864372177718e-64,8.261559845914275e-83,2.053498559273959e-29,4.138967402947799e-65,5.156692217221284e-14,1.5268049140605323e-15,6.112312704920597e-18,1.7292540404223073e-29,6.403131689706962e-29,6.1123113884336324e-18,6.575849998206526e-25,1.3233897158597865e-28,1.4465238329373784e-32,2.7117402740412693e-55,6.174591597232041e-42,3.99367894838212e-40,1.1479138134283649e-23,5.760655532887637e-29,7.841208884304582e-57,1.0096592029896138e-42,1.254800583209472e-75,3.1245875895309976e-67,6.226993801937164e-63,8.496268021129852e-55,6.41302781806224e-90,2.7796323095384966e-32,1.308852073676259e-69,2.9032994062565355e-44,6.890106055785435e-78,2.3052892127880334e-90,3.854559694204807e-61,2.0476711530997664e-65
2.1397608726919243e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998937,0.1186699660298603,0.02282156769305276,0.0,6.086881649338631e-41,2.2805987958892862e-27,1.2013048685732498e-60,4.015329810281939e-41,3.7617037230039304e-47,1.888508656441474e-15,2.2326416108874943e-80,1.8885086564335684e-15,1.0589921814286743e-54,3.1503401092345866e-53,3.9418689865894613e-63,5.385666451895976e-81,8.214328481977325e-29,1.7781743484176828e-63,1.0313664218035126e-13,3.0536926670827798e-15,1.2224958360487906e-17,6.917297547820533e-29,2.561356872068662e-28,1.2224953093797057e-17,2.629917546844492e-24,1.058558044296506e-27,1.2078250250590064e-31,9.051556381693958e-54,4.939907552072555e-41,3.195167153249553e-39,2.2958940157622963e-23,2.304355940045648e-28,2.5089042679514516e-55,8.077656966335256e-42,8.179977386418514e-74,9.999430136233203e-66,1.992587888977437e-61,1.359495079467522e-53,8.362092055875369e-88,1.1118981672997895e-31,8.375732849554608e-68,2.3225615953526827e-43,5.912392124974129e-76,6.149539197802662e-88,1.2334287490311902e-59,6.552387714119509e-64
4.27957979168699e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997875,0.11866996602975526,0.022821567693051232,0.0,4.86962118830743e-40,9.123022978373333e-27,4.001991863988559e-59,3.2123655119419816e-40,6.017935304886425e-46,3.777068543348796e-15,1.4289595910106008e-78,3.777068543317174e-15,1.6944449825267434e-53,5.040726497142274e-52,1.2612365798444128e-61,3.587142391991922e-79,3.2857982437373382e-28,8.591936756659596e-62,2.062760821952889e-13,6.107468173125531e-15,2.445025363030216e-17,2.766975248838126e-28,1.0245635727011696e-27,2.4450232558882756e-17,1.0515650625704697e-23,8.465403236898404e-27,1.0471212770803128e-30,3.1354101988058707e-52,3.952019477172281e-40,2.5563100453597846e-38,4.5918667424135534e-23,9.217610988866536e-28,8.025758184984247e-54,6.46227877476667e-41,5.44830296979244e-72,3.199937179660813e-64,6.37545790263618e-60,2.1752658860167636e-52,1.1141204030587581e-85,4.447683157791043e-31,5.358661938701779e-66,1.8577923327931554e-42,5.7061346252957204e-74,1.7008766443531125e-85,3.946466668973322e-58,2.096496296507123e-62
8.559217629677121e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679957505,0.11866996602954517,0.02282156769304818,0.0,3.895743640053682e-39,3.649599674669738e-26,1.4029373202511692e-57,2.5699330745943154e-39,9.625800382334678e-45,7.554188317163938e-15,9.14556204602725e-77,7.554188317037446e-15,2.7111579622392664e-52,8.065306315420908e-51,4.034764915279955e-60,2.5131271127921974e-77,1.314332668427251e-27,4.604416475338137e-60,4.125549622198073e-13,1.2215019185204064e-14,4.89008600268169e-17,1.1068013067629688e-27,4.098295813046736e-27,4.8900775706499685e-17,4.202919944818196e-23,6.767189185672539e-26,9.669052493322364e-30,1.1560163962699407e-50,3.161652513716749e-39,2.0452571466225363e-37,9.183861483649645e-23,3.68708165886867e-27,2.566345433678541e-52,5.169884078328141e-40,3.817043047445315e-70,1.0239987387808859e-62,2.039539437504825e-58,3.4804844237663033e-51,1.5616887498123246e-83,1.779091361005647e-30,3.427031731324602e-64,1.485770050752591e-41,6.109510304003417e-72,5.001296448225452e-83,1.262496307959057e-56,6.706810607813698e-61
1.7118493305657384e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679915017,0.11866996602912501,0.022821567693042073,0.0,3.1166141339377346e-38,1.4601293497107789e-25,5.544547757450142e-56,2.0559627241096806e-38,1.5391728069744677e-43,1.5108427864796212e-14,5.853230303852656e-75,1.5108427864290252e-14,4.337889517936017e-51,1.29045990310013e-49,1.2903370717670605e-58,1.9832034998068287e-75,5.25735742068485e-27,2.657928987135546e-58,8.251127222474165e-13,2.4430121209333256e-14,9.780213642424756e-17,4.427227331094078e-27,1.639326529003078e-26,9.780179887159759e-17,1.678476123516836e-22,5.405459538026724e-25,9.797858233633844e-29,4.674194690620354e-49,2.5293360755023807e-38,1.636510527949203e-36,1.8368048117856123e-22,1.4748399700464288e-26,8.199952556122461e-51,4.135931329458297e-39,3.0121724218242767e-68,3.27682428712488e-61,6.522515826321174e-57,5.568822276938765e-50,2.466790975166854e-81,7.116401640040242e-30,2.190027644836826e-62,1.1878534865441562e-40,7.048693056595388e-70,1.6108422574734483e-80,4.0375234327348156e-55,2.1448726208233477e-59
3.423704465761791e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983004,0.11866996602828468,0.022821567693029857,0.0,2.493299869542507e-37,5.842778574756773e-25,2.7965524066190906e-54,1.6447766823564033e-37,2.4596018681676927e-42,3.0216906960068724e-14,3.7460899605896616e-73,3.021690695804488e-14,6.940652606289006e-50,2.064742571648291e-48,4.124005942435736e-57,1.9950523765017015e-73,2.1029483216747747e-26,1.6052196813967764e-56,1.6502282422169247e-12,4.886032525748012e-14,1.9560494504382915e-16,1.7708951048529825e-26,6.557321718009315e-26,1.9560359268189977e-16,6.69241511993162e-22,4.311119943501588e-24,1.112373933064464e-27,2.1169366226655147e-47,2.023473352861956e-37,1.309682420975852e-35,3.673720999320621e-22,5.899373323626844e-26,2.616075234827685e-49,3.308754119479576e-38,3.0301683899035804e-66,1.0485871366375075e-59,2.0846225865237985e-55,8.910153381859226e-49,4.969951580357014e-79,2.846567895298221e-29,1.3974261268772708e-60,9.490565451697897e-40,8.510536828194634e-68,5.80847155565721e-78,1.29042023151157e-53,6.855176753672644e-58
