Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58)
0.0,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2.3386488181314275e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,7.9220292815942885e-165,3.7471955175749562e-46,4.6961826798020296e-103,1.3337160238888763e-123,1.3938657513050376e-180,1.9507679333371366e-37,3.0189383346217165e-52,0.0,0.5,3.1104065959437842e-19,2.1550853646859127e-18,9.3931004103726696e-20,3.0363239146443272e-35,4.344192108328557e-21,4.344192108328557e-21
6.548216690767997e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,1.1815083321287732e-162,5.6627618695172318e-45,2.2785985825824049e-92,1.1648203447150236e-112,2.0788410905834985e-178,1.1782638317356283e-36,3.584083590862897e-51,0.0,0.5,8.7091384686203379e-19,6.0342390211205436e-18,2.6300681149031078e-19,1.8339396444451705e-34,1.2163737903319959e-20,1.2163737903319961e-20
1.4967352436041138e-24,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,5.6850271020645392e-160,6.0917408128557703e-44,4.3944401472240239e-91,4.6093605310948094e-111,2.3310898907419326e-175,5.6728331501443639e-36,3.5188745228350554e-50,0.0,0.5,1.9906602213884386e-18,1.3792546333989758e-17,6.011584262629832e-19,8.8296299437856563e-34,2.7802829493302754e-20,2.780282949330276e-20
3.1805623926587416e-24,0.004023131612903226,0.0,0.0,0.010942917987096769,0.5,1.8210354104876683e-157,5.599359321555166e-43,7.5226306901124768e-90,1.5843221183102813e-109,1.552795259661783e-172,2.4774752753381346e-35,3.1124046654615706e-49,0.0,0.5,4.2301529704056303e-18,2.9309160959727992e-17,1.2774616558063451e-18,3.8561313715982447e-33,5.9081012673268332e-20,5.9081012673268344e-20
6.548216690767997e-24,0.004023131612903226,0.0,0.0,0.010942917987096764,0.5,5.1635513785876407e-155,4.7903697863632908e-42,1.2418689469755748e-88,5.23718272435346e-108,8.9719118167243438e-170,1.0342971582553237e-34,2.6161636577697618e-48,0.0,0.49999999999999994,8.7091384682975289e-18,6.0342390211203701e-17,2.6300681148851364e-18,1.6098589395443762e-32,1.2163737903319936e-19,1.2163737903319945e-19
1.328352528698651e-23,0.004023131612903226,0.0,0.0,0.010942917987096751,0.5,1.3887938343280706e-152,3.9607703760340872e-41,2.017482097061266e-87,1.7025118455455239e-106,4.8716405820991631e-167,4.2254413743253468e-34,2.1448890285901906e-47,0.0,0.49999999999999989,1.766710946351141e-17,1.2240884871415203e-16,5.335281033010989e-18,6.5767990520758011e-32,2.467501117530609e-19,2.4675011175306138e-19
2.675414247942353e-23,0.004023131612903226,0.0,0.0,0.010942917987096727,0.5,3.6428358858702526e-150,3.2208326909811537e-40,3.2523590636309102e-86,5.4905936575827741e-105,2.5677295902221316e-164,1.7079909624972779e-33,1.7369867453556398e-46,0.0,0.49999999999999972,3.558305145165948e-17,2.4654176572003648e-16,1.0745706869135774e-17,2.6584473308186836e-31,4.9697557719278225e-19,4.9697557719278398e-19
5.369537686429757e-23,0.004023131612903226,0.0,0.0,0.01094291798709668,0.5,9.4389582771073037e-148,2.5977182479534823e-39,5.2233160154081432e-85,1.763808889978526e-103,1.3337861940762786e-161,6.8677565400292188e-33,1.3980780470936505e-45,0.0,0.49999999999999944,7.1414935418836882e-17,4.9480759973175622e-16,2.1566558540877672e-17,1.0689499794459275e-30,9.9742650807221773e-19,9.9742650807222447e-19
1.0757784563404565e-22,0.004023131612903226,0.0,0.0,0.010942917987096585,0.5,2.4310104250127332e-145,2.0866285667347349e-38,8.3731470635107519e-84,5.6552359702907187e-102,6.8784375690108158e-159,2.7542775404698924e-32,1.1218695849124766e-44,0.0,0.49999999999999889,1.4307870331671675e-16,9.9133926775499927e-16,4.3208261882330776e-17,4.2869675171406905e-30,1.99832836983106e-18,1.9983283698310873e-18
2.1534278317354186e-22,0.004023131612903226,0.0,0.0,0.010942917987096394,0.49999999999999994,6.2427547524773765e-143,1.6726910690457106e-37,1.3411044477068023e-82,1.8116193284615031e-100,3.5347747995350624e-156,1.1031476397242964e-31,8.9886086406262225e-44,0.0,0.49999999999999772,2.8640623896657658e-16,1.9844026038006995e-15,8.6491668557114187e-17,1.7170230772391119e-29,4.0001320933486278e-18,4.0001320933487387e-18
