Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CH4OX(63),CHOX(53),C2H6X(52),C2H4X(215),acetyl(44),C2H4X(70),C2H3X(214),C2H2X(254),C2HX(261),C2H3X(69),C2H3(46),C2H2(288),C2H2(308),C2H2X(309)
6.948479554709123e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999644,0.11866996602996192,0.022821567693054236,3.997364715621428e-100,2.0865333881638122e-45,2.4058009256634777e-30,5.341369272123557e-72,1.4099069946818592e-45,5.589432227423888e-110,6.132584232025284e-17,2.663464315400578e-89,6.132584232024012e-17,1.1970899034807867e-60,1.2625536935578367e-58,6.660399601063149e-93,7.722718141857606e-94,8.665705571082601e-32,1.1481312711268637e-70,3.3491726046749856e-15,9.916304823773941e-17,3.969829342088661e-19,7.297402989782143e-32,2.7021034051836294e-31,3.9698293357046816e-19,1.6933602690630085e-45,3.1505819349125585e-28,4.677318417753777e-34,5.694469412419033e-39,4.507697644487883e-64,2.95731251056965e-90,1.0952277170777724e-43,2.430980304212108e-31,7.04651773413436e-61,7.455467388485344e-25,1.1729590533425874e-86,2.7689551646493585e-46,1.3023418555036818e-72,5.826341733367893e-90,1.5512290942292508e-59,7.645135218075721e-75,3.908932301418597e-102,1.2386109401118565e-84,6.248942507684521e-66,3.6175775648348604e-68,4.57473124164744e-80,4.0019238378607104e-86,1.5594754252333083e-86,1.2388109514391176e-96,7.475074617207157e-109,1.3768042980019956e-110
1.3902996016068733e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799993,0.11866996602995851,0.022821567693054188,1.0507458816566951e-97,1.670495415317657e-44,9.629473423022463e-30,3.508383625115343e-70,1.1290690805911166e-44,1.468344459576511e-107,1.22704965129064e-16,1.7072517917193121e-87,1.2270496512901302e-16,1.917424270280563e-59,2.0224367914602907e-57,8.748800993902691e-91,1.0144214789959782e-91,3.4685405764981635e-31,6.332170495583657e-69,6.701255003096717e-15,1.984122502967081e-16,7.943107716937029e-19,2.920862949452144e-31,1.0815455498241368e-30,7.943107691384456e-19,1.355717845658756e-44,1.2610519658749603e-27,3.74469238437286e-33,4.675768849551642e-38,1.4806506927138845e-62,3.8869466199333077e-88,8.768481208876975e-43,9.730256523910572e-31,2.2576657637523528e-59,1.491741389422956e-24,1.5407461919682425e-84,2.2168477729179912e-45,4.172505453223806e-71,7.65785775086571e-88,2.4846624346759514e-58,4.8990165052952673e-73,1.0274102276922037e-99,1.3649912195985635e-82,4.006351118974538e-64,5.790807349502664e-67,1.4660428288368824e-78,4.410255816271044e-84,1.7185948173314946e-84,2.7291818922585697e-94,3.292868195942311e-106,6.0650031352277554e-108
2.781202893878795e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999861,0.11866996602995168,0.022821567693054087,2.823832151390665e-95,1.3369040349721048e-43,3.853043683982574e-29,2.3564335025029843e-68,9.037128818968784e-44,3.943904377240944e-105,2.454632107467132e-16,1.0934849885110931e-85,2.4546321074650924e-16,3.069544121000091e-58,3.2377807945886403e-56,1.1750420047246748e-88,1.3624585227366067e-89,1.3878680289452487e-30,3.7269526078193714e-67,1.3405419799934522e-14,3.969106544146381e-16,1.5889664485836836e-18,1.1687256361456019e-30,4.327590971854699e-30,1.5889664383593107e-18,1.0849862986467781e-43,5.04583546742648e-27,2.9968818166687685e-32,3.928875518897225e-37,4.974150366897445e-61,5.2234336746576006e-86,7.017449917732827e-42,3.893370025807643e-30,7.228963721217931e-58,2.984131211191315e-24,2.0693595523996475e-82,1.774151960295107e-44,1.336004144825434e-69,1.0290933532361212e-85,3.977617832209074e-57,3.1373258341133017e-71,2.7606419083192373e-97,1.6058669157422363e-80,2.566305597930788e-62,9.267422186578416e-66,4.7115998981280546e-77,5.1885201375321565e-82,2.0218699767752243e-82,6.419727926605462e-92,1.5489084169471912e-103,2.852872907157308e-105
5.563009478422639e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999723,0.11866996602993803,0.02282156769305389,7.906396509472626e-93,1.0697263585387901e-42,1.5414683829526655e-28,1.6489978415764008e-66,7.231533971154233e-43,1.1034580607555845e-102,4.909797019821195e-16,7.001005436029943e-84,4.909797019813032e-16,4.912603203169089e-57,5.1819552752632325e-55,1.6440604133193113e-86,1.9062842953933585e-87,5.552375841277645e-30,2.2809471279864945e-65,2.6813749393587493e-14,7.939074626504689e-16,3.178277810044951e-18,4.675663543783933e-30,1.7313181799345593e-29,3.1782777691406818e-18,8.681538731324984e-43,2.0186507563310224e-26,2.3979444946407657e-31,3.4426941807343114e-36,1.7414762606698568e-59,7.313595348927058e-84,5.615026178489954e-41,1.557601524663499e-29,2.3139663665441486e-56,5.968912937206092e-24,2.8953450982390838e-80,1.419591118614457e-43,4.276497516328491e-68,1.4408857848902193e-83,6.365915372122135e-56,2.0085044606528945e-69,7.727111129493894e-95,1.9649765336783983e-78,1.643139855351151e-60,1.4829648468171139e-64,1.534625491182816e-75,6.348796233780951e-80,2.4740080356564697e-80,1.5708070010370712e-89,7.579247930573572e-101,1.3959915969554655e-102
1.1126622647510325e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994465,0.11866996602991071,0.022821567693053494,2.369790508770873e-90,8.558623574519568e-42,6.16637547161275e-28,1.235270542586947e-64,5.785959631442181e-42,3.304078630030619e-100,9.820126844533632e-16,4.481508155216514e-82,9.820126844500981e-16,7.861231361633039e-56,8.292333338563771e-54,2.4619798326399253e-84,2.8546599894887655e-85,2.2211310945482353e-29,1.4264013932577232e-63,5.3630408580802915e-14,1.5879010791220124e-15,6.356900563693339e-18,1.870417610653203e-29,6.925836314607613e-29,6.35690040006199e-18,6.945890234672804e-42,8.075164226444897e-26,1.9185116806292448e-30,3.2328477759402476e-35,6.528958000794208e-58,1.0963136462873894e-81,4.4924475440538295e-40,6.230913123295924e-29,7.405735035875469e-55,1.193848471914789e-23,4.33577813236383e-78,1.135780720158919e-42,1.368684697758552e-66,2.1598984362370597e-81,1.0186846262223633e-54,1.2856271913865058e-67,2.314943486576641e-92,2.4571795901957122e-76,1.0518180779676425e-58,2.3730616417839392e-63,5.31019993202085e-74,7.939095906321655e-78,3.0937183058084507e-78,3.928204290243957e-87,3.790601502755326e-98,6.981758644899732e-100
2.2253848985685696e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998894,0.11866996602985609,0.0228215676930527,7.83548986313286e-88,6.84722411492e-41,2.4666506484536292e-27,1.0207196795890224e-62,4.629060702776565e-41,1.0910554186962352e-97,1.9640786493975757e-15,2.868441944734047e-80,1.964078649384515e-15,1.257882321914296e-54,1.3268697011644057e-52,4.0661798300417506e-82,4.714726203579653e-83,8.88488590766418e-29,9.021873625516993e-62,1.0726372695487161e-13,3.175888312064629e-15,1.2714146193898558e-17,7.481974699408377e-29,2.7704472267076954e-28,1.2714145539338863e-17,5.556975649363397e-41,3.2301203501969655e-25,1.534840501882796e-29,3.3518966192805927e-34,2.7008904708724347e-56,1.812996260295604e-79,3.5941287776211224e-39,2.4924666257382867e-28,2.3699544989840123e-53,2.387766160268046e-23,7.160925162020149e-76,9.086676982928438e-42,4.3801196961848175e-65,3.5718661851530256e-79,1.6300059423947724e-53,8.228440151637494e-66,7.64928407116259e-90,3.1080058140094107e-74,6.732087496010679e-57,3.799688643056046e-62,2.3556421037759687e-72,1.0041907790943852e-75,3.913145087945078e-76,9.936864079967201e-85,1.9177122470047144e-95,3.53215834252806e-97
4.450830166203645e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679977895,0.11866996602974685,0.02282156769305111,2.9112791624770877e-85,5.477909646266163e-40,9.866804063158553e-27,9.477828827504356e-61,3.70336576153697e-40,4.048302585925658e-95,3.928210579292899e-15,1.835891399002107e-78,3.928210579240657e-15,2.0126799577056916e-53,2.1230685138097292e-51,7.546192497034243e-80,8.749792861357166e-81,3.5540266706668356e-28,5.739497855749217e-60,2.1453036370156045e-13,6.3518627779479765e-15,2.5428637945983027e-17,2.992850619947694e-28,1.108201413558985e-27,2.5428635327629665e-17,4.445685503264126e-40,1.2920130078176528e-24,1.227834820384403e-28,3.9063063869529226e-33,1.2556387212231922e-54,3.369222163556805e-77,2.875371469276714e-38,9.97006900244795e-28,7.583740939530724e-52,4.7756148648341507e-23,1.3289554424592676e-73,7.269513915692265e-41,1.4016907929528368e-63,6.637850167081741e-77,2.6080979408384527e-52,5.266128404939454e-64,2.8401671440181304e-87,3.954287701987454e-72,4.308404493112671e-55,6.115092124397757e-61,1.9661176718836893e-70,1.2776243663728085e-73,4.978665089238775e-74,2.528460713689212e-82,9.759222213704248e-93,1.7975127197704904e-94
8.901720701473793e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799558,0.11866996602952835,0.022821567693047936,1.2087539223577484e-82,4.382380257417403e-39,3.94676235634446e-26,9.834968914921768e-59,2.9627394843748014e-39,1.6789042285523845e-92,7.856474439111141e-15,1.1749988300497375e-76,7.85647443890217e-15,3.220342517720928e-52,3.396970881534564e-50,1.5652164882676172e-77,1.8148648958941442e-78,1.4216251302514407e-27,3.6619469212649135e-58,4.2906363718914394e-13,1.2703811709707133e-14,5.085762341717093e-17,1.1971523063173754e-27,4.432850558801937e-27,5.085761294315964e-17,3.556589750773315e-39,5.167613307186367e-24,9.821727647751616e-28,5.084357023287589e-32,6.522225717987714e-53,6.996436330996335e-75,2.300324792071846e-37,3.9880678956744074e-27,2.426584207174741e-50,9.551365585404718e-23,2.7564932249613945e-71,5.8156798029416126e-40,4.485493894633662e-62,1.37839513258342e-74,4.17302744502846e-51,3.3700304007792878e-62,1.178548488023089e-84,5.045745222357641e-70,2.7569834680302694e-53,1.0242421379405588e-59,3.133381786190542e-68,1.6302765057568033e-71,6.352885196691262e-72,6.452667286754414e-80,4.981104636935351e-90,9.174502351381423e-92
1.780350177201409e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679911614,0.11866996602909138,0.022821567693041583,5.4665838729986665e-80,3.5059258589988595e-38,1.5787134381650817e-25,1.1117344877672338e-56,2.3702103292267093e-38,7.5867335763471665e-90,1.5713002158858013e-14,7.5200831396867685e-75,1.5713002158022126e-14,5.152591666033651e-51,5.4352013452912496e-49,3.5372003319839186e-75,4.101375482257544e-76,5.686529447789906e-27,2.339647778879408e-56,8.581301841411343e-13,2.54077095731953e-14,1.0171560223019654e-16,4.788632623599214e-27,1.7731490912043716e-26,1.017155603300143e-16,2.8452873065394765e-38,2.0666629015606047e-23,7.855721205187714e-27,7.20137913515971e-31,3.689269366515646e-51,1.5823804429319948e-72,1.840271260138767e-36,1.595235052793086e-26,7.763482876094832e-49,1.910308027229927e-22,6.229341234725545e-69,4.6525708910551464e-39,1.4353709810586162e-60,3.117495592911641e-72,6.676900478769204e-50,2.15638273594328e-60,5.327833293199152e-82,6.447433955316931e-68,1.7638908128893363e-51,2.226311839375716e-58,6.645027368172765e-66,2.0831709714236762e-69,8.117731335075643e-70,1.6490375452341301e-77,2.5459247565021956e-87,4.689241364985154e-89
3.560706391309469e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767982324,0.11866996602821743,0.02282156769302888,2.6132314847280484e-77,2.8047503672739903e-37,6.314873537218304e-25,1.3284606047237548e-54,1.8961757465418587e-37,3.6249803567313477e-87,3.142605759879329e-14,4.812882152875515e-73,3.142605759544974e-14,8.244181476682858e-50,8.696357066232558e-48,8.451479133399211e-73,9.799469659160861e-74,2.2746175666344658e-26,1.4956192419919652e-54,1.7162632779524076e-12,5.0815505300050995e-14,2.0343159135942715e-16,1.9154571543523697e-26,7.092613194067149e-26,2.0343142372691223e-16,2.276234394093569e-37,8.263530814046332e-23,6.281865004697724e-26,1.0772163607389164e-29,2.205298237589454e-49,3.782637228414834e-70,1.472222185949833e-35,6.380954684641027e-26,2.483263748035908e-47,3.8207362629102e-22,1.4883843215225184e-66,3.722066860941879e-38,4.593205259011733e-59,7.452222756862147e-70,1.0683085937916215e-48,1.379505981863503e-58,2.5462811030079383e-79,8.242927320295957e-66,1.128126778566297e-49,1.1080659268531136e-56,1.5580346630951143e-63,2.6633215622338264e-67,1.0378471723387825e-67,4.2165605682523857e-75,1.3019747153884587e-84,2.398059293505033e-86
