Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),CO2X(24),acetyl(44),C2H6X(52),C2H4X(215),CH4OX(63),C2H4X(70),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.106167949390087e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-1.9163979676639518e-119,5.852212541467355e-54,3.772711919275466e-36,5.241707282506885e-88,2.5737247431669194e-54,2.264411972201689e-131,6.271756745260255e-20,-1.3417613958603933e-105,6.271756745260253e-20,4.1872705360126316e-72,2.667851337351607e-71,1.3254515362661254e-111,1.5368580326492617e-112,1.3589325006584988e-37,2.2155183030131484e-85,3.4251785348053283e-18,1.0141344874121237e-19,4.0599204172327846e-22,1.1443589938721842e-37,4.237365451411085e-37,4.059920417145674e-22,4.352540425180405e-33,1.0181395397472674e-40,1.0640435232348218e-44,1.7061902897703661e-75,4.749458751037013e-54,3.071844157586373e-52,3.812197541577014e-37,5.156388044149752e-77,2.3342449008609255e-105,7.624660450979385e-28,-1.5605008141707566e-107,-6.964395010766071e-107,-2.3959124341055678e-123,5.426005065982588e-71,1.1254665123858645e-93,5.448546375421969e-88,4.835733145141121e-102,-2.621147929640474e-144,-4.378807079925429e-146,-2.130739054232118e-211
1.9897270258292246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.471853637527858e-117,6.947746729252278e-53,2.2787180054478476e-35,5.792260878523702e-86,3.889412807274484e-53,8.17069528561718e-129,1.756091888672872e-19,2.5902903537190155e-104,1.756091888672871e-19,1.180877280280225e-70,8.388151467078075e-70,2.6496569695679295e-109,3.0722712117499106e-110,8.207952303977341e-37,1.1468876939184624e-83,9.590499897454917e-18,2.839576564753946e-19,1.1367777168393056e-21,6.911928322823519e-37,2.5593687326493557e-36,1.1367777167866903e-21,2.6289343573976575e-32,1.2087352359342818e-39,1.2632388281603779e-43,1.0379639514659439e-73,5.638557429086063e-53,3.646893392981315e-51,2.302567315108248e-36,3.136882413714205e-75,4.666295297112567e-103,2.134904926714522e-27,1.5792752656250821e-105,7.048183938477345e-105,4.423946595814116e-121,1.5302202353531316e-69,1.243671803527437e-91,3.138083748954472e-86,4.554245226499914e-100,8.641907528884026e-142,1.4235417245207286e-143,3.964735094558675e-208
4.547947487609656e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.4656328775477167e-114,6.821338938403261e-52,1.0971046354335035e-34,5.240457778894329e-84,4.1840528123077e-52,2.958445153233358e-126,4.013924316966564e-19,2.735073060014832e-102,4.0139243169665603e-19,2.568666018926818e-69,1.871350449168935e-68,4.796984653432972e-107,5.562092762648914e-108,3.9517757119149255e-36,5.008391182242199e-82,2.1921142622754077e-17,6.490460719437593e-19,2.5983490671278614e-21,3.327795953933598e-36,1.2322258732659328e-35,2.5983490668745406e-21,1.2657186665255043e-31,1.186743368003028e-38,1.2402688385472207e-42,4.68591556310034e-72,5.53596911975899e-52,3.5805415782764677e-50,1.1085870450841921e-35,1.4161386037455424e-73,8.44794144511852e-101,4.879782691708862e-27,3.3072802725999736e-103,1.4760137263993224e-102,1.8440460703466954e-118,3.3285632517998556e-68,1.1251806819025332e-89,1.4072484666554915e-84,3.98093199707999e-98,7.381515259649312e-139,1.2070085399764522e-140,3.498849906869437e-203
9.664388411170519e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.714307068001243e-112,6.033397041895891e-51,4.791344233664543e-34,3.9661420408617935e-82,3.8458653831889426e-51,8.970695584269793e-124,8.529589173553949e-19,2.1618473074983683e-100,8.529589173553932e-19,4.7618738953173495e-68,3.5048322848430856e-67,7.268878455157318e-105,8.42824798678587e-106,1.7258442758363042e-35,1.864967203476129e-80,4.658242807335231e-17,1.3792229028804885e-18,5.521491767930982e-21,1.453335921962735e-35,5.381454123246499e-35,5.521491766824662e-21,5.527725419103968e-31,1.0496609728924438e-37,1.0970276972263755e-41,1.769350586743426e-70,4.8965019930246333e-51,3.166948511912201e-49,4.841490877736636e-35,5.347069429978151e-72,1.2801179073294302e-98,1.0369538228742246e-26,5.315099336805876e-101,2.3720879188221444e-100,5.935645129521458e-116,6.17059529766474e-67,8.515536271140721e-88,5.2944204449224494e-83,2.9706396664394617e-96,4.768722662680018e-136,7.767761519466712e-138,1.0198315546739898e-198
1.9897270258292245e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.34860268777739e-109,5.071433753297478e-50,2.0002919461660675e-33,2.7554929007758216e-80,3.2902188046844083e-50,2.4952041561844384e-121,1.7560918886728717e-18,1.532240811074646e-98,1.756091888672865e-18,8.184444561949791e-67,6.053726181531159e-66,1.0106198529428694e-102,1.1718114140291301e-103,7.205060118491454e-35,6.428325578397708e-79,9.590499897454848e-17,2.8395765647539465e-18,1.136777717044125e-20,6.067391383215862e-35,2.2466511622971353e-34,1.1367777165822588e-20,2.307716104643168e-30,8.823031319168886e-37,9.22158179483384e-41,6.138963163245961e-69,4.1158049605950844e-50,2.6620111048761422e-48,2.021227136484576e-34,1.8551464449928278e-70,1.7797966759500914e-96,2.134904933098781e-26,7.5993947598388e-99,3.391551382232466e-98,1.6987009247157708e-113,1.060567672269625e-65,5.915949052808392e-86,1.8332897068182848e-81,2.050152829888206e-94,2.7339974394456108e-133,4.445046564558442e-135,2.2027531203171803e-194
4.03630339525357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.646991883088366e-107,4.1578677943059414e-49,8.171845658554446e-33,1.8366810934613638e-78,2.7204165343042614e-49,6.655820941246034e-119,3.562357831307826e-18,1.031127823204948e-96,3.562357831307797e-18,1.3565116642642386e-65,1.0058356590745091e-64,1.347678699217656e-100,1.5626303773651948e-101,2.9435021537264127e-34,2.1354715613566364e-77,1.9455014077693961e-16,5.760283888500861e-18,2.3060347979077912e-20,2.478727353144259e-34,9.17830306202714e-34,2.3060347960209167e-20,9.427769645492932e-30,7.233651473772974e-36,7.561070769373812e-40,2.044706927055636e-67,3.374385571649491e-49,2.1824776302571826e-47,8.257372362453222e-34,6.178409974121443e-69,2.3733890266130302e-94,4.3308071648194144e-26,1.0273340313419855e-96,4.584912700292796e-96,4.594731003901945e-111,1.7578131384319022e-64,3.942953569337716e-84,6.099470328944471e-80,1.3628746990398076e-92,1.480218166471124e-130,2.4043695495352094e-132,4.132160850202049e-190
8.12945613410226e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,9.595204248484348e-105,3.367149140205472e-48,3.3031909783889374e-32,1.1996278217614975e-76,2.212197546160479e-48,1.739306677765682e-116,7.174889716577736e-18,6.765606802028792e-95,7.174889716577618e-18,2.2087275925507653e-64,1.639765983777167e-63,1.7607471119082437e-98,2.041582259545369e-99,1.1898106330866109e-33,6.972099981513326e-76,3.9184042438171695e-16,1.160169853599468e-17,4.644548961081574e-20,1.0019412267688182e-33,3.710016845966368e-33,4.6445489534545223e-20,3.810852292088283e-29,5.857994189184267e-35,6.124221546085192e-39,6.675412193344645e-66,2.732664920332865e-48,1.7674271226663082e-46,3.3377619327178816e-33,2.016734454932255e-67,3.1008413772844914e-92,8.72261167334676e-26,1.3513137802795634e-94,6.0308093837035e-94,1.208998094739644e-108,2.8621430126175026e-63,2.5748978414239204e-82,1.9899554169913477e-78,8.901714373764094e-91,7.792875832764887e-128,1.2652410412911064e-129,7.239585600487121e-186
1.631576161179964e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,2.4907204611115795e-102,2.710174563994526e-47,1.3281988110396056e-31,7.7578523891983e-75,1.7842174633362847e-47,4.499681173231392e-114,1.4399953487117557e-17,4.384012521110494e-93,1.4399953487117092e-17,3.5648952392813694e-63,2.6482264427818486e-62,2.2774859132807016e-96,2.6407397208550903e-97,4.7841762258687844e-33,2.2602749687300913e-74,7.864209915912519e-16,2.3284527830982297e-17,9.321577293214962e-20,4.02876159932534e-33,1.4917814563993392e-32,9.321577262546897e-20,1.532324585040717e-28,4.715016404220929e-34,4.931029408219864e-38,2.158120049117945e-64,2.1994864604266075e-47,1.4225793575124644e-45,1.342099392965913e-32,6.517727808537594e-66,4.0108670390892505e-90,1.7506220870745773e-25,1.7537775563072278e-92,7.826974244285844e-92,3.1384774187738985e-106,4.619510361649792e-62,1.664585687283823e-80,6.4295489488356415e-77,5.772319157701246e-89,4.0467787023366613e-125,6.568793786212984e-127,1.226509121241227e-181
3.26883725671944e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996373,0.022821567693054264,6.423887017062461e-100,2.1747444077402284e-46,5.326673261583549e-31,4.99341897051711e-73,1.4331804964567478e-46,1.158570109694023e-111,2.88500810281972e-17,2.8231813398437227e-91,2.885008102819535e-17,5.728690947283688e-62,4.256946658953271e-61,2.9319614016496203e-94,3.399602556396409e-95,1.9186686440851428e-32,7.323479231724708e-73,1.575582126010244e-15,4.6650186420957425e-17,1.8675633980625154e-19,1.615713586853579e-32,5.982710854787913e-32,1.8675633857632306e-19,6.145287998679828e-28,3.78349256403037e-33,3.95960592530368e-37,6.944964101322646e-63,1.76494935936248e-46,1.141530739095227e-44,5.382418833057258e-32,2.095997499555838e-64,5.163459969019475e-88,3.5073439986921074e-25,2.261551915730441e-90,1.0093132147041244e-89,8.094729645661554e-104,7.423429137049102e-61,1.0706934467311719e-78,2.0673820137953388e-75,3.7405975740218382e-87,2.0876967572553428e-122,3.3884001047940684e-124,2.043858296335361e-177
