Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2X(348),C4H7X(141),C4H6(54),C2H2(37),C4H7X(140),C6H9X(432),C6H8(482),C6H9X(431),C6H8(56)
1.1419028909118359e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770079,0.66999999999999338,9.5216869554314246e-65,0.0,2.3730780240107551e-35,9.6604432929126207e-65,3.6423909770053096e-85,0.0,0.0,2.0664775112135223e-107,0.0,6.7708795469063662e-15,6.7708795469063662e-15,2.1770874348214745e-31,2.3730766849781352e-35,1.3390332925004856e-41,1.0874977594562173e-35,1.4612409862247156e-50,2.6445224226216055e-76,6.2037665116283216e-84,2.6445224845839015e-76,7.5368918377398057e-87
2.2840536444003837e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583768724,0.66999999999998661,1.5239119798490414e-63,0.0,9.4938573516489351e-35,3.8648063674526532e-64,1.1660209315020304e-83,0.0,0.0,1.3231262079143909e-105,0.0,1.3543228787657398e-14,1.3543228787657396e-14,8.7097673734867589e-31,9.4938466373591605e-35,1.0714295156849511e-40,4.3506991738385667e-35,1.1692141867839577e-49,8.4650771396647083e-75,3.9716527241352123e-82,8.4650775363474687e-75,4.8251199716515077e-85
4.5683551513774795e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583766015,0.66999999999997306,2.438610881580397e-62,0.0,3.7978520137887508e-34,1.5460483659972282e-63,3.7319937144674929e-82,0.0,0.0,8.4698600162635057e-104,0.0,2.70879272691565e-14,2.708792726915649e-14,3.4841904964264915e-30,3.7978434415520894e-34,8.5722409663904712e-40,1.7404213068243844e-34,9.3545917894746195e-49,2.7092394214078863e-73,2.5422532591968845e-80,2.7092396753243563e-73,3.0885574334610153e-83
9.136958165331672e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583760598,0.66999999999994597,3.9020524118647229e-61,0.0,1.5192026223407668e-33,6.1844451109709837e-63,1.1943525323572131e-80,0.0,0.0,5.4212954100306533e-102,0.0,5.4177324232142874e-14,5.4177324232142849e-14,1.3937329099957319e-29,1.5191957642403206e-33,6.8581038904748997e-39,6.9619685119605304e-34,7.4840129432558003e-48,8.6702156958075621e-72,1.627166039000897e-78,8.6702173209967727e-72,1.9768275305987885e-81
1.8274164193240055e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583749762,0.66999999999989179,6.2434834120837818e-60,0.0,6.0769341252020854e-33,2.4738283746726541e-62,3.8221002104060676e-79,0.0,0.0,3.4698062830026538e-100,0.0,1.0835611815806831e-13,1.083561181580682e-13,5.5750450648489066e-29,6.0768792593273961e-33,5.4865902247024449e-38,2.7848440627244056e-33,5.987327242596981e-47,2.774563935772847e-70,1.0414225731613019e-76,2.7745649759302067e-70,1.2652139653392767e-79
3.654857624905682e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258372809,0.66999999999978344,9.9896676432600001e-59,0.0,2.4307983774587289e-32,9.8954141600899692e-62,1.2230924547178431e-77,0.0,0.0,2.220719945150645e-98,0.0,2.1671370600972994e-13,2.1671370600972949e-13,2.2300407111118722e-28,2.4307544846079273e-32,4.3892872848222256e-37,1.1139489567778302e-32,4.7898782777085808e-46,8.8786987362530699e-69,6.6651776664034474e-75,8.8787053933332732e-69,8.0974613176615136e-78
7.309740036069036e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583684747,0.66999999999956672,1.5983334104661188e-57,0.0,9.7232429647307394e-32,3.9581857963533271e-61,3.9138827136650547e-76,0.0,0.0,1.4212584521179545e-96,0.0,4.3342888171229603e-13,4.3342888171229426e-13,8.9202082149715709e-28,9.7228918257584766e-32,3.5113914863849775e-36,4.4558184905816432e-32,3.8318607814335792e-45,2.8411617168432799e-67,4.2656821032676852e-73,2.8411659773430427e-67,5.1823407038586725e-76
1.4619504858395742e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583598061,0.66999999999913329,2.5572556993137241e-56,0.0,3.8893070768294166e-31,1.5832783449720545e-60,1.2524110797689998e-74,0.0,0.0,9.0958371842350931e-95,0.0,8.6685923311439963e-13,8.6685923311439277e-13,3.5680923600956671e-27,3.8890261742862402e-31,2.8090268427825823e-35,1.7823319289314663e-31,3.0653943983674093e-44,9.0914460743187231e-66,2.7299560023803185e-71,9.0914733407126952e-66,3.3166051328864794e-74
2.9239034503049153e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583424689,0.66999999999826643,4.0913324497926008e-55,0.0,1.5557248088701503e-30,6.3331214324249952e-60,4.0074778231242008e-73,0.0,0.0,5.8209982446386855e-93,0.0,1.7337199359064937e-12,1.7337199359064654e-12,1.4272387588473186e-26,1.5555001016497264e-30,2.2470733330486294e-34,7.1293367810908347e-31,2.4521538573152251e-43,2.9090680290079907e-64,1.7470559263780051e-69,2.9090854783423269e-64,2.12249277598425e-72
5.847809379235598e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583077944,0.6699999999965327,6.545224461507135e-54,0.0,6.2229031913496358e-30,2.5332501832113447e-59,1.2822349653783437e-71,0.0,0.0,3.7249877116331279e-91,0.0,3.4674413414422281e-12,3.4674413414421138e-12,5.7089586648943977e-26,6.2211057745654641e-30,1.7974176872176095e-33,2.8517365254761494e-30,1.9614601135051352e-42,9.3077381280579798e-63,1.1179633454392857e-67,9.3078497885706985e-63,1.3582182514087735e-70
