Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2X(348),C4H7X(141),C4H6(54),C2H2(37),C4H7X(140),C6H9X(432),C6H8(482),C6H9X(431),C6H8(56)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.098282208899056e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.5242390810530132e-81,0.0,2.6202319821819132e-42,1.0666569898425975e-71,4.0005803117323305e-108,0.0,0.0,9.352184254199911e-134,0.0,1.8371173070617691e-18,1.8371173070617691e-18,7.6369259243840841e-36,2.6202319821809497e-42,9.6371198944509199e-55,1.2614407062090755e-45,7.6596504536602871e-61,2.7142059181923451e-96,8.5036721765274414e-110,2.7142059181924299e-96,4.3400120603969011e-113
8.675190184917356e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,4.7924520502025269e-80,0.0,1.5826201172378756e-41,6.4426082186492883e-71,1.9111254216922113e-106,0.0,0.0,7.2165651090537116e-132,0.0,5.1439284597729541e-18,5.1439284597729541e-18,4.6127032583279869e-35,1.5826201172367311e-41,1.1441188738724142e-53,7.6191018655028138e-45,9.0935370185825332e-60,1.6511840888340494e-94,9.3967954872939117e-108,1.6511840888341433e-94,4.7958346579387535e-111
1.982900613695396e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.0691696926654001e-78,0.0,7.6196346041850029e-41,3.1018385264622715e-70,9.9511904708111955e-105,0.0,0.0,7.8649656794475189e-130,0.0,1.1757550765195321e-17,1.1757550765195321e-17,2.2208180588108912e-34,7.6196346041737682e-41,1.1233026949011192e-52,3.6682695736559911e-44,8.9280885687772575e-59,7.4542342724325676e-93,8.5015140057365782e-106,7.4542342724334192e-93,4.338910596574768e-109
4.213663804102716e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.002436507348894e-77,0.0,3.32769461737103e-40,1.3546543771000967e-69,3.9712588888689548e-103,0.0,0.0,6.4340302630371883e-128,0.0,2.4984795376040059e-17,2.4984795376040059e-17,9.6988959239677862e-34,3.3276946173610944e-40,9.9354851264099929e-52,1.6020296968855255e-43,7.8967932316863574e-58,2.8145770274687456e-91,6.4340739722059588e-104,2.8145770274693893e-91,3.2837529548638067e-107
8.675190184917357e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,3.4587110956712298e-76,0.0,1.3892469969528502e-39,5.6554153601454305e-69,1.4114476084643411e-101,0.0,0.0,4.6306183088187509e-126,0.0,5.143928459772953e-17,5.1439284597729518e-17,4.0490981251084398e-33,1.3892469969444986e-39,8.3513739066143187e-51,6.6881586243205158e-43,6.6377305286998143e-57,9.7650752109665108e-90,4.469907644426051e-102,9.7650752109709773e-90,2.2813030280289479e-105
1.7598242946546637e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771411,0.67000000000000004,5.7467002148264851e-75,0.0,5.675527282685307e-39,2.3104217062786411e-68,4.7541442710358186e-100,0.0,0.0,3.1387838705745251e-124,0.0,1.0434826304110842e-16,1.0434826304110838e-16,1.6541887029252876e-32,5.6755272826168356e-39,6.8469608973636058e-50,2.7323310272771031e-42,5.4420125221842311e-56,3.2521777535678764e-88,2.9791745146349933e-100,3.2521777535708538e-88,1.5204788067023354e-103
3.54443484698052e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771389,0.66999999999999993,9.3685717423018594e-74,0.0,2.2941388715354055e-38,9.3390939414269119e-68,1.560357752672845e-98,0.0,0.0,2.0667162438168725e-122,0.0,2.1016621992786603e-16,2.101662199278659e-16,6.6864952192426125e-32,2.2941388714799566e-38,5.5448464540718949e-49,1.1044518874399413e-41,4.4070828341176536e-55,1.0615649848345608e-86,1.9455150604680943e-98,1.0615649848365055e-86,9.9293089512987639e-102
7.113655951632232e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771345,0.66999999999999971,1.5130268388187546e-72,0.0,9.2246315025506791e-38,3.7552085990203331e-67,5.056432089826561e-97,0.0,0.0,1.3415231762638736e-120,0.0,4.2180213370138066e-16,4.2180213370138007e-16,2.688610319383095e-31,9.2246315021043713e-38,4.4629748168755776e-48,4.4409524638372779e-41,3.5472036723590794e-54,3.4307945951484256e-85,1.2577124951665768e-96,3.4307945951609967e-85,6.4189767482117617e-100
1.4252098160935656e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771261,0.66999999999999926,2.432146453640198e-71,0.0,3.6994898142507221e-37,1.5060066040167235e-66,1.6282517005324864e-95,0.0,0.0,8.6464693054066185e-119,0.0,8.4507396124840741e-16,8.4507396124840524e-16,1.078252989108219e-30,3.6994898138925887e-37,3.5812562220444498e-47,1.7810205644523404e-40,2.846407551855297e-53,1.1032921264938886e-83,8.0898713490113419e-95,1.1032921265019744e-83,4.1288208779892471e-98
