Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24),CHOX(53),H2OX(23)
6.649310165217264e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,1.7960036336850602e-95,1.2997706991496636e-54,5.5343463067901416e-34,3.4694983984294993e-73,2.0405634135864938e-53,3.6023823879656121e-117,6.7613944649630201e-22,1.3326524004753939e-106,6.7613944649623768e-22,3.2592703645027944e-73,8.880777063316153e-65,3.4861835879628196e-98,2.106513388708099e-99,5.2684080364337523e-48,1.0029887409091071e-85,2.6814725642086117e-15,1.2892758379774161e-16,4.969565236787965e-20,4.9695661290850197e-20,4.4540797396807401e-27,4.9487999215717154e-30,5.5043170383502505e-34,3.6496268927200835e-32,7.7473512885174086e-59,1.8840881076600232e-47,4.3613692536229262e-86,1.0742676470246671e-88,7.0211646295372942e-46
1.3304397315808305e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,4.6136225423703608e-93,2.0813253944342368e-53,4.4079696910180388e-33,2.2272191634610158e-71,1.6341054304662592e-52,9.2501374450379433e-115,1.3528663295230374e-21,8.5421562598047443e-105,1.3528663295227801e-21,5.2204960401811036e-72,1.422576953771465e-63,4.4758736351558437e-96,2.7045298839464864e-97,4.2179273387101356e-47,3.2131658306075663e-84,5.3652748178718675e-15,2.5796718113483488e-16,9.943447187637555e-20,9.9434507611280315e-20,1.7808151678411595e-26,3.9579458846097742e-29,4.4148280651988134e-33,1.4608009450772007e-31,2.4866632960208848e-57,3.0006426784583637e-46,5.6017836139858032e-84,1.3798476309387121e-86,5.6211975138093678e-45
2.6614571616990387e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,1.1862150040211393e-90,3.3314722371762865e-52,3.513124787242403e-32,1.4313639672484366e-69,1.3079462232253762e-51,2.3778799318058526e-112,2.7063200955765921e-21,5.4712003939881527e-103,2.7063200955755629e-21,8.3573250071665339e-71,2.2774437259744106e-62,5.7529570416919103e-94,3.4762027177684555e-95,3.3756197707477217e-46,1.0287894724082213e-82,1.0732879325193391e-14,5.1604637580901121e-16,1.9891208410454819e-19,1.989122272484245e-19,7.1098042331028402e-26,3.1610117988458654e-28,3.5460146409486646e-32,5.8450991014115191e-31,7.9906457405194455e-56,4.7827305294587545e-45,7.20143749496484e-82,1.7740028420485703e-84,4.4986610320996381e-44
5.323492021935455e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,3.0590189572972457e-88,5.3314278850402283e-51,2.7965525261360853e-31,9.2278791217477788e-68,1.0466212756112658e-50,6.1317784402785377e-110,5.4132276276840383e-21,3.5029177164909522e-101,5.4132276276799209e-21,1.3375339697985333e-69,3.6449592168659549e-61,7.4175814032615754e-92,4.4820456618130206e-93,2.7010022668889478e-45,3.2930472881481069e-81,2.1468088339816482e-14,1.0322047651573227e-15,3.9786720140567445e-19,3.9786777532848639e-19,2.8318397045881588e-25,2.5188738436437422e-27,2.8577284736497048e-31,2.3384142814153304e-30,2.5758776687138743e-54,7.6149461954157589e-44,9.2856650427047896e-80,2.2877506519651244e-82,3.5996037269720255e-43
1.0647561742408289e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,7.9391048548636399e-86,8.531112969865396e-50,2.2180212909670755e-30,5.9880926432623198e-66,8.3740192149620282e-50,1.5914807896733578e-107,1.0827042691900277e-20,2.242297128680688e-99,1.0827042691883808e-20,2.1403419130869226e-68,5.8327500610203437e-60,9.6262458633111388e-90,5.8166226364481629e-91,2.1609967046980366e-44,1.0539215152062319e-79,4.2938506368982849e-14,2.0645215438537819e-15,7.9577700738751241e-19,7.9577931317624265e-19,1.1229142977760082e-24,1.9988211247275351e-26,2.3186207726412006e-30,9.3543706412149697e-30,8.358461929006782e-53,1.20820708135923e-42,1.2049891556666034e-77,2.9696117254387871e-80,2.8799426463092916e-42
2.1295701183353955e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,2.0857761578892332e-83,1.3650348763427904e-48,1.7454971397182559e-29,3.9343782925002129e-64,6.6996217099715762e-49,4.1820513922155801e-105,2.1654672820338145e-20,1.4352049768274547e-97,2.1654672820272266e-20,3.4247705510735803e-67,9.3329748727751794e-59,1.2648326066024087e-87,7.6427025913693069e-89,1.7288629869111982e-43,3.3727767065617796e-78,8.5879342426996336e-14,4.1291551012460408e-15,1.5915949048732271e-18,1.5916042057781222e-18,4.4144410240650311e-24,1.5733963317150182e-25,1.9053354351018013e-29,3.7418623092076159e-29,2.7464264935297102e-51,1.9025920055043918e-41,1.5829591409480302e-75,3.9032550634252212e-78,2.3040414690579193e-41
4.2591980065245286e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,5.599263934620248e-81,2.1840709370826638e-47,1.3526567959479055e-28,2.6424420737152605e-62,5.3598386414309902e-48,1.1232483592872647e-102,4.3309933077235426e-20,9.1857082884490474e-96,4.3309933076971923e-20,5.4797906388674225e-66,1.4932971545782909e-57,1.6987142560270074e-85,1.0264414306497007e-86,1.3830968983137112e-42,1.0793209261566343e-76,1.7176101454174625e-13,8.2584222160279254e-15,3.183223841962326e-18,3.1832616363494411e-18,1.7067930698356953e-23,1.2194350592497375e-24,1.6012118983020757e-28,1.4967448108858973e-28,9.2259942847258106e-50,2.9517934353535072e-40,2.1248993107138428e-73,5.2453332719484112e-76,1.8432416865138026e-40
8.518453782902795e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,1.5544847443423442e-78,3.4944286294074482e-46,1.0182980744600958e-27,1.8368718484830454e-60,4.2878933969101429e-47,3.1221572765951517e-100,8.6620453591116205e-20,5.878935375940801e-94,8.6620453590062168e-20,8.7677238983489199e-65,2.3892130036473244e-56,2.3610975426254724e-83,1.4266835074272696e-84,1.1064485334578126e-41,3.4538526699051663e-75,3.4352435876613784e-13,1.651695644558117e-14,6.3664542848479956e-18,6.3666097664544259e-18,6.3968615091043965e-23,9.1804788536873783e-24,1.3934903617688088e-27,5.9867956396553223e-28,3.2083263394920183e-48,4.453018940222584e-39,2.9499695680090127e-71,7.297817128651818e-74,1.4745544675534232e-39
1.7036965335659327e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,4.4999143726740451e-76,5.5907076194324814e-45,7.2831870264165365e-27,1.3336357494617171e-58,3.4302692699606344e-46,9.0634442035724438e-98,1.732414946192226e-19,3.762487571175739e-92,1.732414946150064e-19,1.4028189881593295e-63,3.8224368543493868e-55,3.4274317884322484e-81,2.0710103584295103e-82,8.850966847072658e-41,1.1052202619162451e-73,6.870510471944883e-13,3.3034024904645548e-14,1.2732805447339159e-17,1.2733456317928917e-17,2.2692679284690486e-22,6.5661093144886661e-23,1.2670353029599278e-26,2.3945348516428056e-27,1.1654041410751835e-46,6.3929363164888551e-38,4.2704104978941508e-69,1.060906234347411e-71,1.1795603719249293e-38
3.4073988441172392e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,1.3466468534309086e-73,8.943836959193395e-44,4.8004365830215483e-26,1.004377310589949e-56,2.7441101352966948e-45,2.7295520321217194e-95,3.4648357667681464e-19,2.4079087209397356e-90,3.4648357665994995e-19,2.2444279695537576e-62,6.1148432304437858e-54,5.1611982541754147e-79,3.1186272513251767e-80,7.0797160803612976e-40,3.5365777800632483e-72,1.3741044239694581e-12,6.6068161822605875e-14,2.546506889432599e-17,2.5467842543294154e-17,7.375114201382694e-22,4.3275127084491328e-22,1.1945823248317917e-25,9.5765994432620765e-27,4.3906035942986482e-45,8.4796090716352654e-37,6.390550941468776e-67,1.6004935217745637e-69,9.4350680544334059e-38
6.814803465219852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,4.0339395684209339e-71,1.4305927981042893e-42,2.830764293911743e-25,7.622470791792785e-55,2.1951066472362671e-44,8.2870148627931518e-93,6.9296774079751522e-19,1.5409409971651863e-88,6.9296774073005741e-19,3.5907982259830934e-61,9.7803057108127493e-53,7.8335326113583765e-77,4.7333599924482315e-78,5.6620559938871534e-39,1.1316161444869254e-70,2.7482111771924732e-12,1.3213643565785282e-13,5.0927840397344576e-17,5.0939756238598627e-17,2.1287388349026546e-21,2.5514777148620607e-21,1.1335885904478783e-24,3.8293937613006217e-26,1.6662412027964782e-43,1.0094655282162522e-35,9.5716189509262322e-65,2.4338498758698837e-67,7.5457579887441355e-37
1.3629612707425078e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,1.1609062994689819e-68,2.2875966265308605e-41,1.4769468074871245e-24,5.6300127101429485e-53,1.7557898200610098e-43,2.4499305796633597e-90,1.3859360690609786e-18,9.860434567539117e-87,1.3859360687911548e-18,5.7443421728975103e-60,1.5637426766973628e-51,1.1573958129635963e-74,6.9934534424365744e-76,4.5268893937944261e-38,3.6205918943477354e-69,5.4964246823308054e-12,2.6427298332565167e-13,1.0184636280752778e-16,1.0189713629648916e-16,5.4056753397858669e-21,1.3307807799672394e-20,1.0454190828247104e-23,1.5307586826891816e-25,6.1512295458404371e-42,1.0658361930039418e-34,1.3770943280460083e-62,3.6016725407992749e-65,6.0329218874819402e-36
2.725923119183553e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,3.1196865179743225e-66,3.6558318452599985e-40,6.9342310895699981e-24,3.9784349104250317e-51,1.4041571615236401e-42,6.9333977481920907e-88,2.7718727256760676e-18,6.3086322330533588e-85,2.7718727245969101e-18,9.187942058239716e-59,2.4983296334487953e-50,1.6362605729973919e-72,9.8868522200198478e-74,3.6171059246750826e-37,1.1582165936234896e-67,1.0992851687376673e-11,5.2854607865047028e-13,2.036553329866064e-16,2.0386770768301466e-16,1.2354922324854229e-20,6.2436883659473376e-20,9.2168712318892574e-23,6.1150529105089983e-25,2.1720266740365375e-40,1.0126105222762239e-33,1.8498651980720788e-60,5.0992236746988735e-63,4.8204473555729628e-35
5.451846816065644e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,7.7099281535493432e-64,5.8355426407842829e-39,3.0276694578530206e-23,2.7000612722649541e-49,1.1225659269475062e-41,1.8858945981945567e-85,5.5437460392585334e-18,4.0349031614272122e-83,5.5437460349427847e-18,1.4691085038329936e-57,3.9858403786112298e-49,2.2216713525033303e-70,1.3423846736107707e-71,2.8866585516943159e-36,3.7039057223992081e-66,2.1985705676545238e-11,1.0570922692569951e-12,4.071610366800318e-16,4.0803365610800457e-16,2.6422896994928032e-20,2.7223819630050147e-19,7.8050724841059074e-22,2.4396578047949314e-24,7.3661319133202714e-39,8.9245186214304382e-33,2.2851132221566741e-58,6.9274456091538496e-61,3.8469647202787952e-34
1.0903694209829825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,1.7250904433461448e-61,9.2930476232796684e-38,1.2669232379991673e-22,1.7809372184981544e-47,8.9683848290424636e-41,4.9924286660764438e-83,1.1087492667829263e-17,2.5789858408098142e-81,1.1087492650573155e-17,2.3474979319283772e-56,6.3408702806875011e-48,2.9315353635867677e-68,1.7712320769557849e-69,2.2981629384987356e-35,1.1837235799243952e-64,4.3971413571189661e-11,2.1141846502976296e-12,8.1372399206887214e-16,8.1726662333064646e-16,5.4569669507475957e-20,1.1360159116744408e-18,6.4268145999264041e-21,9.7080912157957001e-24,2.4282675801514206e-37,7.5139012477942754e-32,2.5553758657344071e-56,9.1498563573023571e-59,3.0626473433357691e-33
1.6355541603594006e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756313086916,0.11866996596400697,0.022821567691468647,1.2627452021746675e-60,3.412742097046938e-37,2.7278822574788764e-22,1.00279626571262e-46,2.6604417268667235e-40,3.779009929824308e-82,1.6631239297777855e-17,1.4636314891548949e-80,1.6631239261142144e-17,8.8754667901557436e-56,2.4114031643012788e-47,1.9313329117312153e-67,1.1668961826657197e-68,6.5530708914020357e-35,5.5191311905512186e-64,6.5957121382141387e-11,3.171277031165894e-12,1.2198389895763331e-15,1.2274018687711462e-15,8.2687899486416805e-20,2.441356797559229e-18,1.849991471189607e-20,2.0555906361772867e-23,1.14177356491059e-36,2.1770908711511083e-31,1.6222165915195812e-55,6.0773879691289456e-58,8.732874934561277e-33
2.7259236391122367e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756308478192,0.11866996592003473,0.022821567690411555,9.2965771335704455e-59,2.6048402306665321e-36,7.6326475897541471e-22,2.5252924773297372e-45,1.2429428170323154e-39,2.9384784626917846e-80,2.7718732563307389e-17,3.9244228920707271e-79,2.7718732462050802e-17,6.9872044048596986e-55,1.9611391601759105e-46,8.4446570677759064e-66,5.101682746363923e-67,2.9865253278074254e-34,7.3780057336842276e-63,1.0992853666927401e-10,5.2854617922131158e-12,2.0302810972871816e-15,2.0512906502348914e-15,1.3880087159060361e-19,6.7973041783336345e-18,8.5405492387580357e-20,5.6311797343592433e-23,1.6786752938957838e-35,1.0155346504107015e-30,6.8224746270483581e-54,3.2104932653531054e-56,3.9798537565966057e-32
3.707256169989789e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756304330343,0.11866996588045971,0.02282156768946017,5.1661713305749058e-58,7.147625041692009e-36,1.3645459223371289e-21,1.0321534077157888e-44,2.863609401633192e-39,1.4781785777253499e-79,3.7697476506772295e-17,1.7022225258652122e-78,3.7697476326533892e-17,1.9583506184731891e-54,5.6866173117026736e-46,3.8519907184164273e-65,2.3269928638537336e-66,6.6916354686978787e-34,2.4462160243734109e-62,1.4950281015728018e-10,7.1882280765990197e-12,2.7582376436344309e-15,2.7957197128484987e-15,1.8920275917418605e-19,1.2112463693542057e-17,1.9227547302024994e-19,9.9667555919608359e-23,6.0127680206421965e-35,2.2962318429644572e-30,3.4764023457606393e-53,1.7084686024197801e-55,8.9171648583356397e-32
4.688588700867342e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756300182483,0.11866996584088468,0.022821567688508786,1.9178564650643133e-57,1.6033303621595105e-35,2.1346486333054514e-21,3.2070612236483984e-44,5.5057104539253032e-39,6.0970881246777514e-79,4.7676220454992656e-17,5.1499405804138515e-78,4.7676220173725378e-17,4.4781218810920883e-54,1.2950994779130531e-45,1.3862208853828688e-64,8.3739562691447951e-66,1.2586692480768618e-33,6.5657021193679108e-62,1.8907708335905949e-10,9.0909943603961109e-12,3.4846719657041419e-15,3.5432568951183059e-15,2.3949925206332645e-19,1.8886088002745525e-17,3.6302248245258882e-19,1.5463619662039473e-22,1.5884056732922206e-34,4.3519831614981771e-30,1.0920785072572829e-52,5.8452113932881666e-55,1.6772563154905891e-31
5.669921231744895e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756296034629,0.11866996580130969,0.022821567687557401,5.8185794398162709e-57,3.0701681576485299e-35,3.0639114293915028e-21,8.0904144631950431e-44,9.3471076861904209e-39,1.8972637353743568e-78,5.7654964407659708e-17,1.3356926873387984e-77,5.7654964004599055e-17,8.7220856345342569e-54,2.5478023946891909e-45,3.8848923622035816e-64,2.3467218278220663e-65,2.0943953472531676e-33,1.4510040182442129e-61,2.2865135629046723e-10,1.0993760643637067e-11,4.2096711786802604e-15,4.2937361755030733e-15,2.8969638161265531e-19,2.7022856751737821e-17,6.0584496031442803e-19,2.2040048571783934e-22,3.595214650341255e-34,7.2866273964918035e-30,3.0535663456021699e-52,1.7108059557611871e-54,2.7908739103602908e-31
7.6325862935e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756287738926,0.11866996572215965,0.022821567685654635,3.4926822958811772e-56,7.8929362970202854e-35,5.2845059192568927e-21,3.2068543648899481e-43,2.0608426640733676e-38,1.0001552134035311e-77,7.7612452323057483e-17,5.8954366026254381e-77,7.761245162916117e-17,2.3106828873259973e-53,7.053111931313921e-45,1.7527173501007723e-63,1.058627184804057e-64,4.4389777826996025e-33,4.5572745366209126e-61,3.0779990153670526e-10,1.4799293208851122e-11,5.6564049145811804e-15,5.8014215310705269e-15,3.8986460172156645e-19,4.6363476203743698e-17,1.2893501452277301e-18,3.7605496205983411e-22,1.2531917812935347e-33,1.5583225054363881e-29,1.7301935310507966e-51,1.0059788800617094e-53,5.9149944699314234e-31
9.595251355255105e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756279443223,0.11866996564300962,0.022821567683751869,1.2980910084781756e-55,1.6626663569432651e-34,8.0908176920099014e-21,9.3962192378160688e-43,3.8508435232374159e-38,3.6193618221776064e-77,9.756994025474621e-17,1.7714764888632937e-76,9.7569939193457714e-17,5.0020735730198158e-53,1.5659033517867382e-44,5.6892001509501108e-63,3.4359214116472819e-64,8.0168866120278816e-33,1.125442161006668e-60,3.869484457835399e-10,1.8604825772010961e-11,7.0978573757498038e-15,7.3200323733537028e-15,4.8966715959822399e-19,7.0622124126492743e-17,2.336509595253975e-18,5.7018608430521405e-22,3.2565202010063058e-33,2.8362021595844155e-29,5.6017763225258169e-51,3.5386605536327956e-53,1.068236629809373e-30
1.155791641701021e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756271147509,0.11866996556385959,0.022821567681849102,3.9791530010763519e-55,3.1287436235668318e-34,1.1520443487204558e-20,2.3619805519920868e-42,6.4996873372326424e-38,1.115063781324914e-76,1.1752742820369371e-16,4.5784963168161048e-76,1.1752742669344993e-16,9.6471696822706961e-53,3.0670453763623461e-44,1.5771210856528677e-62,9.5239911393693015e-64,1.3170132190142696e-32,2.4438413080795134e-60,4.6609698896318391e-10,2.2410358332978353e-11,8.533689561567163e-15,8.8503497587074577e-15,5.8908058367984195e-19,1.0003472736331859e-16,3.8504234225739347e-18,8.0426174573504455e-22,7.3405663544031167e-33,4.6936818072477276e-29,1.5637105396674666e-50,1.0490313893951962e-52,1.7548581701659725e-30
1.548324654052042e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756254556086,0.11866996540555953,0.02282156767804357,4.0775340432254543e-54,9.3404407806697506e-34,2.0271167349953419e-20,1.39018713422435e-41,1.5358591715682517e-37,1.4123836618472186e-75,1.5744240415350668e-16,2.8155051489137969e-75,1.5744240149719936e-16,3.0181764580083664e-52,9.5597001746889539e-44,1.2955675368816889e-61,7.8208153575061557e-63,2.9866539528966488e-32,1.0183145093231702e-59,6.2439407206076456e-10,3.0021423448219257e-11,1.1388298976445514e-14,1.1947005039343144e-14,7.8672658936421714e-19,1.7400331008373526e-16,8.791150598977945e-18,1.3875357065539285e-21,3.1322008858484353e-32,1.0824172378484636e-28,1.1031357284112319e-49,9.5610143003262808e-52,3.979351308718121e-30
