Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C4H6(54),C2H6(343),C4H7(69),C2H5(67),C2H3(53),C2H2(37),C4H5X(379),C4H5X(380),C4H6a(378),C6H10(383),C6H9X(683),C6H9(674),C6H9X(684),C6H9X(578),C6H8(592),C6H7X(962),C6H7X(600),C6H7X(963),C4H7X(140),C4H7(68),C4H7X(145),C4H7X(146),SX(1187),C8H10(601),SX(1779),S(1778),S(1783),S(2209),SX(1208),S(4046),S(2202),SX(5031),C8H8(5307),S(1704),SX(1780)
1.3317712127380536e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770945,0.66999999999999771,3.0826472112624245e-40,4.176421494450406e-61,9.8721233789571063e-29,3.1407491761259658e-43,7.2965028890507764e-65,1.7035733484262644e-82,0.0,1.9376060604958139e-72,2.6644036815447719e-96,2.4143579681965323e-15,2.4143579681965319e-15,4.4560133504675819e-31,9.7835146800769743e-29,8.8499873105680307e-31,2.8071636279507218e-41,1.1410612190149559e-33,3.025314133813464e-37,3.3725315012155227e-31,4.7526700766861997e-32,2.8918855137894475e-41,3.2544372861004866e-46,3.3777457719782976e-48,1.9484050667720877e-48,1.1116590102228015e-62,1.8985911445057711e-67,9.72247950095495e-63,9.1571315056491245e-55,2.1372991934083413e-58,3.2519470428476278e-66,1.5393588055388188e-73,7.6968009756153416e-74,7.0335353263797708e-37,7.6540875118341041e-42,5.3078573469765955e-48,1.6113558591236356e-61,1.0016070938146765e-79,4.7757316225271418e-73,6.3630423038680065e-81,1.4982627007253519e-85,5.6863504838980767e-87,7.6058990161406185e-89,3.0120432580186887e-88,8.4264062897871344e-94,2.4456650838189406e-89,1.2522118778842436e-98,5.6268793567207728e-98,7.3404105461348465e-85,3.0120459875394254e-88
2.664699481264759e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770462,0.66999999999999527,4.8954011510784336e-39,5.306530115552809e-59,3.9514220748791672e-28,1.2570930593879113e-42,2.3205382080933799e-63,4.3395333927938842e-80,0.0,1.2328203639450364e-70,1.3561597419217794e-93,4.8308135525429652e-15,4.8308135525429644e-15,3.5684203865969533e-30,3.8810711927483444e-28,7.0264516629933685e-30,4.4966887377569789e-40,9.0594506576344665e-33,2.4220335684818105e-36,1.3498899788308814e-30,1.902306611754949e-31,4.5935146237329258e-40,5.1693972551632541e-45,5.3652623958054381e-47,3.0948760334091895e-47,3.5320404635742008e-61,1.2065579428510798e-65,3.0891466954155531e-61,2.9088401728762422e-53,1.3579700222471299e-56,4.1325213249506465e-64,1.9561903265176062e-71,9.7809692923033651e-72,5.5842150496428252e-36,1.2157717176876492e-40,1.6864575387509064e-46,1.0240254572378061e-59,2.5456511312329831e-77,1.5158562112971976e-71,4.0396873028157394e-79,8.9433215890858009e-84,3.496409786640807e-85,9.0822902892335052e-87,1.9122459502162506e-86,1.9496848352548872e-91,2.9205276236797291e-87,1.6447388777788745e-96,1.4787122173622502e-95,3.7312625043798102e-82,1.9122494161131172e-86
5.3305560183181694e-14,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583769496,0.66999999999999038,7.7041759406391579e-38,6.6897412016573293e-57,1.5810835046476366e-27,5.0298087957985173e-42,7.3188083672473855e-62,1.0966614304867066e-77,0.0,7.7789039893383835e-69,6.8439352011230514e-91,9.6637247104080761e-15,9.6637247104080714e-15,2.856175754220133e-29,1.525703253089587e-27,5.5312321216067418e-29,7.1988861890399855e-39,7.1315954875045635e-32,1.9383481396029998e-35,5.4013059920060103e-30,7.611704308331591e-31,7.2360939110595682e-39,8.1432728320925311e-44,8.4518164732556915e-46,4.8753112732718069e-46,1.1130533334244912e-59,7.6054400000704156e-64,9.7351730439464894e-60,9.1626871675618206e-52,8.5562205063482178e-55,5.207937045426776e-62,2.4652498730427205e-69,1.232629388122853e-69,4.3958012832978143e-35,1.9151391958555444e-39,5.3145917460001864e-45,6.4549375276219211e-58,6.4161847607234225e-75,4.768631823071273e-70,2.541999758094432e-77,5.0262187720793139e-82,2.0697411326573701e-83,1.0213076521331096e-84,1.2032911374771079e-84,4.1274766986933693e-89,3.2844356873636724e-85,1.9468605270373347e-94,3.5021391100993145e-93,1.880920861097979e-79,1.2032954996425493e-84
1.066226909242499e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583767564,0.66999999999998072,1.1924445784210325e-36,8.3066203527672468e-55,6.3253633703952475e-27,2.0120904539282206e-41,2.2738979560072808e-60,2.7331804750622201e-75,0.0,4.8360937729589703e-67,3.4018162766279262e-88,1.9329546939507572e-14,1.9329546939507572e-14,2.2855082830147668e-28,5.8963088714447499e-27,4.2852908747508001e-28,1.1521566075470604e-37,5.5251383544103168e-31,1.5509646567569828e-34,2.1608643136375483e-29,3.0451773552736717e-30,1.1224095319997814e-37,1.2631243560154206e-42,1.3109834535633201e-44,7.5622233761100025e-45,3.4544726341947302e-58,4.7219891507493729e-62,3.0216151185979054e-58,2.8412809083808672e-50,5.3077900189878299e-53,6.4622205375632718e-60,3.0589714630911208e-67,1.5294967816027622e-67,3.4054667063403458e-34,2.970475134006076e-38,1.6494687240538501e-43,4.0077714536394409e-56,1.5922671225607141e-72,1.4751507016189567e-68,1.5731348896121824e-75,2.5621601894917708e-80,1.1450288969346754e-81,1.0420184827281344e-82,7.4466270030173842e-83,7.5371792146133105e-87,3.3516102326739096e-83,2.0402442146178148e-92,7.3442760797547981e-91,9.335814942554422e-77,7.4466810009386355e-83
2.1325695240638631e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583763701,0.6699999999999614,1.7898032398230173e-35,1.0028108608098476e-52,2.5303510995930997e-26,8.0477341726391269e-41,6.8722748971843936e-59,6.6415770735805863e-73,0.0,2.9259662441753101e-65,1.6446350834674097e-85,3.866119070462605e-14,3.8661190704626379e-14,1.8286205137027301e-27,2.2076316007166462e-26,3.2232561986500413e-27,1.8437183522665937e-36,4.1557913766754622e-30,1.2408792278559267e-33,8.6440822884136183e-29,1.2181700580864738e-29,1.6918656339707694e-36,1.9039720676369332e-41,1.9761128192366517e-43,1.1398928427313261e-43,1.0422700454618805e-56,2.8507013522930792e-60,9.1179468141279177e-57,8.5578432745918607e-49,3.1989204388342668e-51,7.7912019426688254e-58,3.688034469350671e-65,1.8440438921347013e-65,2.561246498466414e-33,4.4771045777629027e-37,4.9769054085257254e-42,2.4196370093922502e-54,3.8392983794280324e-70,4.4231789742705272e-67,9.4388328693116824e-74,1.135966283070484e-78,5.6664089701397041e-80,9.2505009250299913e-81,4.4679549010598097e-81,1.1056713569275386e-84,2.9763500954529924e-81,1.8365535407981638e-90,1.3232492528334642e-88,4.5023792726850161e-74,4.4680197141220483e-81
4.265254753706591e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583755968,0.66999999999992277,2.5452801346940182e-34,1.1522262348723267e-50,1.0121814555889734e-25,3.2182012985226712e-40,1.9781312407104097e-57,1.5437065137649265e-70,0.0,1.6877733659086531e-63,7.573888159745122e-83,7.7324472690079258e-14,7.7324472690085064e-14,1.4629607369363299e-26,7.8174059429365159e-26,2.30161498268713e-26,2.9501630724245115e-35,2.9674517432656726e-29,9.9273459710930644e-33,3.4577107494356799e-28,4.8728781918170999e-29,2.4250964371694572e-35,2.7291259848060191e-40,2.8325324262525572e-42,1.6339064290938031e-42,2.9923395166358758e-55,1.6382274574886363e-58,2.6184640276333106e-55,2.4485039218346387e-47,1.8321262531538996e-49,8.9284410209872172e-56,4.2262954773230321e-63,2.1132088911927842e-63,1.8285601392825413e-32,6.4161390830710814e-36,1.4289717307479745e-40,1.3906370002184326e-52,8.7985521682635391e-68,1.2554838792272185e-65,5.3633578393659202e-72,4.2365759065470972e-77,2.3826929536006456e-78,6.910508593419402e-79,2.5387558834833945e-79,1.2256151072772051e-82,2.2248179159384175e-79,1.3822508957623096e-88,1.9940196489598312e-86,2.0638355180007603e-71,2.5388295718886547e-79
8.530625212992048e-13,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583740503,0.6699999999998455,3.3224141284272886e-33,1.2237259212165529e-48,4.0488063012408043e-25,1.2864913183715223e-39,5.7851641697357532e-56,6.8623170809738517e-68,0.0,1.1514403570558835e-61,4.9939131659972064e-80,1.5465099230217351e-13,1.5465099230225449e-13,1.1703600447047274e-25,2.5337630020392582e-25,1.5132316853223048e-25,4.7204287050037274e-34,1.950924362404187e-28,7.9418109783711075e-32,1.3830619684663978e-27,1.9491904220533492e-28,3.2088736835884066e-34,3.6111611517628207e-39,3.7479909964913065e-41,2.1619758101999806e-41,7.9380204742234311e-54,8.7039845506895648e-57,6.9500231671474928e-54,6.4509737002813536e-46,9.6688123296159204e-48,9.4307903333338769e-54,4.4639539874718106e-61,2.2321064068483774e-61,1.2017680599485815e-31,8.486399641488738e-35,3.7913368619453911e-39,7.3899226418307217e-51,1.8582466210333608e-65,1.257005924347382e-65,1.5914069935735821e-71,5.7962126726777787e-77,3.8714661912268853e-78,2.552924912276878e-78,7.5326668010924948e-79,6.3382284709289827e-82,8.2310836021734344e-79,5.1359814808137279e-88,1.6713903259171176e-85,8.7190915629147674e-69,7.5331738972490938e-79
1e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583735173,0.66999999999981885,9.4032202430682375e-33,2.112166098145525e-47,6.1409867043066148e-25,1.9501563039420848e-39,2.7934487375467262e-55,2.3062842586734086e-66,0.0,1.0335246618923161e-60,3.3310160374168316e-78,1.8128909528755855e-13,1.8128909528779362e-13,2.5813761213805243e-25,3.3528588819571212e-25,2.7848453299074516e-25,1.6916661929107588e-33,3.5901969635631366e-28,1.7516778420245525e-31,2.0976768434013409e-27,2.9564157486285404e-28,9.2162002037456544e-34,1.037159446198762e-38,1.0764600929654481e-40,6.209408413205581e-41,3.9135453607940928e-53,7.8768748891808488e-56,3.4295874527722343e-53,3.1446909319017427e-45,8.6447192650570941e-47,1.6100734227313024e-52,7.6206710533699735e-60,3.8107680964057847e-60,2.2107347124560537e-31,2.4359811069449544e-34,1.8696612064942469e-38,6.689984841364104e-50,6.1870648031471137e-64,1.355897091422752e-65,2.1208765191147947e-71,6.2862193635023077e-77,4.2600894580079181e-78,3.5058430044350352e-78,1.0038554469858607e-78,9.3141155181581531e-82,1.1315706207963831e-78,7.0645052793621543e-88,3.2839165792932796e-85,5.7353430676178562e-67,1.0039499189193241e-78
1.7061366131562962e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583709572,0.66999999999969084,3.862571591278209e-32,1.167450553426166e-46,1.6195366274417422e-24,5.1395273842468896e-39,1.343773650571214e-54,1.3059799535692619e-65,0.0,5.4469812605616189e-60,1.9098868829108651e-77,3.0930367665458317e-13,3.0930367665555884e-13,9.3622881276482621e-25,7.2891833351161621e-25,8.8958318540407998e-25,7.5528031188204515e-33,1.1468040062935907e-27,6.3531145484857629e-31,5.5318975198375184e-27,7.7968328231676117e-28,3.8085575400428438e-33,4.286017071469364e-38,4.4484283735235784e-40,2.5660132459481735e-40,1.8906078216942843e-52,4.1547859195490472e-55,1.6571167827206222e-52,1.5156973622847097e-44,4.5542062218561706e-46,8.8943792354523174e-52,4.2098047127862236e-59,2.1051472739534397e-59,7.0595200672126272e-31,1.0064257489583087e-33,9.0326809092067094e-38,3.5288636325821173e-49,3.5027190722031103e-63,1.8311378156213053e-65,4.6653452335702839e-71,8.641041755598232e-77,6.127694100641611e-78,8.0852761086473839e-78,2.2081084714819542e-78,2.3615319126973874e-81,2.6139459677652252e-78,1.6332401227619846e-87,1.1033224905886287e-84,3.2878636027735657e-66,2.2084132517394146e-78
3.412284796870479e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258364771,0.66999999999938153,3.9611677717064663e-31,9.8847268076878301e-45,6.4781468808868445e-24,2.0506586006732052e-38,2.7387425983742451e-53,2.1975325568846466e-63,0.0,2.2700679771279168e-58,6.4793511125152015e-75,6.1860620641194136e-13,6.1860620642226163e-13,7.4886699159599188e-24,1.8453035450177114e-24,4.6277738579872202e-24,1.2084476353868331e-31,5.9649816121272743e-27,5.0818568823422143e-30,2.2124403800318902e-26,3.1187359061855608e-27,4.0095489905193885e-32,4.5121782241091895e-37,4.6831952131859029e-39,2.7014351936798725e-39,3.994058144654631e-51,1.759984691173991e-53,3.5085127485440229e-51,3.1178173565884503e-43,1.8794903731955649e-44,7.352387361629661e-50,3.4795546912689791e-57,1.7401847907014692e-57,3.6668976775834039e-30,1.0578246658531604e-32,1.909414260863376e-36,1.4959730189703943e-47,5.7808196272773782e-61,1.9132987506247963e-63,6.4703667139792436e-69,8.8644930456994808e-75,6.2319848214166483e-76,1.1404369883559777e-75,3.062136102186699e-76,3.4953349604746606e-79,3.7004335575564211e-76,2.3128589270091397e-85,2.6625236432099857e-82,1.0855882161410942e-63,3.0628437286816781e-76
