Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53)
5.726682421324683e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996252,0.022821567693054247,0.0,1.8213354956473174e-54,1.6341310505928676e-30,1.4412041071371465e-71,7.70155538590461e-46,1.0245302118597174e-109,5.0542513714426386e-17,8.144694654481449e-90,5.054251371442062e-17,5.389246661412311e-61,6.237917332122637e-60,1.4812383044498812e-92,1.7174924346589994e-93,2.443374289709078e-43,1.2203603041652603e-71,2.76026542643807e-15,8.172655337284182e-17,3.271787999505867e-19,4.956726560462676e-32,1.8353909924148165e-31,3.2717879617737276e-19,1.8852580965415026e-27,2.0321137970512407e-32,2.12894281871298e-36,1.1451211716063449e-61,9.479584732686329e-46,6.131191749792504e-44,3.4524114733730425e-63,2.608600059616963e-86,1.143509635108376e-88
1.1458340240061464e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999942,0.1186699660299597,0.022821567693054205,0.0,2.9165101482015014e-53,6.540791372890838e-30,9.257301181020681e-70,6.167490544939496e-45,2.6323527450474852e-107,1.0112893925658081e-16,5.22066109988093e-88,1.011289392565577e-16,8.632160640082839e-60,9.992282727249387e-59,1.9028918505534596e-90,2.206398758987171e-91,1.956185105587949e-42,4.0167026256456546e-70,5.522928998336578e-15,1.6352411157050634e-16,6.546418598064105e-19,1.9839823818530748e-31,7.346347132599157e-31,6.546418447036399e-19,7.545864111242189e-27,1.6269098519048306e-31,1.708611524065693e-35,3.6777304791497796e-60,7.589431755833879e-45,4.908687382118089e-43,1.1061243694029321e-61,3.3511716353478435e-84,1.4696656914032339e-86
2.2921655877535026e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999885,0.11866996602995408,0.022821567693054122,0.0,4.668315847683946e-52,2.61717533037295e-29,5.956594478612336e-68,4.936492151440112e-44,6.774994395050206e-105,2.0230179034089093e-16,3.343803515622282e-86,2.0230179034079854e-16,1.3818954081663353e-58,1.5996950306419698e-57,2.4487918732917814e-88,2.839368588762527e-89,1.5655426052969987e-41,1.354688798554713e-68,1.1048256142129752e-14,3.271192279658303e-16,1.3095679908639848e-18,7.9385137636996e-31,2.9394957558424477e-30,1.3095679304325796e-18,3.0192634001194446e-26,1.3019954465418589e-30,1.3740712810205166e-34,1.1832471571900837e-58,6.073851950041158e-44,3.928451287690983e-42,3.5417098670897724e-60,4.31255294509185e-82,1.8917475167450001e-84
4.584828715248215e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999771,0.11866996602994283,0.02282156769305396,0.0,7.470825356262302e-51,1.0470459958783996e-28,3.8495297353169304e-66,3.950193851481592e-43,1.751283684024238e-102,4.0464749250951666e-16,2.140860353728178e-84,4.046474925091469e-16,2.211632588393127e-57,2.560256081800025e-56,3.1650222574962275e-86,3.669836082074962e-87,1.2526719388761005e-40,4.775503378358915e-67,2.2098910429700723e-14,6.543094607564582e-16,2.619420298366258e-18,3.175922414098525e-30,1.1759897082256541e-29,2.619420056596083e-18,1.2078498463810285e-25,1.0417511524515017e-29,1.110127627448544e-33,3.823710320970106e-57,4.860004329899958e-43,3.1433731519674724e-41,1.1336506059966573e-58,5.5739020394638445e-80,2.4454865814234913e-82
9.17015497023764e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995436,0.11866996602992032,0.022821567693053633,0.0,1.195453650564605e-49,4.1885683963389925e-28,2.5103134257741245e-64,3.1605551820222194e-42,4.5676361266790026e-100,8.093388968467896e-16,1.3704150389014477e-82,8.093388968453105e-16,3.5390921574410932e-56,4.097004906189351e-55,4.127592360101881e-84,4.785933911576113e-85,1.0022326958955217e-39,1.8095222831186812e-65,4.420021900478117e-14,1.308689926337634e-15,5.239125094946641e-18,1.2704723449121527e-29,4.704341656461182e-29,5.239124127745599e-18,4.831375687885236e-25,8.33411218652025e-29,9.052449358531243e-33,1.246913824457185e-55,3.88837253856039e-42,2.5149616996830633e-40,3.6279462675462377e-57,7.269078528930205e-78,3.189847960152982e-80
1.834080748021649e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990884,0.1186699660298753,0.022821567693052977,0.0,1.9128230527140778e-48,1.6755303650388207e-27,1.665889398111883e-62,2.5286041954973526e-41,1.2122240360637504e-97,1.6187217055214222e-15,8.771502461277849e-81,1.618721705515505e-15,5.662931490083307e-55,6.555683554223035e-54,5.47755852653151e-82,6.3512165788144756e-83,8.018242051064612e-39,7.589908542315801e-64,8.840283615469609e-14,2.6174508574996657e-15,1.0478535414629353e-17,5.082096067046212e-29,1.8818132176367865e-28,1.0478531545334763e-17,1.9322954502475135e-24,6.6665051006241625e-28,7.515186920871289e-32,4.138490311762287e-54,3.110845552203669e-41,2.0121039143068727e-39,1.1608435177597717e-55,9.646495855956352e-76,4.2343709313984987e-78
3.668211250017419e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998178,0.11866996602978526,0.02282156769305167,0.0,3.0605944350860764e-47,6.702536329923801e-27,1.1419066426473736e-60,2.0229473779445505e-40,3.322542141350545e-95,3.237487322871033e-15,5.614032374507012e-79,3.2374873228473632e-15,9.060997619277792e-54,1.0489472746028588e-52,7.50752395990835e-80,8.7049568032748e-81,6.414745653506038e-38,3.579719207746941e-62,1.7680807045354202e-13,5.23497271982245e-15,2.0957358961830634e-17,2.0328797022258147e-28,7.527405884292204e-28,2.095734348167443e-17,7.726672575382782e-24,5.331569581502061e-27,6.4487071059374975e-31,1.4190839504166662e-52,2.488735265661821e-40,1.6097837738899154e-38,3.713634726019445e-54,1.3221455630859847e-73,5.806513963303464e-76
7.336472254008958e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767996357,0.1186699660296052,0.022821567693049053,0.0,4.897012430086583e-46,2.6812644014515154e-26,8.276351673953879e-59,1.6183835107906557e-39,9.626762562464148e-93,6.475018557571635e-15,3.593067372906008e-77,6.475018557476957e-15,1.449784196305768e-52,1.678345478399108e-51,1.0878334439132868e-77,1.2613403670817327e-78,5.131857032726319e-37,1.8813833590649998e-60,3.536185390472981e-13,1.0470016444462896e-14,4.191501770153922e-17,8.131600857988729e-28,3.0109928774698056e-27,4.1914955759005516e-17,3.0885693232739404e-23,4.2624911410944157e-26,5.856629895126996e-30,5.14677398970691e-51,1.9910114444519586e-39,1.2879421060042807e-37,1.1876137816611808e-52,1.915776892178342e-71,8.42038043583744e-74
1.4672994261992038e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992716,0.11866996602924505,0.022821567693043818,0.0,7.835266691321768e-45,1.0726889503401691e-25,6.533632958443359e-57,1.2947170511656234e-38,3.0372926227054814e-90,1.295008102697837e-14,2.299590841692643e-75,1.295008102659966e-14,2.3196743695523328e-51,2.6853750806587404e-50,1.7165702819398832e-75,1.9903592327207627e-76,4.105509356789211e-36,1.0720882735951299e-58,7.072394762190678e-13,2.0940103893723312e-14,8.383038187367716e-17,3.252656351115957e-27,1.2044031923508007e-26,8.383013393232594e-17,1.23373237295494e-22,3.405517297432497e-25,5.799366623552658e-29,2.0338466133215067e-49,1.592817971670757e-38,1.0305191864592349e-36,3.795467538660866e-51,3.023041240031088e-69,1.330235395775526e-71
2.93460382779582e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767985432,0.11866996602852478,0.022821567693033347,0.0,1.2536456902924564e-43,4.292183123739662e-25,5.7585750483200986e-55,1.0357777364908695e-37,1.0697308388201937e-87,2.5900205965813945e-14,1.4717470019389794e-73,2.5900205964299105e-14,3.7114946949594786e-50,4.296613001336129e-49,3.0238713484437975e-73,3.5061716013751246e-74,3.284416220084077e-35,6.427373110726205e-57,1.4144813504996363e-12,4.188027879216221e-14,1.676612978761441e-16,1.3010654204678888e-26,4.81762434483658e-26,1.6766030475401157e-16,4.921381239073139e-22,2.7172553284987777e-24,6.415160639602459e-28,8.97489430827795e-48,1.2742571410423394e-37,8.246718664574027e-36,1.211409877636963e-49,5.325319986282519e-67,2.3464471953090855e-69
