Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24),CHOX(53),COX(50)
3.4073988441172392e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,1.6917883743656952e-76,1.4444011574507787e-51,1.5097162638903923e-29,9.0605262075921656e-57,8.0816396325525343e-43,2.452991498628088e-95,3.4648357680563317e-19,7.0914751098776141e-88,3.4648357665994995e-19,6.6100158212665096e-60,5.6268628805915009e-55,4.6441396989632637e-79,2.8061973603350044e-80,3.7781664851391662e-42,1.0415485274871849e-69,1.3741044239694581e-12,6.6068161822606418e-14,2.5466171527870525e-17,2.5466309180824957e-17,6.5583908656199669e-23,2.1642015374966369e-24,3.6667559027905958e-28,9.0519074554518226e-27,1.3338491526296692e-47,2.6474458475944495e-40,8.031819196692467e-70,8.2762839118606841e-71,4.1108767759393187e-69
6.814803465219852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,5.1905654383758874e-74,2.1934872034030146e-50,1.1274382566437021e-28,1.1054458957220143e-54,6.4652923938134942e-42,1.1973160471502425e-92,6.9296774131279008e-19,4.5385361183541264e-86,6.9296774073005693e-19,1.057599690937788e-58,8.544557788143068e-54,1.1332141239719366e-76,6.8473713309718221e-78,2.8740078114267239e-41,3.3329468261001028e-68,2.7482111771924732e-12,1.3213643565785675e-13,5.0932250753339489e-17,5.0932809525968289e-17,2.5417993231279678e-22,1.6808109027195573e-23,5.59286466711058e-27,3.4303888572824342e-26,8.1372436477044027e-46,3.9475227689831287e-39,1.2317003931882409e-67,2.019560284779576e-68,1.0030899770924636e-66
1.3629612707425078e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,1.429671231442802e-71,3.1833648426454724e-49,8.3520879368720559e-28,1.326679375537002e-52,5.1721876698977973e-41,5.7504795289434252e-90,1.3859360711220791e-18,2.904639801739386e-84,1.3859360687911519e-18,1.6921450368927643e-57,1.2399245467241379e-52,2.7202076803108811e-74,1.6436596503631349e-75,2.0926245160466823e-40,1.0665340653654321e-66,5.4964246823308054e-12,2.642729833256807e-13,1.0186400277257084e-16,1.0186629778115908e-16,9.5686295420438375e-22,1.2702345796495966e-22,8.3870970764457064e-26,1.2404136364073004e-25,4.8822069290957305e-44,5.8511729715457057e-38,1.6956444924784176e-65,4.8471030426380184e-66,2.4078389302015243e-64
2.725923119183553e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,3.5532327698522184e-69,4.2865192523457667e-48,5.9546419305061277e-27,1.5272729906614069e-50,4.1376700068593969e-40,2.6506650502552114e-87,2.7718727339204241e-18,1.8589354284225633e-82,2.7718727245968635e-18,2.7073814570718562e-56,1.6692859564725902e-51,6.2641754261401846e-72,3.7850324313804431e-73,1.4174383810301597e-39,3.4128463233074299e-65,1.0992851687376673e-11,5.2854607865066668e-13,2.0372588111014885e-16,2.0373546916982927e-16,3.4202577648825794e-21,9.1437949350929524e-22,1.2057102362160976e-24,4.1508366102827239e-25,2.8091941149747503e-42,8.3654547546907131e-37,2.1063035737905923e-63,1.1157747482855669e-63,5.54477844060809e-62
5.451846816065644e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,7.9175909436278414e-67,5.1844388179228422e-47,3.9464672882394575e-26,1.6343909772056494e-48,3.310005348843294e-39,1.1368852201307932e-84,5.5437460722361232e-18,1.1896737536494754e-80,5.5437460349423811e-18,4.3316449688266084e-55,2.0183120952612556e-50,1.3411725520055215e-69,8.1036762327768255e-71,8.6550361641559666e-39,1.0920698092146492e-63,2.1985705676545238e-11,1.0570922692581914e-12,4.0744313518939899e-16,4.0748393567467817e-16,1.1243504456149303e-20,6.0834547983974787e-21,1.6099046010462815e-23,1.2432824767080159e-24,1.5021132220016749e-40,1.1149456762510929e-35,2.3456213903922598e-61,2.3871379973042913e-61,1.1871204363223911e-59
1.0903694209829825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,1.5578496376983851e-64,5.5310121125342577e-46,2.3524621927467361e-25,1.575394669400213e-46,2.6477942653734927e-38,4.3998426373558983e-82,1.1087492799739734e-17,7.6133328158107226e-79,1.108749265056988e-17,6.9301000834376039e-54,2.1521738960014291e-49,2.5869547682916548e-67,1.5630387334332646e-68,4.6779086817511306e-38,3.4943594866426613e-62,4.3971413571189661e-11,2.114184650304062e-12,8.1485163462464373e-16,8.1502701684787649e-16,3.2916742487354674e-20,3.6259529487497512e-20,1.9343622655444899e-22,3.2744939337188798e-24,7.2319324580769835e-39,1.3409857393624139e-34,2.3062209631284222e-59,4.5993599697193008e-59,2.2897003746352908e-57
2.180738899735819e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,2.6866212661531934e-62,5.264236136025281e-45,1.2421477589638005e-24,1.3449844779140827e-44,2.1178990531473245e-37,1.5129588603022e-79,2.21749864582091e-17,4.8717903419472821e-77,2.2174985861571202e-17,1.1086456234516485e-52,2.047042254766603e-48,4.4205005562722919e-65,2.670664780867725e-66,2.2583122466064746e-37,1.1180259356693841e-60,8.7942829025707707e-11,4.2283694117202326e-12,1.6295646118856457e-15,1.6303143012965817e-15,8.4734226445063948e-20,1.9066696693073775e-19,2.0574084089548103e-21,7.689430474314056e-24,3.0829353615472912e-37,1.4324910847135013e-33,1.9871886777239668e-57,7.8454050770119047e-57,3.912197042682307e-55
4.3614778572414917e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,4.1137483897589547e-60,4.6237090652077458e-44,5.8878971767482443e-24,1.0249534213657438e-42,1.6937810911692745e-36,4.670977714130535e-77,4.434997458878199e-17,3.1169950852857964e-75,4.4349972202563435e-17,1.7732877534622034e-51,1.7964674669017563e-47,6.7431328103540951e-63,4.073276148294513e-64,1.0039018145646634e-36,3.5766007406203279e-59,1.7588565859566058e-10,8.4567389318515204e-12,3.2585745862081065e-15,3.2617275472080831e-15,1.9557357538077277e-19,8.9455585678008471e-19,1.9543093726099228e-20,1.6707159512123159e-23,1.1730095265240813e-35,1.3741495330138822e-32,1.5202688031633104e-55,1.1939455391907647e-54,5.9666428514453693e-53
6.542216814747164e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613188,0.022821567686711734,2.7918645100696129e-59,1.4087395538271095e-43,1.3201441773835934e-23,5.9134115389565681e-42,5.0275046077912791e-36,3.6125542319906367e-76,6.6524963532781702e-17,1.7695557852756856e-74,6.6524958462545263e-17,6.7077153786480481e-51,5.4748247745750278e-47,4.5394281787418515e-62,2.7419732945681739e-63,2.2031059041109404e-36,1.6682696899873283e-58,2.6382848682653032e-10,1.2685108449281916e-11,4.8871686865394371e-15,4.8939926256403208e-15,3.0792687524914493e-19,1.9914235105778749e-18,5.8465990277930717e-20,2.5749917354057112e-23,5.6689942379328486e-35,4.1339904344137364e-32,8.8551223803569368e-55,8.093592774844691e-54,4.0164744476944065e-52
8.722955772252836e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756283130224,0.1186699656781874,0.02282156768459755,1.2871801141278146e-58,3.1138001197876891e-43,2.3189891379487346e-23,2.2065807381565463e-41,1.0952569424671685e-35,1.6873931745584607e-75,8.8699953289986918e-17,6.8045995906465444e-74,8.869994464152541e-17,1.7457513755304613e-50,1.2103228379342966e-46,1.8963260558867955e-61,1.1453668989971654e-62,3.8236004362653848e-36,5.0792649553323293e-58,3.5177131371831686e-10,1.6913477964011437e-11,6.5153470190667809e-15,6.527118093489369e-15,4.2058043425296904e-19,3.4748239586939157e-18,1.2637957517908856e-19,3.4796011331872715e-23,1.8731435725994953e-34,8.9819766446940759e-32,3.7496097353277849e-54,3.7301214555338931e-53,1.677732085041521e-51
