Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),CO2X(24),H2OX(23),O(29),acetyl(44),C2H4X(215),C2H4X(70),HOCO(73),CHO2(74),S(216)
1.2810813843049348e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999355,0.11866996602995904,0.022821567693054195,1.0578634604403793e-94,1.3069237619045526e-44,8.176038489368164e-30,2.595620648650193e-69,8.616280989362745e-45,9.226004190066505e-107,1.1306559133507957e-16,1.0192996672977068e-87,1.1306559133505181e-16,1.348297972254505e-59,8.392698641704362e-59,5.965237750543939e-90,6.91667956088203e-91,2.9449872819031577e-31,6.842825416384407e-70,6.174822337592369e-15,1.828255147159556e-16,7.319118548429032e-19,2.479977428571507e-31,9.182933914560028e-31,7.319118277184656e-19,1.3555208911196e-26,4.695793501966031e-31,7.079616597597446e-35,1.9048634770819204e-59,6.8601377555806106e-43,9.355950772967326e-62,8.26153855943001e-31,1.0505345082201194e-83,6.62727090475556e-86,4.2465256016649694e-85,1.060655112750264e-44,1.3745541515450424e-24,6.454356612575537e-99,1.870706283125488e-75,1.3678944721091786e-83,1.3133614186793047e-116,2.183993175116546e-118,5.667227984785512e-169
2.562719034951296e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998717,0.11866996602995275,0.022821567693054105,2.7204358371126753e-92,1.0459362139778063e-43,3.271508595061393e-29,1.6683710003712315e-67,6.896517014303278e-44,2.3720233091808896e-104,2.2618027758606606e-16,6.528555954443099e-86,2.2618027758595513e-16,2.158447756455076e-58,1.3436127446963208e-57,7.668405808770132e-88,8.891499034642743e-89,1.1783785151187875e-30,2.2558254180249254e-68,1.23523258833145e-14,3.6573041523942165e-16,1.4641415448562378e-18,9.923137812998986e-31,3.67436969385156e-30,1.4641414363212791e-18,5.423661196637473e-26,3.757938203097996e-30,5.687251084909997e-34,6.122003514353935e-58,5.490239343582904e-42,2.995654331138827e-60,3.3056915324607205e-30,1.3504784299430274e-81,8.521485561151834e-84,5.460272417034022e-83,8.488462639411117e-44,2.749705746077686e-24,1.65980460246318e-96,1.1979640900174894e-73,9.016978258502182e-82,6.754993462499745e-114,1.123298059407819e-115,8.97567422667487e-165
5.125994336244018e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997446,0.11866996602994016,0.02282156769305392,7.01856984556544e-90,8.369078912918238e-43,1.3088390441412522e-28,1.0759431526828124e-65,5.5186108416618015e-43,6.118694782132709e-102,4.524096500880375e-16,4.179888723905756e-84,4.524096500875932e-16,3.454453477658503e-57,2.150405353355773e-56,9.890551788611433e-86,1.14680722175664e-86,4.7142813744824234e-30,7.636057306767454e-67,2.470733297473954e-14,7.315402162863289e-16,2.9286010063829793e-18,3.9698995036569835e-30,1.4699871345207234e-29,2.9286005721574522e-18,2.1696672239164496e-25,3.0067235121026947e-29,4.58491805684112e-33,1.974163303582432e-56,4.393096366100037e-41,9.588428672226442e-59,1.3224918614552052e-29,1.7418192436453782e-79,1.099261371343138e-81,7.043684828077997e-81,6.792056909229119e-43,5.500010703284724e-24,4.2820855435274837e-94,7.668879608525658e-72,6.102126268184843e-80,3.485483516294225e-111,5.79620625479193e-113,1.3758728192251233e-160
1.0252544938829462e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994903,0.118669966029915,0.022821567693053556,1.8234070137696783e-87,6.695898948645361e-42,5.23596287575469e-28,6.98760572005651e-64,4.4154476335035337e-42,1.5893609097158208e-99,9.048683950919734e-16,2.675645031285115e-82,9.04868395090196e-16,5.527875323906626e-56,3.441148576778484e-55,1.284594298567546e-83,1.489484153867368e-84,1.885866023523195e-29,2.7097176960611035e-65,4.941734715751277e-14,1.4631598183800437e-15,5.8575202555156195e-18,1.5880876197026938e-29,5.880427064485146e-29,5.8575185183520155e-18,8.67817198897381e-25,2.405290413216136e-28,3.7230824005126407e-32,6.411208385935343e-55,3.514923958184032e-40,3.068372395613251e-57,5.290397942009431e-29,2.262291429520255e-77,1.427965762500141e-79,9.149906229189909e-79,5.434156825049338e-42,1.1000627690265799e-23,1.1124135307430489e-91,4.9082204877533574e-70,4.327804423685872e-78,1.8110118248529702e-108,3.011797672976767e-110,1.999347509612474e-156
2.050564614400035e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989813,0.11866996602986467,0.022821567693052824,4.802901041582402e-85,5.356973611761714e-41,2.094614809401921e-27,4.601007500550098e-62,3.532581704275785e-41,4.185412580260082e-97,1.809785885099818e-15,1.7125780373697705e-80,1.809785885092707e-15,8.845200365487545e-55,5.506237636854905e-54,1.6915100674767218e-81,1.9613020516877164e-82,7.543771052478394e-29,1.037252287903608e-63,9.883737552275174e-14,2.9263990225670727e-15,1.1715360058728315e-17,6.352597591277995e-29,2.3522665171726856e-28,1.1715353108830312e-17,3.470447787987497e-24,1.923816982265646e-27,3.0662574482282642e-31,2.1111903889577934e-53,2.8122536573607437e-39,9.817002925027597e-56,2.1162452539770555e-28,2.9789083458870128e-75,1.8807496193030385e-77,1.2051181638229599e-76,4.3475244277000043e-41,2.2001889954495944e-23,2.9298114514130905e-89,3.140699168787918e-68,3.3098383614467924e-76,9.540191613512223e-106,1.5867554210846277e-107,2.6900235474575803e-152
4.101184855434213e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997963,0.11866996602976401,0.02282156769305136,1.2984162699113625e-82,4.285680852365201e-40,8.37978430438713e-27,3.1092368599397986e-60,2.826154804747912e-40,1.1310245778655087e-94,3.619620865115398e-15,1.0961028156569363e-78,3.619620865086954e-15,1.4152800469410287e-53,8.810299754066022e-53,2.2857070576528428e-79,2.6502720844343545e-80,3.017569813758109e-28,4.407046091157046e-62,1.976774322519998e-13,5.852877430939531e-15,2.3431044889984773e-17,2.5410816333919643e-28,9.40925731637795e-28,2.343101708214586e-17,1.387438131409089e-23,1.538279988558409e-26,2.5932005432420615e-30,7.136247346191026e-52,2.250145713515563e-38,3.1399339401234405e-54,8.465152972277424e-28,4.0253450321585313e-73,2.5424602026778144e-75,1.629117530115668e-74,3.4780902315933447e-40,4.400452764402822e-23,7.91888490476508e-87,2.0090926680466113e-66,2.808867817767568e-74,5.15787514669882e-103,8.580653758301412e-105,3.311501635826329e-148
8.202425337502569e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679959276,0.11866996602956269,0.022821567693048436,3.6758108515215634e-80,3.428585754175676e-39,3.3528700793591466e-26,2.200167198992343e-58,2.260959620248758e-39,3.1997522945280994e-92,7.23929082514612e-15,7.015227204447707e-77,7.23929082503234e-15,2.2644864632808206e-52,1.4096733930354216e-51,3.2337553942264235e-77,3.7495319044457336e-78,1.2070402041632476e-27,2.1053612356456243e-60,3.9535754570557623e-13,1.1705834247678047e-14,4.6862435492070236e-17,1.0164357116624805e-27,3.763741065647045e-27,4.6862324198231425e-17,5.543664637029679e-23,1.2293443186011614e-25,2.2984635153232655e-29,2.5265929669811415e-50,1.8006002623545315e-37,1.0037577844631092e-52,3.386095419656749e-27,5.69494698230604e-71,3.599455683096329e-73,2.3063982300019847e-72,2.7824862219136397e-39,8.801025566738073e-23,2.241074310884953e-84,1.2845235107431472e-64,2.6801982118537144e-72,2.9200813649856046e-100,4.859994835614863e-102,3.795346403720482e-144
1.640490630163928e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991856,0.11866996602916004,0.022821567693042583,1.1205889173048454e-77,2.742885490842116e-38,1.341890381959755e-25,1.6763901958377707e-56,1.808782005886105e-38,9.744656215194513e-90,1.4478630745205818e-14,4.489799537652011e-75,1.447863074475069e-14,3.6232090415709566e-51,2.255497355952783e-50,4.925346243164285e-75,5.710927433677595e-76,4.828185374061172e-27,1.1172092831555657e-58,7.907177725930509e-13,2.3411747881129477e-14,9.372530077532054e-17,4.065705275075973e-27,1.5055039654861866e-26,9.372485510836864e-17,2.212576834960565e-22,9.814166345997949e-25,2.195897541051413e-28,9.635367001831243e-49,1.4412262713394452e-36,3.2054167585193875e-51,1.3544448853748148e-26,8.673996417183943e-69,5.487966026521341e-71,3.516473246811274e-70,2.2259718094705023e-38,1.7602352229123741e-22,6.828530666912689e-82,8.204172325822217e-63,2.8414717705543615e-70,1.7801310667268107e-97,2.9653018360067244e-99,4.250294116860692e-140
3.28098682299127e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983713,0.11866996602835475,0.022821567693030877,3.782597424522437e-75,2.194315881221309e-37,5.373423151867472e-25,1.4142206424470005e-54,1.4470313270019531e-37,3.285132749653885e-87,2.895731058531822e-14,2.873489008266289e-73,2.8957310583497713e-14,5.797158993306186e-50,3.60881037047833e-49,8.304842493509315e-73,9.62944491533821e-74,1.9312790611001404e-26,6.396023855201669e-57,1.5814382262892864e-12,4.682357514792993e-14,1.8745137020525748e-16,1.6262396467389668e-26,6.022030231426673e-26,1.8744958364169267e-16,8.811368898022353e-22,7.818518811960756e-24,2.3246402661679347e-27,4.0694819777788525e-47,1.1541574239150467e-35,1.0215144029370933e-49,5.417791947212972e-26,1.4625602944981525e-66,9.26545471458178e-69,5.936897579893419e-68,1.7807341295351913e-37,3.5205729784755715e-22,2.3035159772324335e-79,5.229244030768416e-61,3.251183584014328e-68,1.2015691370702682e-94,2.0049439290637605e-96,4.928548364453415e-136
6.5619792086459545e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679674265,0.11866996602674416,0.022821567693007465,1.4306672868067156e-72,1.7554568739069544e-36,2.1539931456740866e-24,1.3367968454703121e-52,1.157627347957401e-36,1.240920017371232e-84,5.791467026551505e-14,1.8390384814847336e-71,5.7914670258233e-14,9.275473903331046e-49,5.774103983375319e-48,1.5690296976756224e-70,1.819285972933225e-71,7.725126067227654e-26,3.830173973885915e-55,3.1628791333669043e-12,9.364722968112121e-14,3.749048845839395e-16,6.504594094670251e-26,2.408814399265241e-25,3.7489770757001255e-16,3.493764368164229e-21,6.202906110085616e-23,2.7574305198008703e-26,1.9258267754236038e-45,9.251818692640496e-35,3.242138417569204e-48,2.167118436558736e-25,2.7632065870576548e-64,1.7527907312382166e-66,1.123095836083356e-65,1.4245116603656413e-36,7.041538181946179e-22,8.706829321253808e-77,3.319587016866303e-59,3.892268520303682e-66,9.087979808297458e-92,1.5214761678229265e-93,6.149194277107695e-132
