Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),C4H5X(365),C4H5X(364),C6H8(56),C6H7X(480),C8H10(439),C6H7X(479),C6H7X(478),C6H8(455),C8H9X(653),C8H10(458),C8H9X(652),C8H9X(651),C8H9X(650),C6H7X(915),C6H7X(867),C6H7X(914),C2H2(37)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5775881346665963e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.1649345445218303e-76,0.0,3.4936426429087193e-42,1.3537946188648996e-68,0.0,0.0,0.0,0.0,0.0,2.121320343530065e-18,2.121320343530065e-18,1.9173851578809994e-51,4.3719124149571631e-69,2.1859562074775531e-69,-8.0447418505817512e-101,-1.5071034662712663e-118,1.6481640059745366e-109,-7.5355173313556931e-119,-7.5355173313556931e-119,-4.0820994786671186e-104,2.6824528204292877e-127,1.1111486963210755e-153,1.3412264102146438e-127,1.3412264102146438e-127,1.3412264102146438e-127,-7.6474129173340503e-122,-3.8237064583482764e-122,-3.8237064583482775e-122,1.5239969733625456e-39
1.001724677706647e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,6.8069013664687178e-75,0.0,2.1101601563165784e-41,8.1769194979439926e-68,0.0,0.0,0.0,0.0,0.0,5.9396969618841832e-18,5.9396969618841832e-18,2.8975527532515401e-50,1.2329493758368112e-67,6.1647468791808134e-68,1.5530496724652694e-99,5.0863648245176985e-117,2.0487865826073614e-108,2.5431824122585189e-117,2.5431824122585189e-117,7.8805552447329364e-103,6.2703130305749076e-126,4.624458207750576e-152,3.1351565152874538e-126,3.1351565152874538e-126,3.1351565152874538e-126,2.5809463605871582e-120,1.2904731801283977e-120,1.290473180128398e-120,9.204941719109778e-39
2.2896564061866215e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.5185822555294767e-73,0.0,1.0159512805574224e-40,3.9368347516591253e-67,0.0,0.0,0.0,0.0,0.0,1.357645019859242e-17,1.357645019859242e-17,3.1170550499808305e-49,2.6819342289318512e-66,1.3409671144652022e-66,1.6398564435011209e-97,1.1110460281583163e-114,8.0791050516409977e-107,5.5552301407907401e-115,5.5552301407907401e-115,8.3210341082834219e-101,4.7963670735500833e-124,5.2321662235302022e-149,2.3981835367750416e-124,2.3981835367750416e-124,2.3981835367750416e-124,5.6377202615484275e-118,2.8188601303533688e-118,2.818860130353371e-118,4.431783198538284e-38
4.865519863146571e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,2.8441365002986948e-72,0.0,4.4369261564895925e-40,1.7193191659584192e-66,0.0,0.0,0.0,0.0,0.0,2.8849956672008887e-17,2.8849956672008887e-17,2.8651106139839892e-48,4.9718540727384488e-65,2.48592703636787e-65,1.2961698511042962e-95,1.7594483441638761e-112,2.9253553351250384e-105,8.7972417208179239e-113,8.7972417208179239e-113,6.5770839782415738e-99,3.4759792696281394e-122,3.934412741848768e-146,1.7379896348140697e-122,1.7379896348140697e-122,1.7379896348140697e-122,8.9278727683507889e-116,4.4639363834465617e-116,4.4639363834465684e-116,1.9354761561704335e-37
1.001724677706647e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,4.9125385175054128e-71,0.0,1.8523293292661691e-39,7.1778190692216679e-66,0.0,0.0,0.0,0.0,0.0,5.9396969618841816e-17,5.9396969618841816e-17,2.4511624513691499e-47,8.5453468378382713e-64,4.2726734189167951e-64,9.1867928753849914e-94,2.4959144353725731e-110,9.9384628654033785e-104,1.2479572176860711e-110,1.2479572176860711e-110,4.6616042010729071e-97,2.3639951729282544e-120,2.4248485839287738e-143,1.1819975864641272e-120,1.1819975864641272e-120,1.1819975864641272e-120,1.2664882486469156e-113,6.3324412421574631e-114,6.332441242157484e-114,8.0802319527682172e-37
2.0320700604906268e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771406,0.66999999999999993,8.1622562200487954e-70,0.0,7.5673697102118385e-39,2.9323732962460997e-65,0.0,0.0,0.0,0.0,0.0,1.2049099551250758e-16,1.2049099551250758e-16,2.0266685156418187e-46,1.41632856978318e-62,7.0816428489120117e-63,6.1822904543013166e-92,3.3605505720389973e-108,3.2749026485764356e-102,1.6802752860192027e-108,1.6802752860192027e-108,3.1370459250520739e-95,1.5586900332531359e-118,1.3595990148838002e-140,7.7934501662656796e-119,7.7934501662656796e-119,7.7934501662656796e-119,1.7052258475559447e-111,8.5261292363008498e-112,8.5261292363009089e-112,3.3010384041822056e-36
4.0927608260585867e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771383,0.66999999999999982,1.3306537685720533e-68,0.0,3.0588518286853376e-38,1.185312170957902e-64,0.0,0.0,0.0,0.0,0.0,2.4267904729983888e-16,2.4267904729983888e-16,1.6480531788625223e-45,2.3061239166764065e-61,1.1530619583375694e-61,4.0564268957367499e-90,4.4108125879394407e-106,1.0632773818024546e-100,2.2054062939693282e-106,2.2054062939693282e-106,2.0583305746641295e-93,1.0123701374329179e-116,7.2811597328084439e-138,5.0618506871645895e-117,5.0618506871645895e-117,5.0618506871645895e-117,2.2381545739180338e-109,1.119077286763043e-109,1.1190772867630582e-109,1.3343325020336273e-35
8.214142357194506e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771333,0.6699999999999996,2.1490093905809499e-67,0.0,1.2299508669837888e-37,4.7660881074984463e-64,0.0,0.0,0.0,0.0,0.0,4.8705515087450049e-16,4.8705515087450049e-16,1.3292145935793069e-44,3.7220932991082227e-60,1.861046649553088e-60,2.6285042601979835e-88,5.7168382201767468e-104,3.4271195656174662e-99,2.8584191100878635e-104,2.8584191100878635e-104,1.3337675800558892e-91,6.5268328046653424e-115,3.8122191886088652e-135,3.2634164023326712e-115,3.2634164023326712e-115,3.2634164023326712e-115,2.9008640371242785e-107,1.4504320183069176e-107,1.4504320183069572e-107,5.3652923046017546e-35
1.6456905419466344e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771234,0.66999999999999915,3.4544698310651984e-66,0.0,4.9326530854833237e-37,1.9114144996074878e-63,0.0,0.0,0.0,0.0,0.0,9.7580735802382007e-16,9.7580735802382007e-16,1.0676974473534438e-43,5.9813040093774891e-59,2.9906520046870997e-59,1.6926831626093132e-86,7.3633271448441851e-102,1.1006304307532725e-97,3.6816635724214335e-102,3.6816635724214335e-102,8.5890898477171284e-90,4.1924696863889332e-113,1.9737326320125598e-132,2.0962348431944666e-113,2.0962348431944666e-113,2.0962348431944666e-113,3.7363329318435582e-105,1.8681664655922289e-105,1.8681664655923315e-105,2.1517221827087197e-34
