Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),CO2X(24),H2X(49),CHOX(53),H2OX(23),COX(50)
6.7463855215091425e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,2.8361721190409634e-97,1.3773521565903354e-54,1.2700896246594516e-35,9.1944949292948726e-74,3.6355797144984922e-52,9.8268787982287755e-118,6.8601061749620811e-22,2.4798427959135748e-105,6.860106174960442e-22,5.8916715201208329e-72,3.9115724529180348e-64,9.3732375046814857e-99,5.6637436899953654e-100,5.5025385052877562e-48,1.8395379779864173e-84,2.7206202198434813e-15,1.3080983786952284e-16,5.0421178141088653e-20,5.0421180350053647e-20,1.1040520650909052e-27,2.9941918138002142e-31,8.0860740461401458e-36,3.7569688251579192e-32,1.1714095272503032e-60,6.7883134533152536e-88,4.5002314723782202e-49,6.8984127607152211e-90,7.3331884121047703e-46,8.2969805964273651e-89
1.3498632368406217e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,7.3560812783986034e-95,2.2055567172474784e-53,8.2806095672708313e-35,5.959147291953251e-72,2.9114122375025134e-51,2.5474754834723854e-115,1.3726172476924645e-21,1.5895523233257438e-103,1.3726172476918075e-21,9.4369132061507503e-71,6.2657952662191105e-63,1.2149577384099865e-96,7.3413366392443103e-98,4.4053739210422857e-47,5.8931282420870254e-83,5.4436041410057073e-15,2.6173332459905046e-16,1.0088616048182892e-19,1.0088616932464355e-19,4.4178872773554744e-27,2.3965666144366749e-30,6.5494774620620704e-35,1.5037656507386105e-31,3.7963375736390121e-59,8.8034413938135787e-86,5.810083825922259e-48,8.9462421329941838e-88,5.8710060632172864e-45,1.0754534618052524e-86
2.7003126062200363e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,1.9273571359069484e-92,3.5303229695008518e-52,5.8697667927827949e-34,3.9023659645791096e-70,2.3303096098442684e-50,6.6720988062424261e-113,2.745830508085652e-21,1.0180990737559e-101,2.7458305080830234e-21,1.5107255923266327e-69,1.0031090010751312e-61,1.5911110420786315e-94,9.6142288007785625e-96,3.5256337588243664e-46,1.8868586471490057e-81,1.0889571983325025e-14,5.23580298058095e-16,2.0181611852878252e-19,2.0181615392113873e-19,1.7667722022573762e-26,1.9170101083351874e-29,5.3626518798771984e-34,6.017013556641529e-31,1.2432219256900816e-57,1.15333403718049e-83,8.1800398121763355e-47,1.1720470444023269e-85,4.6985834726805787e-44,1.4084159509548047e-84
5.401211344978866e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,5.1540554122366045e-90,5.6496528703547098e-51,4.3906758579606809e-33,2.6084057859716202e-68,1.8647195024130976e-49,1.7834835804163597e-110,5.4922570288747284e-21,6.5183483154251166e-100,5.4922570288642132e-21,2.4178164310895494e-68,1.6054368548105343e-60,2.126718930896676e-92,1.2850619140166324e-93,2.8210358550994086e-45,6.0396396576818891e-80,2.1781507667943119e-14,1.0472742449761421e-15,4.0367600808458522e-19,4.0367614975358827e-19,7.060584316681715e-26,1.5323468555937512e-28,4.4844154021381229e-33,2.407190992633371e-30,4.1562576750970164e-56,1.5422175566789149e-81,1.2186388797625473e-45,1.5672529767998e-83,3.7595715411689111e-43,1.8825240457116262e-82
1.0803008822496526e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,1.4309989915602489e-87,9.040321779072457e-50,3.385509932780141e-32,1.8101941133519263e-66,1.4919639849059112e-48,4.948805399045706e-108,1.0985110070463685e-20,4.1725466785387563e-98,1.0985110070421621e-20,3.8690298329109396e-67,2.5690590505105975e-59,2.9510046221278587e-90,1.7831333750539549e-91,2.2570320619126681e-44,1.9329549982049396e-78,4.3565379037097134e-14,2.0946621388120666e-15,8.0739568104380146e-19,8.0739624837638659e-19,2.8183576657995887e-25,1.2235169365853833e-27,3.8965609125369013e-32,9.6294977540688522e-30,1.4429969437759996e-54,2.1412429600450112e-79,1.8750235818375695e-44,2.1760378808080096e-81,3.0079282273759363e-42,2.6121631881146555e-80
2.1606603777531842e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,4.2302543301790841e-85,1.446511480823091e-48,2.6497295955020677e-31,1.3374976633932278e-64,1.1936459602909843e-47,1.4616546797530117e-105,2.1970816153684817e-20,2.6706858477388521e-96,2.1970816153516551e-20,6.1908636586304304e-66,4.1107507614896457e-58,4.3588990752415959e-88,2.6338480715298904e-89,1.8056939106155483e-43,6.1858856302270692e-77,8.713312177507653e-14,4.1894379264832384e-15,1.6148346023528998e-18,1.6148368766299877e-18,1.1225334633662173e-24,9.7491984322496042e-27,3.6084344790092197e-31,3.8519159346415979e-29,5.3356685844386192e-53,3.1656181221636501e-77,2.9317856233556516e-43,3.2171631327515195e-79,2.4064334800236907e-41,3.858399462943943e-78
4.3213793687602476e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,1.3697202398253699e-82,2.3144337824714632e-47,2.0839048705699177e-30,1.0823858746827553e-62,9.5494574140619094e-47,4.7273090122901801e-103,4.3942228320299955e-20,1.7093192488831583e-94,4.3942228319626879e-20,9.9057052034916552e-65,6.5773044639713114e-57,7.0508090693618745e-86,4.2604237317060815e-87,1.4445614831201352e-42,1.9795502967980935e-75,1.742686072497207e-13,8.3789895018228716e-15,3.2297107465355286e-18,3.2297198822006611e-18,4.4518455537445428e-24,7.7372298934002818e-26,3.6633813098060962e-30,1.5407657984087848e-28,2.1615531144008443e-51,5.1265143640943503e-75,4.6097135565607092e-42,5.2103243760128569e-77,1.9251551361980625e-40,6.2412165106217323e-76
8.642817350774375e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,4.9411939748173109e-80,3.7030021159601664e-46,1.6334507015904696e-29,9.7593419791423382e-61,7.6396668387067732e-46,1.7033668099000217e-100,8.7885052654221712e-20,1.0939879574846209e-92,8.7885052651529383e-20,1.5849356920432608e-63,1.0523444040462393e-55,1.2706644501458536e-83,7.6779377906697166e-85,1.1556182095501562e-41,6.3346561487406143e-74,3.4853957819375056e-13,1.6758092652491302e-14,6.4594562411729496e-18,6.4594930839496212e-18,1.7507764179765232e-23,6.0924295594715378e-25,4.1448585699669964e-29,6.1628705153909314e-28,9.757324566032817e-50,9.2497503647654437e-73,7.2279281523230885e-41,9.4021759661455969e-75,1.5400826397447157e-39,1.1247629769925492e-73
1.7285693314802629e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,1.9670096735514367e-77,5.9243962248411781e-45,1.2639762495418291e-28,9.7118838118904122e-59,6.1117498551341586e-45,6.7753262452529692e-98,1.7577070132483115e-19,7.001572196200426e-91,1.7577070131406176e-19,2.5359057664072374e-62,1.6836273876207286e-54,2.5276459381644652e-81,1.5273187597528898e-82,9.2442855349337517e-41,2.0270976250377221e-72,6.9708152006077649e-13,3.3516298953784814e-14,1.2918920055650232e-17,1.2919069715752584e-17,6.7742872734239925e-23,4.7249987593284966e-24,5.1722536442131266e-28,2.464956468976374e-27,4.8600531991826101e-48,1.8415682924688866e-70,1.1195435377264905e-39,1.8723925929211206e-72,1.2319778370230218e-38,2.2374124467302044e-71
3.457144524285914e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,8.3292896332525374e-75,9.4776409474824377e-44,9.5175296805157039e-28,1.0283704678646883e-56,4.8893680716247684e-44,2.8686587790165032e-95,3.515419986771137e-19,4.4809882118550095e-89,3.5154199863403614e-19,4.0574253423580719e-61,2.6933715071682766e-53,5.3513130709829707e-79,3.2335030868166175e-80,7.3943066199189476e-40,6.4866761755145114e-71,1.3941654037106935e-12,6.7032711556198439e-14,2.5837738986330055e-17,2.5838354350517099e-17,2.5424965362659533e-22,3.5616386195513552e-23,6.858546758328619e-27,9.8582171206256091e-27,2.5746751494335668e-46,3.8996426526950721e-68,1.6890992787161081e-38,3.9669112920014294e-70,9.8543229034437863e-38,4.7368488134674231e-69
