Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),H2OX(23),COX(50)
6.5507964204129525e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996269,0.022821567693054223,0.0,1.2244379788047178e-54,4.4422114476675728e-36,1.1287555041333435e-75,1.6906993134762882e-48,1.1323736838801876e-119,6.6612201205754022e-22,1.0558098222986297e-101,6.6612201202120174e-22,2.660444340953145e-68,1.0378431637634577e-61,1.1140054361857544e-100,6.7313361965744963e-102,5.0376958233771951e-48,8.065798308110836e-81,2.6417448485018057e-15,1.2701743992222695e-16,4.895938416759132e-20,3.5422849587713924e-32,4.8959384174569644e-20,3.4887054177854722e-30,3.0780874780123504e-36,1.2395954210897345e-42,1.6726072693585397e-67,1.5951344797983215e-49,6.7136963426483474e-46,9.8609274836182369e-91
1.310728423649959e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999448,0.11866996602996004,0.02282156769305416,0.0,1.9606949769629302e-53,1.7780423629534919e-35,1.2830733182656567e-73,1.3539306680795367e-47,5.1457999722265145e-117,1.3328227574736112e-21,6.7676266596113215e-100,1.3328227573281629e-21,4.2613345362803858e-67,1.6624805233971441e-60,2.5316473191601195e-98,1.5297384270083555e-99,4.0332174267623864e-47,2.5839523955153083e-79,5.2857848706323213e-15,2.5414523383221969e-16,9.7961304717567277e-20,1.4178362382061888e-31,9.7961304745498762e-20,1.3963901175969247e-29,2.4643387892610384e-35,1.7646238765884782e-41,9.5136612196833504e-66,1.2770775677445605e-48,5.3750361250700739e-45,2.2409577001236912e-88
2.6220259868672867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998893,0.11866996602995475,0.022821567693054032,0.0,3.1383852859807823e-52,7.1144863409087278e-35,1.5386259323231516e-71,1.0836932892214451e-46,2.4674260252940083e-114,2.6662242485237755e-21,4.3346260906589963e-98,2.6662242479417918e-21,6.8218362385713016e-66,2.6615125892980572e-59,6.0703612653749394e-96,3.6679930980309416e-97,3.2277959304221558e-46,8.2732855952206391e-78,1.0573864914888509e-14,5.084008216521951e-16,1.9596514579654679e-19,5.6731846365010337e-31,1.9596514590830927e-19,5.5873694904533953e-29,1.9722155092067351e-34,2.6482108215023313e-40,5.7068961750453586e-64,1.0220503023493573e-47,4.3016574191997175e-44,5.3733482892830305e-86
5.2446211133019425e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997783,0.11866996602994417,0.022821567693053778,0.0,5.0224267860543265e-51,2.8462585093362957e-34,1.9029993317189781e-69,8.6717418654706162e-46,1.2204680735783716e-111,5.3330272314961913e-21,2.7752315888418067e-96,5.3330272291678782e-21,1.0917899605650724e-64,4.2596477718216225e-58,1.5013936829919934e-93,9.0721151933559111e-95,2.5827210973031835e-45,2.6481936847750304e-76,2.115002500338152e-14,1.0169119972921062e-15,3.919728278706164e-19,2.2696375624514879e-30,3.9197282831773996e-19,2.2353037327533299e-28,1.5780648784216584e-33,4.0968942034981002e-39,3.5300975612232527e-62,8.1779571622546878e-47,3.4419714035084718e-43,1.3290001684124346e-83
1.0489811366171253e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995568,0.11866996602992302,0.022821567693053268,0.0,8.0366637521535012e-50,1.1385966282572231e-33,2.3932808263416256e-67,6.9382718147411271e-45,6.1389982404327615e-109,1.0666633200929376e-20,1.7764909781626358e-94,1.0666633191615363e-20,1.7471008992160847e-63,6.8163938107386831e-57,3.7761593830046987e-91,2.2817301882319249e-92,2.0663633641610267e-44,8.4754076369759785e-75,4.2302345180290071e-14,2.0339343485717692e-15,7.8398819168319795e-19,9.0792434663894418e-30,7.8398819347184414e-19,8.9418795024184946e-28,1.2625602895285657e-32,6.4427623751385476e-38,2.2200887454013922e-60,6.5429899639964623e-46,2.7538256114203987e-42,3.342571951959477e-81
2.0980191871909876e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991132,0.11866996602988072,0.022821567693052252,0.0,1.2859198856480253e-48,4.5545763552312897e-33,3.0361161968614589e-65,5.5509687933146701e-44,3.1150116080561966e-106,2.1333845153749151e-20,1.1370639207583065e-92,2.1333845116491588e-20,2.7955510177630617e-62,1.0906916417428116e-55,9.5805402628148137e-89,5.7890056317536021e-90,1.6531536489126175e-43,2.7123205095086028e-73,8.4606985533797296e-14,4.0679790511304547e-15,1.5680189179661299e-18,3.6318086341950972e-29,1.5680189251210569e-18,3.5768468384555203e-27,1.010077806141888e-31,1.021845854847334e-36,1.4082999039323591e-58,5.2346453107840284e-45,2.2031443278941724e-41,8.4804801330124078e-79
4.196095288338712e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982262,0.11866996602979611,0.022821567693050219,0.0,2.0574866387361761e-47,1.8218712203146139e-32,3.8686642575486947e-63,4.440915561357552e-43,1.5876358991906487e-103,4.2668269115202328e-20,7.2775601199293792e-91,4.2668268966169048e-20,4.4730332831698134e-61,1.7451360493289324e-54,2.4414905443273392e-86,1.4752615322176288e-87,1.3225294777780898e-42,8.6797297206335131e-72,1.6921626623957225e-13,8.1360684562452729e-15,3.1360803651630705e-18,1.4527237837010397e-28,3.1360803937837669e-18,1.4307274392157217e-26,8.0805202390725477e-31,1.6277131586485399e-35,8.9726971824532047e-57,4.187823399077554e-44,1.762524100089815e-40,2.1611527940252944e-76
8.39224749063416e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319964526,0.11866996602962689,0.022821567693046149,0.0,3.2919004754673579e-46,7.2875879093373621e-32,4.9403894618000051e-61,3.552788637918831e-42,8.1097109140313389e-101,8.5337117261363192e-20,4.6577507883048648e-89,8.5337116665223981e-20,7.1569745346621755e-60,2.7921596691105095e-53,6.2356453260944214e-84,3.7678653702341992e-85,1.057996407386428e-41,2.7775621490179847e-70,3.3843482764616422e-13,1.6272247266464689e-14,6.272203238081257e-18,5.8107204466520705e-28,6.272203352568466e-18,5.7226447539517132e-26,6.4640225218374187e-30,2.5984117479637673e-34,5.7292889566392175e-55,3.350310878280834e-43,1.4099828997853185e-39,5.5196533284283301e-74
1.6784551895225059e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319929054,0.11866996602928845,0.022821567693038013,0.0,5.2666902653794376e-45,2.9150731029984219e-31,6.3156752284598091e-59,2.8422533497079416e-41,4.1468779545736956e-98,1.7067481444670293e-19,2.9809964187622231e-87,1.7067481206213398e-19,1.1451256139615812e-58,4.467148140453923e-52,1.5942932042247601e-81,9.6334570590390658e-83,8.4633858453145809e-41,8.8882765906110878e-69,6.7687195043951648e-13,3.2544604886862652e-14,1.2544448898014856e-17,2.3241129805396285e-27,1.2544449355992062e-17,2.2888110079458842e-25,5.1704962029639197e-29,4.1522771683589037e-33,3.6621231923538597e-53,2.6802844409747773e-42,1.1279080388731445e-38,1.4112323813983182e-71
3.3569160704406852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319858111,0.11866996602861156,0.022821567693021742,0.0,8.425502728128208e-44,1.1660506908089183e-30,8.077233806521648e-57,2.273811597418925e-40,2.1214022225769563e-95,3.4135021238945435e-19,1.9078491674254677e-85,3.4135020285115442e-19,1.8322086876719659e-57,7.1463564241502892e-51,4.0779352802978465e-79,2.4640771366760339e-80,6.7697119611701541e-40,2.8442608738453377e-67,1.3537461959468933e-12,6.5089320127495081e-14,2.5088939874270965e-17,9.2949797365174199e-27,2.508894170639272e-17,9.1531996718757059e-25,4.13520563761648e-28,6.6380967529075741e-32,2.3417863576761101e-51,2.1442656390632589e-41,9.0219317844274482e-38,3.6096953481317252e-69
6.713837832277045e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319716225,0.11866996602725778,0.022821567692989198,0.0,1.347689632236527e-42,4.6643564746841822e-30,1.0330150568610421e-54,1.8190527519936107e-39,1.0852430125823863e-92,6.8270102256324442e-19,1.2210270916542265e-83,6.8270098440999724e-19,2.931539919168108e-56,1.1430636022320344e-49,1.0430720694620091e-76,6.3027239319301521e-78,5.4141514239345399e-39,9.1016541358871731e-66,2.7074946866443379e-12,1.3017875060810606e-13,5.0177920452338902e-17,3.7168004974993154e-26,5.0177927782500772e-17,3.6596314533539585e-24,3.3062449604900059e-27,1.0612036479125018e-30,1.4974808673165548e-49,1.7154657840765807e-40,7.2153822018453666e-37,9.2330311903995812e-67
1.3427681355949762e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319432446,0.11866996602455024,0.022821567692924108,0.0,2.1550487720772396e-41,1.8658618512954397e-29,1.3205933137201813e-52,1.455243442404599e-38,5.5494571044305988e-90,1.3654027000639669e-18,7.8145844406981679e-82,1.3654025474508902e-18,4.6904682205485911e-55,1.8277655778708689e-48,2.6669045213544128e-74,1.6114670609983806e-75,4.328724730051971e-38,2.9125321335168176e-64,5.4149916667699906e-12,2.6035761156671227e-13,1.0035587611069824e-16,1.4857651052913868e-25,1.00355905444678e-16,1.4625327248619946e-23,2.6419229551148654e-26,1.6957806931196537e-29,9.5717709600514399e-48,1.3724547108818651e-39,5.7688347783902338e-36,2.3606792620255054e-64
2.6855368403295197e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318864889,0.11866996601913514,0.022821567692793927,0.0,3.4440659603197404e-40,7.464391997105718e-29,1.6864639592765331e-50,1.1641950121438345e-37,2.8347915934901313e-87,2.7308062836779313e-18,5.0013368826416342e-80,2.730805673225506e-18,7.504751144015217e-54,2.9207905910349926e-47,6.8115699617286183e-72,4.1158655552015737e-73,3.4588289115358298e-37,9.3201055037644035e-63,1.082998562194435e-11,5.2071533347346276e-13,2.0071176543631563e-16,5.9354277524202495e-25,2.0071188287857986e-16,5.8395931093014714e-23,2.1086324549727362e-25,2.7069658145986715e-28,6.1117655735356868e-46,1.0980935643981599e-38,4.609518787087329e-35,6.02942365808554e-62
