Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),CHOX(53),O(29),CO2X(24),acetyl(44),CH4OX(63),C2H4X(215),C2H6X(52),C2H4X(70),CHO2X(213),HOCO(73),CHO3(123),CHO2(74),S(216)
1.0698514131943917e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999468,0.11866996602991281,0.022821567693053522,7.546928192684536e-87,7.608240647780722e-42,5.702206608878129e-28,1.2860339803695923e-63,5.0162095277948794e-42,3.185299668393512e-99,9.442287129878061e-16,3.453860369440722e-82,9.44228712985899e-16,6.5531627322250325e-56,5.791479275151973e-55,2.467148466153933e-83,2.8606530086088236e-84,2.0534985590224223e-29,3.0266146921632958e-65,5.156692217221284e-14,1.5268049140605323e-15,6.112313406027168e-18,1.7292539748028107e-29,6.403131689706561e-29,6.1123106878279515e-18,1.3578273604546784e-24,5.643810687292839e-28,1.2452432263685398e-31,2.3352358315718187e-54,6.174591378542292e-42,3.99438498990304e-40,5.760655532887278e-29,1.837916557011285e-57,4.344880584687007e-77,3.946448310766225e-79,1.1479138134283649e-23,3.6291483046455577e-78,2.229362007775695e-91,9.191285837294394e-68,3.0678491867756856e-70,8.491807226203024e-55,5.047639381575379e-78,2.254840852173935e-90,6.031414411210316e-101,1.999434011825085e-127,1.4059335340196412e-109,6.774611687642408e-156
2.1397608726919243e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998937,0.1186699660298603,0.02282156769305276,1.972578932582599e-84,6.086881649434415e-41,2.281462375819462e-27,8.402863782487485e-62,4.0132216422829336e-41,8.324048673907603e-97,1.8885086564411982e-15,2.2106839075158677e-80,1.8885086564335684e-15,1.048577147605015e-54,9.267039522781544e-54,3.2237873848294008e-81,3.737974092972085e-82,8.214328479964938e-29,1.0748661739821746e-63,1.0313664218035126e-13,3.0536926670827798e-15,1.2224961166754187e-17,6.91729702283985e-29,2.5613568720683423e-28,1.2224950291261105e-17,5.429273024574258e-24,4.5134897264153265e-27,1.0175025354415791e-30,7.6303411311327685e-53,4.939907202151307e-41,3.196296425034341e-39,2.30435594004536e-28,5.879512240315404e-56,5.677392833400569e-75,5.157721801580411e-77,2.2958940157622963e-23,4.743028807639403e-76,5.826535686652937e-89,2.94143206889142e-66,1.96282406039337e-68,1.3587813039667045e-53,3.5827345611888485e-76,5.891208936494411e-88,3.151588283527001e-98,4.1807699367732945e-124,7.899259078950214e-107,1.1101672314353927e-151
4.27957979168699e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997875,0.11866996602975526,0.022821567693051232,5.2564974696452885e-82,4.869621188458743e-40,9.129926072041648e-27,5.597454697104098e-60,3.2106789246213248e-40,2.2174931649000715e-94,3.777068543347694e-15,1.4149059503942717e-78,3.7770685433171734e-15,1.6777803253557827e-53,1.4827799813870386e-52,4.2943339659422756e-79,4.979270369073817e-80,3.2857982421273907e-28,4.11913609226749e-62,2.062760821952889e-13,6.107468173125531e-15,2.4450264869384883e-17,2.7669748288439863e-28,1.0245635727009143e-27,2.4450221348517204e-17,2.1699495145033828e-23,3.6080435412466733e-26,8.480004498924546e-30,2.542180187655048e-51,3.9520189172845714e-40,2.5581154810314065e-38,9.217610988864232e-28,1.8800625577375475e-54,7.562725852211529e-73,6.872627763935927e-75,4.5918667424135534e-23,6.320039287730906e-74,1.5524144021730522e-86,9.412934408891881e-65,1.2552935104397924e-66,2.1741238067880355e-52,2.7431104782341775e-74,1.568604874411585e-85,1.6782357738313828e-95,8.911681494541782e-121,4.7951847765347206e-104,1.8187927213543997e-147
8.559217629677121e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679957505,0.11866996602954517,0.02282156769304818,1.4511553804120124e-79,3.895743640289583e-39,3.655113100559961e-26,3.862661403539377e-58,2.5685837841155067e-39,6.118546680621688e-92,7.554188317159534e-15,9.055616474505212e-77,7.554188317037446e-15,2.6844940288991807e-52,2.3724903882825967e-51,5.925272072989965e-77,6.870339263772767e-78,1.3143326671392777e-27,1.7519996084329565e-60,4.125549622198073e-13,1.2215019185204064e-14,4.890090509362697e-17,1.1068009707642867e-27,4.098295813044695e-27,4.890073086463215e-17,8.665488668134782e-23,2.88194490821239e-25,7.326518859377314e-29,8.77610745422381e-50,3.161651617886736e-39,2.0481412664680126e-37,3.687081658866828e-27,6.007031875343156e-53,1.043496060728141e-70,9.487873518212021e-73,9.183861483649645e-23,8.72497246788958e-72,4.284595958841516e-84,3.0121945375369314e-63,8.021735392209336e-65,3.478657066974588e-51,2.330413065849704e-72,4.3240712664233845e-83,9.251972697620807e-93,1.9677143792523204e-117,3.2924000185219253e-101,2.978394162619346e-143
1.7118493305657384e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679915017,0.11866996602912501,0.022821567693042073,4.252527214979918e-77,3.1166141342954215e-38,1.4645256004638244e-25,2.829204146490057e-56,2.0548832843522608e-38,1.7914801267259977e-89,1.5108427864778595e-14,5.79566441367037e-75,1.5108427864290243e-14,4.295226840969138e-51,3.7960169272223126e-50,8.676269622766327e-75,1.0060114284251154e-75,5.257357410381006e-27,8.370413814907639e-59,8.251127222474165e-13,2.4430121209333256e-14,9.780231756796386e-17,4.427224643101432e-27,1.6393265290014452e-26,9.780161950362129e-17,3.4547482088903145e-22,2.2983633085823306e-24,6.72521157922426e-28,3.216761610189724e-48,2.5293346421721813e-38,1.641110451318162e-36,1.4748399700449546e-26,1.9163531579537593e-51,1.5279723941677813e-68,1.3904873692352058e-70,1.8368048117856123e-22,1.2786706732561844e-69,1.2550397918427708e-81,9.639106495361044e-62,5.118285969693815e-63,5.565898484344777e-50,2.223855226692696e-70,1.264130295724017e-80,5.409015120513008e-90,4.61112281654428e-114,2.6828329641955415e-98,4.8713283539014515e-139
3.423704465761791e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983004,0.11866996602828468,0.022821567693029857,1.3614093082986336e-74,2.4932998700521353e-37,5.877718557297283e-25,2.263683238160584e-54,1.6439131290000019e-37,5.728564763756435e-87,3.021690695999825e-14,3.709247562270396e-73,3.0216906958044854e-14,6.872392022240126e-50,6.073647716248701e-49,1.387593928903348e-72,1.608911818827633e-73,2.102948313431673e-26,4.431379050570636e-57,1.6502282422169247e-12,4.886032525748012e-14,1.9560567655052423e-16,1.770892954470537e-26,6.557321717996249e-26,1.956028752114143e-16,1.3728152881909345e-21,1.8272687159841317e-23,6.750052062897447e-27,1.2883929046626854e-46,2.0234710595463197e-37,1.3169957135851603e-35,5.89937332361505e-26,6.094834506168017e-50,2.443682404101399e-66,2.2264423875854324e-68,3.673720999320621e-22,2.0473692332948528e-67,4.015534849441491e-79,3.0845243988444395e-60,3.255831680843078e-61,8.905475303666052e-49,2.352203722862569e-68,4.033675756917004e-78,3.451395634504704e-87,1.1802775624246878e-110,2.67800162310118e-95,7.940221513111209e-135
6.847414736153896e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679660093,0.11866996602660404,0.022821567693005425,4.857075466195148e-72,1.9946447189787787e-36,2.366485934184025e-24,2.0183550730069638e-52,1.3151331016834142e-36,2.041116996689913e-84,6.043386515036372e-14,2.3739255609643194e-71,6.043386514255007e-14,1.0995850371469774e-48,9.717836173302011e-48,2.472829305347305e-70,2.867239309482066e-71,8.41180395951785e-26,2.519657834986774e-55,3.3004592818130996e-12,9.772073335332781e-14,3.9121457703119235e-16,7.083569574181179e-26,2.622931163109632e-25,3.912033003685149e-16,5.4198909989629586e-21,1.4438553739604744e-22,7.55272408935487e-26,5.751273479214717e-45,1.618774996630133e-36,1.0600479847912194e-34,2.3597510824615337e-25,1.9267553156372314e-48,4.354881222164972e-64,3.9730212172994814e-66,7.347868817165444e-22,3.653356022008755e-65,1.4316767457459753e-76,9.870474648065243e-59,2.0587246201513522e-59,1.4248790626658852e-47,2.673084152181763e-66,1.4337756711754746e-75,2.453209903560193e-84,3.36637187576887e-107,3.2752426885825945e-92,1.2834433251558257e-130
1.3694835276938106e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276793202,0.11866996602324276,0.022821567692956565,1.9215514197320428e-69,1.5957199405490354e-35,9.58472949199404e-24,1.9956803317918003e-50,1.0521075173352148e-35,8.06603872932482e-82,1.2086778153079924e-13,1.5193146033185652e-69,1.2086778149954467e-13,1.759337870142755e-47,1.5548484368651383e-46,4.887387014880104e-68,5.666911606311443e-69,3.3647237307431147e-25,1.4864915153305392e-53,6.600921359634087e-12,1.9544154954323902e-13,7.824414628055565e-16,2.8334206310380036e-25,1.0491724448344625e-24,7.823958058269223e-16,2.112887827806297e-20,1.1273361983647959e-21,9.366245650803893e-25,2.846499574677519e-43,1.295014154246475e-35,8.580032168110454e-34,9.439000350494445e-25,6.019768002669782e-47,8.60713303266424e-62,7.861659190555532e-64,1.4697426223953972e-21,7.228680364676201e-63,5.6607826219764035e-74,3.158538577154988e-57,1.2866588620530746e-57,2.2798088980134895e-46,3.152874938069576e-64,5.6539349141437126e-73,1.9345185457882034e-81,1.0647186981617622e-103,4.7442180121284324e-89,2.0376099997399476e-126
2.7389676358506526e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678640403,0.11866996601652018,0.022821567692858844,8.161597703447639e-67,1.276581195228429e-34,3.9224413336227705e-23,2.118732442374077e-48,8.416864228145429e-35,3.423558137804814e-79,2.417356142904886e-13,9.72362020190807e-68,2.417356141654705e-13,2.8149419122668677e-46,2.4877304089361335e-45,1.0373851437489715e-65,1.2028446506645908e-66,1.3458899263057418e-24,8.816254814242466e-52,1.3201845509790604e-11,3.9088318191592474e-13,1.564934172639545e-15,1.1333614133092593e-24,4.196685613792372e-24,1.564747438744527e-15,8.041001896665265e-20,8.603987451528518e-21,1.2455931581615766e-23,1.5120662362703245e-41,1.036000822444054e-34,7.012938874478528e-33,3.775593356039618e-24,1.8390621161753818e-45,1.8269263007313759e-59,1.670373805288666e-61,2.9401588121923788e-21,1.5354216082824925e-60,2.4034878457795304e-71,1.0107197920272859e-55,7.86446016710305e-56,3.6476961117640763e-45,3.7394348919699617e-62,3.7068174030725734e-70,2.535312873865489e-78,5.759840140483381e-100,1.1675671423997458e-85,3.0487373825433303e-121
5.4779358521643366e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767728082,0.11866996600307503,0.022821567692663403,3.546976589298676e-64,1.021272772463703e-33,1.6309235233833543e-22,2.3018389598106414e-46,6.733492931126553e-34,1.4875307866136773e-76,4.834712798051402e-13,6.223118521672981e-66,4.83471279305068e-13,4.5039077043746397e-45,3.9802871836830017e-44,2.253833770351941e-63,2.6133105204616184e-64,5.383560610208756e-24,5.096002268125415e-50,2.6403693788161818e-11,7.817664466327499e-13,3.1300929182476506e-15,4.533388788860419e-24,1.678670112640359e-23,3.1293172039770685e-15,2.9291649458232987e-19,6.300278554366753e-20,1.6926420403901112e-22,8.215495433743443e-40,8.28783397272392e-34,5.819651770990165e-32,1.5102311949868152e-23,5.393909104897985e-44,3.96918483447492e-57,3.6311180309188456e-59,5.8830100255412165e-21,3.336599093194103e-58,1.0444055332297776e-68,3.234226701539334e-54,4.616410978667109e-54,5.83631514036413e-44,4.3232769667288726e-60,1.611783135774057e-67,2.2056201678907996e-75,2.0015308342436217e-96,2.0002807644213773e-82,4.230797600585743e-117
