Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),C2H6X(52),CH4OX(63),HOCO(73),CHO2(74),S(216)
6.543359446539679e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999666,0.11866996602996212,0.02282156769305424,6.353320261986516e-99,1.7424424603292956e-45,2.1334468322758063e-30,1.0867148920210339e-71,1.1550254832933591e-45,1.0085464904773521e-109,5.775035269168628e-17,1.822136838772099e-89,5.775035269167792e-17,9.235039575030219e-61,9.20230316371025e-60,1.2761543651088977e-92,1.4796976321239354e-93,7.684684503803847e-32,2.9795943909074026e-71,3.153904394241213e-15,9.338150358294395e-17,3.7383747277618856e-19,6.47128182024951e-32,2.3962058903577323e-31,3.7383747111323395e-19,8.292594127011845e-28,3.4410139733037326e-33,1.2216952578787062e-37,8.578387382560811e-63,1.4141072324789944e-45,9.146133898767204e-44,2.1557756054423818e-31,5.923401484674532e-62,2.247427268479584e-86,7.0207881898464285e-25,3.314599148413222e-89,7.052736018359376e-102,6.051914643472855e-76,4.991132126320147e-89,3.0389862753673656e-85,1.1967075658019396e-59,8.938871054381907e-74,5.632494589819088e-121,6.702384785592759e-123,1.121592072870037e-173
1.3092403827437776e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999934,0.1186699660299589,0.022821567693054195,1.6423732084960975e-96,1.3950134503542098e-44,8.539347737061698e-30,7.019903967097391e-70,9.249571534976968e-45,2.6058996636120055e-107,1.155508794517428e-16,1.1679699873602722e-87,1.1555087945170927e-16,1.4792112912250871e-59,1.4740819747574403e-58,1.6486920661335435e-90,1.9116541168921788e-91,3.0758764881023623e-31,1.1646329988683962e-69,6.31054893130807e-15,1.8684413792486307e-16,7.479997408545177e-19,2.5901991591960065e-31,9.59106824819349e-31,7.479997341983517e-19,3.3191849804941434e-27,2.7548919768265843e-32,9.861826536137956e-37,2.770830438602112e-61,1.1321456075264956e-44,7.322468748166546e-43,8.628720526410797e-31,1.8978208399078604e-60,2.903501022192842e-84,1.404767764705976e-24,4.28426194326702e-87,1.8231311880510745e-99,3.878068513409562e-74,6.451253104930394e-87,2.3730997538974562e-83,1.9168118655962294e-58,2.863878476612118e-72,2.9124888912238003e-118,3.465224918405741e-120,1.8211954467701543e-169
2.619049258923397e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999869,0.11866996602995247,0.0228215676930541,4.2755394032920964e-94,1.1164347373184587e-43,3.416851784541386e-29,4.5675401664993335e-68,7.403406126412807e-44,6.78160637497533e-105,2.311519329718622e-16,7.48078083407876e-86,2.3115193297172804e-16,2.3680227653293678e-58,2.3599028131684235e-57,2.1453417908113225e-88,2.4875181661131598e-89,1.2307512467082683e-30,5.074246661851582e-68,1.2623838005436767e-14,3.737694066086948e-16,1.496324282017744e-18,1.0364170258400074e-30,3.837676588960164e-30,1.4963242553843e-18,1.3280953064318685e-26,2.204732465599785e-31,8.021843679819802e-36,9.01530206576863e-60,9.060605422649039e-44,5.860201067603119e-42,3.452612146478232e-30,6.076723788286923e-59,3.778147660086357e-82,2.810146117830232e-24,5.576694466350255e-85,4.745824255514548e-97,2.4834996558010207e-72,8.397401949615208e-85,2.0651443901199565e-81,3.0685637418449677e-57,9.16991848562305e-71,1.516408926313804e-115,1.8041823834628977e-117,2.915733168622327e-165
5.2386670112826355e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999739,0.11866996602993961,0.022821567693053914,1.1295812303321316e-91,8.93317421677074e-43,1.3669635164180596e-28,3.0163092435380275e-66,5.924224826326624e-43,1.7910685429487757e-102,4.623540400121266e-16,4.789547898526009e-84,4.623540400115897e-16,3.7898644763483303e-57,3.7769421199062283e-56,2.8331570458085788e-86,3.285038143200348e-87,4.9238064039244466e-30,2.4854462072125485e-66,2.5250416153674087e-14,7.476199439763321e-16,2.992973384371047e-18,4.1463427623390806e-30,1.5353205262276332e-29,2.9929732778190463e-18,5.313157780095113e-26,1.7640915294678036e-30,6.625744431999427e-35,2.977443855829583e-58,7.249860546093695e-43,4.689052217814555e-41,1.381269673605323e-29,1.9451194091074996e-57,4.989454674459262e-80,5.6209046708051e-24,7.36712239118438e-83,1.2536832524262562e-94,1.5899119970366925e-70,1.109343456765132e-82,2.0204842456771475e-79,4.911034171588193e-56,2.935255346371121e-69,8.011632588106521e-113,9.533149885828957e-115,4.565109972809697e-161
1.0477902516001114e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999479,0.11866996602991389,0.02282156769305354,3.0694230917730087e-89,7.14721804942279e-42,5.468301566203926e-28,2.04872750887604e-64,4.739979903686216e-42,4.864558291268316e-100,9.24758254092757e-16,3.0659022001143226e-82,9.247582540906096e-16,6.064605718981018e-56,6.043985427372199e-55,3.847843506298689e-84,4.461564417985283e-85,1.9696828564081815e-29,1.3466930776579127e-64,5.0503572450068446e-14,1.4953210187115022e-15,5.986271669189683e-18,1.6586719171678267e-29,6.141781898696589e-29,5.986271242939944e-18,2.1253654802762395e-25,1.4113601533586418e-29,5.632395363732488e-34,1.0115959319210795e-56,5.800438481063143e-42,3.7515995511045234e-40,5.525528322942048e-29,6.225137426425519e-56,6.776412435547314e-78,1.1242429163660266e-23,1.001043221720204e-80,3.405917288750776e-92,1.0176699485671278e-68,1.5073741805368662e-80,2.1873490958489066e-77,7.858720572762409e-55,9.394227286737367e-68,4.3527974396552776e-110,5.180911975896469e-112,6.908170730025035e-157
2.095637352543807e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998959,0.11866996602986246,0.02282156769305279,8.765236579987851e-87,5.718046046405172e-41,2.1874116205055187e-27,1.4623092270882147e-62,3.792223953516426e-41,1.3881156216870727e-97,1.849566682254426e-15,1.962366722662739e-80,1.8495666822458353e-15,9.704027236959994e-55,9.671078518899773e-54,5.490943481081139e-82,6.366734492805026e-83,7.879052026765306e-29,7.837550649537212e-63,1.0100988504253603e-13,2.990723168181425e-15,1.1972868559312123e-17,6.634956269338821e-29,2.456812703319267e-28,1.1972866854187366e-17,8.5012430762179e-25,1.129066411703311e-28,5.0361784716939184e-33,3.612818122918899e-55,4.640570017763619e-41,3.001424668331807e-39,2.2103012312594005e-28,1.9920667177887673e-54,9.670065093728567e-76,2.2485507696992315e-23,1.429575933742272e-78,9.722621051657007e-90,6.513173490152404e-67,2.1526611570721444e-78,2.5443626272467807e-75,1.2574805691548713e-53,3.0063781505060674e-66,2.4847766495865865e-107,2.9590409844390945e-109,1.0011015890176467e-152
4.191331554431198e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997919,0.11866996602975959,0.022821567693051294,2.7081770147072966e-84,4.574545677917413e-40,8.749840396639513e-27,1.1291918951219695e-60,3.0338751761565274e-40,4.284179089458241e-95,3.699183538579395e-15,1.2559752851115815e-78,3.699183538545032e-15,1.5526970048809909e-53,1.5474285038601036e-52,8.475671973485846e-80,9.827519246577484e-81,3.15168493210673e-28,4.765553619256168e-61,2.0202251022618661e-13,5.9815274671195995e-15,2.3946063621793903e-17,2.6540354021032633e-28,9.827450556709968e-28,2.3946056800704865e-17,3.400114661293186e-24,9.031540873962195e-28,4.8769715527727984e-32,1.3964048628222193e-53,3.712542435285589e-40,2.401200801080848e-38,8.84138451781449e-28,6.3740220351260105e-53,1.4926450750213462e-73,4.4971782954143305e-23,2.2090513429876247e-76,3.002357055971143e-87,4.168051171489196e-65,3.326401458421238e-76,3.0929947633292695e-73,2.0120371337508962e-52,9.620769298087217e-65,1.534271229282277e-104,1.8286475042693215e-106,1.397185873167089e-148
8.38271995820598e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767995838,0.11866996602955383,0.022821567693048304,9.308757699664637e-82,3.6596803914658554e-39,3.499984476478041e-26,9.700021099116082e-59,2.4271385439464844e-39,1.4706329543232913e-92,7.398417251235859e-15,8.038435675663539e-77,7.398417251098403e-15,2.4843573202632088e-52,2.4759296932898382e-51,1.4552018793698415e-77,1.6873027094855134e-78,1.2606867972630342e-27,2.9692322642943603e-59,4.040477605883496e-13,1.1963136064989265e-14,4.7892458878072765e-17,1.0616240784302572e-27,3.931020053480314e-27,4.7892431589831565e-17,1.359698427185055e-23,7.223391412121659e-27,5.257807396646406e-31,6.005674881968981e-52,2.970066478021852e-39,1.92098995194623e-37,3.536589554328999e-27,2.039190756566078e-51,2.56274641789635e-71,8.994480623039274e-23,3.79780151630982e-74,1.031306078299076e-84,2.666910027345726e-63,5.7187607683108405e-74,3.8534664394155236e-71,3.21931398917927e-51,3.078702710890447e-63,1.053756987143684e-101,1.2574479643883507e-103,1.9300196263952898e-144
1.6765496765755543e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991677,0.11866996602914234,0.022821567693042322,3.598486375584379e-79,2.927762352515425e-38,1.4000110752370887e-25,9.371189073095072e-57,1.94172619183948e-38,5.67758665298458e-90,1.4796884676574883e-14,5.144660841469865e-75,1.4796884676025062e-14,3.975005383899589e-51,3.961520646605916e-50,2.809916080844401e-75,3.2580901362974936e-76,5.042772838215537e-27,1.8737547926005718e-57,8.080982612921226e-13,2.3926353260701855e-14,9.578526993481557e-17,4.2465108579646745e-27,1.5724158929900433e-26,9.578516075246059e-17,5.435933324248281e-23,5.77566637286137e-26,6.374498403988543e-30,2.904827946211864e-50,2.376062931866869e-38,1.536811494228486e-36,1.4146428338663717e-26,6.522047866655176e-50,4.94852410564639e-69,1.798927438306816e-22,7.342926672183862e-72,3.98410059932764e-82,1.705950207884437e-61,1.1057080804978278e-71,4.862989735471216e-69,5.150946029533607e-50,9.851933114124215e-62,8.139553434952916e-99,9.728611591470567e-101,2.730705493259183e-140
3.3531050380854674e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983355,0.11866996602831935,0.02282156769303036,1.5425617207418872e-76,2.342217897086027e-37,5.600139733005553e-25,1.004020682113092e-54,1.5533870887384857e-37,2.4312986722329494e-87,2.959381952735733e-14,3.2926027506859645e-73,2.9593819525158037e-14,6.360035491432147e-50,6.338452719931286e-49,6.017954794522076e-73,6.977802019895192e-74,2.0171142652971603e-26,1.1897829423318529e-55,1.6161992626174565e-12,4.7852787652020065e-14,1.9157097437621302e-16,1.698603019241773e-26,6.289678558416271e-26,1.915705374152913e-16,2.1720718458253945e-22,4.615624237859919e-25,8.56342265664503e-29,1.5577026126450834e-48,1.900849025219878e-37,1.229469480594297e-35,5.658584261064394e-26,2.0848762278907133e-48,1.0598176941616129e-66,3.5979618322241843e-22,1.5742338121491867e-69,1.706976977886007e-79,1.090677277555058e-59,2.3705208615879733e-69,6.175368242780227e-67,8.241548521097456e-49,3.152628255035741e-60,6.9734368242561805e-96,8.353972102766518e-98,4.028190244662133e-136
