Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),CH4OX(63),CO2X(24),HOCO(73)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95332926782965e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-6.159038114058164e-121,5.482669591351378e-54,3.612170976733984e-36,1.5500394165346246e-88,2.424118925254646e-54,6.411211082112505e-132,6.136864488443326e-20,-1.1839657808913935e-105,6.136864488443325e-20,3.8590479378084934e-72,4.663608719706549e-71,3.8352277435184593e-112,4.44693781959758e-113,1.3011055857368623e-37,1.998769962849701e-85,3.3515101702103593e-18,9.923225939858866e-20,3.9726000937571347e-22,1.0956628664875837e-37,4.057052027946889e-37,3.972600093728979e-22,1.4040376513018614e-33,1.0827341890695803e-41,3.812413017256061e-46,5.853055899613828e-77,4.449550129206624e-54,2.8778699316045475e-52,3.649976369595166e-37,4.074644116028839e-76,6.754197010603468e-106,7.460670089482661e-28,-1.519095050824955e-108,-6.783527277283152e-124,8.702298888822496e-93,5.000683256630011e-71,4.268812963813389e-102,9.319625476521843e-88,-2.2874586799688457e-108,-9.441199374451738e-146
1.946932194992302e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.115816499717965e-118,6.509025338872734e-53,2.1817512701696626e-35,1.7128611993754237e-86,3.6633284876787163e-53,2.313383833587622e-129,1.7183220567641317e-19,2.2856632876190456e-104,1.718322056764131e-19,1.0883132540117911e-70,1.4663132070262815e-69,7.666921525825721e-110,8.88977801922088e-111,7.858677737850663e-37,1.0351746684612323e-83,9.384228476589003e-18,2.7785032631604824e-19,1.112328026256569e-21,6.617803713510438e-37,2.4504594248771657e-36,1.112328026239563e-21,8.48038735068701e-33,1.2854220198297667e-40,4.5261631282824914e-45,3.5607509104936644e-75,5.282505913319238e-53,3.416607183119757e-51,2.2045857272314807e-36,2.4788048405519577e-74,1.3502170382880928e-103,2.0889876254767026e-27,1.5373860643982676e-106,1.2525602099193058e-121,9.616282475485995e-91,1.4102726773578528e-69,4.022205946859099e-100,5.367627137741247e-86,2.3150013535650195e-106,3.403475942811033e-143
4.450130731410976e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,4.71048189280729e-116,6.390599675742329e-52,1.050419320367746e-34,1.5497160061690058e-84,3.940841617580704e-52,8.37646922379522e-127,3.9275932726037305e-19,2.4134190630050566e-102,3.927593272603726e-19,2.367319042848373e-69,3.271264103590028e-68,1.3880608346718326e-107,1.6094533713214308e-108,3.7836150433228174e-36,4.524854158129522e-82,2.1449665089346273e-17,6.350864601509674e-19,2.5424640600365655e-21,3.186187615634038e-36,1.179790729722823e-35,2.542464059954689e-21,4.082941395221464e-32,1.2620349415352204e-39,4.4439544349183876e-44,1.607543293821146e-73,5.18639563037115e-52,3.354445193266656e-50,1.061413128272275e-35,1.1190509769061011e-72,2.4445057678430814e-101,4.774828860219807e-27,3.2196222496984906e-104,5.221187552674843e-119,8.700089171206934e-89,3.067651112776126e-68,3.519197789610442e-98,2.4070693024995163e-84,4.848118530169488e-104,3.0357676969617993e-140
9.456527804248324e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.5152202870690332e-113,5.652413042032258e-51,4.58745714389836e-34,1.1729213469202187e-82,3.6223123935915023e-51,2.5400439209661117e-124,8.346135704282928e-19,1.907606630205893e-100,8.346135704282909e-19,4.388610535075303e-68,6.126715628046344e-67,2.1034163445010832e-105,2.438906453076921e-106,1.6524040938858373e-35,1.6881141434221016e-80,4.558053831486073e-17,1.3495587278208057e-18,5.402736127669701e-21,1.3914918403236452e-35,5.152456075449849e-35,5.402736127312124e-21,1.7831277192302071e-31,1.1162555781501835e-38,3.930877550466896e-43,6.070157880595424e-72,4.587308200719464e-51,2.966968786762652e-49,4.635469989323867e-35,4.2253234311769074e-71,3.704314146641962e-99,1.0146511336450942e-26,5.174437065556975e-102,1.6806727383728176e-116,6.584358445930926e-87,5.6869081639577276e-67,2.6310361434068094e-96,9.055996314432063e-83,7.79168557077696e-102,2.0045008374176018e-137
1.946932194992302e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,4.3348840206556514e-111,4.751193745392291e-50,1.9151730549659382e-33,8.149583304074188e-81,3.098964515479801e-50,7.06572067386988e-122,1.7183220567641327e-18,1.3520440227819995e-98,1.7183220567641252e-18,7.542900214876671e-67,1.0582377640152194e-65,2.9246978393424156e-103,3.391180472804356e-104,6.898461815577044e-35,5.840790230369214e-79,9.384228476588936e-17,2.778503263160482e-18,1.1123280263228536e-20,5.809204517076884e-35,2.151048985179009e-34,1.112328026173572e-20,7.444206745894105e-31,9.382800130799665e-38,3.3045603039112595e-42,2.106283767639195e-70,3.8559089482841064e-50,2.4939160405753742e-48,1.935217471103561e-34,1.4659608923238994e-69,5.15066815426723e-97,2.0889876315892918e-26,7.398886238481487e-100,4.8102490428244384e-114,4.5743136379704824e-85,9.774342122427301e-66,1.822608472238823e-94,3.135804003601363e-81,1.1141268980486505e-99,1.1613687450701167e-134
3.949491024127241e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.17246354692984e-108,3.895315687719679e-49,7.824106848704915e-33,5.433013819267737e-79,2.56228378949295e-49,1.885048552230949e-119,3.485739029435814e-18,9.098636454602333e-97,3.485739029435783e-18,1.2501803935996986e-65,1.758277871953674e-64,3.900768819239127e-101,4.522932547321765e-102,2.8182467429296413e-34,1.9549283362723697e-77,1.9036577766794548e-16,5.636392333839833e-18,2.2564368535516462e-20,2.3732495944459887e-34,8.787736974288693e-34,2.2564368529417833e-20,3.0412009680515564e-30,7.692585451478624e-37,2.709968379517771e-41,7.016563038442589e-69,3.1613071192311614e-49,2.0446630494387632e-47,7.905994815125509e-34,4.882261222013897e-68,6.869621013021583e-95,4.237660638269567e-26,1.0003920897892588e-97,1.3013123105572256e-111,3.0487602875364265e-83,1.620025525155662e-64,1.2206777855693952e-92,1.0433017436093993e-79,1.506393936737572e-97,6.321008900403913e-132
7.95460868239712e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,3.085751062958302e-106,3.15452763713768e-48,3.1626290959384793e-32,3.54973071724606e-77,2.083606624280044e-48,4.927629750171525e-117,7.020572974779182e-18,5.969948177234862e-95,7.020572974779059e-18,2.0355946828549158e-64,2.866436696916365e-63,5.098026663029912e-99,5.911150285890468e-100,1.1391803933808761e-33,6.477920560166467e-76,3.834127634720529e-16,1.1352170475198528e-17,4.544654508477336e-20,9.593054307029588e-34,3.5521437886971845e-33,4.544654506012171e-20,1.2293017437336269e-29,6.229653553992172e-36,2.1957205471721026e-40,2.291471183564907e-67,2.560108466314754e-48,1.6558211542732343e-46,3.1957295100577146e-33,1.5936509784680978e-66,8.978104755842668e-93,8.535006694797639e-26,1.3163069334779083e-95,3.4252211082268866e-109,1.9909567394789383e-81,2.6377916035022745e-63,8.091041816240981e-91,3.403777449734925e-78,1.9820996259983508e-95,3.3373123670008243e-129
1.5964843998936876e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,8.015222632807168e-104,2.5390382806226465e-47,1.271679258563903e-31,2.2970675048931845e-75,1.6805042263104152e-47,1.2756318484203296e-114,1.4090240865465944e-17,3.868437573327764e-93,1.4090240865465445e-17,3.28545802500797e-63,4.629302919610906e-62,6.598467397175566e-97,7.650907894051006e-98,4.5805942588111696e-33,2.1614730939386766e-74,7.69506735080249e-16,2.278372675791589e-17,9.121089820201135e-20,3.857324942107594e-33,1.428301394429713e-32,9.12108981028881e-20,4.9429657344105783e-29,5.014164590948247e-35,1.7691064829142396e-39,7.413060134998531e-66,2.060598016063693e-47,1.3327489267856613e-45,1.284988780506264e-32,5.150401997727305e-65,1.1620522101863086e-90,1.712969898052388e-25,1.7094640173171363e-93,8.897434859221052e-107,1.2870884282707844e-79,4.257406282813382e-62,5.398889462252242e-89,1.0997610063984146e-76,2.574116959597785e-93,1.7363455602730976e-126
3.198531463201639e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996376,0.022821567693054264,2.0699279758125417e-101,2.037418318040378e-46,5.100002670156809e-31,1.4804571932061216e-73,1.349872384304594e-46,3.2887300350456846e-112,2.822957664683956e-17,2.491165506197651e-91,2.822957664683755e-17,5.279642845624801e-62,7.4414692310895e-61,8.505679545531456e-95,9.862316028674972e-96,1.8370231698692605e-32,7.396541739266287e-73,1.5416946782965665e-15,4.564683932335053e-17,1.827396045113842e-19,1.5469598224829446e-32,5.728127414197268e-32,1.827396041138554e-19,1.9823483254074777e-28,4.0235471996537705e-34,1.422484609815188e-38,2.3887021539145978e-64,1.6535001327041495e-46,1.0694470940188693e-44,5.153379733834283e-32,1.6562904333822847e-63,1.4979302189435396e-88,3.431908424265674e-25,2.2072923640491076e-91,2.2978022804810878e-104,8.278815283369907e-78,6.841537603280666e-61,3.6936042789487225e-87,3.5362140354218524e-75,3.3237486675229646e-91,8.974881596759426e-124
