Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CH2(T)(34),C2H4X(222),CH2O2(186),C2H4X(70),CH2OX(54),CH2OH(40),CHO2X(213)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.255787891247013e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.229705954015947e-54,3.933253969913116e-36,4.954601728209966e-82,2.7544158943929526e-54,2.4481368250718922e-64,6.403810048936966e-20,-1.5338383200192523e-105,6.403810048936965e-20,4.6122725922277e-72,3.0070849518088315e-70,1.6853969827675138e-84,1.4832653366946014e-106,1.416759822088708e-37,2.4928518814874935e-85,3.497295464334295e-18,1.0354870284894464e-19,4.145401799165939e-22,1.193055120839741e-37,4.417680688589059e-37,4.1454017991352822e-22,5.055818248188518e-54,1.5288412757384768e-33,1.2302612534354357e-41,4.331872700128054e-46,7.241724193670107e-77,3.2699915887986786e-52,7.785197311033886e-28,3.9744198539330746e-37,5.041372039905286e-76,8.267194103967926e-55,2.2528460503474866e-99,6.2706683890633805e-87,8.519576055719838e-83,5.9292085187190054e-71,7.870155585353319e-118,1.917737540324135e-40,1.1235304416184398e-92,2.377444220008786e-56,5.555620479723721e-102,5.273683821911539e-81,2.8040985353398447e-85,-2.58610450574355e-123
2.0316206095491638e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,7.395906908631999e-53,2.375685398080152e-35,2.044531644292229e-80,4.1624732957716965e-53,5.476384104546951e-63,1.7930668137023505e-19,2.9781735326849195e-104,1.7930668137023493e-19,1.3019230641474057e-70,9.454756235871078e-69,6.954837781438397e-83,1.1165658604761046e-104,8.557229325415951e-37,1.2922424870324516e-83,9.792427300136024e-18,2.89936367977045e-19,1.1607125037714409e-21,7.206052929862372e-37,2.668279135904661e-36,1.1607125037529234e-21,6.002267424217901e-53,9.23420123367614e-33,1.4605661488932754e-40,5.142877991823344e-45,4.405560549657547e-75,3.882134014599831e-51,2.179855247548518e-27,2.4005495917710325e-36,3.066912607736568e-74,9.814812840214853e-54,1.6958873955238904e-97,3.61158393905036e-85,3.51562688413547e-81,1.672131668129122e-69,1.644685330515295e-115,1.1583134743557777e-39,1.2415324078119283e-90,2.822501752278062e-55,5.239408475144847e-100,2.1762003769440737e-79,1.1584225533818034e-83,8.325756867791604e-121
4.643704250398089e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,7.261345260076218e-52,1.1437902548296788e-34,8.08797497167292e-79,4.477798826805699e-52,1.0820411934819988e-61,4.0984384313196586e-19,3.1444638404345122e-102,4.0984384313196537e-19,2.8326097035394906e-69,2.1093041057583154e-67,2.751264611389713e-81,8.82836256560694e-103,4.119937562634196e-36,5.650079228654526e-82,2.2382690971739462e-17,6.627116982332457e-19,2.6530571515010454e-21,3.469404291387466e-36,1.284661544237003e-35,2.653057151411891e-21,5.8930617499908525e-52,4.445870322171103e-32,1.4339924823299958e-39,5.049474858182423e-44,1.9889453377915975e-73,3.8115021970756577e-50,4.982526282274895e-27,1.1557612935169213e-35,1.3845509300677588e-72,9.636241447535828e-53,1.3408889997440375e-95,1.619585826002069e-83,1.3907470074566725e-79,3.637251617106038e-68,2.9764866013726224e-113,5.576780767262587e-39,1.123245149792253e-88,2.7711489031214985e-54,4.585471479573569e-98,8.608832114472181e-78,4.585034220225686e-82,4.34799284962066e-118
9.867871532095939e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,6.422577650510266e-51,4.995232545705418e-34,2.8865487118883884e-77,4.1158685786143036e-51,1.9254344168730905e-60,8.709181666554276e-19,2.485664449773758e-100,8.709181666554256e-19,5.251671329308191e-68,3.9504931488114874e-66,9.819067604076564e-80,6.310161538374276e-101,1.7992849740528996e-35,2.108264341056181e-80,4.756321831494626e-17,1.4082623587456471e-18,5.637746447039898e-21,1.5151800034514843e-35,5.610454474459585e-35,5.637746446650537e-21,5.212346380947289e-51,1.9416283089222688e-31,1.268350069025667e-38,4.466499960625166e-43,7.510370116004997e-72,3.3712305308489137e-49,1.0587868359072126e-26,5.047513214424564e-35,5.227800698291107e-71,8.523146433323487e-52,9.58413990183934e-94,6.093286660270531e-82,4.963477095658641e-78,6.742851503272027e-67,4.519550077099914e-111,2.4355266762116555e-38,8.50088836256081e-87,2.451049725646704e-53,3.4287897276647537e-96,3.072430916830215e-76,1.6367646610264603e-80,1.5340981500734627e-115
2.031620609549164e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,0.0,5.398563504741586e-50,2.0854112583721173e-33,9.753049022133022e-76,3.521212222925037e-50,3.2475263227841785e-59,1.793066813702351e-18,1.76183185163766e-98,1.7930668137023433e-18,9.026691118325661e-67,6.823494496054201e-65,3.317640771373086e-78,4.267588450727543e-99,7.511660576716494e-35,7.29588022034552e-79,9.792427300135952e-17,2.8993636797704497e-18,1.1607125038436174e-20,6.325578250557419e-35,2.342254301046251e-34,1.1607125036810665e-20,4.381291200415998e-50,8.105915442575089e-31,1.0661245859378371e-37,3.7548613601371416e-42,2.6060371433893525e-70,2.8337223954525203e-48,2.1798552542044498e-26,2.1072374064919177e-34,1.8137667992683998e-69,7.164218135205554e-51,6.481793612627953e-92,2.1099117139092625e-80,1.6770466031499126e-76,1.1589238928103191e-65,6.291687671774432e-109,1.0167844438798602e-37,5.905773475994312e-85,2.0602548182160988e-52,2.3756915014170814e-94,1.038104888153623e-74,5.530908307317485e-79,4.577833413508601e-113
4.1212875222283037e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,0.0,4.426068528908137e-49,8.519585458828682e-33,3.2066242033304728e-74,2.911406359479816e-49,5.334070919904134e-58,3.6373641077962e-18,1.185659400778673e-96,3.637364107796167e-18,1.4961418809536285e-65,1.1337338158340459e-63,1.0907675355276045e-76,2.807392686133202e-97,3.0687584450388577e-34,2.4427027085243788e-77,1.9864638237418477e-16,5.881566321820053e-18,2.354588222250301e-20,2.5842051138295015e-34,9.568873078341721e-34,2.354588221586227e-20,3.5920472322382736e-49,3.311530509056876e-30,8.740732318116918e-37,3.079280545376199e-41,8.68146234055874e-69,2.3232568300176884e-47,4.421992102550087e-26,8.608752379876422e-34,6.040599928597162e-68,5.873658870904837e-50,4.263986602780504e-90,7.019809170437616e-79,5.513761478059519e-75,1.9208313608743972e-64,8.395202698247683e-107,4.153896221843722e-37,3.936172498932008e-83,1.6891211079967515e-51,1.5915877308670712e-92,3.413061233877246e-73,1.818546877556454e-77,1.2634033765486495e-110
8.300621347586584e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,0.0,3.584345048694309e-48,3.443752671393703e-32,1.0400836404857073e-72,2.3675073001120044e-48,8.646756173131424e-57,7.325958695983903e-18,7.779635151672851e-95,7.325958695983769e-18,2.436107021804352e-64,1.8482722591742365e-62,3.5378772889741925e-75,1.8215717200663216e-95,1.2404412287116317e-33,8.098811029552344e-76,4.000906011198301e-16,1.1845971605919253e-17,4.7423396595733805e-20,1.0445770248470434e-33,3.8678914912286434e-33,4.7423396568890886e-20,2.908932978249497e-48,1.3385732238706307e-29,7.078469766712273e-36,2.4950066837773548e-40,2.8352562392404534e-67,1.8814336218143638e-46,8.906265846246008e-26,3.479795353829854e-33,1.9717519083617607e-66,4.756641238281594e-49,2.7666800757333646e-88,2.2902164503271148e-77,1.7883747758250282e-73,3.1275759281458027e-63,1.0970546419935982e-104,1.6790712679557418e-36,2.5704707292464936e-81,1.3678936336861191e-50,1.0555483656075614e-90,1.1070178962898994e-71,5.898581487106955e-76,3.358105550308481e-108
1.6659288998303143e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.1186699660299645,0.022821567693054275,0.0,2.8849927268186455e-47,1.3847178130318675e-31,3.3509149138612454e-71,1.9094804063762442e-47,1.3925325720698942e-55,1.4703147872359336e-17,5.041117110251982e-93,1.4703147872358797e-17,3.93190906845779e-63,2.9849646346613972e-61,1.1397736079238703e-73,1.1738647958251819e-93,4.987759624068409e-33,2.7051782403834684e-74,8.029790386111004e-16,2.3774782174117623e-17,9.517842536258397e-20,4.200198274359095e-33,1.5552621568938496e-32,9.517842525464976e-20,2.3413623314905984e-47,5.382341208042933e-29,5.697365249520199e-35,2.0103321446556156e-39,9.172639590387865e-66,1.5143414701084445e-45,1.7874813521656452e-25,1.3992104068984155e-32,6.372358115596064e-65,3.828558686574225e-48,1.7829154381899763e-86,7.399692800398808e-76,5.761484063289752e-72,5.047920157446439e-62,1.4188420942095407e-102,6.751471720212943e-36,1.6617252366842308e-79,1.1009991034251734e-49,7.05075003216371e-89,3.56640346351901e-70,1.900332771236611e-74,8.765538551449016e-106
3.337662429973626e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996369,0.022821567693054264,0.0,2.3150249738320242e-46,5.553337840958247e-31,1.07600314731168e-69,1.5337985043907956e-46,2.2353204386338357e-54,2.9457526225110314e-17,3.2463477563750114e-91,2.945752622510813e-17,6.3184904366144805e-62,4.798243468112548e-60,3.6595696098867473e-72,7.539132946521607e-92,2.0003146922579654e-32,9.274855900130931e-73,1.6087559135935595e-15,4.7632403310514264e-17,1.9068848297783873e-19,1.6844673661690652e-32,6.237296856147703e-32,1.9068848254497396e-19,1.878795815801239e-46,2.15855726751622e-28,4.571771939742703e-34,1.6165892665178028e-38,2.9559458601985002e-64,1.2151636763116767e-44,3.581190962455174e-25,5.611459542364134e-32,2.0492527240806352e-63,3.0721772310816005e-47,1.145075358134763e-84,2.379325817073619e-74,1.8498894568735654e-70,8.111872177887701e-61,1.8256499559324657e-100,2.7076421267585774e-35,1.068855518230278e-77,8.834813233652269e-49,4.83290600655193e-87,1.1450959770384083e-68,6.101606458194417e-73,2.269293883349272e-103
6.6811294902602495e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999966,0.11866996602996205,0.02282156769305424,0.0,1.8548371202755983e-45,2.2242318065215516e-30,3.4496187116475336e-68,1.2295293474259528e-45,3.582332410852076e-53,5.896628293061268e-17,2.0840962763027066e-89,5.896628293060394e-17,1.0131583730695711e-60,7.6950764488905894e-59,1.1730314222748179e-70,4.834149807868622e-90,8.011692355105324e-32,3.3461971202093045e-71,3.2203096635581505e-15,9.534764558330709e-17,3.81708598534567e-19,6.74665559733595e-32,2.498172098425109e-31,3.8170859680084834e-19,1.5053229454085456e-45,8.645469717138601e-28,3.66297311611653e-33,1.3007258722878875e-37,9.521943064465316e-63,9.736096925336955e-44,7.168610483863989e-25,2.2475107375410237e-31,6.573803035029747e-62,2.4614802971590254e-46,7.342310921904063e-83,7.632172641156435e-73,5.929600075376933e-69,1.3007219852823847e-59,2.3432628498715692e-98,1.0844691493376974e-34,6.857841180109695e-76,7.078583691021742e-48,3.48470026642137e-85,3.67046867739896e-67,1.955804265171077e-71,5.859772024432984e-101
1.3368063610833498e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999933,0.11866996602995876,0.02282156769305419,0.0,1.4849975193052683e-44,8.902724257803458e-30,1.1052027982301913e-66,9.846206700943811e-45,5.736371178771687e-52,1.1798379634161905e-16,1.3358841251555677e-87,1.179837963415841e-16,1.6228153315789992e-59,1.2326450587889177e-57,3.756840961995757e-69,3.0976020872366594e-88,3.206764849358878e-31,1.3100559152820934e-69,6.443417163486024e-15,1.9077813012889105e-16,7.637488309529084e-19,2.7004204661492756e-31,9.999198811682569e-31,7.637488240135007e-19,1.2051736536044142e-44,3.460426289540129e-27,2.932593253443025e-32,1.0501578008030348e-36,3.0761183342523873e-61,7.794797925939477e-43,1.4343450730000657e-24,8.995900122896303e-31,2.1062052524012015e-60,1.9706809213550568e-45,4.704768883765095e-81,2.4452321655289417e-71,1.8990594169057476e-67,2.083415703617561e-58,3.0043067199174827e-96,4.340702805519277e-34,4.3945060756677046e-74,5.667142332710933e-47,2.7255661097382146e-83,1.1755326255628295e-65,6.263821055754471e-70,1.515687353950386e-98
2.6741931851979992e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999866,0.1186699660299522,0.022821567693054094,0.0,1.188449340841497e-43,3.5622497498598034e-29,3.5407341230152817e-65,7.880956078448153e-44,9.181839675519105e-51,2.3601882316363846e-16,8.556264384652282e-86,2.360188231634986e-16,2.5979148830365225e-58,1.973379099959041e-56,1.2026831385108949e-67,1.9847570030173545e-86,1.2831236402337694e-30,5.719017493635595e-68,1.288963216333654e-14,3.8163909922005223e-16,1.5278293010092078e-18,1.0805199309326456e-30,4.0009819755132764e-30,1.527829273242421e-18,9.645051941302698e-44,1.384609516132214e-26,2.3469458960828033e-31,8.545085016459695e-36,1.0011892335240134e-59,6.23820801430508e-42,2.869313603555014e-24,3.599531811979266e-30,6.743958691408761e-59,1.5771436644125562e-44,3.014532755581519e-79,7.829445264800356e-70,6.079487011285886e-66,3.3352745786114103e-57,3.850798496150724e-94,1.736846524931699e-33,2.8142237345820485e-72,4.535390286396199e-46,2.376509361873431e-81,3.763250246229535e-64,2.0052483332650737e-68,3.946848237938449e-96
5.348966833427298e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997335,0.11866996602993907,0.022821567693053903,0.0,9.509400466184016e-43,1.4251321903253787e-28,1.1350160077804718e-63,6.306361539246863e-43,1.469364476653622e-49,4.720888768077039e-16,5.478124073751801e-84,4.720888768071442e-16,4.1577924162521797e-57,3.1583244426901455e-55,3.84932099682989e-66,1.272453737917526e-84,5.133330081075692e-30,2.806519240408776e-66,2.5782062163016648e-14,7.633610374023473e-16,3.0559902620008885e-18,4.322783303399688e-30,1.600653314408793e-29,3.0559901509147215e-18,7.717506883562461e-43,5.539245726387385e-26,1.8778813240647844e-30,7.062413027865474e-35,3.308656919496629e-58,4.991515294068198e-41,5.739252589975367e-24,1.4400471062794096e-29,2.1586961769583158e-57,1.2619545502593718e-43,1.9326564608536464e-77,2.506175098328649e-68,1.9458070912493513e-64,5.337887300103352e-56,4.938157603935828e-92,6.94851706626742e-33,1.801637674057404e-70,3.6289277976436514e-45,2.3294844837160486e-79,1.2044700491056766e-62,6.418023554197302e-67,1.0428561914595e-93
1.0698514129885895e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999468,0.11866996602991281,0.022821567693053522,0.0,7.608242829162954e-42,5.7009953589493785e-28,3.644612363064704e-62,5.0457279792028494e-42,2.3511301508228e-48,9.44228984095941e-16,3.506676316390685e-82,9.442289840937021e-16,6.653370875529126e-56,5.05405346239978e-54,1.2318646757975003e-64,8.171649921692892e-83,2.0534991484810615e-29,1.5228574835791102e-64,5.156692216229317e-14,1.5268049137668284e-15,6.112312267505509e-18,1.7292540397206475e-29,6.403134318565973e-29,6.112311823117172e-18,6.17459159354751e-42,2.2158034651333104e-25,1.5023965413167112e-29,6.0105580277061905e-34,1.1254129414404206e-56,3.993593125834921e-40,1.1479138264057908e-23,5.760657185785594e-29,6.908661242123422e-56,1.0096594924953236e-42,1.2411446733303847e-75,8.020964553164504e-67,6.226995271150158e-63,8.541778223189983e-55,6.342963947690712e-90,2.779633035926243e-32,1.1531904060883939e-68,2.9033002661405153e-44,2.5255267686437855e-77,3.854560603662125e-61,2.0539050390929154e-65,2.833761445947399e-91
