Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CH2(T)(34),C2H4X(222),CH2O2(186),C2H4X(70),CH2OX(54),CHO2X(213),CH2OH(40)
6.681129491545466e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999966,0.11866996602996205,0.02282156769305424,0.0,1.8548365884271667e-45,2.22423142216082e-30,3.4501518343164116e-68,1.2257173607468168e-45,3.582331564952312e-53,5.896626600016453e-17,2.0776945600371113e-89,5.896626600015625e-17,1.0100465454796929e-60,5.540305354717759e-59,1.1730311331992747e-70,4.834891018695644e-90,8.011690056323734e-32,2.954981170323592e-71,3.2203096641776252e-15,9.534764560164865e-17,3.8170859898591004e-19,6.746655599933566e-32,2.49817107278076e-31,3.817085964968339e-19,1.5053229462776712e-45,1.24245485491543e-27,7.565169240914682e-33,3.85076762009236e-37,2.8190623240874655e-62,9.736095170792254e-44,7.168610402824538e-25,2.247510092666185e-31,3.1829512234789056e-62,2.461479591364047e-46,7.343436706581834e-83,5.495015837899284e-73,5.929598676355279e-69,1.2966892758678116e-59,2.3436228985929987e-98,1.0844688659389927e-34,3.320478900039961e-76,7.078581594558417e-48,3.0797207959065925e-85,3.6704678113935785e-67,1.2072445702846802e-100,1.9530826923622805e-71
1.3368063613405046e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999933,0.11866996602995876,0.02282156769305419,0.0,1.4849970935032456e-44,8.902723735565961e-30,1.1055446808688297e-66,9.815679891014485e-45,5.7363698242348565e-52,1.1798376246601243e-16,1.3317806943426405e-87,1.1798376246597937e-16,1.6178309993955921e-59,8.874804637205103e-58,3.756840036175395e-69,3.098552754027752e-88,3.206763929247163e-31,1.0619261574354393e-69,6.443417164725512e-15,1.9077813016559007e-16,7.6374883261249005e-19,2.7004204671897888e-31,9.999194706432203e-31,7.637488226496685e-19,1.2051736543005727e-44,4.9730270484225e-27,6.056699079218368e-32,3.101092702571683e-36,9.08443462014241e-61,7.794797351663433e-43,1.4343450567850887e-24,8.995897541716296e-31,1.0197958672782692e-60,1.9706803562899205e-45,4.706212799673647e-81,1.760519592527581e-71,1.8990589688437653e-67,2.0769563601164512e-58,3.005231566289825e-96,4.34070167118587e-34,2.127759984689465e-74,5.667140654272275e-47,2.2118835028975906e-83,1.175532348208915e-65,3.1150813097586495e-98,6.255101551263312e-70
2.6741931857124205e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999866,0.1186699660299522,0.022821567693054094,0.0,1.188449000070644e-43,3.5622503541112076e-29,3.5429243314501304e-65,7.856522257953835e-44,9.181837507393771e-51,2.3601875539771213e-16,8.52998214558009e-86,2.3601875539757975e-16,2.589935622673487e-58,1.4207945620348638e-56,1.2026828421236105e-67,1.9859750669434303e-86,1.2831232720692334e-30,4.138201186936959e-68,1.2889632165816053e-14,3.8163909929346624e-16,1.5278293073558568e-18,1.080519931349619e-30,4.000980332878344e-30,1.5278292674913515e-18,9.645051946879358e-44,1.9898343370274307e-26,4.847141980336751e-31,2.5108466478086093e-35,2.9423034242389712e-59,6.23820888387166e-42,2.8693135711178346e-24,3.5995307791710016e-30,3.265321729142088e-59,1.5771432121887136e-44,3.0163828064019694e-79,5.6370482786650066e-70,6.079485576895067e-66,3.324934019099706e-57,3.8531700701741514e-94,1.7368460710505585e-33,1.3626041952610503e-72,4.5353889431459505e-46,1.72200600335878e-81,3.763249358330059e-64,8.0731516981195e-96,2.0024564152214514e-68
5.3489668344562525e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997335,0.11866996602993907,0.022821567693053903,0.0,9.50939773950223e-43,1.4251330827171068e-28,1.1364183909925469e-63,6.286809532768526e-43,1.4693641296880167e-49,4.720887412611269e-16,5.461296947744172e-84,4.720887412605972e-16,4.1450221356821915e-57,2.2739321510586806e-55,3.84932004819012e-66,1.274013588742054e-84,5.13332860817781e-30,1.797115188227364e-66,2.5782062167976213e-14,7.633610375491912e-16,3.0559902868046887e-18,4.3227833050729175e-30,1.600652657247816e-29,3.0559901273187705e-18,7.71750688803308e-43,7.960439032556937e-26,3.8783571599926465e-30,2.0555140108477065e-34,9.632674324181238e-58,4.991518116835502e-41,5.739252525093231e-24,1.4400466930888125e-29,1.045200576973714e-57,1.26195418841159e-43,1.9350256331337366e-77,1.8043973116915042e-68,1.9458066321545448e-64,5.321337915797718e-56,4.944233735405693e-92,6.948515250447118e-33,8.723195782888122e-71,3.6289267228566326e-45,1.4936550957423533e-79,1.2044697649221603e-62,2.113708298179213e-93,6.409086733013873e-67
1.0698514131943917e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999468,0.11866996602991281,0.022821567693053522,0.0,7.608240647614879e-42,5.701004134034892e-28,3.653589139726189e-62,5.030084393979289e-42,2.351129595637471e-48,9.442287129880174e-16,3.4959048776734574e-82,9.44228712985899e-16,6.63293565533008e-56,3.6388201433931847e-54,1.231864372200197e-64,8.191619447614447e-83,2.053498559273959e-29,8.77591054656418e-65,5.156692217221284e-14,1.5268049140605323e-15,6.112312365560922e-18,1.7292540403940465e-29,6.403131689707789e-29,6.1123117275498324e-18,6.17459159713786e-42,3.184279549290314e-25,3.102831728885873e-29,1.718897569178171e-33,3.2201584380509895e-56,3.993598787497909e-40,1.1479138134283649e-23,5.760655532888381e-29,3.3449998284083855e-56,1.0096592029896138e-42,1.244177735611694e-75,5.774938396097081e-67,6.226993801935647e-63,8.515295616903829e-55,6.358524158619707e-90,2.779632309538856e-32,5.583458796916841e-69,2.903299406256885e-44,1.456920699702496e-77,3.854559694205248e-61,5.647175304192119e-91,2.051044826931473e-65
2.1397608726919243e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998937,0.1186699660298603,0.02282156769305276,0.0,6.086881649169689e-41,2.280500727186742e-27,1.1811877956704603e-60,4.024322236979326e-41,3.761703723004808e-47,1.888508656442043e-15,2.2375950908761092e-80,1.8885086564335684e-15,1.0613417285049722e-54,5.822535013124963e-53,3.9418689867333226e-63,5.296162102951505e-81,8.214328481977325e-29,4.743927012722154e-63,1.0313664218035126e-13,3.0536926670827798e-15,1.2224957002589026e-17,6.917297547594265e-29,2.5613568720693234e-28,1.2224954450316868e-17,4.939907551921747e-41,1.2736394883743903e-24,2.482145479906301e-28,1.4941008016425238e-32,1.118350309414617e-54,3.1950389141712996e-39,2.2958940157622963e-23,2.3043559400462433e-28,1.0703815226659806e-54,8.077656966335256e-42,8.044034344733522e-74,1.8481189332683466e-65,1.992587888976465e-61,1.3625397010743808e-53,8.22258920225748e-88,1.1118981673000768e-31,3.5733592245703645e-67,2.322561595353243e-43,1.573533051630752e-75,1.2334287490314734e-59,1.5659648500549607e-88,6.563184280886313e-64
4.27957979168699e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997875,0.11866996602975526,0.022821567693051232,0.0,4.869621188037219e-40,9.122238724285778e-27,3.8733200741599226e-59,3.2195596800390324e-40,6.01793530488923e-46,3.77706854335107e-15,1.43212997073267e-78,3.777068543317174e-15,1.6982043848449848e-53,9.316393582430334e-52,1.2612365799364709e-61,3.472645421754689e-79,3.2857982437373382e-28,2.7564864638971524e-61,2.062760821952889e-13,6.107468173125531e-15,2.445024819535911e-17,2.7669752486569583e-28,1.0245635727016983e-27,2.4450237985070918e-17,3.952019476930786e-40,5.093668566197063e-24,1.9853832162301943e-27,1.3855285725619494e-31,4.1407746377035566e-53,2.556104937127315e-38,4.5918667424135534e-23,9.217610988871295e-28,3.4247070254330356e-53,6.46227877476667e-41,5.274400067268563e-72,5.914201883768413e-64,6.375457902629956e-60,2.1801374451570314e-52,1.0784286287415393e-85,4.4476831577933385e-31,2.2866116352524096e-65,1.8577923327940504e-42,1.8274233202423983e-73,3.946466668975132e-58,4.623845265996295e-86,2.0999513275003462e-62
8.559217629677121e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679957505,0.11866996602954517,0.02282156769304818,0.0,3.895743639621673e-39,3.648972766044549e-26,1.3207071532620447e-57,2.5756884986395726e-39,9.625800382343656e-45,7.554188317173037e-15,9.165852960511218e-77,7.554188317037446e-15,2.7171731063974937e-52,1.4906497612547885e-50,4.0347649158689557e-60,2.366783177341762e-77,1.314332668427251e-27,1.6742213737805693e-59,4.125549622198073e-13,1.2215019185204064e-14,4.8900838260957706e-17,1.1068013066177783e-27,4.098295813050967e-27,4.8900797411461236e-17,3.161652513329695e-39,2.0366941470854053e-23,1.5877172555958018e-26,1.4126217426833404e-30,1.6845080531014582e-51,2.0449292234350936e-37,9.183861483649645e-23,3.687081658872477e-27,1.0955142214960814e-51,5.169884078328141e-40,3.594769619432454e-70,1.8925796611658977e-62,2.039539437500843e-58,3.488279048566901e-51,1.4704498076091194e-83,1.7790913610074837e-30,1.4629127472796762e-63,1.485770050754023e-41,2.219017696572221e-71,1.2624963079602155e-56,1.4983042530402792e-83,6.71786691402545e-61
1.7118493305657384e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679915017,0.11866996602912501,0.022821567693042073,0.0,3.116614133247585e-38,1.4596286213829753e-25,5.020225412703016e-56,2.0605670973661159e-38,1.5391728069773389e-43,1.5108427864832607e-14,5.866216639167061e-75,1.5108427864290252e-14,4.3475138252700617e-51,2.3850603529946213e-49,1.2903370721437907e-58,1.7965742876929815e-75,5.25735742068485e-27,1.0421548428249412e-57,8.251127222474165e-13,2.4430121209333256e-14,9.780204915398348e-17,4.4272273299313554e-27,1.639326529006463e-26,9.780188569179042e-17,2.5293360748824303e-38,8.140472869636048e-23,1.2692092969884088e-25,1.616263441590037e-29,7.6883456724065935e-50,1.6359866590274394e-36,1.8368048117856123e-22,1.4748399700494743e-26,3.5030378995649813e-50,4.135931329458297e-39,2.7287120164292602e-68,6.056308769806443e-61,6.522515826295682e-57,5.581293776020396e-50,2.2340823410575716e-81,7.116401640054937e-30,9.355734340275437e-62,1.1878534865464457e-40,2.7619771031934903e-69,4.0375234327422275e-55,5.444509680125814e-81,2.1484106716963916e-59
3.423704465761791e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983004,0.11866996602828468,0.022821567693029857,0.0,2.4932998684416726e-37,5.838785503765668e-25,2.4645095467722343e-54,1.6484601916783213e-37,2.4596018681768677e-42,3.021690696021431e-14,3.7544012569058135e-73,3.021690695804488e-14,6.956051547595326e-50,3.8161109266796446e-48,4.12400594484385e-57,1.7586625203977936e-73,2.1029483216747747e-26,6.568620883721653e-56,1.6502282422169247e-12,4.886032525748012e-14,1.9560459431916346e-16,1.770895103918838e-26,6.557321718036395e-26,1.9560393996279381e-16,2.0234733518660038e-37,3.251132341472337e-22,1.0138184592142543e-24,2.069145749311155e-28,3.9276869781091613e-48,1.3088468134716036e-35,3.673720999320621e-22,5.899373323651206e-26,1.1192905743486947e-48,3.308754119479576e-38,2.671129456228013e-66,1.938025989494327e-59,2.0846225865074755e-55,8.930107844738774e-49,4.3804564750111515e-79,2.846567895309977e-29,5.978759338594825e-60,9.490565451734481e-40,3.4813207826795263e-67,1.2904202315163073e-53,2.215691368700962e-78,6.866498567544354e-58
