Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CH3X(55),CHOX(53),C2H4X(215),C2H4X(70)
5.9605200431059904e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999694,0.1186699660299624,0.022821567693054243,0.0,2.1347997406617738e-54,1.7703063409454753e-30,2.1206622285325088e-72,8.899663195872551e-46,1.632992466475631e-110,5.260631616343914e-17,1.0612387388693052e-89,5.2606316163429816e-17,6.48192859811508e-61,3.122737351060955e-59,2.268399091730187e-93,2.630203571634492e-94,1.3339740327663901e-43,4.7859141808522204e-71,2.872975343858981e-15,8.506369370489945e-17,3.405384900713208e-19,5.369787099215869e-32,1.9883402417382966e-31,3.405384896015563e-19,1.068888664906272e-45,2.3183532341579996e-28,2.9524336559242243e-34,3.581398135034053e-39,2.0862547781349455e-64,6.913333885504872e-44,3.2730036985738984e-61,3.9948642888626673e-87,1.7888345637498985e-31,1.984281173649894e-90,3.0461514066158166e-75,4.430083580775145e-85
1.1926218644025279e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799994,0.11866996602995947,0.022821567693054202,0.0,3.418461406478207e-53,7.085838929274835e-30,1.3881902193743923e-70,7.126948500922285e-45,4.275387882791263e-108,1.0525833720626233e-16,6.80242542735218e-88,1.0525833720622506e-16,1.038235071252686e-59,5.002194309461285e-58,2.9695874549012856e-91,3.4432298783547656e-92,1.0679903367738477e-42,2.590690622451231e-69,5.748446756651292e-15,1.7020129157461456e-16,6.813728437672941e-19,2.1493142406410376e-31,7.958542726626785e-31,6.813728418870107e-19,8.557608580752613e-45,9.279442913938736e-28,2.363738687202414e-33,2.9305028903672136e-38,6.829317071280391e-63,5.534870721583421e-43,1.0486527431638584e-59,5.229722984020201e-85,7.160000085818486e-31,2.5991544300691953e-88,1.951979803216192e-73,4.791400507832254e-83
2.3857615845863856e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998806,0.11866996602995361,0.022821567693054115,0.0,5.4717647817372804e-52,2.8352585561924305e-29,9.264796827627616e-69,5.704447389167238e-44,1.141108215339693e-105,2.1056237929192854e-16,4.356914502292946e-86,2.1056237929177944e-16,1.662077824210689e-58,8.008165543489657e-57,3.963229117156409e-89,4.59535511683544e-90,8.547168490679417e-42,1.5066494178391492e-67,1.1499389582231747e-14,3.404764873140394e-16,1.3630415525722943e-18,8.600056526390197e-31,3.184453735211368e-30,1.3630415450487024e-18,6.848687633838883e-44,3.712976405470379e-27,1.8917038263771984e-32,2.4464617279700614e-37,2.2796248672351502e-61,4.4295787538166697e-42,3.357749567120838e-58,6.979619454637684e-83,2.8649326622495708e-30,3.470634141275271e-86,1.250046728070132e-71,5.56938726549231e-81
4.772041024954101e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997623,0.1186699660299419,0.022821567693053945,0.0,8.756605203771104e-51,1.1342880524043099e-28,6.411230625258762e-67,4.564713628482667e-43,3.157318586682175e-103,4.2117046346334024e-16,2.7895016791665325e-84,4.2117046346274376e-16,2.660046092044764e-57,1.2816789683298999e-55,5.4836348481452475e-87,6.358262087353994e-88,6.83903333558814e-41,9.157653956543414e-66,2.3001275233376008e-14,6.810268787928672e-16,2.7263789758345603e-18,3.440582574504829e-30,1.2739888503500547e-29,2.7263789457352177e-18,5.47999056181892e-43,1.4854247646988387e-26,1.5136416565192681e-31,2.1194405004822437e-36,7.89175607109275e-60,3.544336037096437e-41,1.0748050832562215e-56,9.657197001986364e-81,1.1461596138881873e-29,4.8051800488460045e-84,8.002760729652247e-70,6.767770931920352e-79
9.544599905689531e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995253,0.11866996602991847,0.022821567693053605,0.0,1.4011993373837201e-49,4.537521549641493e-28,4.71819145664084e-65,3.652233245389839e-42,9.288182160526314e-101,8.423866318064809e-16,1.785625598963898e-82,8.423866318040949e-16,4.256651086775183e-56,2.0509843432126087e-54,8.067602662726926e-85,9.354366854952698e-86,5.471746056341444e-40,5.705616927122288e-64,4.6005046535597894e-14,1.3621276617504365e-15,5.45305384496855e-18,1.376345007703535e-29,5.096370126010876e-29,5.453053724560778e-18,4.3844085553689694e-42,5.942122059764313e-26,1.211014189216514e-30,1.9547726732133822e-35,2.9064158359832603e-58,2.8357381034482214e-40,3.439867111020935e-55,1.4207807397334922e-78,4.5850115547580596e-29,7.0760081766661e-82,5.122511010233542e-68,8.431507758309484e-77
1.9089717667160392e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999051,0.11866996602987162,0.022821567693052925,0.0,2.242032831615839e-48,1.815082533588051e-27,3.8062962445041086e-63,2.92197154352236e-41,2.994523825587525e-98,1.6848189684940316e-15,1.1429106427983408e-80,1.6848189684844864e-15,6.81110363893959e-55,3.281813235693319e-53,1.30089188516505e-82,1.5083811640346294e-83,4.3776044755736803e-39,3.601833579377794e-62,9.201258913977522e-14,2.7243292276652277e-15,1.0906403673677536e-17,5.505603811677206e-29,2.0386309843154594e-28,1.0906403192022008e-17,3.5076931028304623e-41,2.376897077961368e-25,9.688347616809511e-30,1.9783928755303707e-34,1.1737605941773733e-56,2.2686982482471466e-39,1.1008170701534589e-53,2.2909929864386814e-76,1.8340792241268805e-28,1.1424067519221047e-79,3.278589206885335e-66,1.0644122672555174e-74
3.8179953190102114e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981036,0.1186699660297779,0.02282156769305156,0.0,3.5873432656538806e-47,7.260478309197346e-27,3.442710608143622e-61,2.337651214167987e-40,1.0822988814059895e-95,3.3696836418742094e-15,7.314980954688615e-79,3.369683641836028e-15,1.0898135341470924e-53,5.251091404301972e-52,2.3516707639358324e-80,2.7267568528467473e-81,3.5021664176841104e-38,2.28917056890765e-60,1.8402767434706391e-13,5.4487323594934236e-15,2.1813103692884997e-17,2.202286135307908e-28,8.154689696321136e-28,2.1813101766184942e-17,2.80622067909942e-40,9.507394046104288e-25,7.750500753786222e-29,2.245923525764682e-33,5.315402635886548e-55,1.8150017863033273e-38,3.522588721034363e-52,4.141513336406477e-74,7.336465941415322e-28,2.06799887585342e-77,2.0982837253039514e-64,1.3529146881885907e-72
7.636042423598555e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962085,0.11866996602959048,0.022821567693048838,0.0,5.73982059434744e-46,2.904221234676257e-26,3.491659181642816e-59,1.8701505606589556e-39,4.386787481235411e-93,6.7394129886548705e-15,4.681700711239042e-77,6.739412988502146e-15,1.743731212192909e-52,8.401897120207142e-51,4.767342799059495e-78,5.527722965222829e-79,2.8017659219696844e-37,1.4598485894812754e-58,3.680578447573777e-13,1.089753862314427e-14,4.362650517866118e-17,8.809232592637843e-28,3.2619089412625116e-27,4.36264974714728e-17,2.2450025289970954e-39,3.802686174771083e-24,6.19989614903224e-28,2.8577037929541017e-32,2.698749239237866e-53,1.4520188329140395e-37,1.1271466499051811e-50,8.395738508641058e-72,2.934616056056063e-27,4.1973772012659396e-75,1.3428055917493432e-62,1.7255097223972186e-70
1.5272136632775244e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992418,0.11866996602921565,0.022821567693043388,0.0,9.183766143204118e-45,1.1616946966497743e-25,3.88325570224169e-57,1.4961322797600474e-38,1.95023102243051e-90,1.3478871682297421e-14,2.9963245684303394e-75,1.3478871681686521e-14,2.7899935713583695e-51,1.3443151895268109e-49,1.0599384928182093e-75,1.228996204442173e-76,2.2414252967752178e-36,9.325053088433624e-57,7.361181855609508e-13,2.1795151150423773e-14,8.725331394128522e-17,3.523709710884323e-27,1.3047701175828355e-26,8.725328310989722e-17,1.7960116281609365e-38,1.520834158053835e-23,4.959021693344429e-27,3.983237121635871e-31,1.502025611776267e-51,1.1616222335672212e-36,3.606242007638114e-49,1.8666510684114043e-69,1.1738522545411283e-26,9.340360809128503e-73,8.592474964023167e-61,2.2043646923053428e-68
3.054432505112862e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767984837,0.11866996602846595,0.02282156769303249,0.0,1.4694055891453652e-43,4.646792955672185e-25,4.594341692931636e-55,1.1969105489796491e-37,9.225638893271232e-88,2.6957789069907424e-14,1.917659260467836e-73,2.6957789067463817e-14,4.464008573635464e-50,2.1509122804983055e-48,2.5073791062567247e-73,2.9073000697321366e-74,1.7931443714895148e-35,5.960654179120165e-55,1.4722388670998782e-12,4.3590376204894026e-14,1.7450695464381077e-16,1.4094864699029952e-26,5.219092980528546e-26,1.7450683129814692e-16,1.4368118814983551e-37,6.081368615480631e-23,3.965750348404721e-26,5.900434767399656e-30,8.890187689566128e-50,9.293009826138837e-36,1.1535794963079727e-47,4.4157288196048485e-67,4.695419851981965e-26,2.210738801927314e-70,5.497208640307055e-59,2.8180592631197534e-66
6.108870188783538e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679696753,0.11866996602696658,0.022821567693010695,0.0,2.3510473503090963e-42,1.8587214253757843e-24,5.6370647058020415e-53,9.575303175126187e-37,4.526756262794805e-85,5.391562384642706e-14,1.2273055933021192e-71,5.39156238366526e-14,7.14242865789405e-49,3.4414617329375674e-47,6.151962544249977e-71,7.133185141795286e-72,1.4345157274211213e-34,3.810377023783592e-53,2.9444802299048605e-12,8.71808263134795e-14,3.4901432886203677e-16,5.637945056936644e-26,2.087639236663636e-25,3.4901383532029836e-16,1.1494485159476607e-36,2.430965194489386e-22,3.170241113274613e-25,9.057801518714833e-29,5.455605089606551e-48,7.434425900251319e-35,3.68875530798858e-46,1.0834176351407473e-64,1.8781694432022266e-25,5.425722928323938e-68,3.5156615728688316e-57,3.60285497863374e-64
1.2217745556124889e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767939352,0.11866996602396783,0.022821567692967105,0.0,3.761661695302421e-41,7.434905438054038e-24,7.05205390185645e-51,7.660249865530317e-36,2.2649486861159118e-82,1.0783129340466483e-13,7.854767208421021e-70,1.0783129336556695e-13,1.1427897332622897e-47,5.5063266874980184e-46,1.5391185135452716e-68,1.7846037076864636e-69,1.1476103965972307e-33,2.4345630683574124e-51,5.888962954423331e-12,1.7436172652923048e-13,6.980294493813166e-16,2.2551730632381556e-25,8.350557374844045e-25,6.980274739476052e-16,9.19555183731293e-36,9.711207300483146e-22,2.5324195186728544e-24,1.4171168618562167e-27,3.4130618172438153e-46,5.947556328661648e-34,1.178673173176243e-44,2.7105282121436116e-62,7.512675462784988e-25,1.3576001252787427e-65,2.2467545761591442e-55,4.603810002843225e-62
2.443549629080759e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678787047,0.11866996601797034,0.022821567692879925,0.0,6.018606528554111e-40,2.973975084616261e-23,8.903131374382092e-49,6.128202521968813e-35,1.1437257030508975e-79,2.1566263254193428e-13,5.027054253022087e-68,2.1566263238554277e-13,1.8284643405533324e-46,8.810069024193857e-45,3.886095558900845e-66,4.5059154122877623e-67,9.180837992847907e-33,1.5534288713241198e-49,1.1777928399094294e-11,3.4872352695505225e-13,1.3960611853698474e-15,9.020643974234646e-25,3.340220107007082e-24,1.3960532735373735e-15,7.356375221144154e-35,3.8743932436202604e-21,2.019918091805965e-23,2.2369027252230746e-26,2.154632056345932e-44,4.75806467948143e-33,3.760725008268734e-43,6.843758079640752e-60,3.0050654712461922e-24,3.4278273246258543e-63,1.4337513426700924e-53,5.874811364972047e-60
4.8870997760172994e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276775741,0.11866996600597535,0.022821567692705564,0.0,9.629597720592334e-39,1.189599724827952e-22,1.1268916688973012e-46,4.902562588390476e-34,5.790486099438858e-77,4.313253108996486e-13,3.217315231281292e-66,4.3132531027408283e-13,2.925543075342292e-45,1.4095926677248238e-43,9.837363850797993e-64,1.1406383107712219e-64,7.344594022127665e-32,9.883949970944473e-48,2.3555859270972327e-11,6.97447127783975e-13,2.7921306896556064e-15,3.608217247077754e-24,1.3360851313706885e-23,2.7920989620826767e-15,5.8849909076501375e-34,1.5417432434013077e-20,1.6063757825406803e-22,3.539491865085967e-25,1.3636137645249192e-42,3.806480812182922e-32,1.1964233606395032e-41,1.7324412506645405e-57,1.2020218442552772e-23,8.676417319466596e-61,9.1229888974916e-52,7.475083138159812e-58
9.77420006989038e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675148213,0.11866996598198537,0.02282156769235684,0.0,1.5406799069669883e-37,4.758474201279398e-22,1.422189299459959e-44,3.9220495294451294e-33,2.923200766892538e-74,8.62650667947775e-13,2.0590812366681586e-64,8.626506654455168e-13,4.680867478013495e-44,2.2552851493975833e-42,2.4830738199506048e-61,2.8791094274389272e-62,5.875551391182845e-31,6.2530537019581135e-46,4.711172094487279e-11,1.394894329350938e-12,5.584294242446213e-15,1.4432542815041985e-23,5.344315959993455e-23,5.58416669683709e-15,4.7078165925308264e-33,6.103778791295958e-20,1.2700275440773007e-21,5.5838225995786195e-24,8.604517807094037e-41,3.0452296812962656e-31,3.784331234796374e-40,4.372870617915195e-55,4.8080514771129023e-23,2.1894676971287122e-58,5.771799814582457e-50,9.45613679940355e-56
1.954840065763654e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670296433,0.11866996593400542,0.022821567691659394,0.0,2.4649091671474692e-36,1.903448005121678e-21,1.7774888248241695e-42,3.1376381757309076e-32,1.4614878237710514e-71,1.7253013833747987e-12,1.3178109640796086e-62,1.7253013733657998e-12,7.489381860789226e-43,3.608258539563221e-41,6.207079363138341e-59,7.197049373007817e-60,4.7002423500624596e-30,3.9117158803254837e-44,9.422344401325133e-11,2.7897887321213353e-12,1.116872275178726e-14,5.772755517378767e-23,2.137706477028416e-22,1.1168207598609368e-14,3.7659709604983995e-32,2.392380621177587e-19,9.92590383433827e-21,8.722897361318832e-23,5.376654104167062e-39,2.4362535008247747e-30,1.1834839375838372e-38,1.0930970621367311e-52,1.923191642262639e-22,5.470087179339037e-56,3.610717369275458e-48,1.182581160607827e-53
3.9096801833128864e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072766059288,0.1186699658380455,0.0228215676902645,0.0,3.9432826812522013e-35,7.614232783787004e-21,2.1758297232982866e-40,2.5101079914480666e-31,7.157011834218647e-69,3.4506028195517566e-12,8.433975827989923e-61,3.4506027795160267e-12,1.1982990254507942e-41,5.772581002054885e-40,1.5197585825998206e-56,1.7621345975438534e-57,3.7598756396844526e-29,2.394314600363588e-42,1.8844688903231879e-10,5.5795775362080284e-12,2.2338009848788265e-14,2.3088928107637515e-22,8.550666146871313e-22,2.233591114407011e-14,3.012324933544472e-31,9.197869243078768e-19,7.586410272804989e-20,1.3344762393009772e-21,3.2902319571365567e-37,1.9491083940766355e-29,3.6207294670216927e-37,2.6763006545245333e-50,7.692534531663951e-22,1.3378035624798385e-53,2.210103635319254e-46,1.446432162833038e-51
5.864520300862119e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727650889324,0.11866996574208558,0.022821567688869605,0.0,1.4513059470431296e-34,1.618086288943852e-20,1.4035197531477805e-39,7.4518787327191086e-31,6.018341996750521e-68,5.175904261051222e-12,4.7885589638985145e-60,5.175904175975915e-12,4.533404861528282e-41,2.200693479202284e-39,1.1282947102127616e-55,1.308236561906775e-56,1.075037181563237e-28,1.3225509000779929e-41,2.826703329336967e-10,8.36936633884062e-12,3.350775020605199e-14,4.906089786742639e-22,1.8169930774404005e-21,3.350323644430862e-14,8.612624601155808e-31,1.9024067868521477e-18,2.1135045541178636e-19,4.808621179666666e-21,1.808113044928915e-36,5.573398178791903e-29,1.6651240394160283e-36,1.9869176606695817e-49,1.6346294957471922e-21,9.978310787218395e-53,1.2208016477167095e-45,9.367916152204712e-51
9.774200535960583e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072763148221,0.11866996555016575,0.022821567686079815,0.0,1.1163953928867514e-33,4.4739331097699883e-20,5.848426064392747e-38,3.49060982468604e-30,7.814326422494266e-66,8.626507165340173e-12,1.287291256980588e-58,8.626506930134353e-12,3.5777975214047328e-40,1.809319122654641e-38,8.249550396461582e-54,9.565038424681508e-55,4.93974580441855e-28,3.0536760514299684e-40,4.711172162656944e-10,1.3948943938289598e-11,5.5849211687634615e-14,1.3561703678380829e-21,5.023284031519724e-21,5.583637416678782e-14,3.9570121009291036e-30,4.921825169210804e-18,9.007678881530002e-19,3.441645605941524e-20,4.35134630909968e-35,2.561538031871687e-28,2.2456360427844834e-35,1.452665106113064e-47,4.519026717495874e-21,8.89311774117934e-51,2.818776954673302e-44,3.745116091888663e-49
1.3292912747549202e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072761401581,0.1186699653774379,0.022821567683569004,0.0,3.074313339254742e-33,7.967189795247126e-20,2.7153059359700937e-37,8.05492640116402e-30,4.267264412562796e-65,1.1732049796395997e-11,5.589584541491142e-58,1.1732049377567243e-11,1.0040451977195656e-39,5.27635606502125e-38,4.192709548828061e-53,4.861243395527439e-54,1.1118412037230893e-27,1.2116827760435884e-39,6.407194076532097e-10,1.8970563773095656e-11,7.595823726257457e-14,2.4146790236106685e-21,8.94478292439082e-21,7.593497615425681e-14,8.905908033484918e-30,8.392738398192536e-18,1.9449104585433255e-18,9.171131803098359e-20,1.8085627706525535e-34,5.766244933271014e-28,7.762774658756948e-35,7.382842935798912e-47,8.046760765250774e-21,5.370572996351048e-50,1.118479577428753e-43,1.6659194962888177e-48
1.681162495913782e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072759654941,0.11866996520471008,0.022821567681058193,0.0,6.923437072167467e-33,1.2437539573522832e-19,9.317837550761638e-37,1.5509255914814887e-29,1.9335927548856343e-64,1.4837592445652082e-11,1.6925278795634068e-57,1.4837591791859447e-11,2.2988179826152115e-39,1.2072238626704138e-37,1.6624383484439183e-52,1.927511260859123e-53,2.1012725596608903e-27,3.6678272634359636e-39,8.103215952182565e-10,2.3992183602928946e-11,9.606919387445828e-14,3.7689408448916866e-21,1.3962621111359344e-20,9.603228480862321e-14,1.6830195103555027e-29,1.2557984618132341e-17,3.522714585470189e-18,1.9930366338568048e-19,5.286155295246435e-34,1.0899040286395956e-27,1.9945652884809983e-34,2.9273050980971953e-46,1.256065524312327e-20,1.984807326795142e-49,3.385710274994852e-43,5.844933383969763e-48
