Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),COX(50),CHOX(53),O(29),C2H4X(215),acetyl(44),CH4OX(63),C2H4X(70),C2H6X(52),C2H3X(214),OH(D)X(68),C2H2X(254),C2HX(261),C2H3X(69),C2H3(46),C2H2(288),C2H2(308),C2H2X(309)
6.882615702794807e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999965,0.11866996602996195,0.022821567693054236,0.0,2.0277599896789016e-45,2.360408455316342e-30,5.043500207068789e-72,1.3701927844822898e-45,5.178156787643252e-110,6.074454159607288e-17,2.5155288624842343e-89,6.074454159606038e-17,1.1523428618775264e-60,6.239477582092313e-59,6.229366102780173e-93,7.222935784008385e-94,8.502201692360653e-32,1.0872524311036602e-70,3.3174261763041573e-15,9.822309291757501e-17,3.9321997786622634e-19,7.159716129222165e-32,2.6511203220836754e-31,3.932199772398736e-19,1.645661754614453e-45,3.091137036264288e-28,4.545567951689746e-34,5.5327248253426436e-39,4.2970428587171054e-64,1.0643773815821627e-43,2.385112751326718e-31,6.718823634338195e-61,1.0970499976815668e-86,5.449275070286254e-90,7.38479784809229e-25,7.220505448428906e-75,3.621306283540836e-102,6.375101553902667e-73,1.1618339800145688e-84,1.4932443826263716e-59,5.901860800198842e-66,2.690959333836738e-46,3.4823531219471883e-68,4.361959879873734e-80,3.753859220880656e-86,1.4628092492277268e-86,1.1510156169237977e-96,6.8795033598472845e-109,1.2671083940588397e-110
1.3771211089084658e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999305,0.11866996602995857,0.022821567693054188,0.0,1.623440959665277e-44,9.447785244816485e-30,3.311986297084313e-70,1.0972655027912898e-44,1.3599971562885124e-107,1.2154185864097825e-16,1.6124267679383108e-87,1.2154185864092825e-16,1.8457512377517986e-59,9.994782059326762e-58,8.180775596412997e-91,9.485590637695356e-92,3.403096414659609e-31,5.989728403653532e-69,6.637734564749215e-15,1.9653152301405081e-16,7.867815897032648e-19,2.8657523184003247e-31,1.0611390300295186e-30,7.867815871962198e-19,1.3175300295253288e-44,1.2372585673988422e-27,3.639212139321117e-33,4.541911456221655e-38,1.4111358266078727e-62,8.521490940960053e-43,9.546666778370736e-31,2.152674399565002e-59,1.440711573679934e-84,7.160638135875222e-88,1.4776013382329944e-24,4.6269130519788386e-73,9.51597271969455e-100,2.0424856847461542e-71,1.2789471029140379e-82,2.39178612437481e-58,3.783828574236696e-64,2.1544036835363762e-45,5.574348022384814e-67,1.3978307319128518e-78,4.132249214778083e-84,1.6102608057762845e-84,2.532918212478666e-94,3.0271077580907536e-106,5.575509540600636e-108
2.754840186166436e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999862,0.1186699660299518,0.02282156769305409,0.0,1.2992461694451932e-43,3.780344746218338e-29,2.2235878908564585e-68,8.782571295062756e-44,3.6513629450266266e-105,2.4313649273081546e-16,1.0327501042130773e-85,2.431364927306154e-16,2.9548050207205327e-58,1.6000951649667445e-56,1.098291453137753e-88,1.2734664333463502e-89,1.3616818397055942e-30,3.522914161491285e-67,1.3278351341633777e-14,3.9314838320699517e-16,1.5739048152614163e-18,1.1466742015544338e-30,4.245938312115502e-30,1.5739048052299563e-18,1.054424436744747e-43,4.95063130348742e-27,2.9124659435271837e-32,3.814764911049669e-37,4.73861612404312e-61,6.819782636886294e-42,3.8199102141554716e-30,6.892785407467241e-58,1.9341946082009833e-82,9.618696862188114e-86,2.9558449558770313e-24,2.963071116620351e-71,2.5558616553457466e-97,6.539882006883067e-70,1.503571628613201e-80,3.828935072377918e-57,2.423766827926722e-62,1.724177710872606e-44,8.921007614878346e-66,4.4920190716882746e-77,4.858006342767255e-82,1.8930748866581116e-82,5.953827538752632e-92,1.4228848795121451e-103,2.620755157550818e-105
5.510278340682375e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997257,0.11866996602993828,0.022821567693053893,0.0,1.039594344258243e-42,1.5123840735758226e-28,1.5548944445363057e-66,7.0278363788630026e-43,1.0208632097600411e-102,4.863257609105957e-16,6.612152127957587e-84,4.86325760909795e-16,4.7289708299866107e-57,2.5608965104384543e-55,1.5355523231906595e-86,1.7804694126734883e-87,5.447614032837449e-30,2.155207149830823e-65,2.6559584895380694e-14,7.863821035928551e-16,3.1481512739140925e-18,4.587443416956048e-30,1.6986517992667874e-29,3.1481512337816047e-18,8.43699735493209e-43,1.980563229325531e-26,2.330399579313575e-31,3.340211953995154e-36,1.6577919648408465e-59,5.456862319435943e-41,1.5282128167754203e-29,2.2063569871056624e-56,2.7042521408146643e-80,1.3457729688421424e-83,5.9123342343511256e-24,1.896947350695083e-69,7.148692182704806e-95,2.093390887101335e-68,1.839061929888514e-78,6.127958407358574e-56,1.5518760826590813e-60,1.379604126426857e-43,1.427531535639351e-64,1.4625876436093632e-75,5.941968884221819e-80,2.3154749696547815e-80,1.456217591439024e-89,6.959750282678796e-101,1.281888783458141e-102
1.1021154649714256e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999452,0.11866996602991123,0.0228215676930535,0.0,8.317544566642252e-42,6.050028762484802e-28,1.1634422575865154e-64,5.6229809258721784e-42,3.0532727716957107e-100,9.727042972705792e-16,4.232594011799192e-82,9.72704297267376e-16,7.567379708813779e-56,4.0980298292627595e-54,2.29685891919359e-84,2.663202667794578e-85,2.1792229605974638e-29,1.3474796371789074e-63,5.3122052002785697e-14,1.5728495443644593e-15,6.296644221365554e-18,1.8351266643632078e-29,6.795160158413973e-29,6.296644060821606e-18,6.750238482665309e-42,7.922804422308461e-26,1.8644715919026898e-30,3.1329707058076084e-35,6.208063405961304e-58,4.365904439609319e-40,6.113348725738784e-29,7.061337428684866e-55,4.0449846681580024e-78,2.0150063982946085e-81,1.1825320964043406e-23,1.214220555263444e-67,2.1392044031077993e-92,6.699856679179233e-67,2.2992270143537e-76,9.806063472132103e-55,9.933978800878224e-59,1.1037880892479654e-42,2.2843508772098874e-63,5.052917104247148e-74,7.428754392867329e-78,2.89484769102396e-78,3.6408529052876763e-87,3.480015071062881e-98,6.409701805300093e-100
2.2042907267778014e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989047,0.11866996602985712,0.022821567693052713,0.0,6.654351744673026e-41,2.4201100684878038e-27,9.599068527120172e-63,4.498669485199333e-41,1.0067065922068202e-97,1.945461369992238e-15,2.709121522953681e-80,1.945461369979424e-15,1.2108628688219858e-54,6.557323832959672e-53,3.787711940600078e-82,4.391843323609005e-83,8.717246550184795e-29,8.52175273710339e-62,1.062469862172404e-13,3.145784425907205e-15,1.2593630236857805e-17,7.340804981632795e-29,2.718174638073157e-28,1.259362959464843e-17,5.400446696702136e-41,3.169176111250299e-25,1.4916079374433134e-29,3.2433776092110858e-34,2.5642345438486844e-56,3.492889483460992e-39,2.445438954351075e-28,2.2597422903342726e-53,6.67051701674405e-76,3.327188881577084e-79,2.3651327114404315e-23,7.771415967541866e-66,7.05785728961561e-90,2.1441149784665604e-65,2.907891121535692e-74,1.5690765640045244e-53,6.358175710416994e-57,8.830723789923381e-42,3.6575722166037477e-62,2.2284008425363745e-72,9.39534091235891e-76,3.661189975240551e-76,9.208938957317545e-85,1.7603844386718654e-95,3.242382471610722e-97
4.408641250390553e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679978106,0.11866996602974891,0.02282156769305114,0.0,5.323608074788014e-40,9.680637935215282e-27,8.898680237420493e-61,3.5990494862496774e-40,3.729262192045266e-95,3.890975515442325e-15,1.7339214105646289e-78,3.890975515391069e-15,1.9374462818950678e-53,1.0492098191890947e-51,7.017980949704366e-80,8.137332787002475e-81,3.4869695630883035e-28,5.421028377584993e-60,2.1249685464472857e-13,6.291654188990847e-15,2.5187602750238807e-17,2.9363814332591985e-28,1.0872919533647083e-27,2.518760018128938e-17,4.3204591761518854e-40,1.2676365462533834e-24,1.193250442025251e-28,3.773710827443963e-33,1.1901727768897944e-54,2.79437810410827e-38,9.781954499340184e-28,7.231070815129989e-52,1.2359324238035891e-73,6.173110647895509e-77,4.7303470179031537e-23,4.973639500316281e-64,2.6163149489151185e-87,6.861424600405553e-64,3.6994740772815493e-72,2.5106076298318162e-52,4.069111549546242e-55,7.064746508591466e-41,5.885405684801654e-61,1.840613246818895e-70,1.1952944433524821e-73,4.657840654676668e-74,2.3431050450396632e-82,8.958071869273339e-93,1.649951988676921e-94
8.817342297616059e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679956223,0.1186699660295325,0.022821567693047995,0.0,4.258937514735491e-39,3.8722951312402784e-26,9.22123321576948e-59,2.8792851438325916e-39,1.5444497552823482e-92,7.782003806369575e-15,1.1097364637123497e-76,7.782003806164547e-15,3.0999665961480866e-52,1.6787658468231826e-50,1.4536407268315433e-77,1.685493059174678e-78,1.3948020141184585e-27,3.4586597564541406e-58,4.249965914940202e-13,1.2583393715150738e-14,5.0375549706900036e-17,1.1745642812965627e-27,4.349211872524556e-27,5.037553943052062e-17,3.456407191903694e-39,5.070120306664748e-24,9.545089237343235e-28,4.9050475576590007e-32,6.17365352302049e-53,2.235529319116801e-37,3.912821336703048e-27,2.313742014122924e-50,2.5599978338524675e-71,1.2801196238618693e-74,9.460827936390761e-23,3.1828569101105487e-62,1.084157551720703e-84,2.1956964999357155e-62,4.720466994108526e-70,4.017040303275982e-51,2.603862162379395e-53,5.651863945308323e-40,9.845347096648734e-60,2.9148224086583557e-68,1.5251792850054448e-71,5.943340815678828e-72,5.9794699168246805e-80,4.5720696759695345e-90,8.42111677889783e-92
1.7634744392067067e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991245,0.11866996602909967,0.022821567693041705,0.0,3.4071710460613155e-38,1.5489263834982055e-25,1.0413524386326723e-56,2.3034463289807298e-38,6.972391590214095e-90,1.5564060388332375e-14,7.102398961993427e-75,1.5564060387512262e-14,4.9599885607245627e-51,2.6860486025083752e-49,3.281874151654031e-75,3.8053253775332877e-76,5.579236435598135e-27,2.209738644939394e-56,8.499960651698639e-13,2.5166872767440933e-14,1.007514513423215e-16,4.698279099401893e-27,1.7396934507831852e-26,1.0075141023278163e-16,2.765140290696082e-38,2.02767656925141e-23,7.634472982790453e-27,6.940805186296628e-31,3.48874754587754e-51,1.7884345552517512e-36,1.5651362822904827e-26,7.40247664980001e-49,5.779687918857303e-69,2.8924402428673187e-72,1.8921998995614615e-22,2.0366200551069273e-60,4.896386566539768e-82,7.026290987805309e-61,6.031719686821497e-68,6.427318937820161e-50,1.6659307076609586e-51,4.521517446805479e-39,2.1248843240165184e-58,6.167982791992287e-66,1.9488531896742578e-69,7.594319817042754e-70,1.5280885124080837e-77,2.3368308760771314e-87,4.3041193173103514e-89
3.526954858096909e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679824917,0.118669966028234,0.02282156769302912,0.0,2.725746230064448e-37,6.195724910650973e-25,1.243632805005956e-54,1.8427643357262097e-37,3.3294938865599444e-87,3.112817355269119e-14,4.5455626722450884e-73,3.112817354941072e-14,7.936015208164977e-50,4.297693605214365e-48,7.836840670908563e-73,9.086797855029223e-74,2.2317002510621266e-26,1.4125703721616032e-54,1.6999950124305931e-12,5.0333830871902983e-14,2.0150328552161245e-16,1.8793148811149553e-26,6.958790326085789e-26,2.015031210525074e-16,2.2121158021251274e-37,8.107673555976306e-23,6.10496794454877e-26,1.0376449476919752e-29,2.084226654669299e-49,1.4307526687390494e-35,6.260559345859973e-26,2.367800216240297e-47,1.3801407602615397e-66,6.910222801547398e-70,3.784517800305682e-22,1.3028952616927262e-58,2.338717968465787e-79,2.2484212632309146e-59,7.711419798329954e-66,1.0283753784873314e-48,1.0654816027547168e-49,3.617223825713025e-38,1.0433543586963414e-56,1.4449541199670494e-63,2.4915889866844962e-67,9.709261608963613e-68,3.9072831302304443e-75,1.1950410833220047e-84,2.2011021405536622e-86
