Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),CO2X(24),acetyl(44),C2H4X(215),C2H4X(70),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95332926782965e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.6104389692777392e-119,5.482669591351372e-54,3.6121709863212287e-36,4.6006233336454847e-88,2.411204706545896e-54,1.902891435318182e-131,6.136864488443326e-20,-1.1776582038895482e-105,6.136864488443325e-20,3.8384892974888235e-72,2.0623584844944314e-71,1.138321907072703e-111,1.3198816544839903e-112,1.3011055857368598e-37,1.9872910146293898e-85,3.3515101702103593e-18,9.923225939858866e-20,3.9726000937847677e-22,1.0956628662674886e-37,4.057052027946889e-37,3.9726000937013626e-22,4.1673259411003155e-33,9.53848251008213e-41,9.968534658040351e-45,1.5304320472926683e-75,2.8778699392428467e-52,4.625218271413483e-77,3.649976369595166e-37,2.0046920120580542e-105,-1.3401865080546543e-107,7.460670089482661e-28,4.449550128312792e-54,-5.981149216183689e-107,-2.0133974364340468e-123,9.878171118195926e-94,4.2442971446423114e-102,-2.1552985128684446e-144,-3.600573734414664e-146,-1.5715667398764616e-211
1.946932194992302e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,2.917560910220319e-117,6.509025338872721e-53,2.1817512815516386e-35,5.083841270472478e-86,3.6438125203657593e-53,6.866217226893722e-129,1.7183220567641317e-19,2.2734866888671065e-104,1.718322056764131e-19,1.0825153885033155e-70,6.484385054333453e-70,2.275573405278847e-109,2.6385221723255876e-110,7.858677737850635e-37,1.0287419153161858e-83,9.384228476589003e-18,2.7785032631604824e-19,1.1123280262732593e-21,6.617803710897468e-37,2.4504594248771657e-36,1.112328026222883e-21,2.517064812764861e-32,1.132408620080115e-39,1.1834702624370519e-43,9.310410098152995e-74,3.416607200206327e-51,2.8137459276913724e-75,2.2045857272314807e-36,4.0074989333503646e-103,1.3563102040656745e-105,2.0889876254767026e-27,5.2825059113197705e-53,6.053108032398412e-105,3.7176491380125387e-121,1.0915653872992971e-91,3.997231381607463e-100,7.106004300629058e-142,1.1705394412698175e-143,2.9242647486754412e-208
4.450130731410976e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.231639541528825e-114,6.390599675742304e-52,1.0504193315426368e-34,4.599525125942401e-84,3.919847230510166e-52,2.486119203810324e-126,3.9275932726037295e-19,2.4005618466131065e-102,3.927593272603726e-19,2.3547074189553147e-69,1.4466306350665117e-68,4.1197363820803773e-107,4.7768249369721654e-108,3.783615043322788e-36,4.4924433410165847e-82,2.1449665089346273e-17,6.350864601509674e-19,2.542464060116922e-21,3.186187613068608e-36,1.1797907297228227e-35,2.542464059874381e-21,1.2118583001823803e-31,1.1118054484729846e-38,1.1619504660273484e-42,4.203208163435439e-72,3.3544452270268343e-50,1.2702593555241926e-73,1.0614131282722748e-35,7.255243499734208e-101,2.8403515566654826e-103,4.774828860219807e-27,5.186395626420539e-52,1.2676270348030645e-102,1.5496377673303107e-118,9.87566240965854e-90,3.4940286891700056e-98,6.06961682274473e-139,9.924898984290017e-141,2.5806422547395355e-203
9.456527804248324e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,3.961649889242474e-112,5.652413042032208e-51,4.587457242738996e-34,3.481062604083939e-82,3.6030149348597565e-51,7.538489726095593e-124,8.3461357042829245e-19,1.8974440720888934e-100,8.346135704282909e-19,4.365230709845475e-68,2.7093790777092347e-67,6.24264022281819e-105,7.238327097472519e-106,1.6524040938858111e-35,1.6728354293669297e-80,4.558053831486073e-17,1.3495587278208057e-18,5.4027361280206385e-21,1.3914918380545517e-35,5.152456075449846e-35,5.402736126961397e-21,5.292503082471698e-31,9.833792397648443e-38,1.0277539883029631e-41,1.5870848059643178e-70,2.9669688468370805e-49,4.796257204874182e-72,4.6354699893238653e-35,1.0993876961275828e-98,4.56470044233018e-101,1.0146511336450942e-26,4.587308193689563e-51,2.0371906685140239e-100,4.9879966683608687e-116,7.47404954300714e-88,2.607290092799278e-96,3.921187587637451e-136,6.38721354264702e-138,7.521956853267385e-199
1.946932194992302e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.133292061363994e-109,4.751193745392203e-50,1.915173138047433e-33,2.4184798201667792e-80,3.082455133254253e-50,2.0968333567367407e-121,1.7183220567641317e-18,1.344841161488688e-98,1.7183220567641252e-18,7.502716268879613e-67,4.679778581553126e-66,8.679372499580798e-103,1.0063712613604926e-103,6.898461815576823e-35,5.766007345365588e-79,9.384228476588936e-17,2.778503263160482e-18,1.1123280264693631e-20,5.809204498003787e-35,2.151048985179008e-34,1.1123280260271508e-20,2.2095154375183903e-30,8.26589354994433e-37,8.639260963425876e-41,5.506566206528409e-69,2.4939161418996612e-48,1.664044137474078e-70,1.93521747110356e-34,1.5285191834608325e-96,6.526487363927227e-99,2.0889876315892918e-26,3.855908936427153e-50,2.9127210699240824e-98,1.4274955134921125e-113,5.1924030475529834e-86,1.7993720082152607e-94,2.2480877457224744e-133,3.6550343871174744e-135,1.624680691835864e-194
3.949491024127241e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.064727205819641e-107,3.895315687719533e-49,7.824107529856954e-33,1.6120411730169424e-78,2.5486335130100105e-49,5.59317836466212e-119,3.48573902943581e-18,9.050164500116548e-97,3.485739029435783e-18,1.2435201992464177e-65,7.775522104601978e-65,1.157406914392503e-100,1.3420106769162842e-101,2.818246742929461e-34,1.9154099845972396e-77,1.9036577766794548e-16,5.636392333839833e-18,2.256436854150186e-20,2.3732495788087106e-34,8.787736974288683e-34,2.2564368523436042e-20,9.02658810749453e-30,6.776876491847574e-36,7.0835939219323494e-40,1.83407082575162e-67,2.0446632158641502e-47,5.541959775930372e-69,7.9059948151255e-34,2.0383025060372564e-94,8.822900285026278e-97,4.237660638269567e-26,3.1613070997560797e-49,3.9375924791095284e-96,3.861154005305001e-111,3.460713421567271e-84,1.1961381824972855e-92,1.21713874440266e-130,1.977040525402052e-132,3.047747725672117e-190
7.95460868239712e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,8.063241241451253e-105,3.154527637137444e-48,3.162629647552662e-32,1.0529004468936358e-76,2.0725064461442743e-48,1.461610381954098e-116,7.020572974779167e-18,5.9381439549515365e-95,7.020572974779059e-18,2.0247502828953067e-64,1.2676063468807888e-63,1.5121508068584e-98,1.753335410952487e-99,1.13918039338073e-33,6.253351949810272e-76,3.834127634720529e-16,1.1352170475198528e-17,4.5446545108967325e-20,9.593054180394861e-34,3.552143788697178e-33,4.544654503594235e-20,3.6486884854647794e-29,5.488086325913181e-35,5.737459255775331e-39,5.987720443028983e-66,1.6558214240557699e-46,1.8089866890171906e-67,3.195729510057709e-33,2.663039887386069e-92,1.1605244687687208e-94,8.535006694797639e-26,2.560108434744808e-48,5.179331368187315e-94,1.0159704092153872e-108,2.259976816951311e-82,7.812329231111971e-91,6.407823181939641e-128,1.0403656961128921e-129,5.33967360571469e-186
1.5964843998936876e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,2.0930385410105973e-102,2.539038280622265e-47,1.2716797025503454e-31,6.80893371929105e-75,1.6715515305157395e-47,3.781238144358585e-114,1.4090240865465885e-17,3.847828910610039e-93,1.4090240865465445e-17,3.267955119758302e-63,2.0471876354685113e-62,1.955918015129417e-96,2.267882476539156e-97,4.5805942588099934e-33,2.027091650425165e-74,7.69506735080249e-16,2.278372675791589e-17,9.121089829929441e-20,3.85732484018095e-33,1.4283013944297077e-32,9.121089800566402e-20,1.467119380698727e-28,4.417282953774944e-34,4.6195859418437997e-38,1.9357791870898722e-64,1.3327493612615104e-45,5.846324084776453e-66,1.2849887805062597e-32,3.4445557060676265e-90,1.5061540897866472e-92,1.712969898052388e-25,2.0605979652212682e-47,6.721849761818625e-92,2.6373712712138454e-106,1.4609997799215982e-80,5.065477031573049e-89,3.3275074079436615e-125,5.401261248273022e-127,9.04628361804532e-182
3.198531463201639e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996376,0.022821567693054264,5.398135131741229e-100,2.037418318039764e-46,5.1000062328581034e-31,4.382573780665883e-73,1.3426810921792759e-46,9.735724577951047e-112,2.8229576646839326e-17,2.47789410432517e-91,2.822957664683755e-17,5.251516146787543e-62,3.290794331377459e-61,2.5179485716622064e-94,2.919555624538767e-95,1.8370231698683168e-32,6.566835310431084e-73,1.5416946782965665e-15,4.564683932335053e-17,1.827396049015344e-19,1.5469597406932348e-32,5.728127414197228e-32,1.8273960372394333e-19,5.883787161270676e-28,3.544581150138739e-33,3.709461814800873e-37,6.22936539746382e-63,1.0694477914468793e-44,1.8800848683105144e-64,5.153379733834247e-32,4.4343444107527276e-88,1.9422050031597766e-90,3.431908424265674e-25,1.6535000510907998e-46,8.667911424988557e-90,6.802182164922303e-104,9.397431438437778e-79,3.281996614160803e-87,1.7166059895014311e-122,2.786107398768743e-124,1.5074642852627644e-177
