Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CO2X(24),COX(50),CHOX(53),H2OX(23)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033530381265e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-6.4842087636662562e-119,1.3110990220893073e-65,2.9700081648774196e-36,5.2816446000795239e-88,1.796759966474657e-54,1.7962047810682346e-131,5.5646936881172801e-20,-6.5427313021451367e-106,5.5646936881172801e-20,2.5936466971271069e-72,3.7661639224007414e-74,1.1849835609921027e-111,1.3739853246693833e-112,2.5830014177699637e-54,1.2175394526191889e-85,3.0390311154049371e-18,8.9980309964363556e-20,3.6022135339142457e-22,9.0087835581305725e-38,3.3357997036290013e-37,3.6022135337726663e-22,7.0767289978291716e-33,3.033436235040406e-40,6.5474364288790908e-44,8.2650070487559676e-75,2.1456313750445637e-52,2.0212304569769732e-98,-2.655846827645785e-106,2.0868669518154019e-105,-2.8880489426474948e-107,3.3174158765879761e-54
1.7654093885067544e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,1.1747120901245236e-116,2.9328790765209751e-64,1.7938849697705137e-35,5.8363764682267189e-86,2.7152636803533142e-53,6.4812414929219953e-129,1.5581142326728387e-19,1.2630840184478679e-104,1.558114232672838e-19,7.3144987187815261e-71,1.1841422016788244e-72,2.3688464246884694e-109,2.7466712037664341e-110,3.0665392809486365e-53,6.3023348998700199e-84,8.5092871231338226e-18,2.5194486790021794e-19,1.0086197895189358e-21,5.4413052647913803e-37,2.0148230209898635e-36,1.0086197894334217e-21,4.2743441376595816e-32,3.6012953599622022e-39,7.7731331083855659e-43,5.0280176777893029e-73,2.5472936181072918e-51,1.903457089788638e-96,2.6877916948081077e-104,4.1717602507993948e-103,2.922786767474376e-105,3.9384361258083272e-53
4.03522145944401e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,4.9589826551813298e-114,5.7948774754098656e-63,8.6367843162317704e-35,5.2803383499702863e-84,2.9209567640707895e-52,2.3467134677730072e-126,3.5614039603950598e-19,1.3336833343766083e-102,3.5614039603950569e-19,1.5910632410327129e-69,2.6417561084417186e-71,4.2885742363777462e-107,4.9725905561031986e-108,3.0107464456462881e-52,2.7518460675947699e-82,1.9449799138591578e-17,5.7587398377192674e-19,2.3054166618657459e-21,2.6197542522251389e-36,9.7005055381223277e-36,2.305416661454034e-21,2.0579125270248883e-31,3.5357728469020495e-38,7.6317432995602834e-42,2.2698978161282567e-71,2.5009480846805245e-50,1.6636313239611967e-94,5.6286743337299652e-102,7.5525805917208915e-101,6.1207923688075573e-103,3.8667799368324978e-52
8.57484560131852e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,1.5950705951512531e-111,1.0311676991535749e-61,3.7719109612547349e-34,3.9962757955165915e-82,2.6848625028265303e-51,7.1156955312093411e-124,7.5679834158395019e-19,1.0541655241462835e-100,7.5679834158394914e-19,2.9495631033564311e-68,4.9477168057666265e-70,6.4984037990543551e-105,7.5348821262726298e-106,2.6629711271607184e-51,1.0244432940452264e-80,4.1330823169507025e-17,1.2237322155153443e-18,4.899010406926516e-21,1.1441155051873762e-35,4.2364656235769948e-35,4.8990104051284633e-21,8.9874430832905356e-31,3.1273505206891979e-37,6.7502529966232703e-41,8.5707803339543248e-70,2.2120604456659112e-49,1.2411205857601301e-92,9.0456784996441776e-100,1.1444297266278585e-98,9.8365470929656692e-101,3.4201230533984006e-51
1.7654093885067543e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,4.5628412653002303e-109,1.7392152095816339e-60,1.5746988616922015e-33,2.7763601862134488e-80,2.2969563972471152e-50,1.9791864445661733e-121,1.5581142326728387e-18,7.4715519090983355e-99,1.5581142326728331e-18,5.0695453580779845e-67,8.5459503144118965e-69,9.0347570121869122e-103,1.0475777010971891e-103,2.2383876743034451e-50,3.5293624757581648e-79,8.5092871231337665e-17,2.5194486790021791e-18,1.008619789851666e-20,4.7764569822639636e-35,1.768641002835443e-34,1.008619789101014e-20,3.7520792450925768e-30,2.6287256731084371e-36,5.6740994767930029e-40,2.9736560591283869e-68,1.8593704059792269e-48,8.5611800128630869e-91,1.2932963274311468e-97,1.5911052648017228e-96,1.4063699404156226e-98,2.8748194860178255e-50
3.5812590452565587e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,1.2338567251569369e-106,2.8566663123379094e-59,6.4331609954229536e-33,1.8504992458362482e-78,1.8991679680261994e-49,5.2791137909633158e-119,3.1607460148506166e-18,5.028011915832749e-97,3.1607460148505942e-18,8.4023996481504339e-66,1.4199224072527245e-67,1.2047411503391556e-100,1.3968941975747362e-101,1.8351654299216068e-49,1.1712667266141127e-77,1.7261696735499801e-16,5.1108816059758468e-18,2.0460572887571366e-20,1.951338502807833e-34,7.2254755898059603e-34,2.0460572856904787e-20,1.5328457169560388e-29,2.1551866902896165e-35,4.6521419201730285e-39,9.9038773314132026e-67,1.5244247134227005e-47,5.6855222841888769e-89,1.748273072134761e-95,2.1216619156403942e-94,1.9011255841417e-96,2.3569506740084081e-49
7.212958358756168e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,3.2459465144181242e-104,4.6307791958840242e-58,2.6003884185527731e-32,1.2085343110112815e-76,1.5443718510152272e-48,1.3794091639964317e-116,6.3660095792061707e-18,3.2990625267710087e-95,6.3660095792060813e-18,1.3681129647040313e-64,2.3148318316628818e-66,1.5738445378729229e-98,1.8248686053389619e-99,1.4861645075162836e-48,3.8164021017691076e-76,3.4766515960231483e-16,1.0293747459923178e-17,4.1209322889178515e-20,7.8876220070941788e-34,2.9206527587134044e-33,4.1209322765219188e-20,6.1959987213595807e-29,1.7453237305804882e-34,3.7677043022530979e-38,3.2330262566316493e-65,1.2345194923480112e-46,3.7061538250144887e-87,2.2993808778969683e-93,2.7716875247801807e-92,2.5004171404226961e-94,1.9087197154455329e-48
1.4476356985755386e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,8.4241589911560101e-102,7.4577268621430713e-57,1.0456062635384858e-31,7.8139134273924786e-75,1.2455918465557137e-47,3.5679093686388046e-114,1.277653670791728e-17,2.137743420289717e-93,1.2776536707916922e-17,2.2081398408414747e-63,3.7384593908761041e-65,2.0353331603478322e-96,2.3599634501751612e-97,1.1961944286545049e-47,1.2322931123891983e-74,6.9776154409693308e-16,2.0659479167817825e-17,8.2706822986384224e-20,3.1715779463832846e-33,1.1743816286995382e-32,8.2706822487948535e-20,2.4913768001505206e-28,1.4047846302151654e-33,3.033025591137179e-37,1.0450105965497158e-63,9.9365003404560214e-46,2.3937343481705761e-85,2.9836198046328564e-91,3.584412178596535e-90,3.2444797002316277e-92,1.5363036038761164e-47
2.9003154239753823e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,2.1718430972407163e-99,1.1971302149148162e-55,4.1933609461532732e-31,5.0275276824790946e-73,1.0005271093431102e-46,9.183003960847539e-112,2.5597590965339504e-17,1.3766469197989697e-91,2.5597590965338071e-17,3.5484214450965901e-62,6.0094636403701066e-64,2.6191966465995611e-94,3.0369516278372473e-95,9.5987059839161165e-47,3.9610960962863549e-73,1.3979543130861079e-15,4.1390942583607037e-17,1.6570182355676491e-19,1.2719444711135246e-32,4.7097955854517128e-32,1.6570182155780929e-19,9.9914788397206802e-28,1.1272451806504373e-32,2.4345332265911616e-36,3.3615775008967173e-62,7.9734373431084698e-45,1.5390001761200363e-83,3.8459549045286416e-89,4.6126504197548653e-88,4.182209880376714e-90,1.2327867639461135e-46
