Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.3856474721414718e-66,7.3793662338502298e-42,8.5803192998242032e-94,3.4484873926481819e-57,3.7809057293490409e-143,7.011525118848588e-25,-6.4805985171449588e-118,7.0115251188460818e-25,1.070192349860098e-79,1.3198059529944578e-70,1.7726438757924353e-121,1.0711130533261433e-122,3.6518614711922576e-53,6.6116435258936565e-95,2.780669898587693e-18,1.3369707978709934e-19,5.1534078279770839e-23,5.8844176563041594e-38,5.1534078279773813e-23,2.0530302630553358e-54,1.394319641926812e-36,5.4484218184319039e-46,1.2055842721022227e-53,3.5327359469754893e-84
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.6522087375757107e-64,4.4571372052523827e-41,9.7096723486379231e-92,5.211354147766088e-56,1.3968378942728705e-140,1.963227033278417e-24,1.2508720030156747e-116,1.9632270332769028e-24,3.0181136573793052e-78,4.1496810855612076e-69,3.6284573593673501e-119,2.1924810133214614e-120,4.3354899385975964e-52,3.4223771043337152e-93,7.785875716045541e-18,3.7435182340387818e-19,1.4429541918335322e-22,3.5541882644060539e-37,1.4429541918337121e-22,2.4373575282905019e-53,8.4216906340601761e-36,6.4683663770731985e-45,1.4666099195203862e-52,2.2013288865610766e-82
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.2645469995953329e-63,2.1459197008139112e-40,9.2317153055947137e-90,5.606136984475148e-55,5.3138829605479553e-138,4.4873760760687832e-24,1.3207999220093076e-114,4.4873760760614914e-24,6.5650564432862012e-77,9.2577102282676911e-68,6.9022711295357095e-117,4.1706700400475617e-118,4.2566097308159516e-51,1.4943437818974063e-91,1.7796287350961222e-17,8.5566131063743596e-19,3.2981810099049748e-22,1.7111886544507615e-36,3.2981810099058404e-22,2.3930120745900408e-52,4.0546815139565158e-35,6.3506804536798325e-44,1.5147838695669686e-51,1.04470974341588e-80
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.8091367710365996e-62,9.371795117095856e-40,7.6660393466584131e-88,5.1530057410801501e-54,1.7670842274578751e-135,9.5356741616625056e-24,1.0439823437962559e-112,9.5356741616306629e-24,1.2170508221067198e-75,1.7338666686871542e-66,1.147208733127641e-114,6.931963411958787e-116,3.7649231023283e-50,5.5630672233474384e-90,3.7817110620792512e-17,1.8182802851045512e-18,7.0086346460470342e-22,7.4732104234805561e-36,7.0086346460508212e-22,2.1165920799422812e-51,1.7707859403215081e-34,5.6171049203733239e-43,1.4729743285138342e-50,4.3309642862807778e-79
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.797998783039431e-61,3.9125399772828508e-39,6.2701113405337097e-86,4.4085049009050068e-53,5.7820884831127973e-133,1.9632270332901926e-23,7.399377140512277e-111,1.9632270332768993e-23,2.0917994053714557e-74,2.9948234879561587e-65,1.8768025808867482e-112,1.1340505390598153e-113,3.1646447211297708e-49,1.9165610065637961e-88,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541918327863e-21,3.1199182413493118e-35,1.4429541918343667e-21,1.7791231773756799e-50,7.3926826971660662e-34,4.7215151049644425e-42,1.4621439841992685e-49,1.770834351650603e-77
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.6093275205586372e-59,1.5984002437977164e-38,5.437864394030623e-84,3.6450371041901569e-52,2.0048045668524924e-130,3.9825462675588672e-23,4.97944160537621e-109,3.9825462675045576e-23,3.4670041090897129e-73,4.9759440165721991e-64,3.2542494146110523e-110,1.9663673422327882e-111,2.5945669421435795e-48,6.360367210608356e-87,1.5794205023977832e-16,7.5939941319072389e-18,2.9271356462876343e-21,1.2745884020064999e-34,2.9271356462940903e-21,1.4586326708160331e-49,3.0201520796665073e-33,3.870983285004879e-41,1.566127699073242e-48,7.6843458230420574e-76
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.6087918996823434e-58,6.4609893479799134e-38,5.1953221793969862e-82,2.9640836378766156e-51,7.655414519708068e-128,8.0211847361793742e-23,3.2671937695612731e-107,8.0211847359598495e-23,5.645117429481912e-72,8.1120446103038389e-63,6.2148843115441859e-108,3.7553192730405612e-109,2.1011475784072566e-47,2.0724330538152197e-85,3.1810863639842088e-16,1.5294945927644146e-17,5.8954985551920621e-21,5.1520901099805103e-34,5.8954985552181577e-21,1.1812385542845571e-48,1.2207937429761096e-32,3.1348225290794318e-40,1.8633226277902713e-47,3.6747523675770314e-74
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,4.2013810463592257e-57,2.5979354006311452e-37,5.4844415012053746e-80,2.390640835240951e-50,3.2301536411177056e-125,1.6098461673753032e-22,2.1170929399302411e-105,1.6098461672870327e-22,9.1112422905447583e-71,1.3100973713581536e-61,1.3114926271421818e-105,7.9246423461251016e-107,1.6911863667599347e-46,6.6917607474914666e-84,6.3844180871568824e-16,3.0696849519117916e-17,1.1832224372979839e-20,2.0716327734416836e-33,1.1832224373084769e-20,9.5076355368152092e-48,4.9087578217696046e-32,2.5231777384306414e-39,2.4576360305810936e-46,1.9415744433797154e-72
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,6.7441487384326844e-56,1.0418882913719341e-36,6.2624711813767753e-78,1.9202927274743384e-49,1.4745586571368373e-122,3.2253015550230899e-22,1.3633485885746774e-103,3.2253015546690842e-22,1.4641521762883159e-69,2.1059432614560375e-60,2.9940070540797622e-103,1.8091169248138221e-104,1.3570705520470355e-45,2.151006697037949e-82,1.2791081533501516e-15,6.1500656702065314e-17,2.3705676008471078e-20,8.3081739813761132e-33,2.3705676008891897e-20,7.6292787444974219e-47,1.9686313348028271e-31,2.0246909799545068e-38,3.5093635656940274e-45,1.1093046927769607e-70
