Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C4H7(69),C4H6(54),C2H5(67),C4H7(373),C2H6(343),C4H5X(454),C2H3(53),C4H7X(140),C4H7(68),C4H7X(145),C4H8(73),C4H7X(541),C4H9(85),C4H9X(153),C4H6a(453),C6H10(458),C4H5X(455),C4H8(187),SX(1011),C6H9(1002),SX(1012)
1e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771389,0.66999999999999993,6.4360557926841365e-35,6.9754462023750267e-54,5.9088530227059718e-28,1.7867457757577104e-39,2.5635981597599106e-59,2.1829135211314369e-73,0.0,4.2140718504253999e-67,0.0,1.9034973308142347e-16,1.9034973308255339e-16,5.9852223252578831e-31,5.8993210744592672e-28,5.2513880443758072e-31,4.2790058101718933e-31,1.3826693905899783e-34,1.1305596556053647e-36,1.0319067217203634e-39,1.1248265789261106e-42,2.0184206843568572e-30,3.2344938303685276e-34,2.6951627872341476e-37,1.4335397722516627e-41,3.0926689986580054e-27,6.0090769100629748e-41,1.9110871131438589e-40,1.5805017204974284e-39,1.2506065419750535e-46,7.213947671341971e-47,1.2658431238002443e-47,8.6134511608097458e-28,3.3121423387929363e-62,4.3419055155707315e-65,2.9005206722978875e-62
1.023e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771389,0.66999999999999993,6.6112372376700395e-35,7.3008593981159013e-54,6.1150311961105087e-28,1.8490743765508545e-39,2.6802519782092626e-59,2.2851691455441695e-73,0.0,4.4090556054793747e-67,0.0,1.94730101217049e-16,1.9473010121817887e-16,6.2302339139496405e-31,6.1051091423202748e-28,5.4663064930667055e-31,4.4541292628670255e-31,1.4392627154754989e-34,1.1802624694850347e-36,1.0772880193280104e-39,1.1742876721789528e-42,2.088848579680149e-30,3.366861167392783e-34,2.81367124322524e-37,1.4987668441619041e-41,3.1083587185797758e-27,6.2824674293111515e-41,1.9634995406074409e-40,1.6451888205069614e-39,1.3055984562427307e-46,7.531160782395382e-47,1.3215050217773442e-47,8.8143483408715292e-28,3.4628461224019936e-62,4.5427925822799895e-65,3.0324984187911085e-62
2.047e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377135,0.66999999999999971,1.4711419835056718e-34,9.3428743752736828e-52,2.4487589167833752e-27,7.3932553089117066e-39,8.5878847909999272e-58,5.8592343574447417e-71,0.0,2.8243118356734497e-65,0.0,3.8975170796900198e-16,3.8975170797013118e-16,4.992894442424969e-30,2.4408231398339069e-27,4.3719006237359097e-30,3.5625748508134179e-30,1.1528271659075919e-33,1.8770514876730143e-35,1.7271183109981015e-38,1.8787436836310053e-41,8.3640504549500508e-30,2.690690543564097e-33,4.4974796028804971e-36,4.7917615767298763e-40,3.2220361084676253e-27,1.9970281138694633e-39,4.7093257949104829e-40,1.3167574381745218e-38,2.0888279003239109e-45,1.2049109509865523e-45,2.1142743817564788e-46,1.7786920067836776e-27,1.1066698340512074e-60,2.903488666650355e-63,9.7040725216205762e-61
4.095e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771272,0.66999999999999926,3.1262493837149047e-34,1.1916070423745909e-49,9.8005262759016047e-27,2.9499215930372416e-38,2.7464517198886213e-56,1.4963614329658142e-68,0.0,1.8025819156767517e-63,0.0,7.7979491605280597e-16,7.7979491605395524e-16,3.9978013962243043e-29,9.7371940398581001e-27,3.4888519308052053e-29,2.8433214763486911e-29,9.2272430237839674e-33,2.9613074333071375e-34,2.7661569213969249e-37,2.9993153773944711e-40,3.3469149945715611e-29,2.1438841812164526e-32,7.166883532488979e-35,1.5273071149455658e-38,3.2421742590431674e-27,6.2927987859103577e-38,1.5489563573432977e-39,1.0523145421147993e-37,3.3347037714451807e-44,1.9235769004959802e-44,3.3753199207836509e-45,3.5742083184729832e-27,3.5245062027863153e-59,1.8491825294485028e-61,3.098624417661847e-59
8.191e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771117,0.66999999999999849,6.83523404307659e-34,1.5119722005756508e-47,3.9213058987887409e-26,1.1731290477355964e-37,8.7640610952083026e-55,3.8018457474533389e-66,0.0,1.144742480372174e-61,0.0,1.5598812888635177e-15,1.5598812888649287e-15,3.1996358807930939e-28,3.8709337155517313e-26,2.7746127632599417e-28,2.2617526620644653e-28,7.3819632062222789e-32,4.603650316279731e-33,4.4280630082745045e-36,4.772717453128635e-39,1.338675712714754e-28,1.6997110294863013e-31,1.1362936403576395e-33,4.8437455288702498e-37,3.2440406731708584e-27,1.9512944152542131e-36,1.2103847024579356e-38,8.3929447747193748e-37,5.3064106261100702e-43,3.060928236300351e-43,5.3710168668411505e-44,7.165426667352428e-27,1.115982539366231e-57,1.1707390563136021e-59,9.8625163360681648e-58
1e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377105,0.66999999999999815,9.8568914774222818e-34,4.3144958753671231e-46,6.5195539288026301e-26,1.9379901859573117e-37,6.8366580489570884e-54,2.1439280016169777e-64,0.0,1.6805506080390266e-60,0.0,1.9044066635457305e-15,1.9044066635476971e-15,8.1467885197312878e-28,6.3923799153658455e-26,7.0040060469468188e-28,5.7111855671101952e-28,1.8787034630821088e-31,1.8959025828880105e-32,1.9099365758065899e-35,2.0391150264291882e-38,2.2248594157743189e-28,4.2723708186524957e-31,4.8260363496496135e-33,3.7379720816032595e-36,3.2440602253936846e-27,1.4481314174522065e-35,4.6306709381079188e-38,2.1269994914862935e-36,2.2671323036856798e-42,1.3077633460255563e-42,2.2947173525942705e-43,8.751493545209398e-27,8.5878184764214277e-57,1.7097899661608219e-58,7.6602428028438499e-57
1.6383e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770806,0.66999999999999693,2.0518715359914569e-33,1.9004565149463807e-45,1.5687390952339753e-25,4.6367788234748383e-37,2.7867220862346577e-53,9.5745640548293708e-64,0.0,7.2064021314727177e-60,0.0,3.1200536876455421e-15,3.1200536876494706e-15,2.5602662093165491e-27,1.5289224079773524e-25,2.1927288152957494e-27,1.7882401837373807e-27,5.9029472941055541e-31,6.9611519967591043e-32,7.0866599285936755e-35,7.5500302632260336e-38,5.3517309340878595e-28,1.3349920533549018e-30,1.7845178258666001e-32,1.5218189342960751e-35,3.2441292148012589e-27,5.8693097548433984e-35,1.6699044095738558e-37,6.6706264148990245e-36,8.3942874124638062e-42,4.8421264993979192e-42,8.4964093346310392e-43,1.4347880986536676e-26,3.4951958214521652e-56,7.3296388408758841e-58,3.1209212196564122e-56
3.2767e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770184,0.66999999999999382,1.4548061224781282e-32,2.3459686306936579e-43,6.275369946745924e-25,1.8112222799531186e-36,8.802700854231664e-52,2.3715284649665837e-61,0.0,4.4621156635120679e-58,0.0,6.2403957105603462e-15,6.2403957105863029e-15,2.0484343404818515e-26,5.9643453763513534e-25,1.7121125371063961e-26,1.3975528495267506e-26,4.717010772170085e-30,1.0002690685882851e-30,1.1340024950985392e-33,1.1810064201746552e-36,2.1378695664807685e-27,1.0297229697796307e-29,2.7515322801156515e-31,4.6955202979839802e-34,3.2441313401904745e-27,1.6686787158843578e-33,2.5979308241685426e-36,5.2667436546488669e-35,1.3130687304281418e-40,7.5742521723371655e-41,1.3290177761788321e-41,2.8712790470888747e-26,1.0718910002836024e-54,4.4910252608415835e-56,9.7672886180227052e-55
6.5535e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583768935,0.66999999999998761,1.8778313576386704e-31,2.7977554568019769e-41,2.5102130268175534e-24,6.9184394519907309e-36,2.7459402772155008e-50,5.6914860775683442e-59,0.0,2.6776408987319192e-56,0.0,1.2481057559555877e-14,1.2481057559768958e-14,1.6388307499864284e-25,2.272646648325364e-24,1.3066594346137797e-25,1.0685239660922257e-25,3.7646190419415965e-29,1.3160743688929864e-29,1.8144988870852886e-32,1.8085684616193397e-35,8.5280798139286956e-27,7.6726258825240683e-29,4.0961256192258811e-30,1.3995134620374015e-32,3.2441313658537769e-27,4.2980075495378451e-32,4.0801946208696306e-35,4.1059307816622193e-34,2.0108070357825982e-39,1.1599057650365368e-39,2.0351513647491187e-40,5.7442609460022281e-26,3.1587317553656344e-53,2.6414372961973742e-54,2.9935706067745649e-53
9.999999999999999e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258376762,0.66999999999998106,1.5013452275924752e-30,1.659799407509159e-39,6.4705116957408848e-24,1.6621580785355515e-35,4.5361678543776713e-49,1.4117228625598872e-56,0.0,1.0437212311196636e-54,0.0,1.9044819481203856e-14,1.9044819482253448e-14,7.6718779414832312e-25,5.441670738640582e-24,5.6505797204900104e-25,4.6356016819466728e-25,1.7547032671368641e-28,8.5597123240163223e-29,1.6128050167460119e-31,1.4873204617822706e-34,2.1884004612281186e-26,3.1848376212751355e-28,3.1996043430377945e-29,2.1243084910958449e-31,3.2441313659354416e-27,5.1733354156403553e-31,3.5221586706835976e-34,1.8387433400755712e-33,1.6536398469960191e-38,9.5387893494779454e-39,1.6735294161422591e-39,8.7660297798178848e-26,4.7034446257728657e-52,7.7094369961129846e-53,4.7877879013362511e-52
